,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1220366,Developing Materials for Hydrogen as an Energy Vector,01/04/2022,01/04/2026,C. Cardenas / P. Fuentealba,Departamento de Física,FONDECYT,Regular
1,1221135,Atoms and Molecules under extreme conditions,01/08/2021,01/08/2021,P. Fuentealba / C. Cardenas,Departamento de Física,FONDECYT,Regular
2,1180623,Electronic structure and reactivity of atomic and molecular clusters,01/03/2018,01/03/2022,P. Fuentealba / C. Cardenas,Departamento de Física,FONDECYT,Regular
3,1181121,How the chemical bond changes on excited state dynamics,01/03/2018,01/03/2022,C. Cardenas / P. Fuentealba,Departamento de Física,FONDECYT,Regular
4,3170653,Assessing the role of non-covalent interactions onto the selectivity patterns in phosphine-promoted annulation reactions: Insights for rational catalysts design,01/04/2017,01/04/2020,P. Fuentealba,Departamento de Química,FONDECYT,Postdoctorado
5,1170211,Electronic Structure and reactivity of atomic and molecular clusters,01/08/2016,01/08/2016,P. Fuentealba / C. Cardenas,Departamento de Física,FONDECYT,Regular
6,3160047,Theoretical investigation of noble gas compounds,01/06/2015,01/06/2015,P. Fuentealba,Departamento de Física,FONDECYT,Postdoctorado
7,3160792,Towards the rational design of new N-heterocyclic carbene-based organocatalysts,01/06/2015,01/06/2015,P. Fuentealba,Departamento de Física,FONDECYT,Postdoctorado
8,3150476,Generalización del principio de economía atómica en la perspectiva del diseño de rutas sintéticas sostenibles en química verde,01/11/2014,01/11/2014,P. Fuentealba,Departamento de Física,FONDECYT,Postdoctorado
9,1140313,Navigating the Chemical Space: A Perturbative Approach,01/03/2014,01/03/2017,C. Cardenas / P. Fuentealba,Departamento de Física,FONDECYT,Regular
10,3140525,Molecular Interactions in Ionic Liquids: An Ab-Initio Molecular Dynamics Approach,01/11/2013,01/11/2016,P. Fuentealba,Departamento de Física,FONDECYT,Postdoctorado
11,1130202,Exploring the dynamics and reactivity of atomic and molecular clusters,01/03/2013,01/03/2017,P. Fuentealba / C. Cardenas,Departamento de Física,FONDECYT,Regular
12,1120423,Ab initio molecular dynamics applied to chemical reactivity and atomic and molecular clusters,01/03/2012,01/03/2012,P. Fuentealba,Departamento de Física,FONDECYT,Regular
13,3120124,Adsorción disociativa de cúmulos de agua sobre superficies metálicas: Imvestigación ab-initio.,01/03/2012,01/03/2012,P. Fuentealba,Departamento de Física,FONDECYT,Postdoctorado
14,3110007,"Caracterización espectroscópica de cadenas carbonadas neutras, aniónicas y catiónicas relevantes en astroquímica a partir de métodos AB initio de alto nivel",01/10/2010,01/09/2013,P. Fuentealba,Departamento de Física,FONDECYT,Postdoctorado
15,NM-22,Centro Interdisciplinario de Líquidos Iónicos,01/03/2011,01/03/2017,"R. Contreras / C. Cardenas, P. Fuentealba",Departamento de Química,Iniciativa científica Milenio,Núcleos Milenio
16,A-19,Anillo de investigación sobre líquidos iónicos para síntesis orgánica y electro-síntesis: experimento y teoría,01/12/2009,01/12/2009,R. Contreras / P. Fuentealba,Departamento de Química,Programa de Investigación Asociativa,III Concurso Anillos en Ciencias y Antártico
17,1080184,"Chemical reactivity of molecules, cluster and extended systems from a theoretical perspective.",01/03/2008,01/03/2012,P. Fuentealba,Departamento de Física,FONDECYT,Regular
18,3080033,Chemical reactivity of transition metal surface. A theoretical Study.,01/03/2008,01/03/2010,P. Fuentealba,Departamento de Física,FONDECYT,Postdoctorado
19,1050294,Conceptos químicos en teoría del funcional de la densidad y sus aplicaciones a moléculas y clusters,01/03/2005,01/03/2008,P. Fuentealba,Departamento de Física,FONDECYT,Regular
20,3040081,Implementación de diagramas energía-coordenada de reacción para el estudio de mecanismos de reacción en química orgánica. Aplicación al estudio de reacciones de sustitución nucleofílica,01/03/2004,01/03/2006,P. Fuentealba,Departamento de Física,FONDECYT,Postdoctorado
21,CSIC-06/04,Estudio teórico de especies moleculares de interés astrofísico detectables con los nuevos instrumentos Herschel y ALMA,01/01/2005,01/12/2006,J. Letelier / P. Fuentealba,Departamento de Ciencia de los Materiales,Fondo Central de Investigación,CSIC/U. DE CHILE
22,P02-004-F,Núcleo Milenio de mecánica cuántica aplicada y química computacional,01/12/2003,01/12/2006,"J. Letelier, R. Contreras, P. Fuentealba, F. Mendizábal",Departamento de Química,Iniciativa científica Milenio,Núcleos Milenio
23,1010649,Aplicaciones y desarrollo de la teoría del funcional de la densidad en química,01/03/2001,01/03/2005,P. Fuentealba,Departamento de Física,FONDECYT,Regular
24,7980081,"Applications of density functional theory to atoms, molecules and clusters",01/03/1998,01/03/2001,P. Fuentealba,Departamento de Física,FONDECYT,Cooperación Internacional
25,1981231,"Applications of density functional theory to atoms, molecules and clusters",01/03/1998,01/03/2001,P. Fuentealba,Departamento de Física,FONDECYT,Regular
26,3970021,Atomistic simulations by means of density functional theory,01/03/1997,01/03/2000,G. Gutiérrez / P. Fuentealba,Departamento de Física,FONDECYT,Postdoctorado
27,1950530,Teoría del funcional de la densidad y sus aplicaciones en átomos y moléculas,01/03/1995,01/03/1998,P. Fuentealba / O. Reyes,Departamento de Física,FONDECYT,Regular
28,1910839,"Átomos, moléculas y sus interacciones",01/03/1991,01/03/1994,P. Fuentealba / O. Reyes,Departamento de Física,FONDECYT,Regular
29,1221578,Maximum Entropy and Maximum Caliber Principles in Statistical Physics: from fundamentals to applications,01/10/2021,01/10/2021,G. Gutiérrez,Departamento de Física,FONDECYT,Regular
30,1212061,Thermal and electric transport in molecular structures. A computational and theoretical approach,01/08/2020,01/08/2020,G. Gutiérrez,Universidad Nacional Andrés Bello,FONDECYT,Regular
31,1211956,Variational Principles in Statistical Physics: from fundamentals to applications,01/08/2020,01/08/2020,G. Gutiérrez,Departamento de Física,FONDECYT,Regular
32,3170745,Propagación del calor en sistemas magnéticos nanoscópicos: Estudio mediante dinámica de espines,01/08/2016,01/08/2016,G. Gutiérrez,Departamento de Física,FONDECYT,Postdoctorado
33,1171127,Maximum Entropy and Maximum Caliber principles in Computational Statistical Mechanics: from fundamentals to applications ,01/04/2017,01/04/2021,G. Gutiérrez,Departamento de Física,FONDECYT,Regular
34,1151328,"Strength, ductility and shear band formation in metallic glasses: a computer simulation study",01/03/2015,01/03/2015,G. Gutiérrez,Departamento de Física,FONDECYT,Regular
35,ENL15-17,"Computer simulation on mechanical properties of metallic glasses nanowires
",01/05/2015,01/05/2015,G. Gutiérrez,Departamento de Física,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
36,1120603,Mechanical properties of bulk metallic glasses: a computer simulation study,01/03/2012,01/03/2015,G. Gutiérrez,Departamento de Física,FONDECYT,Regular
37,3120083,Estudio de propiedades magnéticas de materiales mediante la simulación multiescala.,01/03/2012,01/03/2012,G. Gutiérrez,Departamento de Física,FONDECYT,Postdoctorado
38,1110293,"Computer simulation of materials: from structure of glasses, properties of nano-structures, to shock wave phenomena",01/03/2011,01/03/2011,G. Gutiérrez,Departamento de Física,FONDECYT,Regular
39,3110017,Study of Melting of Solids using Atomistic Computer Simulation Techniques,01/10/2011,01/10/2013,G. Gutiérrez,Departamento de Física,FONDECYT,Postdoctorado
40,3110149,Mechanical and cooperative properties of dimeric proteins. A computational simulation study.,01/03/2011,01/03/2013,G. Gutiérrez,Departamento de Física,FONDECYT,Postdoctorado
41,Act-1115,"Física de Plasma, Potencia Pulsada y Biología Celular para Energía, Vida y Medio Ambiente",01/10/2012,01/10/2015,"K. Marcelain, R. Armisen, J. Tapia, G. Gutiérrez",Comisión Chilena de Energía Núclear,Programa de Investigación Asociativa,Concurso Anillos en Ciencia y Tecnologia
42,1100589,Spectroscopy of complex materials: from experiments to electronic structure calculations,01/03/2010,01/03/2010,G. Gutiérrez,Departamento de Física,FONDECYT,Regular
43,1100422,"Computer simulation of materials: from structure of glasses, properties of nanostructures, to shock wave phenomena",01/03/2010,01/03/2010,G. Gutiérrez,Departamento de Física,FONDECYT,Regular
44,FA9550-06-1-0540,Thermophysical modeling of novel machinable ceramics,01/12/2006,01/12/2009,G. Gutiérrez,Departamento de Física,Gobierno USA,The Air Force Office of Scientific Research (AFOSR)
45,3090045,Study of biological system under the efect of shock waves.,01/03/2009,01/03/2011,G. Gutiérrez,Departamento de Física,FONDECYT,Postdoctorado
