,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1240069,Quotient of Bruhat-Tits buildings and aplications,01/07/2023,01/07/2023,L. Arenas,Departamento de Matemáticas,FONDECYT,Regular
1,1220348,Quotient of Bruhat-Tits buildings and aplications,01/08/2021,01/08/2021,L. Arenas,Departamento de Matemáticas,FONDECYT,Regular
2,1200874,"Quotient complexes for arithmetic groups in the theory of orders, group structure and beyond",01/03/2020,01/03/2022,L. Arenas,Departamento de Matemáticas,FONDECYT,Regular
3,1180471,"Arithmetic applications of trees, buildings, and their quotients",01/03/2018,01/03/2020,L. Arenas,Departamento de Matemáticas,FONDECYT,Regular
4,1160603,Embeddings and automorphism groups of orders via Bruhat-Tits trees and generalizations,01/04/2016,01/04/2018,L. Arenas,Departamento de Matemáticas,FONDECYT,Regular
5,1140533,Embeddings of orders vía Bruhat-Tits trees and generalizations,01/03/2014,01/03/2016,L. Arenas,Departamento de Matemáticas,FONDECYT,Regular
6,1120565,Representation fields for orders and vector bundles,01/03/2012,01/03/2014,L. Arenas,Departamento de Matemáticas,FONDECYT,Regular
7,1100127,Representation fields for orders with standard generators over global function fields and cohomology,01/03/2010,01/03/2012,L. Arenas,Departamento de Matemáticas,FONDECYT,Regular
8,1085017,Spinor Class fields and Generalizations,01/03/2008,01/03/2010,L. Arenas,Departamento de Matemáticas,FONDECYT,Regular
9,1070246,Geometric constructión of Group representations,01/03/2007,01/03/2010,"J. Soto / M. Yáñez, L. Arenas",Departamento de Matemáticas,FONDECYT,Regular
10,1040227,Mixing Properties of Algebraic Dynamical Systems and Arithmethic Springer Theorem,01/03/2004,01/03/2006,L. Arenas,Departamento de Matemáticas,FONDECYT,Regular
11,3010018,"Spinor class fields, algebraic groups and cohomological theory of lattices",01/03/2001,01/03/2004,L. Arenas / E. Friedman,Departamento de Matemáticas,FONDECYT,Postdoctorado
12,1220997,"Curves, abelian varieties and their moduli spaces",01/04/2022,01/04/2026,R. Auffarth,Departamento de Matemáticas,FONDECYT,Regular
13,3220631,Periods in fermat varieties and in their intermediate jacobians,01/04/2022,01/04/2025,R. Auffarth,Departamento de Matemáticas,FONDECYT,Postdoctorado
14,11180965,The geometry of abelian varieties and theta divisors,01/11/2018,01/11/2021,R. Auffarth,Departamento de Matemáticas,FONDECYT,Iniciación en Investigación
15,UI-026-15,Variedades abelianas descomponibles,01/11/2015,01/11/2015,R. Auffarth,Departamento de Matemáticas,Fondo Central de Investigación,U-INICIA
16,3150171,Non-simple abelian varieties,01/10/2014,01/11/2014,R. Auffarth / A. Rojas,Departamento de Matemáticas,FONDECYT,Postdoctorado
17,1240361,Expanding the notion of injectivity as a tool in the study of parametrized polynomial automorphisms via nonautonomous global stability problems,01/07/2023,01/07/2023,Ã. Castañeda / G. Robledo,Departamento de Matemáticas,FONDECYT,Regular
18,1210733,"Non autonomous spectra: characterization, continuity properties and its applications in control theory",01/03/2021,01/03/2025,G. Robledo / Ã. Castañeda,Departamento de Matemáticas,FONDECYT,Regular
19,1200653,Global stability problem and smooth linearization theorem from a spectral dichotomy point of view,01/03/2020,01/03/2024,Ã. Castañeda / G. Robledo,Departamento de Matemáticas,FONDECYT,Regular
20,3200212,Attractors for nonuniformly stable systems and applications,01/01/2020,01/01/2020,Ã. Castañeda,Departamento de Matemáticas,FONDECYT,Postdoctorado
21,1191072,Autonomous and nonautonomous global stability problems from a spectral dichotomy point of view,01/08/2018,01/08/2018,Ã. Castañeda / G. Robledo,Departamento de Matemáticas,FONDECYT,Regular
22,3190558,Entropía y presión topológica para semiflujos discontinuos expansivos,01/10/2018,01/10/2018,N. Jaque / Ã. Castañeda,Departamento de Matemáticas,FONDECYT,Postdoctorado
23,1180861,Normal forms of nilpotent jacobians and nonautonomous global stability conjecture,01/07/2017,01/07/2017,Ã. Castañeda / G. Robledo,Departamento de Matemáticas,FONDECYT,Regular
24,1171086,Nilpotent Jacobians and differentiability of linearization,01/09/2016,01/09/2016,Ã. Castañeda / G. Robledo,Departamento de Matemáticas,FONDECYT,Regular
25,1170968,"Topological Equivalence, Smoothness and Asymptotical Stability, a dichotomic point of view",01/04/2017,01/04/2021,G. Robledo / Ã. Castañeda,Departamento de Matemáticas,FONDECYT,Regular
26,ENL001/17,Nilpotent jacobians and differentiability of linearization,01/08/2017,01/08/2017,Ã. Castañeda,Departamento de Matemáticas,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
27,1160936,Density functions on autonomous and nonautonomous dynamical systems,01/06/2015,01/06/2015,Ã. Castañeda / G. Robledo,Departamento de Matemáticas,FONDECYT,Regular
28,1160925,Some issues in dichotomies and stability,01/06/2015,01/06/2015,G. Robledo / Ã. Castañeda,Departamento de Matemáticas,FONDECYT,Regular
29,ENLNO03/16,Density functions on autonomous and nonautonomous dynamical systems,01/08/2016,01/08/2017,Ã. Castañeda,Departamento de Matemáticas,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
30,16-MATH-04,"Stability and Dichotomies in Differential Equations (Ordinary & Delay) (STADE)
",01/01/2016,01/12/2017,G. Robledo / Ã. Castañeda,Departamento de Matemáticas,Cooperación Internacional: Multilateral y vinculación,Programa Regional MATH-AMSUD
31,11121122,"The continuous, discrete and weak Markus-Yamabe conjectures",01/10/2012,01/10/2015,Ã. Castañeda,Departamento de Matemáticas,FONDECYT,Iniciación en Investigación
32,11110281,The Continuous and Discrete Markus-Yamabe Conjecture.,01/10/2011,01/10/2011,Ã. Castañeda,Departamento de Matemáticas,FONDECYT,Iniciación en Investigación
33,UINICIA-2011-4072,Las conjeturas discreta y continua de Markus-Yamabe,01/12/2011,01/12/2013,Ã. Castañeda,Departamento de Matemáticas,Fondo Central de Investigación,U-INICIA
34,11240886,Minimal symbolic systems and their S-adic representations,01/05/2023,01/05/2023,P. Cecchi,Departamento de Ingeniería Matemática,FONDECYT,Iniciación en Investigación
35,3210746,"Interplay between orbit equivalence, entropy and complexity for minimal group actions on the Cantor set",01/03/2021,01/03/2024,P. Cecchi / S. Donoso,Centro de Modelamiento Matemático,FONDECYT,Postdoctorado
36,3200687,Realization of Choquet simplices as sets of invariant probabillity measures of subshits,01/01/2020,01/01/2022,P. Cecchi / S. Donoso,Centro de Modelamiento Matemático,FONDECYT,Postdoctorado
37,3240129,P-adic L-functions of non-cuspidal Bianchi modular forms and p-adic families,01/06/2023,01/06/2023,E. Friedman,Departamento de Matemáticas,FONDECYT,Postdoctorado
38,1200203,Analytic regulator lower bounds depending on the discriminant of the number field,01/03/2020,01/03/2023,E. Friedman,Departamento de Matemáticas,FONDECYT,Regular
39,PAI79170034,Inserción de un Geómetra Aritmético,01/10/2017,01/10/2020,E. Friedman / G. Lucchini,Departamento de Matemáticas,Programa de Capital Humano Avanzado,Inserción de Capital Humano en la Academia
40,1170176,Co-volumes of units in number fields,01/04/2017,01/04/2020,E. Friedman,Departamento de Matemáticas,FONDECYT,Regular
41,1140537,Signed fundamental domains and their applications,01/03/2014,01/03/2017,E. Friedman,Departamento de Matemáticas,FONDECYT,Regular
42,1110277,Zeroes of zeta functions ans inverse methods,01/03/2011,01/03/2014,E. Friedman,Departamento de Matemáticas,FONDECYT,Regular
43,RC120002,Teoría matemática de sistemas magnéticos cuánticos y clásicos,01/03/2009,01/12/2015,E. Friedman,PUC. Depto. de Física,Iniciativa científica Milenio,Núcleos Milenio
44,1085153,Regularized products and integrals of multiple p-adic Gamma functions,01/03/2008,01/03/2011,E. Friedman,Departamento de Matemáticas,FONDECYT,Regular
45,7070273,Shitani-Barnes multiple gamma functions and Abelian extensions,01/03/2007,01/03/2008,E. Friedman,Departamento de Matemáticas,FONDECYT,Cooperación Internacional
46,PUC0711,"Doctorado en ciencias, mención matemáticas",01/03/2008,01/03/2012,E. Friedman,Universidad Católica de Chile,MECESUP,MECESUP
47,7060247,Shitani-Barnes multiple gamma functions and Abelian extensions,01/03/2006,01/03/2007,E. Friedman,Departamento de Matemáticas,FONDECYT,Cooperación Internacional
48,7050163,Shitani-Barnes multiple gamma functions and Abelian extensions,01/03/2005,01/03/2006,E. Friedman,Departamento de Matemáticas,FONDECYT,Cooperación Internacional
49,3040066,"Curvas algebraicas, variedades abelianas con automorfismos y signatura geométrica",01/03/2004,01/03/2006,A. Rojas / E. Friedman,Departamento de Matemáticas,FONDECYT,Postdoctorado
50,1040585,Shitani-Barnes multiple gamma functions and Abelian extensions,01/03/2004,01/03/2008,E. Friedman,Departamento de Matemáticas,FONDECYT,Regular
51,3020012,Invariants of number fields and lattices,01/03/2002,01/03/2002,E. Friedman,Departamento de Matemáticas,FONDECYT,Postdoctorado
52,1010324,Difference equations and ray-class zeta functions,01/03/2001,01/03/2004,E. Friedman,Departamento de Matemáticas,FONDECYT,Regular
53,3010018,"Spinor class fields, algebraic groups and cohomological theory of lattices",01/03/2001,01/03/2004,L. Arenas / E. Friedman,Departamento de Matemáticas,FONDECYT,Postdoctorado
54,CP-1998/1,Extensiones relativas y discriminantes de cuerpos de números,01/12/1998,01/12/2000,E. Friedman,Departamento de Matemáticas,Cátedras Presidenciales,Cátedra Presidencial
55,1981170,Discriminants and Extensions of Number Fields,01/03/1998,01/03/2001,E. Friedman,Departamento de Matemáticas,FONDECYT,Regular
56,1960867,Relative regulators of extensions of number fields,01/03/1996,01/03/1998,E. Friedman,Departamento de Matemáticas,FONDECYT,Regular
57,2950023,Alturas relativas y cota de Minkowski para cuerpos de números,01/03/1995,01/03/1997,E. Friedman,Departamento de Matemáticas,FONDECYT,Doctorado
58,3940002,Representaciones efectivas de formas cuadráticas positivas definidas y constante de Hermite-Humbert,01/03/1994,01/03/1997,E. Friedman,Departamento de Matemáticas,FONDECYT,Postdoctorado
59,1940353,Geometric applications of analytic numbre theory,01/03/1994,01/03/1996,E. Friedman,Departamento de Matemáticas,FONDECYT,Regular
60,1231409,Hyperbolic structures for singular flows and ergodic properties for continuous semi-flows,01/08/2022,01/08/2022,N. Jaque,Departamento de Matemáticas,FONDECYT,Regular
