,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Arenas-Carmona, L; Bravo, C",On genera containing non-split Eichler orders over function fields,2022,JOURNAL DE THEORIE DES NOMBRES DE BORDEAUX,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5802/jtnb.1221,10.5802/jtnb.1221
1,"Arenas-Carmona, L; Bravo, C",Maximal orders containing a given sub-order for local fields of even characteristic,2022,COMMUNICATIONS IN ALGEBRA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/00927872.2021.2018699,10.1080/00927872.2021.2018699
2,"Arenas, M; Arenas-Carmona, L",Branches on division algebras,2020,JOURNAL OF NUMBER THEORY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jnt.2019.06.001,10.1016/j.jnt.2019.06.001
3,"Arenas-Carmona, Luis; Bravo, Claudio",Computing embedding numbers and branches of orders via extensions of the Bruhat-Tits tree,2019,INTERNATIONAL JOURNAL OF NUMBER THEORY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1142/S1793042119501136,10.1142/S1793042119501136
4,"Arenas-Carmona, L; Berend, D; Bergelson, V",An almost mixing of all orders property of algebraic dynamical systems,2019,ERGODIC THEORY AND DYNAMICAL SYSTEMS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1017/etds.2017.60,10.1017/etds.2017.60
5,"Arenas, M; Arenas-Carmona, L; Contreras, J",On optimal embeddings and trees,2018,JOURNAL OF NUMBER THEORY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jnt.2018.04.004,10.1016/j.jnt.2018.04.004
6,Arenas-Carmona L.,Representation fields for orders of small rank,2017,PROYECCIONES (ANTOFAGASTA),SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0716-09172017000100008,10.4067/s0716-09172017000100008
7,"Arenas-Carmona, L",Spinor class fields for generalized Eichler orders,2016,JOURNAL DE THEORIE DES NOMBRES DE BORDEAUX,ISI/SCOPUS/UCH/VID,,
8,"Arenas-Carmona, L; Saavedra, I",On some branches of the Bruhat-Tits tree,2016,INTERNATIONAL JOURNAL OF NUMBER THEORY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1142/S1793042116500524,10.1142/S1793042116500524
9,"Arenas-Carmona, L",Roots of unity in definite quaternion orders,2015,ACTA ARITHMETICA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.4064/aa170-4-5,10.4064/aa170-4-5
10,"Arenas-Carmona, L; Quiroz, P",Spinor norm for skew-hermitian forms over quaternion algebras,2015,JOURNAL OF NUMBER THEORY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jnt.2014.12.011,10.1016/j.jnt.2014.12.011
11,"Arenas-Carmona, L",Selectivity in division algebras,2014,ARCHIV DER MATHEMATIK,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/s00013-014-0660-2,10.1007/s00013-014-0660-2
12,"Arenas-Carmona, L",Computing quaternion quotient graphs via representations of orders,2014,JOURNAL OF ALGEBRA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jalgebra.2013.12.015,10.1016/j.jalgebra.2013.12.015
13,"Arenas, M;Arenas-Carmona, L",UNIVERSAL POISSON ENVELOPE FOR BINARY-LIE ALGEBRAS,2013,COMMUNICATIONS IN ALGEBRA,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1080/00927872.2011.651757,10.1080/00927872.2011.651757
14,"Arenas-Carmona, L","EICHLER ORDERS, TREES AND REPRESENTATION FIELDS",2013,INTERNATIONAL JOURNAL OF NUMBER THEORY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1142/S179304211350053X,10.1142/S179304211350053X
15,Arenas-Carmona L,Representation fields for cyclic orders,2012,ACTA ARITHMETICA,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4064/aa156-2-3,10.4064/aa156-2-3
16,Arenas-Carmona L,Maximal selectivity for orders in fields,2012,JOURNAL OF NUMBER THEORY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jnt.2012.05.031,10.1016/j.jnt.2012.05.031
17,Arenas-Carmona L,REPRESENTATION FIELDS FOR COMMUTATIVE ORDERS,2012,ANNALES DE L INSTITUT FOURIER,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.5802/aif.2695,10.5802/aif.2695
18,"Arenas-Carmona, L",An embedding theorem for orders in central simple algebras,2012,JOURNAL OF NUMBER THEORY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jnt.2012.05.004,10.1016/j.jnt.2012.05.004
19,"Arenas-Carmona, L",Projective representations in algebras and cohomology,2011,ARCHIV DER MATHEMATIK,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00013-011-0279-5,10.1007/s00013-011-0279-5
20,"Arenas-Carmona, L",Representation fields for quaternionic skew-hermitian forms,2010,ARCHIV DER MATHEMATIK,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00013-010-0104-6,10.1007/s00013-010-0104-6
21," Arenas-Carmona, L ","Arithmetical Hilbert symbols, distance maps and cohomology",2009,ACTA ARITHMETICA,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4064/aa140-4-1,10.4064/aa140-4-1
22,"Arenas-Carmona, L",Relative spinor class fields: A counterexample,2008,ARCHIV DER MATHEMATIK,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/s00013-008-2823-5,10.1007/s00013-008-2823-5
23,"Arenas-Carmona, L ; Berend, D ; Bergelson, V",Ledrappier's system is almost mixing of all orders,2008,ERGODIC THEORY AND DYNAMICAL SYSTEMS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1017/S0143385707000727,10.1017/S0143385707000727
24,"Arenas-Carmona, L",Finite subgroups in algebras and cohomology,2008,COMMUNICATIONS IN ALGEBRA,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1080/00927870802070405,10.1080/00927870802070405
25,"Arenas-Carmona, L",Integral springer theorem for quaternionic forms,2007,NAGOYA MATHEMATICAL JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1017/S0027763000025885,10.1017/S0027763000025885
26,"Arenas-Carmona, L",Applications of spinor class fields: Embeddings of orders and quaternionic lattices,2003,ANNALES DE L INSTITUT FOURIER,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.5802/aif.1999,10.5802/aif.1999
27,"Auffarth, Robert; Lucchini Arteche, Giancarlo",SMOOTH QUOTIENTS OF PRINCIPALLY POLARIZED ABELIAN VARIETIES,2022,MOSCOW MATHEMATICAL JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.17323/1609-4514-2022-22-2-225-237,10.17323/1609-4514-2022-22-2-225-237
28,"Auffarth, R; Arteche, GL; Quezada, P",Smooth quotients of abelian surfaces by finite groups that fix the origin,2022,Cubo (Temuco),SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0719-06462022000100037,10.4067/S0719-06462022000100037
29,"Auffarth, R; Artech, GL",Smooth quotients of complex tori by finite groups,2022,MATHEMATISCHE ZEITSCHRIFT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00209-021-02826-3,10.1007/s00209-021-02826-3
30,"Auffarth R., Arteche G.L., Rojas A.M.",A decomposition of the jacobian of a humbert-edge curve,2021,Contemporary Mathematics,SCOPUS/UCH/VID,http://dx.doi.org/10.1090/conm/766/15371,10.1090/conm/766/15371
31,"Auffarth, R; Rahausen, S",Galois subspaces for the rational normal curve,2021,COMMUNICATIONS IN ALGEBRA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/00927872.2021.1901912,10.1080/00927872.2021.1901912
32,"Auffarth, R; Rahausen, S",Galois subspaces for smooth projective curves,2021,JOURNAL OF ALGEBRA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jalgebra.2020.12.016,10.1016/j.jalgebra.2020.12.016
33,"Auffarth, R; Arteche, GL",Smooth quotients of Abelian varieties by finite groups,2020,ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA-CLASSE DI SCIENZE,ISI/SCOPUS/UCH/VID,,
34,"Auffarth, R; Codogni, G",Theta divisors whose Gauss map has a fiber of positive dimension,2020,JOURNAL OF ALGEBRA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jalgebra.2019.11.042,10.1016/j.jalgebra.2019.11.042
35,"Auffarth, R; Codogni, G; Manni, RS",The Gauss map and secants of the Kummer variety,2019,BULLETIN OF THE LONDON MATHEMATICAL SOCIETY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1112/blms.12244,10.1112/blms.12244
36,"Auffarth, R","A note on Galois embeddings of abelian varieties (vol 154, pg 279, 2017)",2019,MANUSCRIPTA MATHEMATICA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00229-018-1080-6,10.1007/s00229-018-1080-6
37,"Alvarado, M; Auffarth, R",Fixed points of endomorphisms of complex tori,2018,JOURNAL OF ALGEBRA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jalgebra.2018.04.018,10.1016/j.jalgebra.2018.04.018
38,"Auffarth, R; Biswas, I",Direct image of parabolic line bundles,2018,JOURNAL OF PURE AND APPLIED ALGEBRA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jpaa.2017.06.014,10.1016/j.jpaa.2017.06.014
39,"Auffarth, R",A note on Galois embeddings of abelian varieties,2017,MANUSCRIPTA MATHEMATICA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00229-017-0921-z,10.1007/s00229-017-0921-z
40,"Auffarth, R; Lange, H; Rojas, AM",A criterion for an abelian variety to be non-simple,2017,JOURNAL OF PURE AND APPLIED ALGEBRA,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jpaa.2016.10.020,10.1016/j.jpaa.2016.10.020
41,"Auffarth, R; Pirola, GP; Manni, RS",TORSION POINTS ON THETA DIVISORS,2017,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1090/proc/13230,10.1090/proc/13230
42,"Auffarth, R",On a numerical characterization of non-simple principally polarized abelian varieties,2016,MATHEMATISCHE ZEITSCHRIFT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00209-015-1562-0,10.1007/s00209-015-1562-0
43,"Auffarth R., II",Elliptic curves on Abelian varieties,2015,ILLINOIS JOURNAL OF MATHEMATICS,SCOPUS/UCH/VID,,
44,"Castaneda, A; Machado-Higuera, M",Nilpotent Jacobians and Almost Global Stability,2021,JOURNAL OF DYNAMICS AND DIFFERENTIAL EQUATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10884-020-09875-y,10.1007/s10884-020-09875-y
45,"Castaneda, A; Gonzalez, P; Robledo, G",TOPOLOGICAL EQUIVALENCE OF NONAUTONOMOUS DIFFERENCE EQUATIONS WITH A FAMILY OF DICHOTOMIES ON THE HALF LINE,2021,COMMUNICATIONS ON PURE AND APPLIED ANALYSIS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3934/CPAA.2020278,10.3934/CPAA.2020278
46,"Castaneda, A; van den Essen, A",A new class of Nilpotent Jacobians in any dimension,2021,JOURNAL OF ALGEBRA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jalgebra.2020.08.026,10.1016/j.jalgebra.2020.08.026
47,"Castaneda, A; Robledo, G; Monzon, P",Smoothness of topological equivalence on the half line for nonautonomous systems,2020,PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1017/prm.2019.32,10.1017/prm.2019.32
48,"Castaneda, A; Robledo, G",A spectral dichotomy version of the nonautonomous Markus-Yamabe conjecture,2020,JOURNAL OF DIFFERENTIAL EQUATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jde.2019.10.032,10.1016/j.jde.2019.10.032
49,"Castaneda, A; Huerta, I",Nonuniform almost reducibility of nonautonomous linear differential equations,2020,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jmaa.2019.123822,10.1016/j.jmaa.2019.123822
50,"Castañeda A., Robledo G.",Dichotomy spectrum and almost topological conjugacy on nonautonomus unbounded difference systems,2018,DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3934/dcds.2018094,10.3934/dcds.2018094
51,"Castaneda, A ; Guinez, V",Injectivity and almost global asymptotic stability of Hurwitz vector fields,2017,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jmaa.2016.12.078,10.1016/j.jmaa.2016.12.078
52,"Castaneda, A; Robledo, G",Almost reducibility of linear difference systems from a spectral point of view,2017,COMMUNICATIONS ON PURE AND APPLIED ANALYSIS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3934/cpaa.2017097,10.3934/cpaa.2017097
53,"Castaneda, A; Robledo, G",A topological equivalence result for a family of nonlinear difference systems having generalized exponential dichotomy,2016,JOURNAL OF DIFFERENCE EQUATIONS AND APPLICATIONS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1080/10236198.2016.1192161,10.1080/10236198.2016.1192161
54,"Castaneda, A; Robledo, G",Differentiability of Palmer's linearization theorem and converse result for density functions,2015,JOURNAL OF DIFFERENTIAL EQUATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jde.2015.06.004,10.1016/j.jde.2015.06.004
55,"Castaneda, A;Guinez, V",Some Results About Global Asymptotic Stability,2013,QUALITATIVE THEORY OF DYNAMICAL SYSTEMS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s12346-013-0102-8,10.1007/s12346-013-0102-8
56,"Berthe, V; Bernales, PC; Durand, F; Leroy, J; Perrin, D; Petite, S",On the dimension group of unimodular S-adic subshifts,2021,MONATSHEFTE FUR MATHEMATIK,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00605-020-01488-3,10.1007/s00605-020-01488-3
57,"Belabas, K; Diaz, FDY; Friedman, E",Special values of ray class partial zeta functions,2023,INTERNATIONAL JOURNAL OF NUMBER THEORY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1142/S1793042123500227,10.1142/S1793042123500227
58,"Chinburg, T; Friedman, E; Sundstrom, J; Villegas, FR",ON BERTRAND'S AND RODRIGUEZ VILLEGAS' HIGHER-DIMENSIONAL LEHMER CONJECTURE,2022,Pacific Journal of Mathematics,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.2140/pjm.2022.321.119,10.2140/pjm.2022.321.119
59,"Friedman, E; Johansson, F; Ramirez-Raposo, G",THE MINIMAL FRIED AVERAGE ENTROPY FOR HIGHER-RANK CARTAN ACTIONS,2021,MATHEMATICS OF COMPUTATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1090/mcom/3582,10.1090/mcom/3582
