,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,79150038,Potenciamiento de la investigación y docencia en el Departamento de Química. Estudio de Colorantes en Vinos Chilenos,01/11/2015,01/11/2018,Ã. Aliaga,Departamento de Química,Programa de Capital Humano Avanzado,Inserción de Capital Humano en la Academia
1,11150944,Infrared and Raman Vibrational Study of Dyes in the Chilean Wines,01/11/2015,01/11/2018,Ã. Aliaga,Departamento de Química,FONDECYT,Iniciación en Investigación
2,3140492,Estudio espectroscópico vibracional de naftoquinonas y de su interacción con modelos de biomembrana,01/11/2013,01/11/2015,Ã. Aliaga,Departamento de Química,FONDECYT,Postdoctorado
3,1240379,Tau Protein: an underdog´s bet?,01/07/2023,01/07/2023,C. Areche,,FONDECYT,Regular
4,1230414,"Green Chemistry applied to lichens to identify &#945;-synuclein aggregation inhibitors for Parkinson´s diseases: Use of green solvents, HPLC/ESI/MS-MS and Bioactivity-guided isolation",01/03/2023,01/03/2027,C. Areche,Departamento de Química,FONDECYT,Regular
5,1231642,"Isolation, characterization, and semisynthetic derivatives compounds: Molecular aspects to prevent tau toxicity",01/08/2022,01/08/2022,C. Areche,Universidad Nacional Andrés Bello,FONDECYT,Regular
6,1220075,Isolation and bioactivity of phenolics from native small fruits from Chile: Countercurrent chromatography and bioprospection of neglected berries using conventional and green methodologies and potential use on the prevention of chronic diseases,01/04/2022,01/04/2026,C. Areche,Universidad Austral De Chile,FONDECYT,Regular
7,1220397,"Isolation, characterization and semisynthetic derivatives compound from lichens: Molecular aspects of non-covalent and covalent interactions to prevent tau oligomer´s toxicity",01/08/2021,01/08/2021,C. Areche,Universidad Nacional Andrés Bello,FONDECYT,Regular
8,1220258,Extraction and Isolation of secondary metabolites using Green methodologies: Application to endemic Chilean plants and untargeted metabolomics by using UHPLC/ESI/MS/MS studies,01/08/2021,01/08/2021,C. Areche,Universidad Nacional Andrés Bello,FONDECYT,Regular
9,1210456,Extraction and Isolation of secondary metabolites using Green methodologies: Application to endemic Chilean plants and untargeted metabolomics by using UHPLC/ESI/MS/MS studies,01/08/2020,01/08/2020,C. Areche,UNAB. Escuela de Química y Farmacia,FONDECYT,Regular
10,1200991,"Extraction and Isolation of secondary metabolites using Green methodologies: Aplication to Nothopappus sp., Mulinum ullicinum, Podocarpus nubigena, and Quillaja saponaria and validation by UHPLC/ESI/MS/MS studies",01/08/2019,01/08/2019,C. Areche,Universidad Nacional Andrés Bello,FONDECYT,Regular
11,CP200029,Medicamentos que cambiaron el mundo: valorización de los productos naturales como fuentes de medicamentos,01/11/2022,01/11/2022,C. Areche,Departamento de Química,Programa Ciencia Pública,Ciencia Pública de Proy. Comunitarios para la Difusión de Conocimiento Local
12,1190314,Green Chemistry of Natural Products utilizing HPLC/ESI/MS-MS: Use of ionic liquids and green solvents for isolation and Identification of secondary metabolites from Lichens,01/04/2019,01/04/2023,C. Areche,Departamento de Química,FONDECYT,Regular
13,EQM190063,Proyecto Fondequip Equipamiento mediano Carlos Areche Medina,01/06/2019,01/06/2019,C. Areche,Departamento de Química,FONDEQUIP,Concurso de Equipamiento Científico
14,1180198,"Chemical and biological activities of endangered plants from the Atacama Desert, Northern Chile",01/07/2017,01/07/2017,C. Areche,UANT. Depto. de Química,FONDECYT,Regular
15,1180576,"Phenolic acids, flavanones, flavonols and its glycoside derivatives isolated from Nolana ramosissima diminish toxicity of tau aggregates",01/07/2017,01/07/2017,C. Areche,Universidad Nacional Andrés Bello,FONDECYT,Regular
16,1160642,Antioxidant Chilean Plants as possible gastroprotective agents,01/08/2015,01/08/2015,C. Areche,Universidad Nacional Andrés Bello,FONDECYT,Regular
17,3160414,Búsqueda de nuevas entidades químicas con actividad antimicrobiana en hongos aislados de esponjas marinas antárticas,01/11/2015,01/11/2018,C. Areche,Departamento de Química,FONDECYT,Postdoctorado
18,EQM160094,"Fortalecimiento del laboratorio de Productos Naturales de la Facultad de Ciencias de la Universidad de Chile, adquiriendo un High Performance Counter Current Chromatography",01/06/2016,01/06/2016,C. Areche,Departamento de Química,FONDEQUIP,Concurso de Equipamiento Científico
19,1150745,"Depsides, depsidones and anthraquinones from chilean lichens: isolation, molecular simulation and biological activity as tau-reducing agents",01/03/2015,01/03/2019,C. Areche,Departamento de Química,FONDECYT,Regular
20,EQUIP-02/2014,Cromatógrafo en contra corriente de alta resolución,01/12/2014,01/12/2014,"C. Areche / J. Alcaíno, H. Pessoa, I. Vaca, R. Cabrera",Departamento de Química,FONDEQUIP,Concurso de Equipamiento Científico
21,3140493,"Estrategia multidisciplinar en la terapia del cáncer, diabetes mellitus de tipo 2 y procesos inflamatorios: búsqueda de nuevas entidades químicas basadas en productos naturales",01/11/2013,01/11/2013,C. Areche,Departamento de Química,FONDECYT,Postdoctorado
22,RT_13-13,Polifenoles aislados de líquenes de la Antártica con actividad inhibitoria de la agregación de la proteína tau,01/11/2013,01/12/2016,C. Areche,Departamento de Química,INACH,Inst. Nacional Antártico de Chile
23,UM13_EQM-13030,Fortalecimiento del laboratorio de Productos Naturales de la Facultad de Ciencias: Cromatógrafo en contra corriente de alta resolución,01/12/2013,01/12/2013,C. Areche,Departamento de Química,Fondo Central de Investigación,U-MODERNIZA
24,EQM-13030,Cromatografo en contra corriente de alta resolución,01/12/2013,01/12/2013,"C. Areche / J. Alcaíno, H. Pessoa, I. Vaca, R. Cabrera",Departamento de Química,FONDEQUIP,Concurso de Equipamiento Científico
25,1120199,Chemical study of species of the genus azorella. Biological activity of its metabolites,01/03/2012,01/03/2016,"C. Areche, I. Vaca",Departamento de Química,FONDECYT,Regular
26,ANM-25,Núcleo milenio de ciencia y educación: Enseñar y aprender ciencias en el mundo de hoy,01/01/2013,01/01/2013,"A. Galdámez / J. Orlando, M. Handford, C. Areche, C. Stange, J. Alcaíno, J. Camacho, V. Muñoz",Departamento de Estudios Pedagógicos,Iniciativa científica Milenio,Núcleos Milenio
27,11110241,"Terrestrial and marine organisms as source of gastroprotectice drugs

",01/10/2011,01/10/2014,C. Areche,Departamento de Química,FONDECYT,Iniciación en Investigación
28,VID-1715,Estudio de productos naturales polares producidos por microorganismos y plantas,01/07/2011,01/07/2011,"I. Vaca, C. Areche",Departamento de Química,Fondo Central de Investigación,U-MODERNIZA
29,CSIC10-7,Microorganismos marinos de las costasde Chile: Estructura y actividad biologica de sus metabolitos secundarios,01/03/2010,01/03/2010,I. Vaca / C. Areche,Departamento de Química,Fondo Central de Investigación,CSIC/U. DE CHILE
30,11100049,"Terrestrial and marine organisms as source of gastroprotective drugs.
",01/10/2010,01/10/2010,C. Areche,Departamento de Química,FONDECYT,Iniciación en Investigación
31,11090082,Structural Modification and Chemical Medicinal of Diterpenoids from Azorella Species.,01/10/2009,01/10/2009,C. Areche,Departamento de Química,FONDECYT,Iniciación en Investigación
32,I 09/18-2,Aislamiento y modoficación estructutal de diterpenoides del género Azorella,01/03/2009,01/03/2011,C. Areche,Departamento de Química,Fondo Central de Investigación,INICIACION
33,PDA-13,Fortalecimiento académico en Química Bioorgánica,01/12/2007,01/12/2010,"C. Areche, I. Vaca",Departamento de Química,Programa Bicentario de Ciencia y Tecnología,Inserción Postdoctoral Academia
34,1221682,Structural foundations of selectivity among the 5-HT2A/2B/2C subtypes of the 5-HT2 receptor family,01/04/2022,01/04/2026,B. Cassels / G. Zapata,Departamento de Química,FONDECYT,Regular
