,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,452540,Catálogo Le Corbusier y el sur de América,01/12/2017,01/12/2018,M. Atria,Departamento de Arquitectura,Fondos de Cultura,Fondo del Libro y la Lectura
1,8144,"Arquibus
",01/05/2013,01/05/2014,M. Atria,Departamento de Arquitectura,Fondos de Cultura,Fondart Nacional
2,7442,Arquitectura escolar pública en Chile. Registro y valoración del patrimonio moderno,01/05/2013,01/05/2014,C. Torres / M. Atria,Departamento de Arquitectura,Fondos de Cultura,Fondart Nacional
3,ID22I10281,Plataforma para la innovación y experimentalidad educativa en Educación Pública: diseño e implementación de una experiencia piloto,01/04/2022,01/04/2022,M. Barba,Departamento de Arquitectura,FONDEF,IDEA
4,1210247,Evaluación de vulnerabilidad ante incendios en inmuebles patrimoniales: Museos como arquitectura tradicional contenedora del acervo cultural nacional,01/08/2020,01/08/2020,C. Torres / M. Barba,Departamento de Arquitectura,FONDECYT,Regular
5,UCH 1302,"Estrategias para mejorar las habilidades de lecto-escritura de los estudiantes de 1er y 2do año de la Universidad de Chile, a partir de los resultados de la prueba CODICE",01/01/2014,01/01/2016,M. Barba,Departamento de Pregrado,MECESUP,MECESUP
6,1120506,"Enseñanza de la arquitectura y reforma en el contexto del movimiento universitario en Chile (1964-1973): tradición, identidad e innovación del proyecto en las escuelas",01/06/2011,01/06/2011,M. Barba,UBB. Depto. de Diseño y Teoria de la Arquitectura,FONDECYT,Regular
7,UCH1114,"Consolidación de la reforma curricular en las carreras y programas de pregrado del campus Juan Gómez Millas de la Universidad de Chile, a partir de los logros de la iniciativa bicentenario",01/12/2011,01/06/2014,M. Barba,Departamento de Pregrado,MECESUP,MECESUP
8,UCH0808,Red de unidades para la enseñanza y el aprendizaje,01/11/2009,01/11/2012,M. Barba / P. Poblete,Departamento de Pregrado,MECESUP,MECESUP
9,SP-4,"Domeyko Sociedad y Equidad: Política, pobreza y exclusión social",01/12/2007,01/12/2010,"M. Ruiz / J. Ortiz, H. Romero, R. Sepúlveda, R. Alvarado, M. Barba, J. Núñez, C. Castro, S. Pérez, J. Uribe, C. Arteaga, J. Larenas",Departamento de Psicología,Fondo Central de Investigación,Programa Domeyko
10,1110174,"Orientalismo y modernidad en Chile: literatura, pintura y arquitectura",01/03/2011,01/03/2011,"M. Samamé / M. Baros, R. Karmy, S. Salinas",Centro de Estudios Árabes,FONDECYT,Regular
11,SOC 08/25-1,El orientalismo en Chile en el siglo XIX. Tres perspectivas.,01/10/2008,01/10/2009,M. Baros / R. Karmy,Departamento de Arquitectura,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
