,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,Atria M.,The plaza as the locus of continuous modernity,2018,"Proceedings of the 15th International Docomomo Conference - Metamorphosis: The Continuity of Change, IDC 2018",SCOPUS/UCH/VID,,
1,Atria M.,One hand to school them all: The society for the construction of educational facilities in Chile (SCEE),2018,Journal of Architecture,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/13602365.2018.1443277,10.1080/13602365.2018.1443277
2,Atria M.,Docomomo and the ongoing machinist tradition,2016,Proceedings of the 14th International Docomomo Conference - Adaptive Reuse: The Modern Movement Towards the Future,SCOPUS/UCH/VID,,
3,"Atria, M",ARCHITECTURE AND CRITICISM,2015,MATERIA ARQUITECTURA,ESCI/UCH/VID,,
4,"Atria Lemaitre, Maximiano","One hand to school them all the experience of the society for the construction of educational facilities in Chile, 1937-1987",2014,"Proceedings of the 13th Docomomo International Conference Seoul: Expansion and Conflict, Seoul 2014",SCOPUS/UCH/VID,,
5,"Barba, P",About Padiglione Rosso by Alfredo Jaar,2022,RITA-REVISTA INDEXADA DE TEXTOS ACADEMICOS,ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.24192/2386-7027(2022)(v17)(15),10.24192/2386-7027(2022)(v17)(15)
6,"Barba-Buscaglia, MD",Landscape and city: Laguna Caren Park Master Plan (Chile),2019,CIUDAD Y TERRITORIO-ESTUDIOS TERRITORIALES-CYTET,SCOPUS/ESCI/UCH/VID,,
7,Townsend M.B.,From the carpet to the kimono: Orientalism in the transformations of the interior concept in chilean premodernity,2021,Intus-Legere Historia,SCOPUS/UCH/VID,,
8,"Townsend, MB",Asian influences in the search for comfort in the Chilean colonial period: from the carpet to the estrado,2021,ESTOA-REVISTA DE LA FACULTAD DE ARQUITECTURA Y URBANISMO DE LA UNIVERSIDAD DE CUENCA,ESCI/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18537/est.v010.n020.a06,10.18537/est.v010.n020.a06
9,"Townsend, MB",Altars and tanguis: an apology from the open space in South America,2017,ESTOA-REVISTA DE LA FACULTAD DE ARQUITECTURA Y URBANISMO DE LA UNIVERSIDAD DE CUENCA,ESCI/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18537/est.v006.n011.a08,10.18537/est.v006.n011.a08
10,"Baros, M ",The displacements of leisure,2010,ARQ,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-69962010000100007,10.4067/S0717-69962010000100007
11," Baros, M ",Nilometer of Rhodes Island,2009,ARQ,SCOPUS/SCIELO-Chile/ISI/UCH/VID,,
12,"Baros, M",From the house to the mall - Private versus public (Contemporary Chilean architecture),2003,ARQ,ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-69962003005300003,10.4067/S0717-69962003005300003
13,"Campos-Gajardo, A; Harris-Diez, R; Gonzalez-Erices, D",A biopolitical reading of the architecture of the Workers's Insurance Fund. Residential collectives in Arica and Iquique,2022,REVISTA DE ARQUITECTURA-BOGOTA,ESCI/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.14718/RevArq.2022.2452,10.14718/RevArq.2022.2452
14,"Gajardo, AC; Harris, R; Gonzalez, D",Artesanos La Union y Emilio Delporte. Neighborhood-garden and cooperativism in the first periphery of Santiago,2021,ESTOA-REVISTA DE LA FACULTAD DE ARQUITECTURA Y URBANISMO DE LA UNIVERSIDAD DE CUENCA,ESCI/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18537/est.v010.n020.a11,10.18537/est.v010.n020.a11
15,Basáez Yau Patricio; Campos Gajardo Alicia,"La obra de Julio Machicao, el valor de una síntesis arquitectónica. La ?Casa del Escritor?, sede de la Sociedad de Escritores de Chile SECH",2014,REVISTA INVI,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-83582014000200008,10.4067/S0718-83582014000200008
16,"Chauriye, R; Bozzi, D; Stager, B",The Quarries Park On San Cristobal Hill. The ages of territory,2020,CIUDAD Y TERRITORIO-ESTUDIOS TERRITORIALES-CYTET,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.37230/CyTET.2020.206.13,10.37230/CyTET.2020.206.13
17,Chauriye RE,Modern architecture in Chile. The case of Roberto Davila Carson,2012,ARQUITETURA REVISTA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.4013/arq.2012.82.05,10.4013/arq.2012.82.05
18,Tejeda Marshall Juan Guillermo; Chauriye Chauriye Rodrigo,Chilean Connection,2003,ARQ,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-69962003005500007 ,10.4067/S0717-69962003005500007 
19,"Boitano, BC","Show, translate. Architecture with a social agenda at the International Housing Exhibition, VIEXPO 72",2023,REVISTA INVI,/UCH/VID,http://dx.doi.org/10.5354/0718-8358.2023.70547,10.5354/0718-8358.2023.70547
20,Coeffé B.,Social Networks as Active Spaces of Urban Memory: The Last Days of the Robin Hood Gardens Residential Complex,2022,AUS,SCOPUS/UCH/VID,http://dx.doi.org/10.4206/aus.2022.n32-14,10.4206/aus.2022.n32-14
21,"Cortes, A; Rismanchi, B",Residential energy efficiency in Chile: Policies to reduce firewood dependency,2020,ESTOA-REVISTA DE LA FACULTAD DE ARQUITECTURA Y URBANISMO DE LA UNIVERSIDAD DE CUENCA,ESCI/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18537/est.v009.n017.a05,10.18537/est.v009.n017.a05
22,"Cortés A., Araya P., Diaz M.",Energy efficiency in higher education,2017,"Proceedings of 33rd PLEA International Conference: Design to Thrive, PLEA 2017",SCOPUS/UCH/VID,,
23,"Espinosa Cancino, Constanza; Cortés Fuentes, Alejandra",Confort higro-térmico en vivienda social y la percepción del habitante,2015,REVISTA INVI,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-83582015000300008,10.4067/S0718-83582015000300008
24,"Cortés A., Ridley I.",Efectos de la combustión a leña en la calidad del aire intradomiciliario. la ciudad de te muco como caso de studio,2014,REVISTA INVI,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-83582013000200008,10.4067/S0718-83582013000200008
25,"Tapia, FC",The inrush of everyday life. The photographic narrative of a forgotten city,2022,ESTOA-REVISTA DE LA FACULTAD DE ARQUITECTURA Y URBANISMO DE LA UNIVERSIDAD DE CUENCA,SCIELO-otros paises /ESCI/UCH/VID,http://dx.doi.org/10.18537/est.v011.n021.a06,10.18537/est.v011.n021.a06
26,"Corvalán Tapia, Felipe; Muñoz Sotomayor, Gabriela; Veas Brokering, Verónica",Challenges and opportunities for innovative curriculum: Strategies for implementation of curricular modernization in the teaching of architecture,2015,International Journal of Learning in Higher Education,SCOPUS/UCH/VID,,
27,"Rojas, JAR; Soto-Leiva, P; Elias-Diaz, H",Dynamic evaluation of solar light control. Proposals in a modern architecture library in Santiago,2020,ESTOA-REVISTA DE LA FACULTAD DE ARQUITECTURA Y URBANISMO DE LA UNIVERSIDAD DE CUENCA,ESCI/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18537/est.v009.n018.a11,10.18537/est.v009.n018.a11
28," Eliash, H ; Marsino, J ; Santander, C ","Los Presidentes building - Providencia, Chile (Humberto Eliash, Jorge Marsino, Claudio Santander)",2008,ARQ,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-69962008000100004,10.4067/S0717-69962008000100004
29,"Videla A., Munoz G., Fernandez A.",Architectural Geometry and Morphing Patterns,2020,"Proceedings of the 40th Annual Conference of the Association for Computer Aided Design in Architecture: Distributed Proximities, ACADIA 2020",SCOPUS/UCH/VID,,
30,"Gallardo Frías, Laura; Figueroa Garavagno, Consuelo","The link between Contemporary Art Museums¿ visitors: MAC-Parque Forestal and MAC-Quinta Normal, Santiago de Chile",2022,REVISTA DE URBANISMO,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.5354/0717-5051.2022.66164,10.5354/0717-5051.2022.66164
31,"Frias, LG; Caravagno, CF; Jofre, MIT",Hacia el lugar del arte. Una herramienta para el análisis del vínculo visitante - obras arquitectónicas que contienen arte contemporáneo,2022,UNIVERSUM-REVISTA DE HUMANIDADES Y CIENCIAS SOCIALES,ESCI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/s0718-23762022000100067,10.4067/s0718-23762022000100067
32,"Gallardo-Frías L., Mairesse F.",THE PARADOX OF ACCESS: THE 21ST CENTURY MUSEUM CONFRONTED BY ITS SECURITY,2021,Spatium,SCOPUS/UCH/VID,http://dx.doi.org/10.2298/SPAT2146054G,10.2298/SPAT2146054G
33,"Frías L.G., Manzo P.R.",Vivir juntos: Acceso en 7 obras arquitectónicas de arte contemporáneo de París Living together: Access in 7 architectural works of contemporary art in Paris,2021,Modulo Arquitectura CUC,SCOPUS/UCH/VID,http://dx.doi.org/10.17981/mod.arq.cuc.27.1.2021.08,10.17981/mod.arq.cuc.27.1.2021.08
34,"Gallardo-Frias, L",Proposals to link the city and its inhabitants with the places of contemporary art,2021,ESTOA-REVISTA DE LA FACULTAD DE ARQUITECTURA Y URBANISMO DE LA UNIVERSIDAD DE CUENCA,ESCI/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18537/est.v010.n020.a08,10.18537/est.v010.n020.a08
35,Frías L.G.,The place of art. Reflections on concepts for architectural works aimed at contemporary art,2020,Anales del Instituto de Investigaciones Esteticas,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.22201/iie.18703062e.2020.116.2713,10.22201/iie.18703062e.2020.116.2713
36,"Frias, LG; Jofre, MIT",ETNOGRAPHY FOR ARCHITECTURAL PROJECTS: INCLUSION OF THE INHABITANT PERSPECTIVE,2020,ARQUITETURA REVISTA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.4013/arq.2020.162.02,10.4013/arq.2020.162.02
37,"Contardo, JI; Frias, LG; Espinoza, EC; Hott, AC","THE URBAN IMAGE REVISITED FROM THE IMAGINARY OF LATIN AMERICAN MIGRANTS. THE CASE OF MARURI STREET IN SANTIAGO, CHILE",2019,REVISTA 180,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.32995/rev180.Num-44.(2019).art-698,10.32995/rev180.Num-44.(2019).art-698
38,"Frias, LG; Jofre, MIT; Garavagno, CF; Bravo, JV; Huenupi, LP",Centro Nacional Arte Contemporaneo Cerrillos (CNACC): A transformation tool for Santiago de Chile,2019,REVISTA DE URBANISMO,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.5354/0717-5051.2018.52362,10.5354/0717-5051.2018.52362
39,"Frias, LG; Gilles, CT",FROM NOISE TO SILENCE IN THE ARCHITECTURAL RUINS OF THE ANDES: THE YESO WORKER-MILITARY EX-CAMP,2018,ATHENEA DIGITAL,ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.5565/rev/athenea.2063,10.5565/rev/athenea.2063
40,"Gilles, CT; Frias, LG; Ansaldo, SM; Mocarquer, RL; Illanes, VS",Architecture in silence. the value of the industrial ruin,2018,UNIVERSUM-REVISTA DE HUMANIDADES Y CIENCIAS SOCIALES,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0718-23762018000100281,10.4067/S0718-23762018000100281
41,"Frias, LG",Foreign Look at the Creative Process. The Place of Migrants from Architecture,2017,BRAC-BARCELONA RESEARCH ART CREATION,ESCI/UCH/VID,http://dx.doi.org/10.17583/brac.2017.1993,10.17583/brac.2017.1993
42,Frías L.G.,Totality In Architecture. Reflections on aesthetics and the coexistence of things with the place producing in us an experience of totality,2017,PENSAMIENTO,ISI/SCOPUS/UCH/VID,,
43,"Frias, LG",From Static to Ecstatic places places. From theory to architectural project.,2016,CONTEXTO-REVISTA DE LA FACULTAD DE ARQUITECTURA UNIVERSIDAD AUTONOMA DE NUEVO LEON,ESCI/UCH/VID,,
44,"Frias, LG",Daily reflection in the architectural project. Towards a link theory with practice and context,2015,REVISTA DE URBANISMO,ESCI/UCH/VID,http://dx.doi.org/10.5354/0717-5051.2015.37936,10.5354/0717-5051.2015.37936
45,"Frias, LG",Non-places and architecture: Reflections on the concept of Non-place for contemporary architecture,2015,ARQUITETURA REVISTA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.4013/arq.2015.112.05,10.4013/arq.2015.112.05
46,"Gallardo Frías, Laura",Seven points of analysis in the design process: Urban context in architectural project,2014,BITACORA URBANO TERRITORIAL,SCOPUS/UCH/VID,,
47,"Frias, LG",Place and architecture. Reflection on the essence of architecture through the notion of place,2013,ARQUITETURA REVISTA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.4013/arq.2013.92.09,10.4013/arq.2013.92.09
48,"Gallardo, L",CONTEMPORARY CITY: TERRITORY OF SPEED. REFLECTIONS ON MOVEMENT AND QUIETNESS,2013,REVISTA 180,ISI/SCOPUS/UCH/VID,,
49,"Frias, LG","INTERIOR-EXTERIOR RELATION, A REFLECTION ON ARCHITECTURE, PLACE, AND NON-PLACE",2011,REVISTA 180,SCOPUS/ISI/UCH/VID,,
50,de Cortázar Galleguillos G.G.,The Waiting Room A short history of a minor typology,2022,RITA-REVISTA INDEXADA DE TEXTOS ACADEMICOS,SCOPUS/UCH/VID,http://dx.doi.org/10.24192/2386-7027(2022)(v18)(14),10.24192/2386-7027(2022)(v18)(14)
51,"de Cortazar, GG",The Place of Theory,2017,MATERIA ARQUITECTURA,ESCI/UCH/VID,,
52,"de Cortazar, GG; Tunon, E",Emilio Tunon: About CIRCO,2017,MATERIA ARQUITECTURA,ESCI/UCH/VID,,
53,"de Cortazar, GG",The place of theory,2017,MATERIA ARQUITECTURA,ESCI/UCH/VID,,
