,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1170772,"De la indiferencia ala resiliencia frente al riesgo de desastres socio-naturales: (RE-) construyendo materialidades, comunidades e instituciones en el borde costero chileno",01/09/2016,01/09/2016,"C. Castro / J. Ortiz, M. Lukas",Departamento de Geografía,FONDECYT,Regular
1,1160783,Patrones de concentración espacial y especialización de los servicios intensivos en conocimiento (KIS): análisis - multiescala - en el contexto del sistema urbano chileno,01/06/2015,01/06/2015,"J. Ortiz / C. Castro, J. Yáñez",Departamento de Geografía,FONDECYT,Regular
2,1160859,Factores subyacentes de la construcción del riesgo y dominios de cambio para el incremento de la resiliencia en asentamientos humanos de la región de Los Lagos,01/06/2015,01/06/2015,"C. Castro / M. Lukas, J. Ortiz",Departamento de Geografía,FONDECYT,Regular
3,PIA-ANSOC14-003,Evaluación de Resiliencia en espacios de expansión inter-metropolitana en macro región central chilena: casos de La Serena- Coquimbo y Santiago- Valparaíso- Rancagua,01/08/2014,01/08/2014,"J. Ortiz / C. Castro, C. Arriagada, M. Tijoux",Departamento de Geografía,Programa de Investigación Asociativa,Concurso Anillos en Ciencias Sociales
4,1130208,"Efectos socio-espaciales, funcionales y territoriales de la fragmentación del espacio urbano en ciudades del norte, centro y sur del país: Antofagasta, Santiago y Puerto Montt",01/03/2013,01/03/2016,"J. Ortiz / C. Castro, Y. Contreras",Departamento de Geografía,FONDECYT,Regular
5,1130259,"Los riesgos como efectos no deseados del desarrollo: hacia la construcción de territorios seguros
",01/03/2013,01/03/2016,"C. Castro / M. Lukas, J. Ortiz",Departamento de Geografía,FONDECYT,Regular
6,15110026,Center Applied Research on Urban Resilience (CIARU),01/12/2011,01/12/2011,"J. Ortiz / M. Tijoux, M. Soto, C. Arriagada, C. Castro, W. Imilan, A. Texido, E. Aliste, Y. Contreras, B. Bustos, E. Barozet, M. Lukas, M. Fragkou",Departamento de Geografía,FONDAP,Programa FONDAP
7,1100212,Cambios espaciales en la sociogeografía urbana del gran Santiago: ¿Mito o Realidad?,01/03/2010,01/03/2013,J. Ortiz / C. Castro,Departamento de Geografía,FONDECYT,Regular
8,1100223,Nuevos escenarios de fragilidad ambiental asociados al aumento del riesgo y la degradación en ciudades intermedias de Chile,01/03/2010,01/03/2013,"C. Castro / J. Ortiz, M. Soto",Departamento de Geografía,FONDECYT,Regular
9,1090322,"Impactos socio-territoriales en áreas de fragilidad ambiental asociadas a economías de exportación: Zona costera de la ensenada de reloncaví y mar de Chiloé, Región De Los Lagos.",01/03/2009,01/03/2009,"M. Soto / J. Ortiz, C. Castro",Departamento de Geografía,FONDECYT,Regular
10,1071102,"Impacto de la globalización en el sistema urbano chileno: especialización productiva, cambios sociales y reestructuración espacial. Análisis de casos",01/03/2007,01/03/2010,"J. Ortiz / L. Cárdenas, C. Castro",Departamento de Geografía,FONDECYT,Regular
11,1071098,Vulnerabilidad y niveles de degradación del sistema morfoedafologico a las transformaciones productivas y expansión urbana. Análisis integrado y comparativo de cuencas,01/03/2007,01/03/2010,"C. Castro / J. Ortiz, M. Soto",Departamento de Geografía,FONDECYT,Regular
12,SP-4,"Domeyko Sociedad y Equidad: Política, pobreza y exclusión social",01/12/2007,01/12/2010,"M. Ruiz / J. Ortiz, H. Romero, R. Sepúlveda, R. Alvarado, M. Barba, J. Núñez, C. Castro, S. Pérez, J. Uribe, C. Arteaga, J. Larenas",Departamento de Psicología,Fondo Central de Investigación,Programa Domeyko
13,SOC 07/08-1,"Gobernanza y Planificación Urbana Comunal en Chile. Análisis de casos en las regiones de Valparaiso, Biobío y Santiago",01/03/2007,01/03/2007,"M. Contreras / E. Aliste, U. Cárcamo, J. Ortiz",Departamento de Geografía,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
14,7060029,Análisis espacio-temporal de los procesos de reestructuración socioespacial y de dispersión urbana del Gran Santiago en el marco de la Región Metropolitana (1992-2002),01/03/2006,01/03/2007,J. Ortiz,Departamento de Geografía,FONDECYT,Cooperación Internacional
15,MULT 05/27-2,Integración socioespacial y pobreza. Crisis y modelo de ciudad,01/12/2005,01/12/2005,"M. Contreras, J. Ortiz",Instituto de la Vivienda,Fondo Central de Investigación,CONCURSO MULTIDISCIPLINARIO EN TEMAS DE INTERES NACIONAL
16,1050726,Conformación de un modelo de unidades espaciales de respuesta a la aplicación de biosólidos en la Región Metropolitana,01/03/2005,01/03/2007,"C. Castro / J. Ortiz, M. Soto",Departamento de Geografía,FONDECYT,Regular
17,MULT 04/26-2,"Análisis de la evolución de la estructura socio-espacial de una ciudad chilena de rango medio, bajo nuevos modelos globalizados de urbanización residencial: El caso de La Serena, 1992-2002",01/12/2004,01/12/2004,"C. Castro, J. Ortiz",Departamento de Urbanismo,Fondo Central de Investigación,CONCURSO MULTIDISCIPLINARIO EN TEMAS DE INTERES NACIONAL
