,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Utrilla S.E., Véliz J.O., Mora R.M.",Spatial structure of residential mobility in the metropolitan region of santiago de (Chile). 2012-2017,2020,REVISTA DE GEOGRAFIA NORTE GRANDE,SCOPUS/SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0718-34022020000300313,10.4067/S0718-34022020000300313
1,"Mayorga Henao, José Mario; Ortiz Veliz, Jorge","Segregación e inequidad en el acceso a servicios de educación, cultura y recreación en Bogotá, Colombia",2020,Cuadernos de Geografia - Revista Colombiana de Geografia,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.15446/rcdg.v29n1.73395,10.15446/rcdg.v29n1.73395
2,"Escolano-Utrilla, S; Ortiz-Veliz, J; Moreno-Mora, R",Regionalization of residential interurban migrations in Chile in the period 1997-2002.,2020,CONFINS-REVUE FRANCO-BRESILIENNE DE GEOGRAPHIE-REVISTA FRANCO-BRASILEIRA DE GEOGRAFIA,ESCI/UCH/VID,http://dx.doi.org/10.4000/confins.27152,10.4000/confins.27152
3,"Utrilla, SE; Veliz, JO; Mora, RM","Dynamics and structure of interurban residential migrations in Chile, 1987-2002",2018,REVISTA INVI,SCIELO-Chile/SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0718-83582018000300105,10.4067/S0718-83582018000300105
4,"Castro, CP; Ibarra, I; Lukas, M; Ortiz, J; Sarmiento, JP",Disaster risk construction in the progressive consolidation of informal settlements: Iquique and Puerto Montt (Chile) case studies,2015,INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.ijdrr.2015.05.001,10.1016/j.ijdrr.2015.05.001
5,"Utrilla, SE; Veliz, JO; Mora, RM",THE STRUCTURE OF THE NUCLEI OF EMPLOYMENT OF THE METROPOLITAN REGION OF SANTIAGO (CHILE): FUNCTIONAL AND SPATIAL CENTRALIZATION,2015,BOLETIN DE LA ASOCIACION DE GEOGRAFOS ESPANOLES,ISI/UCH/VID,,
6,"Utrilla, SE; Veliz, JO; Mora, RM",THE STRUCTURE OF EMPLOYMENT CENTRES IN THE METROPOLITAN REGION OF SANTIAGO (CHILE): SPACIAL AND FUNCIONAL CENTRALIZATION,2015,BOLETIN DE LA ASOCIACION DE GEOGRAFOS ESPANOLES,ISI/SCOPUS/UCH/VID,,
7,"Ortiz, J;Escolano, S",Residential mobility of the high-income bracket in Greater Santiago (Chile): towards an increasing complexity of the socio-spatial patterns of segregation,2013,EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0250-71612013000300004,10.4067/S0250-71612013000300004
8,"Utrilla, SE ; Veliz, JO",Development of wine growing and production services in Copiapo Valley (Chile) in a world economic context,2010,REVISTA DE GEOGRAFIA NORTE GRANDE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,,
9,Utrilla S.E; Veliz J.O; Mora R.M.,Globalization and recent functional changes in the cities of Chile urban system,2007,CUADERNOS GEOGRAFICOS,SCOPUS/UCH/VID,,
10,Escolano S; Ortiz J.,The reorganization of the functional model of Greater Santiago: The formation of a multi-centric model of commercial activity,2005,REVISTA DE GEOGRAFIA NORTE GRANDE,SCOPUS/UCH/VID,,
11,"Escolano, Severino; Ortiz Véliz, Jorge","Changes of the urban configuration and ""spatial syntax"" in intermediate cities: The case of La Serena (Chile)",2004,ESTUDIOS GEOGRAFICOS,SCOPUS/UCH/VID,,
12,"Ortiz, J;Morales, S",Socio-spatial impact of intra-urban migrations in central entities and new outskirts in Great Santiago,2002,EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0250-71612002008500009,10.4067/S0250-71612002008500009
13,"Rossel, D",Impact v / s potential: Brief comparison of technological processes in transition periods,2016,MATERIA ARQUITECTURA,ESCI/UCH/VID,,
