,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,UR-11-XIII,Red Interdisciplinaria de I+D en Cine e imagen 3D,01/11/2011,01/11/2012,"V. Fajnzylber / F. del Villar, J. Ruiz del Solar, W. Astudillo, C. Basáez",Carrera de Cine y Televisión,Fondo Central de Investigación,Programa U-Redes: Línea 2 incentivo a la Consolidación de Red; Domeyko II
1,1191500,Eventos climáticos extremos en Chile Mediterráneo y sus impactos territoriales desde una perspectiva de geoamenazas,01/08/2018,01/08/2018,"P. Sarricolea / P. Smith, M. Soto, C. Escobedo",Departamento de Geografía,FONDECYT,Regular
2,651321,Libro Testigo de Hielo,01/03/2023,01/03/2024,D. Reyes,Escuela de Pregrado Unificada,Fondos de Cultura,Fondart Regional
3,626057,Extraña Dignidad,01/03/2022,01/03/2023,D. Reyes,Escuela de Pregrado Unificada,Fondos de Cultura,Fondart Nacional
4,574919,Programa Radial Cristales de Masa,01/01/2021,01/01/2022,D. Reyes,Escuela de Pregrado Unificada,Fondos de Cultura,Fondart Nacional
5,1190846,Assessing the Consequences of Agriculture Practices on Native Bees Conservation: Land Use and Pesticide Effects,01/08/2018,01/08/2018,"R. Scherson, G. Sandoval",UMCE,FONDECYT,Regular
6,1231032,Cortar y pegar fuentes en el periodismo escrito en Chile. Una historia mediática y cultural de la repetitividad (1976-2019),01/03/2023,01/03/2026,H. Stange,Universidad De Santiago,FONDECYT,Regular
7,1221679,Cortar y pegar fuentes en el periodismo escrito en Chile. Una historia mediática y cultural de la repetitividad (1976-2016),01/09/2021,01/09/2021,H. Stange,Universidad De Santiago,FONDECYT,Regular
8,1210995,"""Copiar/Pegar"". Análisis histórico del uso de las fuentes en el periodismo escrito en Chile, 1976-2016",01/08/2020,01/08/2020,H. Stange,Universidad De Santiago,FONDECYT,Regular
9,1210153,"La construcción del pasado en el documental Audiovisual Chileno, 1970-2020",01/03/2021,01/03/2024,C. Salinas / H. Stange,Departamento de Investigaciones Mediáticas y de la Comunicación,FONDECYT,Regular
10,1200582,"La construcción del pasado en el documental audiovisual chileno, 1970-2020",01/08/2019,01/08/2019,C. Salinas / H. Stange,Departamento de Investigaciones Mediáticas y de la Comunicación,FONDECYT,Regular
11,506701,"Estrategias de verosimilitud histórica en el documental chileno, 1960-2018",01/03/2019,01/03/2020,H. Stange,Departamento de Investigaciones Mediáticas y de la Comunicación,Fondos de Cultura,Fondo Audiovisual
12,1190159,Configuraciones sociohistóricas del trabajo periodístico en Chile (1975-2015),01/07/2018,01/07/2018,"C. Salinas / C. Lagos, H. Stange",Centro de Estudios de la Comunicación,FONDECYT,Regular
13,1181702,El oficio de la repetición. Una historia del trabajo periodístico en el Chile neoliberal (1975-2015),01/07/2017,01/07/2017,"C. Salinas / C. Lagos, H. Stange",Centro de Estudios de la Comunicación,FONDECYT,Regular
14,1160180,La historia de Chile en el cine de ficción nacional,01/04/2016,01/04/2019,"E. Santa Cruz / H. Stange, C. Salinas",Centro de Estudios de la Comunicación,FONDECYT,Regular
15,212977,Representaciones de la historia en las ficciones tevisivas chilenas,01/01/2016,01/01/2017,H. Stange,Departamento de Investigaciones Mediáticas y de la Comunicación,Fondos de Cultura,Fondo Audiovisual
16,PLU150010,Rutinas profesionales y pluralismo. Un estudio sobre las condiciones de producción informativa en la prensa nacional y la prensa de la zona norte,01/12/2015,01/09/2016,"H. Stange / E. Santa Cruz, C. Salinas",Departamento de Investigaciones Mediáticas y de la Comunicación,Programa Información Científica,Pluralismo en el sistema informativo nacional
17,INNOV-1-5,La historia en el cine chileno de ficción,01/01/2014,01/07/2015,"C. Salinas / L. Horta, E. Santa Cruz, H. Stange",Centro de Estudios de la Comunicación,Iniciativa Bicentenario Juan Gómez Millas,Fondo de innovación en investigación disciplinaria
18,INNOV-1-7,Arritmias:  Reflexiones y bocetos para encarar el tiempo en la cinematografía contemporánea,01/01/2014,01/07/2015,"L. Brossi, H. Stange",Carrera de Cine y Televisión,Iniciativa Bicentenario Juan Gómez Millas,Fondo de innovación en investigación disciplinaria
19,CSSOC-2012-409,"La enseñanza del cine en la educación superior chilena, 1990-2012",01/09/2012,01/09/2012,H. Stange / C. Salinas,Departamento de Investigaciones Mediáticas y de la Comunicación,Fondo Central de Investigación,"U-APOYA: CS SOCIALES, HUMANIDADES, ARTES Y EDUCACIÓN"
20,20126-K,"Modelos de crítica de cine en Chile 
",01/03/2011,01/03/2012,H. Stange,Departamento de Investigaciones Mediáticas y de la Comunicación,Fondos de Cultura,Fondo Audiovisual
21,SP-3,Domeyko Sociedad y Equidad: Sujetos y actores sociales,01/11/2007,01/11/2010,"E. Oyarzún / S. Montecino, M. López, N. Yáñez, J. González, M. Villegas, R. Asun, G. Aranda, C. Zúñiga, C. Salinas, H. Stange",Departamento de Literatura,Fondo Central de Investigación,Programa Domeyko
22,SOC 07/05-2,Rutinas Profesionales en la producción de informaciones de prensa 1975-1995,01/11/2007,01/11/2009,H. Stange / C. Salinas,Departamento de Investigaciones Mediáticas y de la Comunicación,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
