,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1211726,"La relación muralismo, arquitectura moderna y desarrollo industrial como expresión del arte y la técnica en Chile (1929-1973)",01/08/2020,01/08/2020,R. Vera / M. Aguirre,Instituto de Historia y Patrimonio,FONDECYT,Regular
1,1201416,"Comprensión histórica de la arquitectura en la publicidad: la casa, los artefactos domésticos, el barrio y la vida familiar en los avisos comerciales de los medios impresos de Chile (1880-1960)",01/08/2019,01/08/2019,"M. Aguirre, M. Montealegre",Otras Instituciones,FONDECYT,Regular
2,1170987,La arquitectura en Chile de la segunda mitad del siglo XX. una comprensión desde revistas seleccionadas 1942-1981,01/09/2016,01/09/2016,"M. Aguirre / M. Ferrada, A. Quilodrán",Instituto de Historia y Patrimonio,FONDECYT,Regular
3,114-206,LA ARQUITECTURA EN CHILE A TRAVÉS DE LAS REVISTAS ESPECIALIZADAS 1942-1981,01/03/2014,01/03/2014,M. Aguirre,Instituto de Historia y Patrimonio,FONDECYT,Regular
4,1100219,Arquitectura patrimonial de las comunas pericentrales de Santiago en la segunda mitad del siglo XX,01/03/2010,01/03/2010,E. Sahady / M. Aguirre,Instituto de Historia y Patrimonio,FONDECYT,Regular
5,1090146,Expresiones de la arquitectura del siglo XX en Santiago de Chile: Un patrimonio en procura de reconocimiento.,01/03/2009,01/03/2009,"E. Sahady / M. Aguirre, F. Gallardo, A. Araya",Departamento de Arquitectura,FONDECYT,Regular
6,1180293,"Las transformaciones de la imagen religiosa y su forma de estar en el espacio durante los siglos XVIII y XIX en Chile. Tensiones entre política eclesiástica, ideas ilustradas, discursos republicanos y recepción local",01/03/2018,01/03/2022,L. Berg,UAI. Esc. de Negocios,FONDECYT,Regular
7,83056,"Recuperando memoria y materia: proyecto conclusión Monumento a Pedro Aguirre Cerda, de Lorenzo Berg",01/03/2015,01/03/2016,L. Berg,Instituto de Historia y Patrimonio,Fondos de Cultura,Fondart Regional
8,1120306,"Imaginarios del desarrollo y presentaciones espaciales en el Gran Concepción: giros de la planificación urbana, post-desarrollo y elementos para una hermenéutica de (los) territorios(s)",01/03/2012,01/03/2015,E. Aliste / L. Berg,Departamento de Geografía,FONDECYT,Regular
9,1110727,Rastreo de las formas arquitectónicas como proceso de creación cultural: el saber hacer de Chiloé,01/03/2011,01/03/2011,L. Berg / E. Sahady,Universidad De los Lagos,FONDECYT,Regular
10,1211645,"La ciudad informal. Asentamientos populares y especulación con el suelo en la periferia de Santiago, 1910-1970",01/08/2020,01/08/2020,"E. Giannotti / R. Booth, A. Quilodrán",Departamento de Urbanismo,FONDECYT,Regular
11,1211999,"La chilenización paisajística del Wallmapu/Araucanía: arte, ciencia y técnica en la colonización visual del sur de Chile, 1830-1930",01/03/2021,01/03/2025,R. Booth,Departamento de Arquitectura,FONDECYT,Regular
12,SOC180004,The state colonization of knowledge. The role of expertise in Chile,01/07/2018,01/07/2018,C. Sanhueza / R. Booth,Departamento de Ciencias Históricas,Programa de Investigación Asociativa,Concurso Anillos en Ciencias Sociales
13,3180471,"La ciudad inflamable. Arquitectura, urbanismo e infraestructura contra-incendios en Valparaíso. 1843-1931",01/03/2018,01/03/2021,R. Booth,Departamento de Arquitectura,FONDECYT,Postdoctorado
14,3170551,Paisaje en metamorfosis. El lugar del volcán en la cultura visual de las artes y las ciencias en Chile. De las primeras ascensiones de volcanes a la observación aérea de erupciones,01/04/2017,01/04/2019,R. Booth,Departamento de Arquitectura,FONDECYT,Postdoctorado
15,3160025,La ciudad a través del fuego. Una historia comparativa de los incendios urbanos en Santiago de Chile y Bogotá (1863-1985),01/06/2015,01/06/2015,R. Booth,Departamento de Arquitectura,FONDECYT,Postdoctorado
16,3160146,"Lo bello o lo útil: controversias disciplinares en torno a la arquitectura en Chile, 1849-1920",01/11/2015,01/11/2018,A. Peliowski / R. Booth,Facutad De Cs. Silvoagropecuarias,FONDECYT,Postdoctorado
17,1150308,Santiago 1850: la capital antes de su modernización. La mirada urbana de la expedición naval astronómica de James Melville Gilliss,01/03/2015,01/03/2018,R. Booth,Escuela de Arquitectura,FONDECYT,Regular
18,1151372,"""Lo bueno es eterno"". Una historia cultural de la irrupción del hormigón armado y su impacto en la arquitectura y la ingeniería en Chile, 1891-1939",01/03/2015,01/03/2018,R. Booth,Departamento de Arquitectura,FONDECYT,Regular
19,3140500,Naturaleza y ciudad en la construcción de un espacio público metropolitano: el río Mapocho y sus riberas en Santiago de Chile (1928-1992),01/11/2013,01/11/2013,R. Booth,Departamento de Arquitectura,FONDECYT,Postdoctorado
20,11110488,El transporte urbano y la contaminación ambiental. Un estudio histórico de controversias socio-técnicas en Santiago de Chile (1902-1947),01/10/2011,01/10/2014,R. Booth,Departamento de Arquitectura,FONDECYT,Iniciación en Investigación
21,U-INICIA 11/13,De la selva araucana a la Suiza chilena. Una historia cultural del paisaje del sur de Chile (1845-1947),01/10/2011,01/10/2013,R. Booth,Departamento de Arquitectura,Fondo Central de Investigación,U-INICIA
22,36703,Retrato Patrimonial Melipillano. Registrando el acervo cultural por medio de la participación comunitaria,01/03/2022,01/03/2023,J. Bravo,Instituto de Historia y Patrimonio,Fondos de Cultura,Fondo del Patrimonio Cultural
23,1210978,Urban interpellation: the barrio as an urban response to the challenge of segregation in crisis scenarios. Assessment and applied learnings from social housing projects in intermediate Chilean cities,01/08/2020,01/08/2020,"B. Maturana / J. Bravo, M. Valenzuela",Instituto de Historia y Patrimonio,FONDECYT,Regular
24,1200401,"Sustentabilidad temprana y Derecho Urbano en los primeros proyectos de planificación intercomunal por el Estado de Chile (1960-1965): un aporte inexplorado de la práctica del urbanismo metropolitano en Santiago, Concepción y Valparaíso",01/08/2019,01/08/2019,"N. Escudero / L. Cordero, J. Bravo",Departamento de Urbanismo,FONDECYT,Regular
25,1201427,"Urban interpellation: the ""barrio"" as an urban response to the challenge of segregation. Assessment and applied learnings from social housing projects in intermediate Chilean cities",01/08/2019,01/08/2019,"B. Maturana / J. Bravo, M. Valenzuela",Instituto de Historia y Patrimonio,FONDECYT,Regular
