,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Berg, L; Aguirre, M; Sahady, A; Moran, P",Turning points in the formation of a discourse of inclusiveness in the context of Chilean Architecture: 1960 - 2016,2019,REVISTA DE URBANISMO,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.5354/0717-5051.2019.52368,10.5354/0717-5051.2019.52368
1,"Aguirre González, Max",La vivienda: crónica de una pobreza anunciada,2014,REVISTA INVI,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-83582014000300001,10.4067/S0718-83582014000300001
2,"Guzmán F., Berg L., Martínez J.M., Vyhmeister K.","TRANSFORMATION OF THE RELIGIOUS ARTISTIC EXPRESSIONS IN SANTIAGO DE CHILE, SECOND HALF OF THE NINETEENTH CENTURY",2022,Intus-Legere Historia,SCOPUS/UCH/VID,http://dx.doi.org/10.15691/%25x,10.15691/%25x
3,"Guzman, F; Berg, L; Capitelli, G; Cracolici, S; Pallottino, E; Vyhmeister, K",ROME AND THE RENOVATION OF THE SACRED IMAGE AND SPACE IN CHILE DURING THE NINETEENTH CENTURY,2021,HISTORIA-SANTIAGO,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-71942021000200585,10.4067/S0717-71942021000200585
4,"Guzman, F; Berg, L; Moreno, R","Missionary Practices and the Articulation of Sacred Space and Sacred Images in the Chiloe Archipelago, 17th-19th centuries",2021,BOLETIN AMERICANISTA,ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.1344/BA2020.80.1006,10.1344/BA2020.80.1006
5,"Berg, L; Aguirre, M; Sahady, A; Moran, P",Turning points in the formation of a discourse of inclusiveness in the context of Chilean Architecture: 1960 - 2016,2019,REVISTA DE URBANISMO,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.5354/0717-5051.2019.52368,10.5354/0717-5051.2019.52368
6,"Berg Costa, Lorenzo; Cherubini Zanetel, Gian",Contributions of italian franciscan missionaries to the architectonic typology of chiloe churches' towers-façades,2014,AUS,SCOPUS/UCH/VID,,
7,"Booth, Rodrigo","Graciela Silvestri, Las tierras desubicadas. Paisajes y culturas en la Sudamérica fluvial,",2022,Prismas,SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.48160/18520499prismas26.1330,10.48160/18520499prismas26.1330
8,"Oyarzun, FP; Pinochet, RB; Zaldivar, CV; Lozano, YM",CEMENTING THE CENTENARY: REINFORCED CONCRETE IN THREE BUILDINGS IN SANTIAGO CHILE AT THE EARLY 20TH CENTURY,2021,ATENEA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.29393/at523-409fpcc40409,10.29393/at523-409fpcc40409
9,"Valdes, C; Peliowski, A; Boothi, R; Montalban, M",NATURALISTIC SCOPES OF AN ASTRONOMICAL EXPEDITION: JAMES MELVILLE GILLISS AND THE INSTITUTIONALIZATION OF SCIENCE IN CHILE (1849-1852),2019,HISTORIA-SANTIAGO,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-71942019000200547,10.4067/S0717-71942019000200547
10,"Booth, R","NATURAL SUBLIME, TECHNOLOGICAL SUBLIME Debates around the appreciation of Pilmaiquen river's nature, Chile (1920-1945)",2019,ARQ,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0717-69962019000300138,10.4067/S0717-69962019000300138
11,"Booth, R","FROM CAMINO PLANOTO AVENIDA ESPANA.TECHNO-POLITICAL DEBATES AND PUBLIC INFRASTRUCTURES IN THE CONFORMATION OF GREAT VALPARAISO, 1906-1930",2019,HISTORIA 396,ESCI/SCOPUS/UCH/VID,,
12,"Singh, DZ; Errazuriz, T; Booth, R; Piglia, M",Thinking about Mobilities as Cultural Encounters A Conversation with Guillermo Giucci,2016,MOBILITY IN HISTORY,ESCI/UCH/VID,http://dx.doi.org/10.3167/mih.2016.070104,10.3167/mih.2016.070104
13,"Booth, R","Cars, routes and tourism: the Argentinian automobile Club and the state",2015,TRANSFERS-INTERDISCIPLINARY JOURNAL OF MOBILITY STUDIES,ESCI/UCH/VID,,
14,"Booth, R","TOURISM, PANAERICANISM AND CIVIL ENGINEERING. THE CONSTRUCTION OF THE SCENIC ROUTES BETWEEN VINA DEL MAR AND CONCON (1917-1931)",2014,HISTORIA-SANTIAGO,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-71942014000200001,10.4067/S0717-71942014000200001
15,"Booth, R",PUBLIC HYGIENE AND URBAN MOBILITY IN THE SANTIAGO OF 1900,2013,ARQ,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-69962013000300009,10.4067/S0717-69962013000300009
16,"Booth, R;Lavin, C",A HOTEL TO CONTAIN THE SOUTH,2013,ARQ,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-69962013000100009,10.4067/S0717-69962013000100009
17,"Meseguer, EG; Sanchez, JMB; Bernabe-Crespo, MB; Espin, JMG",RESOURCE AND SIGNS OF IDENTITY OF THE RICOTE VALLEY (REGION OF MURCIA-SPAIN),2020,GRAN TOUR,ESCI/UCH/VID,,
18,"Vila-Vilariño P., Bravo J.M.",Typology and evolution of the industrial heritage of watermills in south-center Chile,2020,AUS,SCOPUS/UCH/VID,http://dx.doi.org/10.4206/aus.2020.n28-10,10.4206/aus.2020.n28-10
19,"Maturana, B; McInneny, A; Bravo, M",URBAN TRANSFORMATIONS IN THE CULTURE OF SANTIAGO'S BARRIOS,2019,OPEN HOUSE INTERNATIONAL,ISI/SCOPUS/UCH/VID,,
20,"Bravo-Sanchez, JM; Naranjo-Ramirez, GD; Hidalgo-Carraco, RA","The Water Policy of Chile: a historical, legal and administrative radiography of water management in the hands of the neoliberal market",2019,AGUA Y TERRITORIO,ESCI/UCH/VID,http://dx.doi.org/10.17561/at.13.3710,10.17561/at.13.3710
21,"Soto, BP; Sanchez, JMB; Santander, RD",THE IMPORTANCE OF NEON SIGNS IN SANTIAGO'S NOCTURNAL IMAGINARY,2018,URBANO,ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.22320/07183607.2018.21.38.05,10.22320/07183607.2018.21.38.05
