,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1240237,Muralismo barrial: recomponer territorios y regenerar tejido social a través del arte,01/07/2023,01/07/2023,"L. Campos / F. Corvalán, M. Bustos",Instituto de la Vivienda,FONDECYT,Regular
1,1241991,Intervenciones urbanas y el desafío de la integralidad: Innovando en la gobernanza y la gestión del territorio en Chile,01/07/2023,01/07/2023,"M. Bustos / M. Lukas, R. Caimanque",Departamento de Urbanismo,FONDECYT,Regular
2,1231778,"Impactos y condiciones de geoamenazas en bahías estructurales de los Andes costeros: dinámica témporo-espacial de territorios en escenario de cambio natural y antrópico, en la costa norte de Valdivia, Región de Los Ríos",01/08/2022,01/08/2022,"M. Soto / J. Arriagada, M. Bustos",Departamento de Geografía,FONDECYT,Regular
3,1231915,Planes urbanos y el desafío de la integralidad. Nuevas herramientas para la gestión urbana del territorio en Chile,01/08/2022,01/08/2022,"M. Bustos / R. Caimanque, M. Lukas",Instituto de la Vivienda,FONDECYT,Regular
4,1221515,"Dinámicas témporo-espaciales de bahías estructurales de los Andes costeros, su inclusión como recursos territoriales en escenarios de cambio natural y antrópico: impactos y condiciones de geoamenazas a escala local. Costa norte de Valdivia, Los Ríos",01/09/2021,01/09/2021,"M. Soto / J. Arriagada, M. Bustos",Departamento de Geografía,FONDECYT,Regular
5,574934,Viviendapublica.cl,01/01/2021,01/01/2022,M. Bustos,Escuela de Postgrado,Fondos de Cultura,Fondart Nacional
6,COVID0206,"""COVID-GOB:GOBERNANZA COMUNAL Y SU ROL EN LA RESPUESTA Y RECUPERACIÓN RESILIENTE DEL TERRITORIO""
",01/06/2020,01/06/2021,M. Bustos,Instituto de la Vivienda,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
7,1191503,"Trayectoria, evolución y configuración de la regeneración urbana en Chile. Del higenismo a la equidad territorial",01/08/2018,01/08/2018,M. Bustos / L. Campos,Instituto de la Vivienda,FONDECYT,Regular
8,UI-015/17,Regeneración Urbano-Habitacional y Políticas Públicas en Chile: del Déficit Cuantitativo al Déficit Cualitativo,01/08/2017,01/08/2017,M. Bustos,Instituto de la Vivienda,Fondo Central de Investigación,U-INICIA
9,1240237,Muralismo barrial: recomponer territorios y regenerar tejido social a través del arte,01/07/2023,01/07/2023,"L. Campos / F. Corvalán, M. Bustos",Instituto de la Vivienda,FONDECYT,Regular
10,3230042,Nuevas formas del habitar precario. El estigma residencial como dispositivo afectivo,01/03/2023,01/03/2026,L. Campos,Instituto de la Vivienda,FONDECYT,Postdoctorado
11,1210575,"Procesos reproductivos y experiencias parentales de personas con discapacidad en Chile: discriminación, adaptación y resistencia",01/03/2021,01/03/2025,L. Campos,UDP. Universidad Diego Portales,FONDECYT,Regular
12,1210677,"Etnografías de la desposesión urbana en el Chile actual. Sujetos, territorios, resistencias",01/03/2021,01/03/2024,L. Campos,Instituto de la Vivienda,FONDECYT,Regular
13,1201401,"Etnografías de la desposesión urbana en el Chile actual. Sujetos, territorios, resistencias",01/08/2019,01/08/2019,L. Campos / R. Silva,Instituto de la Vivienda,FONDECYT,Regular
14,1191503,"Trayectoria, evolución y configuración de la regeneración urbana en Chile. Del higenismo a la equidad territorial",01/08/2018,01/08/2018,M. Bustos / L. Campos,Instituto de la Vivienda,FONDECYT,Regular
15,1190837,"Etnografías de la desposesión urbana en el Chile actual. Sujetos, cuerpos y territorios",01/08/2018,01/08/2018,"L. Campos / R. Silva, N. Angelcos",Instituto de la Vivienda,FONDECYT,Regular
16,ENL20/19,"Etnografías de la desposesión urbana en el Chile actual. Sujetos, cuerpos y territorios",01/06/2019,01/06/2020,L. Campos,Instituto de la Vivienda,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
17,1190834,"Más allá del paradigma de la víctima: genealogías de dispositivos de performación de sujetos de la violencia política. Chile, 1973-2018",01/04/2019,01/04/2022,L. Campos,UAH. Depto. de Economía y Administración,FONDECYT,Regular
