,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,490846,Teselas,01/03/2019,01/03/2020,V. Alegría,Departamento de Artes Visuales,Fondos de Cultura,Fondo del Libro y la Lectura
1,42324,Ensenada,01/01/2014,01/12/2014,V. Alegría,Departamento de Artes Visuales,Fondos de Cultura,Fondo del Libro y la Lectura
2,AV98-004,El acto fotográfico como cliché pictórico,01/12/1998,01/12/1998,V. Alegría,Departamento de Artes Visuales,Fondo Central de Investigación,CREACION ARTISTICA DID
3,224636,"Creación de la obra Julia toro, El Nuevo Viaje",01/01/2016,01/01/2017,F. Brugnoli,Museo de Arte Contemporáneo,Fondos de Cultura,Fondart Regional
4,220100,"Proyecto curatorial y de creación: Julia toro, el nuevo viaje",01/03/2016,01/03/2017,F. Brugnoli,Departamento de Artes Visuales,Fondos de Cultura,Fondart Nacional
5,12989-5,"Arte experimental chileno, patrimonio de las décadas 70 y 80 en la colección del mac
",01/03/2010,01/03/2011,F. Brugnoli,Departamento de Artes Visuales,Fondos de Cultura,Fondart Nacional
6,36357,Alegoría barroca en el arte contemporáneo: dos miradas en el Museo de Arte Contemporáneo,01/12/2006,01/12/2007,F. Brugnoli,Departamento de Artes Visuales,FONDART,Artes Visuales
7,CA10/2021,"VENTRILOQUÍA, investigación en torno al sonido de la cerámica",01/05/2022,01/05/2023,J. Cabieses,Departamento de Artes Visuales,Fondo Central de Investigación,CREACION ARTISTICA DID
8,3220850,"Investigación en torno a los alcances culturales y artísticos a través de Blockchain y Holochain. Prospecciones sobre los cambios en las instituciones simbólicas: colaboratividad, descentralización, propiedad intelectual, criptoarte y mercado",01/10/2021,01/10/2021,A. Cariceo,Departamento de Artes Visuales,FONDECYT,Postdoctorado
9,UCREAC-2011-4323,Chilean fractured tales,01/12/2011,01/12/2012,A. Cariceo,Departamento de Artes Visuales,Fondo Central de Investigación,U-APOYA LINEA 4 : CREACIÓN ARTÍSTICA
10,CA 09/06,Historia sentimental de la experimentación artística,01/03/2009,01/03/2009,A. Cariceo,Departamento de Artes Visuales,Fondo Central de Investigación,CREACION ARTISTICA DID
11,CA06/12,Gabinete de las artes: Sección Ciencias y Tecnología,01/07/2006,01/07/2007,A. Cariceo,Departamento de Artes Visuales,Fondo Central de Investigación,CREACION ARTISTICA DID
12,CA06/22,La casa,01/07/2023,01/07/2024,M. Cornejos,Departamento de Artes Visuales,Fondo Central de Investigación,CREACION ARTISTICA DID
13,CREA-2-3,Núcleo de creación e investigación de arte y espacio público,01/03/2014,01/06/2015,"F. Sanfuentes / C. Ossa, R. Krause, M. Cornejos, R. Zúñiga",Departamento de Artes Visuales,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
14,CSSOC-2012-399,Re-valorización del lugar sobre el no-lugar en los espacios barriales de Santiago de Chile.,01/09/2012,01/09/2012,"L. Gallardo / S. Rojas, R. Sepúlveda, M. Cornejos, J. Vielma",Departamento de Arquitectura,Fondo Central de Investigación,"U-APOYA: CS SOCIALES, HUMANIDADES, ARTES Y EDUCACIÓN"
15,UCREAC-2011-4490,Estudios sobre el silencio,01/12/2011,01/12/2011,M. Cornejos,Departamento de Artes Visuales,Fondo Central de Investigación,U-APOYA LINEA 4 : CREACIÓN ARTÍSTICA
16,9024-7,"Magíster en proyecto urbano, universidad católica de Chile
",01/03/2010,01/03/2011,M. Cornejos,Departamento de Artes Visuales,Fondos de Cultura,Fondart Nacional
17,613769,JARDINES ESPECULATIVOS. Relaciones multiespecies entre el museo y la escuela,01/03/2022,01/03/2023,D. Cruz,Departamento de Artes Visuales,Fondos de Cultura,Fondo Nacional de Fomento y Desarrollo de las Artes Escénicas
18,622755,Cápsulas Audiovisuales MAC: Fortalecimiento de estrategias comunicacionales para la difusión de exhibiciones y artistas,01/03/2022,01/03/2023,D. Cruz,Departamento de Artes Visuales,Fondos de Cultura,Fondart Nacional
19,449763,"Geometría de la observación, FinalStage",01/12/2017,01/12/2018,D. Cruz,Departamento de Artes Visuales,Fondos de Cultura,Fondart Nacional
20,INTERD-5-2,Cero en conducta,01/01/2016,01/09/2016,"I. Agüero / E. Águila, L. Miranda, D. Cruz",Dirección de Pregrado,Iniciativa Bicentenario Juan Gómez Millas,Fondo de investigación
21,INNOV-1-3,Objeto tecnológico en el arte contemporáneo/Lenguajes combinados y procesos creativos,01/01/2014,01/07/2015,D. Cruz / R. Krause,Departamento de Artes Visuales,Iniciativa Bicentenario Juan Gómez Millas,Fondo de innovación en investigación disciplinaria
22,U-CREA-2014-73536,Imagen Intermedia,01/07/2014,01/07/2015,D. Cruz,Departamento de Artes Visuales,Fondo Central de Investigación,Fondo de Creación Artística
23,UCREAC-2011-3549,"Imagen Latente, Hacking Numbers",01/12/2011,01/12/2011,D. Cruz,Departamento de Artes Visuales,Fondo Central de Investigación,U-APOYA LINEA 4 : CREACIÓN ARTÍSTICA
24,13623-9,"Telematica paisaje
",01/03/2010,01/03/2011,D. Cruz,Departamento de Artes Visuales,Fondos de Cultura,Fondart Regional
25,CA 09/01,IU. Cinemática Interfaces,01/03/2009,01/03/2009,D. Cruz,Departamento de Artes Visuales,Fondo Central de Investigación,CREACION ARTISTICA DID
26,CA06/09,"Instalación Perfogame, Interfaz Cromática",01/07/2006,01/07/2007,D. Cruz,Departamento de Artes Visuales,Fondo Central de Investigación,CREACION ARTISTICA DID
27,663599,Lo que nos queda por hablar. Una exposición colectiva en torno a la memoria,01/03/2023,01/03/2024,A. Cura,Departamento de Artes Visuales,Fondos de Cultura,Fondart Regional
28,UCREAC-2011-3544,El Inglés sin Esfuerzo,01/12/2011,01/12/2012,C. Donoso,Departamento de Artes Visuales,Fondo Central de Investigación,U-APOYA LINEA 4 : CREACIÓN ARTÍSTICA
29,CA06/03,El nacimiento de la Burocracia,01/03/2006,01/03/2006,C. Donoso,Departamento de Artes Visuales,Fondo Central de Investigación,CREACION ARTISTICA DID
30,CA:AV00-06,Letra chica,01/03/2000,01/03/2001,C. Donoso,Departamento de Artes Visuales,Fondo Central de Investigación,CREACION ARTISTICA DID
31,AV98-003,Talla única,01/12/1998,01/12/1998,C. Donoso,Departamento de Artes Visuales,Fondo Central de Investigación,CREACION ARTISTICA DID
32,INTERD-3-1,Sistema educativo: procesos de legitimación y deslegitimación de la sociedad de mercado en Chile,01/12/2015,01/06/2017,"M. Monckeberg / R. Atria, J. Labrín, O. Avendaño, J. Díaz",Dirección de Pregrado,Iniciativa Bicentenario Juan Gómez Millas,Fondo de investigación
33,UCH0709,Validación de un modelo para la evaluación de procesos estratégico-institucionales a través de evaluación del impacto de los proyectos MECESUP asociados a la Reforma del Pregrado de la Universidad de Chile,01/11/2008,01/07/2010,J. Díaz,Consejo de Evaluación,MECESUP,MECESUP
34,CA:AV00-10,Translatio (video-instalación),01/03/2000,01/03/2001,J. Díaz,Departamento de Artes Visuales,Fondo Central de Investigación,CREACION ARTISTICA DID
35,AV98-007,Deseo del objeto,01/12/1998,01/12/1998,J. Díaz,Departamento de Artes Visuales,Fondo Central de Investigación,CREACION ARTISTICA DID
36,85492,El sitio,01/03/2015,01/03/2016,P. Ferrer,Departamento de Artes Visuales,Fondos de Cultura,Fondart Nacional
37,CA 09/02,Grafismos: Cuerpo v/s Cuerpo,01/03/2009,01/03/2009,J. Gaete,Departamento de Artes Visuales,Fondo Central de Investigación,CREACION ARTISTICA DID
38,CA07/09_2007,¿El ángel caído?,01/10/2007,01/10/2008,J. Gaete,Departamento de Artes Visuales,Fondo Central de Investigación,CREACION ARTISTICA DID
39,CA 05/06,Autorretratos de Influencias,01/10/2005,01/10/2006,J. Gaete,Departamento de Artes Visuales,Fondo Central de Investigación,CREACION ARTISTICA DID
40,CA:AV00-12,Eriazos visuales,01/03/2000,01/03/2001,J. Gaete,Departamento de Artes Visuales,Fondo Central de Investigación,CREACION ARTISTICA DID
41,1201189,"Estudio y evaluación de texturas senso-táctiles centrado en las capacidades cognitivas de la percepción háptica de imágenes configuradas, mediante el modelado con tecnologías CAD, utilizadas en material de aprendizaje inclusivo",01/08/2019,01/08/2019,G. González,Universidad Tecnologica Metropolitana,FONDECYT,Regular
42,674896,Relatos para Nunca Olvidar,01/03/2023,01/03/2024,N. González,Departamento de Artes Visuales,Fondos de Cultura,Fondart Nacional
43,211668,El Juego en el Arte Popular: Juegos de Ayer y de Hoy,01/03/2016,01/03/2017,N. González,Departamento de Artes Visuales,Fondos de Cultura,Fondart Nacional
44,15573,Quinchamalí en el imaginario nacional,01/03/2012,01/03/2013,N. González,Departamento de Artes Visuales,Fondos de Cultura,Fondart Nacional
