,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Matthey, E","A GREAT VOYEUR, I DO NOT KNOW SO MANY WORDS (OR THE PURPOSE OF THE SERPENT BY DON LUIS DE GONGORA)",2015,REVISTA CHILENA DE LITERATURA,SCIELO-Chile/ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-22952015000100019,10.4067/S0718-22952015000100019
1,"Quintana-Contardo, S; Donoso-Gonzalez, O; Lang, ERK; Guerrero, AR; Noyong, M; Simon, U; Kogan, MJ; Yutronic, N; Sierpe, R",Optimizing Dacarbazine Therapy: Design of a Laser-Triggered Delivery System Based on beta-Cyclodextrin and Plasmonic Gold Nanoparticles,2023,PHARMACEUTICS,ISI/UCH/VID,http://dx.doi.org/10.3390/pharmaceutics15020458,10.3390/pharmaceutics15020458
2,"Sierpe, R; Donoso-Gonzalez, O; Lang, ERK; Noyong, M; Simon, U; Kogan, MJ; Yutronic, N",Solid-State Formation of a Potential Melphalan Delivery Nanosystem Based on beta-Cyclodextrin and Silver Nanoparticles,2023,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,ISI/UCH/VID,http://dx.doi.org/10.3390/ijms24043990,10.3390/ijms24043990
3,"Sandoval, SS; Cortes-Adasme, E; Gallardo-Toledo, E; Araya, I; Celis, F; Yutronic, N; Jara, P; Kogan, MJ",beta-Cyclodextrin-Based Nanosponges Inclusion Compounds Associated with Gold Nanorods for Potential NIR-II Drug Delivery,2022,PHARMACEUTICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/pharmaceutics14102206,10.3390/pharmaceutics14102206
4,"Real, DA; Bolanos, K; Priotti, J; Yutronic, N; Kogan, MJ; Sierpe, R; Donoso-Gonzalez, O",Cyclodextrin-Modified Nanomaterials for Drug Delivery: Classification and Advances in Controlled Release and Bioavailability,2021,PHARMACEUTICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/pharmaceutics13122131,10.3390/pharmaceutics13122131
5,"Salazar, S; Yutronic, N; Kogan, MJ; Jara, P",Cyclodextrin Nanosponges Inclusion Compounds Associated with Gold Nanoparticles for Potential Application in the Photothermal Release of Melphalan and Cytoxan,2021,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ijms22126446,10.3390/ijms22126446
6,"Asela, I; Donoso-Gonzalez, O; Yutronic, N; Sierpe, R",beta-Cyclodextrin-Based Nanosponges Functionalized with Drugs and Gold Nanoparticles,2021,PHARMACEUTICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/pharmaceutics13040513,10.3390/pharmaceutics13040513
7,"Donoso-Gonzalez, O; Lodeiro, L; Aliaga, AE; Laguna-Bercero, MA; Bollo, S; Kogan, MJ; Yutronic, N; Sierpe, R",Functionalization of Gold Nanostars with Cationic beta-Cyclodextrin-Based Polymer for Drug Co-Loading and SERS Monitoring,2021,PHARMACEUTICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/pharmaceutics13020261,10.3390/pharmaceutics13020261
8,"Salazar, S; Nicolas, Y; Jara, P",Magnetic beta-Cyclodextrin Nanosponges for Potential Application in the Removal of the Neonicotinoid Dinotefuran from Wastewater,2020,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ijms21114079,10.3390/ijms21114079
9,"Herrera, BA; Bruna, TC; Sierpe, RA; Lang, EP; Urzua, M; Flores, MI; Jara, PS; Yutronic, NI",A surface functionalized with per-(6-amino-6-deoxy)-beta-cyclodextrin for potential organic pollutant removal from water,2020,CARBOHYDRATE POLYMERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.carbpol.2020.115865,10.1016/j.carbpol.2020.115865
