,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,524033,Explora: Investigación en torno a la enseñanza de la interpretación en danza contemporánea,01/01/2020,01/01/2021,M. Campbell,Departamento de Danza,Fondos de Cultura,Fondart Nacional
1,441806,"Fasma, creación y montaje de un solo de danza contemporánea",01/12/2017,01/12/2018,M. Campbell,Departamento de Danza,Fondos de Cultura,Fondart Nacional
2,CREA-3-1,Paisajes y acciones en torno a la idea de territorio y territorialidad,01/12/2015,01/12/2016,"M. Mellado / M. Barría, D. Marini, R. Jara, M. Canales",Departamento de Danza,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
3,5179,"Una y otra vez
",01/03/2004,01/03/2005,M. Canales,Departamento de Danza,Fondos de Cultura,Fondart Nacional
4,11230772,"""Prototipo IIII"" - Fabricación e implementación de un prototipo de Instrumento de difusión musical de características Infrasónicas, Itinerantes e Inclusivas",01/04/2022,01/04/2022,J. Candela,Departamento de Danza,FONDECYT,Iniciación en Investigación
5,629602,Las Redes Coreomusicales en la danza contemporánea en Chile a través del análisis de seis obras patrimoniales,01/03/2022,01/03/2023,J. Candela,Departamento de Danza,Fondos de Cultura,Fondo Nacional de Fomento y Desarrollo de las Artes Escénicas
6,CA10/15,4 piezas acusmáticas por los derechos humanos: Creación y Producción de CD (500 copias),01/10/2015,01/12/2016,J. Candela,Departamento de Danza,Fondo Central de Investigación,CREACION ARTISTICA DID
7,CA08/2021,La obsolescencia del cuerpo,01/05/2022,01/01/2023,I. Carvallo,Departamento de Danza,Fondo Central de Investigación,CREACION ARTISTICA DID
8,CA06/18,Transformaciones orquestales,01/08/2018,01/06/2019,E. Coloma,Departamento de Danza,Fondo Central de Investigación,CREACION ARTISTICA DID
9,3180147,Los nuevos cuerpos en las artes escénicas contemporáneas,01/08/2017,01/08/2017,E. Coloma,Decanato,FONDECYT,Postdoctorado
10,CREA-3-4,"Acciones coreográficas, tentativas de creación interdisciplinaria en el Departamento de Danza",01/12/2015,01/09/2016,"E. Coloma / M. Retamales, N. Gutes, D. Marini",Departamento de Danza,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
11,CREA-2-2,"EMOVERE: Cuerpo, sonido y movimiento
",01/03/2014,01/07/2015,"M. Morand / E. Coloma, E. Hamuy, A. Campusano, J. Jaimovich",Departamento de Danza,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
12,INNOV-1-4,Interdisciplinariedad escénica: Cuerpo e identidad cultural,01/01/2014,01/07/2015,"C. Delgado / R. Solís, E. Coloma",Departamento de Danza,Iniciativa Bicentenario Juan Gómez Millas,Fondo de innovación en investigación disciplinaria
13,21507-4,"Vuelo de niñ@s, arte en el cajón.
",01/03/2011,01/03/2012,E. Coloma,Departamento de Danza,Fondos de Cultura,Fondart Regional
14,CA08/20,Remover lo que se mueve: micropolítica y disidencia,01/06/2021,01/08/2022,L. Condeza,Departamento de Danza,Fondo Central de Investigación,CREACION ARTISTICA DID
15,CA18/17,Chiloé: Cuerpo Danzante,01/10/2017,01/10/2019,C. Delgado,Departamento de Danza,Fondo Central de Investigación,CREACION ARTISTICA DID
16,INNOV-1-4,Interdisciplinariedad escénica: Cuerpo e identidad cultural,01/01/2014,01/07/2015,"C. Delgado / R. Solís, E. Coloma",Departamento de Danza,Iniciativa Bicentenario Juan Gómez Millas,Fondo de innovación en investigación disciplinaria
