,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,136021,Edición en CD de composiciones originales de Música de raiz Latinoamericana,01/12/2002,01/12/2003,C. Acevedo,Departamento de Música,FONDART,Música
1,8118,"Parfe, pieza a duo para piano solo",01/12/2004,01/12/2005,P. Aranda,Departamento de Música,Fondos de Cultura,Fondart Nacional
2,107874,"Creación de ""Calve"" y grabación de música de camara",01/12/2001,01/12/2002,P. Aranda,Departamento de Música,Fondos de Cultura,Fondo de la Música
3,489966,"Cornissimo, estudios para corno: Pasos avanzados, volumen II",01/03/2019,01/03/2020,E. Brown,Departamento de Música,Fondos de Cultura,Fondo de la Música
4,222751," CORNISSIMO, Estudios para Corno - Reimpresión de disco y textos, soporte web y videos de apoyo",01/01/2016,01/01/2017,E. Brown,Departamento de Música,Fondos de Cultura,Fondo de la Música
5,498917,"Una historia en 786, preludios para piano",01/03/2019,01/03/2020,E. Cantón,Departamento de Música,Fondos de Cultura,Fondo de la Música
6,CA15/19,PENTAGRAFÍAS METAMÁTICAS / PENTAGRAMATICS,01/12/2019,01/12/2020,E. Cantón,Departamento de Música,Fondo Central de Investigación,CREACION ARTISTICA DID
7,INNOV-1-1,Caracterización del sonido de instrumentos musicales latinoamericano a través de un registro multi-micrófono ,01/01/2014,01/07/2015,"L. Cendoyya / R. Cori, E. Cantón, M. Villafruela",Departamento de Música,Iniciativa Bicentenario Juan Gómez Millas,Fondo de innovación en investigación disciplinaria
8,11201178,"La Inteligencia Artificial en cuanto desbordamiento de la belleza, la representación y el concepto. Nueva tecnología y subjetividad en el hacer composicional contemporáneo",01/05/2020,01/05/2020,A. Carvallo,Departamento de Música,FONDECYT,Iniciación en Investigación
9,444189,"El pensamiento musical en la emergencia de las tecnologías informáticas, Hacia un arte interdisciplinario",01/12/2017,01/12/2018,A. Carvallo,Departamento de Música,Fondos de Cultura,Fondo de la Música
10,CA14/19,Pensar en Red,01/12/2019,01/12/2020,R. Cori,Departamento de Música,Fondo Central de Investigación,CREACION ARTISTICA DID
11,CREA-2-1,CÁNCER,01/03/2014,01/09/2015,"V. Fajnzylber / R. Cori, L. Cendoyya",Carrera de Cine y Televisión,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
12,INNOV-1-1,Caracterización del sonido de instrumentos musicales latinoamericano a través de un registro multi-micrófono ,01/01/2014,01/07/2015,"L. Cendoyya / R. Cori, E. Cantón, M. Villafruela",Departamento de Música,Iniciativa Bicentenario Juan Gómez Millas,Fondo de innovación en investigación disciplinaria
13,U-REDES2-2,Red interdisciplinaria de arte,01/10/2013,01/10/2014,R. Cori,Departamento de Música,Fondo Central de Investigación,Programa U-Redes: Línea 2 incentivo a la Consolidación de Red; Domeyko II
14,CA 10/03,Mito y Narrativa de la Música Chilena Académica: 1910-2000,01/10/2010,01/10/2011,R. Cori,Departamento de Música,Fondo Central de Investigación,CREACION ARTISTICA DID
15,CA 09/12,Publicación de CD inprovisación musical electrónica grupo TDL,01/09/2009,01/09/2010,R. Cori,Departamento de Música,Fondo Central de Investigación,CREACION ARTISTICA DID
