,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Elgueta, CA",Songs from my land,2007,REVISTA MUSICAL CHILENA,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0716-27902007000100014,10.4067/S0716-27902007000100014
1,Acevedo Elgueta Claudio,"Puro Neruda.CD. Cuncumén. Alerce Producciones Fonográficas S.A. Santiago, 2003.",2004,REVISTA MUSICAL CHILENA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-27902004020200010 ,10.4067/S0716-27902004020200010 
2,Silvia Contreras Andrews,Marta Sánchez Cerani ( 1923-2006),2006,REVISTA MUSICAL CHILENA,SCIELO-Chile/UCH/VID,,
3,"del Solar, CA;Romero, EC;Perez, MC;Traverso, RC;Goic, GA;Munoz, HJA;Robert, LO;Robles, PO;Pizarro, MP;Krumbach, KW;Rodriguez, PA;Scarabino, G;Tunon, WS",Views on Carmen Luisa Letelier Valdes,2012,REVISTA MUSICAL CHILENA,ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-27902012000100004,10.4067/S0716-27902012000100004
4,"Cori, R",Juan Amenabar,2008,REVISTA MUSICAL CHILENA,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0716-27902008000100005,10.4067/S0716-27902008000100005
5,Rolando Cori,Cirilo Vila: formar en el rigor hacia lalibertad del compromiso,2005,REVISTA MUSICAL CHILENA,SCIELO-Chile/UCH/VID,,
6,Guerra C.,The music in the last stage of radio play El Siniestro Doctor Mortis (1960-1980),2022,COMUNICACION Y MEDIOS,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.5354/0719-1529.2022.66864,10.5354/0719-1529.2022.66864
7,"Suazo, PM; Rojas, CG","Visual Memory of Dance in Chile, 1850 - 1966",2019,REVISTA MUSICAL CHILENA,ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-27902019000200164,10.4067/S0716-27902019000200164
8,"Rojas, CG",Prospero Bisquertt's Procession: Institutions and Mediations around a Chilean Work on its Canonization Process and the Trajectory of its Composer,2019,RESONANCIAS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.7764/res.2019.44.5,10.7764/res.2019.44.5
9,"Rojas, CG",Mampato Magazine and music: concepts and musical practices in a chilean children's publication (1968-1978),2018,REVISTA MUSICAL CHILENA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-27902018000200029,10.4067/S0716-27902018000200029
10,"Rojas, CG",Religious musical Works by Vicente Bianchi Alarcon,2017,REVISTA MUSICAL CHILENA,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/s0716-27902017000100029,10.4067/s0716-27902017000100029
11,"Rojas, CG",Castaldi Bites of fantasy. Pieces for theorbo,2016,REVISTA MUSICAL CHILENA,SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0716-27902016000100018,10.4067/S0716-27902016000100018
12,"Guerra, C","Onward, Christian soldiers ... cutting off the devil's head. The case of Christian rock band Perniles con Papas and Despreciado y Desechado Movement in Chile.",2015,CULTURA Y RELIGION,ESCI/UCH/VID,,
13,"Rojas, CG",Think about the music from Latin America. Problems and questions,2013,REVISTA MUSICAL CHILENA,ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-27902013000200010,10.4067/S0716-27902013000200010
14,"Rojas, CG",The dynamics of the impromptu speech,2012,REVISTA MUSICAL CHILENA,ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-27902012000100008,10.4067/S0716-27902012000100008
15,"Rojas, CG","The child, the sound and the music.",2011,REVISTA MUSICAL CHILENA,SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0716-27902011000200009,10.4067/S0716-27902011000200009
