,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,COVID0594,"""Plataforma de detección remota de riesgo de COVID-19, y estados emocionales vinculados, a través de la voz humana""
",01/06/2020,01/06/2021,C. Badani,Departamento de Sonido,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
1,U-REDES-G_2018-12,"Centro de estudios del sonido (CES): red colaborativa para el estudio de formas, ambientes y experiencias de escucha reales y simuladas en contextos interdisciplinarios",01/08/2018,01/08/2018,C. Badani,Departamento de Sonido,Fondo Central de Investigación,Programa U-Redes: Línea 1 Incentivo a la Generación de Red
2,URC-003/17,Proyecto Listen(n) (Listening to the Earth) en Chile,01/08/2017,01/08/2017,C. Badani,Departamento de Sonido,Fondo Central de Investigación,Programa U-Redes: Línea 2 incentivo a la Consolidación de Red; Domeyko II
3,11160158,Efecto de la valencia emocional presente en la música en la respuesta del sistema neuroendocrino,01/06/2016,01/06/2016,C. Badani,Departamento de Música,FONDECYT,Iniciación en Investigación
4,URC-011/16,Consolidación del Centro de Estudios de la Voz Humana  (CEVOZ),01/09/2016,01/09/2016,C. Badani,Departamento de Música,Fondo Central de Investigación,Programa U-Redes: Línea 2 incentivo a la Consolidación de Red; Domeyko II
5,11150065,Parámetros psicoacústicos efectores en la expresión vocal de las emociones básicas,01/06/2015,01/06/2015,C. Badani,Departamento de Música,FONDECYT,Iniciación en Investigación
6,11140084,Estudio de los parámetros psicoacústicos de timbre vocal en la expresión oral de las 6 emociones básicas obtenidas a través del método Alba Emoting,01/12/2014,01/12/2014,C. Badani,Departamento de Música,FONDECYT,Iniciación en Investigación
7,URED-2014-003,Centro de Estudios de la Voz Humana  (CEVOZ),01/12/2014,01/12/2014,C. Badani / L. Romero,Departamento de Música,Fondo Central de Investigación,Programa U-Redes: Línea 2 incentivo a la Consolidación de Red; Domeyko II
8,GENRED-2013-15244,Centro de Estudios de la Voz Humana,01/10/2013,01/10/2014,C. Badani,Departamento de Música,Fondo Central de Investigación,Programa U-Redes: Línea 1 Incentivo a la Generación de Red
9,OA-25,Acción colaborativa de recuperación musical prehispánica ancestral armonizando investigación y tecnología,01/12/2009,01/12/2009,"J. Martínez, C. Badani",Universidad De La Serena,Programa de Investigación Asociativa,III Concurso Anillos en Ciencias y Antártico
10,UCREAC-2011-4489,Diseño y Creación de las Bandas sonoras de 6 cortometrajes de ficción,01/12/2011,01/12/2011,M. Calonge,Departamento de Música,Fondo Central de Investigación,U-APOYA LINEA 4 : CREACIÓN ARTÍSTICA
11,CA 05/03,Jorge Peña Hen en el desarrollo de la cultura musical en Chile,01/10/2005,01/10/2005,M. Calonge,Departamento de Música,Fondo Central de Investigación,CREACION ARTISTICA DID
12,594861,Producetumusica.cl Taller de tecnología musical para músicos en pandemia,01/01/2021,01/01/2022,L. Cendoyya,Departamento de Sonido,Fondos de Cultura,Fondo de la Música
13,INNOV-1-1,Caracterización del sonido de instrumentos musicales latinoamericano a través de un registro multi-micrófono ,01/01/2014,01/07/2015,"L. Cendoyya / R. Cori, E. Cantón, M. Villafruela",Departamento de Música,Iniciativa Bicentenario Juan Gómez Millas,Fondo de innovación en investigación disciplinaria
14,CREA-2-1,CÁNCER,01/03/2014,01/09/2015,"V. Fajnzylber / R. Cori, L. Cendoyya",Carrera de Cine y Televisión,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
15,114-207,Percepción y presencia: estudio de la experiencia inmersiva en entornos estereoscópicos multiescalares,01/03/2014,01/03/2014,"V. Fajnzylber / M. Wolff, L. Cendoyya",Dirección de Pregrado,FONDECYT,Regular
16,25375,"Explorando el universo sonoro junto al ensamble tierra de Larry
",01/03/2013,01/03/2014,L. Cendoyya,Departamento de Música,Fondos de Cultura,Fondo de la Música
17,CA 09/08,Sono-Frame,01/10/2009,01/10/2010,L. Cendoyya,Departamento de Música,Fondo Central de Investigación,CREACION ARTISTICA DID
18,33780,Recuperando la memoria sonora de Jorge Peña Hen,01/12/2006,01/12/2007,L. Cendoyya,Departamento de Música,FONDART,Patrimonio
19,UI- 016/21,Poéticas intermediales en la creación sonora: estudio metodológico y creación de obras,01/10/2021,01/10/2021,G. Eisner,Departamento de Sonido,Fondo Central de Investigación,U-INICIA
20,UI-015/20,Poéticas intermediales en las artes sonoras en Chile: estudio de casos y creación de obras,01/10/2020,01/10/2020,G. Eisner,Departamento de Sonido,Fondo Central de Investigación,U-INICIA
21,1241142,Advancing ambulatory voice monitoring using acoustics and neck skin acceleration signals to objectively assess vocal hyperfunction for clinical applications,01/07/2023,01/07/2023,V. Espinoza,Departamento de Sonido,FONDECYT,Regular
