,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Badani Schoneweg, Carla; Osses Vecchi, Alejandro; Riffo Ocares, Bernardo",COMPUTATIONAL MODELLING OF THE EFFECTS OF AGING ON SYNTACTIC PROCESSING IN SPANISH: A STUDY USING NEURAL NETWORKS,2011,RLA-REVISTA DE LINGUISTICA TEORICA Y APLICADA,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-48832011000100003,10.4067/S0718-48832011000100003
1,"Canales Montenegro, Aldo Esteban; Campos Pérez, Aldo Mauricio; Cárdenas Bergmann, José Luis","Modelamiento Predictivo de la Pérdida Auditiva Laboral, Relacionada con el Tratamiento de Absorción Acústica en una Industria Metal-Mecánica en Chile",2016,CIENCIA & TRABAJO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-24492016000200001 ,10.4067/S0718-24492016000200001 
2,"Eisner, G",An Analytical Approach to the Scenic Realization of Electroacoustic Music: The Theatricality of Luminico,2022,COMPUTER MUSIC JOURNAL,/UCH/VID,http://dx.doi.org/10.1162/comj_a_00637,10.1162/comj_a_00637
3,"Cortes, JP; Lin, JZ; Marks, KL; Espinoza, VM; Ibarra, EJ; Zanartu, M; Hillman, RE; Mehta, DD",Ambulatory Monitoring of Subglottal Pressure Estimated from Neck-Surface Vibration in Individuals with and without Voice Disorders,2022,APPLIED SCIENCES-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/app122110692,10.3390/app122110692
4,"Castro, C; Prado, P; Espinoza, VM; Testart, A; Marfull, D; Manriquez, R; Stepp, CE; Mehta, DD; Hillman, RE; Zanartu, M","Lombard Effect in Individuals With Nonphonotraumatic Vocal Hyperfunction: Impact on Acoustic, Aerodynamic, and Vocal Fold Vibratory Parameters",2022,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1044/2022_JSLHR-21-00508,10.1044/2022_JSLHR-21-00508
5,"Cortes, JP; Alzamendi, GA; Weinstein, AJ; Yuz, JI; Espinoza, VM; Mehta, DD; Hillman, RE; Zanartu, M",Kalman Filter Implementation of Subglottal Impedance-Based Inverse Filtering to Estimate Glottal Airflow during Phonation,2022,APPLIED SCIENCES-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/app12010401,10.3390/app12010401
6,"Guzman, M; Castro, C; Acevedo, K; Moran, C; Espinoza, V; Quezada, C",How Do Tube Diameter and Vocal Tract Configuration Affect Oral Pressure Oscillation Characteristics Caused by Bubbling During Water Resistance Therapy?,2021,JOURNAL OF VOICE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jvoice.2020.03.004,10.1016/j.jvoice.2020.03.004
7,"Guzman, M; Acevedo, K; Castro, C; Moran, C; Espinoza, V; Quezada, C",Tissue Mobilization During Double Source of Vibration Semioccluded Vocal Tract Exercises: A Neck and Face Surface Acceleration Study,2021,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1044/2021_JSLHR-21-00033,10.1044/2021_JSLHR-21-00033
8,"Ibarra, EJ; Parra, JA; Alzamendi, GA; Cortes, JP; Espinoza, VM; Mehta, DD; Hillman, RE; Zanartu, M","Estimation of Subglottal Pressure, Vocal Fold Collision Pressure, and Intrinsic Laryngeal Muscle Activation From Neck-Surface Vibration Using a Neural Network Framework and a Voice Production Model",2021,FRONTIERS IN PHYSIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fphys.2021.732244,10.3389/fphys.2021.732244
9,"Espinoza, VM; Mehta, DD; Van Stan, JH; Hillman, RE; Zanartu, M",Glottal Aerodynamics Estimated From Neck-Surface Vibration in Women With Phonotraumatic and Nonphonotraumatic Vocal Hyperfunction,2020,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1044/2020_JSLHR-20-00189,10.1044/2020_JSLHR-20-00189
10,"Lin, JZ; Espinoza, VM; Marks, KL; Zanartu, M; Mehta, DD",Improved Subglottal Pressure Estimation From Neck-Surface Vibration in Healthy Speakers Producing Non-Modal Phonation,2020,IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1109/JSTSP.2019.2959267,10.1109/JSTSP.2019.2959267
11,"Diaz-Cadiz, ME; Peterson, SD; Galindo, GE; Espinoza, VM; Motie-Shirazi, M; Erath, BD; Zanartu, M",Estimating Vocal Fold Contact Pressure from Raw Laryngeal High-Speed Videoendoscopy Using a Hertz Contact Model,2019,APPLIED SCIENCES-BASEL,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3390/app9112384,10.3390/app9112384
12,"Mehta, DD; Espinoza, VM; Van Stan, JH; Zanartu, M; Hillman, RE",The difference between first and second harmonic amplitudes correlates between glottal airflow and neck-surface accelerometer signals during phonation,2019,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1121/1.5100909,10.1121/1.5100909
13,"Cortes, JP; Espinoza, VM; Ghassemi, M; Mehta, DD; Van Stan, JH; Hillman, RE; Guttag, JV; Zanartu, M",Ambulatory assessment of phonotraumatic vocal hyperfunction using glottal airflow measures estimated from neck-surface acceleration,2018,PLOS ONE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1371/journal.pone.0209017,10.1371/journal.pone.0209017
14,"Espinoza, VM; Zanartu, M; Van Stan, JH; Mehta, DD; Hillman, RE",Glottal Aerodynamic Measures in Women With Phonotraumatic and Nonphonotraumatic Vocal Hyperfunction,2017,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1044/2017_JSLHR-S-16-0337,10.1044/2017_JSLHR-S-16-0337
15,"Mehta, DD; Van Stan, JH; Zanartu, M; Ghassemi, M; Gttuag, JV; Espinoza, VM; Cortes, JP; Cheyne, HA; Hillman, RE",Using ambulatory voice monitoring to investigate common voice disorders: research update,2015,FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fbioe.2015.00155,10.3389/fbioe.2015.00155
16,"Blanc F., Espinoza C., Falcón C.",Inflatable soft mechanical metamaterials with tunability properties,2022,"2022 16th International Congress on Artificial Materials for Novel Wave Phenomena, Metamaterials 2022",SCOPUS/UCH/VID,http://dx.doi.org/10.1109/Metamaterials54993.2022.9920931,10.1109/Metamaterials54993.2022.9920931
17,"Espinoz C., Carreño C., Chacra E., Gonzalez S.",MetaWood: manipulation of the elastic properties of wood plates by periodic hole patterns,2022,"2022 16th International Congress on Artificial Materials for Novel Wave Phenomena, Metamaterials 2022",SCOPUS/UCH/VID,http://dx.doi.org/10.1109/Metamaterials54993.2022.9920792,10.1109/Metamaterials54993.2022.9920792
18,"Contreras C., Espinoza C., Falcón C.",Printing tunable mechanical metamaterials using the Rayleigh-Plateau instability,2022,"2022 16th International Congress on Artificial Materials for Novel Wave Phenomena, Metamaterials 2022",SCOPUS/UCH/VID,http://dx.doi.org/10.1109/Metamaterials54993.2022.9920745,10.1109/Metamaterials54993.2022.9920745
19,"Gonzalez, S; Chacra, E; Carreno, C; Espinoza, C",Wooden mechanical metamaterials: Towards tunable wood plates,2022,MATERIALS & DESIGN,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.matdes.2022.110952,10.1016/j.matdes.2022.110952
20,"Lercari, M; Gonzalez, S; Espinoza, C; Longo, G; Antonacci, F; Sarti, A",Using Mechanical Metamaterials in Guitar Top Plates: A Numerical Study,2022,APPLIED SCIENCES-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/app12178619,10.3390/app12178619
21,"Oñate C.E., Arancibia A., Cartes G., Beas C.F.",Seeking for spectral manipulation of the sound of musical instruments using metamaterials,2020,ACM International Conference Proceeding Series,SCOPUS/UCH/VID,http://dx.doi.org/10.1145/3411109.3411127,10.1145/3411109.3411127
22,"Espinoza, C; Feliu, D; Aguilar, C; Espinoza-Gonzalez, R; Lund, F; Salinas, V; Mujica, N",Linear versus nonlinear acoustic probing of plasticity in metals: A quantitative assessment,2018,MATERIALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ma11112217,10.3390/ma11112217
23,Floody S; Venegas R.,Shape optimization of polygonal rooms based on spatially homogeneous sound field distribution and psychoacoustic criteria at low frequencies,2009,"8th European Conference on Noise Control 2009, EURONOISE 2009 - Proceedings of the Institute of Acoustics",SCOPUS/UCH/VID,,
24,"Bortz B., Jaimovich J., Benjamin Knapp R.",Cross-Cultural Comparisons of Affect and Electrodermal Measures while Listening to Music,2019,"2019 8th International Conference on Affective Computing and Intelligent Interaction, ACII 2019",SCOPUS/UCH/VID,http://dx.doi.org/10.1109/ACII.2019.8925476,10.1109/ACII.2019.8925476
25,"Jaimovich J., Morand F.","Shaping the biology of emotion: Emovere, an interactive performance",2019,INTERNATIONAL JOURNAL OF PERFORMANCE ARTS AND DIGITAL MEDIA,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.1080/14794713.2018.1563354,10.1080/14794713.2018.1563354
26,"Kogan, P; Gale, T; Arenas, JP; Arias, C",Development and application of practical criteria for the recognition of potential Health Restoration Soundscapes (HeReS) in urban greenspaces,2021,SCIENCE OF THE TOTAL ENVIRONMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.scitotenv.2021.148541,10.1016/j.scitotenv.2021.148541
27,"Schumacher, F; Espinoza, V; Mardones, F; Vergara, R; Aranguiz, A; Aguilera, V",Perceptual Recognition of Sound Trajectories in Space,2022,COMPUTER MUSIC JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1162/comj_a_00593,10.1162/comj_a_00593
28,"Schumacher F., Espinoza V., Mardones F., Vergara R., Aránguiz A., Aguilera V.",Perceptual Evaluation of Sound Trajectories in Space,2021,ICMC 2021 - Proceedings of the International Computer Music Conference 2021,SCOPUS/UCH/VID,,
