,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,CA 08/08,El espejo del alma.,01/10/2008,01/10/2009,A. Carrizo / A. Alfageme,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
1,CA 05/16,De rerum natura o de la naturaleza de las cosas (filosofía a escena),01/10/2005,01/10/2005,A. Carrizo / A. Alfageme,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
2,524129,"Resituando la noción de lo político en el teatro: transmedialidad, performance, activismo",01/01/2020,01/01/2021,M. Barría,Departamento de Teatro,Fondos de Cultura,Fondart Nacional
3,11200100,"Intensidades de presencia: tiempo, percepción y contraceleraciones en la performance contemporánea",01/10/2020,01/10/2023,M. Barría,Departamento de Teatro,FONDECYT,Iniciación en Investigación
4,150686,"Hécuba, 40 mts. bajo el mar",01/01/2016,01/01/2017,M. Barría,Departamento de Teatro,Fondos de Cultura,Fondo del Libro y la Lectura
5,CREA-4-1,Radioteatros con y sobre inmigrantes en Santiago y Valparaíso,01/04/2016,01/09/2016,"R. Rodríguez / M. Tijoux, M. Barría",Dirección de Pregrado,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
6,CREA-3-1,Paisajes y acciones en torno a la idea de territorio y territorialidad,01/12/2015,01/12/2016,"M. Mellado / M. Barría, D. Marini, R. Jara, M. Canales",Departamento de Danza,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
7,CREA-1-1,Comisión Ortúzar,01/01/2014,01/07/2015,"A. Harcha / M. Barría, F. Sanfuentes, S. Grez",Departamento de Teatro,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
8,UCREAC-2011-4428,Montaje sonoro de irredentos. En los 50 años de la muerde de Antonio Acevedo Hernández,01/12/2011,01/12/2012,M. Barría,Departamento de Teatro,Fondo Central de Investigación,U-APOYA LINEA 4 : CREACIÓN ARTÍSTICA
9,1100677,Teatralidades latinoamericanas 2000-2010. Acontecimiento y simulacro como paradigmas para el análisis de prácticas de actuación-dramaturgia,01/03/2010,01/03/2010,M. Barría,Departamento de Teatro,FONDECYT,Regular
10,10981-9,"Biblioteca sonora de la dramaturgia chilena  
",01/03/2010,01/03/2011,M. Barría,Departamento de Teatro,Fondos de Cultura,Fondart Nacional
11,2751,"Escritura de ""banal""  texto dramático
",01/03/2004,01/03/2005,M. Barría,Departamento de Teatro,Fondos de Cultura,Fondo del Libro y la Lectura
12,668493,"Antecedentes de la instalación (arte) en Chile: estudio y puesta en valor de tres exposiciones realizadas en la Sala Universitaria, 1969-1971",01/03/2023,01/03/2024,R. Bruna,Departamento de Teatro,Fondos de Cultura,Fondart Nacional
13,CA04/22,Pulvis et Umbra: entre lo instalativo y lo escenográfico,01/07/2023,01/07/2024,R. Bruna,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
14,CA03/22,Edén,01/07/2023,01/07/2024,A. Campusano,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
15,CREA-2-2,"EMOVERE: Cuerpo, sonido y movimiento
",01/03/2014,01/07/2015,"M. Morand / E. Coloma, E. Hamuy, A. Campusano, J. Jaimovich",Departamento de Danza,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
16,CA 08/08,El espejo del alma.,01/10/2008,01/10/2009,A. Carrizo / A. Alfageme,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
17,CA06/02,Pesquisas sobre el POST-TEATRO: Una investigación sobre el trabajo creativo realizado por el laboratorio de Investigación y Creación Escenica de la Universidad de Chile,01/03/2006,01/03/2006,A. Carrizo,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
18,CA06/14,Ser o no ser (Hamlet v/s Post - Teatro),01/10/2006,01/10/2007,A. Carrizo,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
19,CA 05/16,De rerum natura o de la naturaleza de las cosas (filosofía a escena),01/10/2005,01/10/2005,A. Carrizo / A. Alfageme,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
20,CA99/003,Opera prima: espectáculo collage creado como resultado de un laboratorio de interacción artística e investigación escénica,01/03/1999,01/03/2000,A. Carrizo,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
21,70398,Proyecto Doctorado: Metodología Para La Creación Artística Transdisciplinar En La Escena Posmoderna,01/03/2015,01/03/2017,J. Codina,Departamento de Teatro,Fondos de Cultura,Fondart Nacional
22,U-CREA-12/14,"Versión contemporánea del auto sacramental La Araucana, manuscrito anónimo del siglo XVII",01/04/2014,01/04/2014,J. Codina,Departamento de Teatro,Fondo Central de Investigación,Fondo de Creación Artística
23,CA23/18,Actor secundario,01/08/2018,01/10/2019,M. Espinoza,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
24,CA 09/13,"Puesta en escena Doroteo Martí, el melodrama y el teatro perfomativo",01/10/2009,01/10/2010,M. Espinoza,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
25,630582,"Programa de formación para artistas nacionales a cargo del Núcleo de Arte, Política y communitas",01/03/2022,01/03/2023,A. Harcha,Departamento de Teatro,Fondos de Cultura,Fondo Nacional de Fomento y Desarrollo de las Artes Escénicas
26,CA06/2021,Migrantes: tres acciones afectivas,01/05/2022,01/06/2023,A. Harcha,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
27,CA23/17,1000 y 1 días de (des) tejido colectivo,01/10/2017,01/10/2019,A. Harcha,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
28,406896,"El humano perfecto es solo una cosa que se puede decir
",01/01/2017,01/01/2018,A. Harcha,Otras Instituciones,Fondos de Cultura,Fondart Nacional
29,CREA-1-1,Comisión Ortúzar,01/01/2014,01/07/2015,"A. Harcha / M. Barría, F. Sanfuentes, S. Grez",Departamento de Teatro,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
30,215905,Krikalev,01/07/2016,01/07/2017,C. Keim,Departamento de Teatro,Fondos de Cultura,Fondart Nacional
31,CREA-3-3,Teatro y educación itinerante (TEI) Diálogos por una pedagogía crítica de la escena,01/12/2015,01/09/2016,"A. Murath / C. Larenas, H. Ponce, P. Olivares",Departamento de Teatro,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
32,CA15/20,"Textil Sonoro, memorias entrelazadas del cuerpo y la escena",01/06/2021,01/08/2022,M. Lobos,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
33,490056,"Imaginarios en tránsito 1995 - 2015, La Cuadrienal de Praga y las transformaciones de las prácticas del diseño escénico en Chile",01/03/2019,01/03/2020,M. Lobos,Departamento de Teatro,Fondos de Cultura,Fondart Nacional
