,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Jara, MB",Machine voices or other voices. Notes to open a reflection,2021,RESONANCIAS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.7764/res.2021.49.9,10.7764/res.2021.49.9
1,"Barría-Jara, Mauricio","Dramaturgia: Genealogías de una categoría, estatuto de un concepto",2019,AISTHESIS,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.7764/aisth.65.7,10.7764/aisth.65.7
2,"Jara, MB",The grey areas of political speech: breakdown on Speeches by Guillermo Calderon,2018,LATIN AMERICAN THEATRE REVIEW,ISI/UCH/VID,http://dx.doi.org/10.1353/ltr.2018.0023,10.1353/ltr.2018.0023
3,"Barria, M",SACRIFICIAL VIOLENCE AND THE BANALITY OF HISTORY-AN ALLEGORICAL READING ON RAMON GRIFFERO'S ALMUERZO DE MEDIODIA OR BRUNCH,2016,ANALES DE LITERATURA CHILENA,ISI/SCOPUS/UCH/VID,,
4,"Jara, MB",MOMENTARY INTERRUPTIONS OF THE CONVENTION CONTRIBUTIONS FOR THE COMPREHENSION OF UNREDEEMED BY ANTONIO ACEVEDO HERNANDEZ,2015,REVISTA CHILENA DE LITERATURA,SCIELO-Chile/ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-22952015000200002,10.4067/S0718-22952015000200002
5,Mauricio Barría,"La producción de un desaparecimiento: Verdad, aura y técnica en Walter Benjamin",2011,AISTHESIS,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-71812011000100012,10.4067/S0718-71812011000100012
6,"Cápona Perez, Daniela",Mapping the HIV body in contemporary Latin American Theatre,2013,HIV in World Cultures: Three Decades of Representations,SCOPUS/UCH/VID,,
7,"Farah Rodríguez, César",Dialogismo y síntoma en Abel de Alexis Moreno,2008,AISTHESIS,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-71812008000100007,10.4067/S0718-71812008000100007
8,"Villanueva, C; de la Fuente, HP; Olivares, P; Rossel, C",Milestones in the legitimation of Theatre for Young Audiences in Chile in the 2000s,2022,URDIMENTO-REVISTA DE ESTUDOS EM ARTES CENICAS,/UCH/VID,http://dx.doi.org/10.5965/1414573102442022e0202,10.5965/1414573102442022e0202
9,"Ponce de la Fuente, Héctor; Olivares Rojas, Paulo; Rossel Gallardo, Camilo",Sobre la Acreditación en las Artes. Una lectura de los procesos de innovación curricular en la Facultad de Artes de la Universidad de Chile,2021,DIXIT,SCIELO-otros paises /ESCI/UCH/VID,http://dx.doi.org/10.22235/d34.2597,10.22235/d34.2597
10,"Villanueva, C; de la Fuente, HP; Olivares, P; Rossel, C",Milestones in the legitimation of Theatre for Young Audiences in Chile in the 2000s,2022,URDIMENTO-REVISTA DE ESTUDOS EM ARTES CENICAS,/UCH/VID,http://dx.doi.org/10.5965/1414573102442022e0202,10.5965/1414573102442022e0202
11,"Villanueva C., Ponce H., Faundez T.",THE CLASSROOM AS A STAGE: A READING ON THE FIELD OF THEATER AND EDUCATION IN CHILE (2010-2020),2022,Acotaciones,SCOPUS/UCH/VID,http://dx.doi.org/10.32621/ACOTACIONES.2022.48.04,10.32621/ACOTACIONES.2022.48.04
12,"Ponce de la Fuente, Héctor; Olivares Rojas, Paulo; Rossel Gallardo, Camilo",Sobre la Acreditación en las Artes. Una lectura de los procesos de innovación curricular en la Facultad de Artes de la Universidad de Chile,2021,DIXIT,SCIELO-otros paises /ESCI/UCH/VID,http://dx.doi.org/10.22235/d34.2597,10.22235/d34.2597
13,"Villanueva, C; de la Fuente, HP; Olivares, P; Rossel, C",Milestones in the legitimation of Theatre for Young Audiences in Chile in the 2000s,2022,URDIMENTO-REVISTA DE ESTUDOS EM ARTES CENICAS,/UCH/VID,http://dx.doi.org/10.5965/1414573102442022e0202,10.5965/1414573102442022e0202
14,"Rossel, C",Sound as thought. Considerations about a modern epistemology of music,2022,RESONANCIAS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.7764/res.2022.50.9,10.7764/res.2022.50.9
15,"Ponce de la Fuente, Héctor; Olivares Rojas, Paulo; Rossel Gallardo, Camilo",Sobre la Acreditación en las Artes. Una lectura de los procesos de innovación curricular en la Facultad de Artes de la Universidad de Chile,2021,DIXIT,SCIELO-otros paises /ESCI/UCH/VID,http://dx.doi.org/10.22235/d34.2597,10.22235/d34.2597
