,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1230147,"Inventar lo propio. El Museo de Arte Popular Americano y su contribución al debate conceptual sobre los procesos de valorización patrimonial: folklore, artesanía y arte popular (1928-1970)",01/07/2022,01/07/2022,A. Candina / C. Acuña,Departamento de Ciencias Históricas,FONDECYT,Regular
1,1131071,Un estudio iconológico de la serie de pinturas que representan la vida de San Francisco de Asís en el Museo Colonial de Santiago de Chile,01/03/2013,01/03/2016,C. Acuña,Departamento de Teoría de las Artes,FONDECYT,Regular
2,17338-K,"La imagen barroca en la biblioteca nacional: una lectura de los libros de Athanasius Kircher. 
",01/03/2011,01/03/2012,C. Acuña,Departamento de Teoría de las Artes,Fondos de Cultura,Fondart Nacional
3,CSSOC-2012-354,"Patrimonio universitario y su replicabilidad en ámbitos de docencia, extensión e investigación",01/09/2012,01/09/2012,"H. Morales / A. Menard, G. Arqueros, J. Lepe",Departamento de Diseño,Fondo Central de Investigación,"U-APOYA: CS SOCIALES, HUMANIDADES, ARTES Y EDUCACIÓN"
4,10276-8,"Ilusiones de artistas texto y contexto. indagación crítica e histórica sobre un caso de escritura artística en chile del siglo xix
",01/03/2010,01/03/2011,G. Arqueros,Departamento de Teoría de las Artes,Fondos de Cultura,Fondart Nacional
5,11220167,"Lengua, tiempo y actualidad de Ana Mendieta. Una aparición inconclusa",01/05/2021,01/05/2021,P. Arrieta,Departamento de Teoría de las Artes,FONDECYT,Iniciación en Investigación
6,11190420,"Lygia Clark, Nelbia Romero y Ana Mendieta: Estéticas y poéticas del cuerpo en el arte de América Latina",01/04/2019,01/04/2019,P. Arrieta,Departamento de Teoría de las Artes,FONDECYT,Iniciación en Investigación
7,3190306,Estéticas y poéticas del cuerpo en el arte de América Latina,01/10/2018,01/10/2018,P. Arrieta / R. Zúñiga,Departamento de Teoría de las Artes,FONDECYT,Postdoctorado
8,1160784,Arquitecturas y formas de conmemoración de la memoria y el patrimonio en el Chile contemporáneo (1990-2015). Análisis sociohistórico comparativo entre contextos rurales y urbanos,01/08/2015,01/08/2015,"P. Faba / E. Sahady, A. Quilodrán, J. Bravo",UAH. Depto. de Economía y Administración,FONDECYT,Regular
9,3130428,Espacios de memoria. Espacios de identidad Análisis socio-histórico comparativo de la emergencia del Museo Histórico Nacional y del Museo de la Memoria y los Derechos Humanos de Chile,01/10/2012,01/10/2015,P. Faba / E. Sahady,Instituto de Restauración Arquitectónica,FONDECYT,Postdoctorado
10,3210188,Un mundo sin nosotros: relatos y visualidades en tiempos virulentos,01/03/2021,01/03/2024,F. Galende,Departamento de Teoría de las Artes,FONDECYT,Postdoctorado
11,3200722,"Estéticas Radicales: Decolonialidad, feminismo y política en el arte en Chile actual",01/01/2020,01/01/2020,F. Galende,Departamento de Teoría de las Artes,FONDECYT,Postdoctorado
12,1160431,"Las transformaciones de la relación arte, vida y espacio público en Chile: de los años del plebiscito al de las movilizaciones colectivas (1988-2011)",01/06/2015,01/06/2015,F. Galende,Departamento de Teoría de las Artes,FONDECYT,Regular
13,CREA-1-3,La resurrección de los muertos,01/01/2014,01/07/2015,"E. Matthey / A. Menard, R. Aceituno, M. Facuse, R. Zúñiga, F. Galende, I. Agüero",Departamento de Artes Visuales,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
14,3120017,La relación arte-vida en Chile (1960-1990),01/10/2011,01/09/2013,F. Galende / S. Rojas,Departamento de Teoría de las Artes,FONDECYT,Postdoctorado
15,1150304,"El discurso de la dictadura chilena sobre artes visuales: estética, política cultural y resocialización (1973-1989)",01/03/2015,01/03/2015,I. Jara,Departamento de Teoría de las Artes,FONDECYT,Regular
16,114-057,El lugar de las artes visuales en la política cultural de la dictadura chilena. Un enfoque comparado (1973-1990),01/03/2014,01/03/2014,I. Jara,Departamento de Teoría de las Artes,FONDECYT,Regular
17,ENLACE-2014-69812,Las artes visuales en la política cultural de la dictadura chilena. Un enfoque comparado (1973-1990),01/05/2014,01/05/2015,I. Jara,Departamento de Teoría de las Artes,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
18,11080048,Funciones políticas de las imágenes en dictadura: la ilustración de libros en la editora nacional Gabriela Mistral (1973-1976).,01/10/2008,01/10/2011,I. Jara,Departamento de Teoría de las Artes,FONDECYT,Iniciación en Investigación
19,3190380,"De Pedro Lira a Fernando Álvarez de Sotomayor. La psicologización del retrato en Chile, entre el Realismo y la ""Generación de 1913""",01/10/2018,01/10/2018,M. Muñoz,Departamento de Teoría de las Artes,FONDECYT,Postdoctorado
20,1180132,El campo expandido del paisaje: literatura y visualidad en el arte chileno contemporáneo,01/07/2017,01/07/2017,M. Muñoz,Departamento de Teoría de las Artes,FONDECYT,Regular
21,1170886,El arte del paisaje y su papel en la configuración simbólica del territorio,01/09/2016,01/09/2016,M. Muñoz,Departamento de Teoría de las Artes,FONDECYT,Regular
22,11121290,Apuntes para una historiografía crítica: pintura chilena en el umbral de la modernidad,01/10/2012,01/10/2014,M. Muñoz,Departamento de Teoría de las Artes,FONDECYT,Iniciación en Investigación
23,1000958,"La articulacion de lo nacional en las  historias de la pintura en Chile desde fines delsiglo XIX hasta finales delsiglo XX
",01/03/2000,01/03/2000,G. Álvarez de Araya / M. Muñoz,Departamento de Teoría de las Artes,FONDECYT,Regular
24,3230281,La ira en la comedia de Aristófanes,01/03/2023,01/03/2026,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Postdoctorado
25,3220523,Investigación artística y ecología cognitiva: Prácticas artísticas contemporáneas en Latinoamérica,01/09/2021,01/09/2021,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Postdoctorado
26,3220817,Estética de las cenizas. Figuras de la catástrofe histórica en la filosofía tardía de W. Benjamin,01/04/2022,01/04/2025,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Postdoctorado
27,3210444,La indeterminación de lo incondicional. Jacques Derrida y la libertad,01/03/2021,01/03/2024,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Postdoctorado
28,3210747,Figuras de la barbarie. La representación estética de la catástrofe histórica en la filosofía de W. Benjamin,01/08/2020,01/08/2020,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Postdoctorado
29,1200290,"Hacia una tradición de narrativa metaficcional en clave (neo)barroca en las letras chilenas contemporáneas: Juan Emar, José Donoso y Diamela Eltit",01/08/2019,01/08/2019,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Regular
30,3190600,La ficción en la Teoría Literaria contemporánea: Una categoría estética,01/10/2018,01/10/2018,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Postdoctorado
31,3190008,La máscara. Una figura de la diferencia entre filosofía y poesía,01/10/2018,01/10/2018,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Postdoctorado
32,3190096,Hacer memoria. Una otra historia in-finita de la naturaleza,01/03/2019,01/03/2022,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Postdoctorado
33,3180769,La ficción en la Teoría Literaria contemporánea: Una categoría estética,01/08/2017,01/08/2017,C. Oyarzún,Departamento de Literatura,FONDECYT,Postdoctorado
34,1160765,Destellos inmaniencia: Georg Christoph Lichtenberg sobre lenguaje y pensamiento. Una contribución a la filosofía del lenguaje en la modernidad,01/04/2016,01/04/2020,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Regular
35,1161400,"Ficción (auto)biográfica, alegoría de lo nacional y vanguardia del giro estético en el II pilar del umbral de Juan Emar",01/04/2016,01/04/2019,C. Oyarzún,Escuela de Postgrado,FONDECYT,Regular
36,3150184,La experiencia de la temporalidad histórica en Walter Benjamin y Jacques Rancière: para una lectura contemporánea desde la teoría histórica de Reinhart Koselleck,01/11/2014,01/11/2017,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Postdoctorado
37,3140041,Conflicto social y experiencia educativa. Transformaciones de la filosofía en el pensamiento de Jacques Rancière.,01/10/2013,01/10/2013,C. Oyarzún,Departamento de Filosofía,FONDECYT,Postdoctorado
38,47069,Baudelaire modernidad y destino del poema,01/01/2014,01/12/2014,C. Oyarzún,Departamento de Teoría de las Artes,Fondos de Cultura,Fondo del Libro y la Lectura
39,1130530,Obra total y simultaneidad de la heterogeneidad latinoamericana en Umbral de Juan Emar,01/03/2013,01/03/2016,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Regular
40,1130609,"El frágil ordenamiento del mundo"". Kleist y la crisis (de) Kant",01/03/2013,01/03/2016,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Regular
41,3130345,"Las lenguas del sueño. Walter Benjamin (1892-1940) y las herencias de la ""Traumdeutung""",01/10/2012,01/10/2015,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Postdoctorado
42,1101043,Estética de lo fantástico y quiebres espitémicos en narrativa chilena y argentina,01/03/2010,01/03/2013,"A. Bobenrieth, C. Oyarzún",U. Católica de Valparaiso,FONDECYT,Regular
43,1100119,El nombre del hombre misantropología y sátira en Jonathan Swift,01/03/2010,01/03/2013,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Regular
44,3080060,La filosofía como fabula: Reformulación del concepto de razón a partir de un análisis del polar y la novela policial.,01/03/2008,01/03/2010,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Postdoctorado
45,UCH0705,Internacionalización y fortalecimiento del Doctorado en Filosofía con Mención en Estética y Teoría del Arte,01/11/2008,01/07/2012,C. Oyarzún,Escuela de Postgrado,MECESUP,MECESUP
46,1070990,"Indagaciones sobre literatura y escepticismo: acerca de las relaciones de experiencia, yo y discurso",01/03/2007,01/03/2010,C. Oyarzún,Departamento de Teoría de las Artes,FONDECYT,Regular
47,1040530,Figuras del poder. Contribuciones a una analítica filosófica del poder desde una perspectiva metafísico-estética,01/03/2004,01/03/2007,C. Oyarzún / R. Zúñiga,Departamento de Teoría de las Artes,FONDECYT,Regular
48,13,"Filosofía en Chile: Antecedentes para una discusión 
",01/03/2004,01/03/2004,"C. Oyarzún, C. Ruiz",Depto. de Filosofía y Humanidades,FONDECYT,Regular
49,1010956,"Lo bello, lo sublime y lo siniestro. Estudio de las transformaciones históricas de las categorías estéticas en la clave de negatividad",01/03/2001,01/03/2004,C. Oyarzún / S. Rojas,Departamento de Teoría de las Artes,FONDECYT,Regular
