,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Farina, CA",From the book to the image: An approach to the immaculate conception iconography through the study of the library at the San Francisco convent in Santiago,2016,ANALES DE LITERATURA CHILENA,ISI/SCOPUS/UCH/VID,,
1,"Acuna, C",Five questions for Joseph Kosuth,2007,REVISTA 180,SCOPUS/ISI/UCH/VID,,
2,"Gutierrez, PAA",Representing history. Notes about the image of the bombing to the Palacio de La Moneda and it's symbolic uses,2019,KAMCHATKA-REVISTA DE ANALISIS CULTURAL,ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.7203/KAM.13.12400,10.7203/KAM.13.12400
3,"Gutierrez, PA",Finding the Community. Micropolitical Possibilities for Contemporary Art,2018,ESTUDIOS AVANZADOS,ESCI/UCH/VID,,
4,"Zuleta, PF",UNEXPECTED AGENCIES: THE MUSEIFICATION OF COLONIAL PAST IN NINETEENTH-CENTURY CHILE,2015,ATENEA,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-04622015000200008,10.4067/S0718-04622015000200008
5,"Galende, F",Promise and Potency. Notes on the Critic to the Aesthetical Autonomy,2016,CUADERNOS DE LITERATURA,ESCI/UCH/VID,http://dx.doi.org/10.11144/Javeriana.cl20-40.ppca,10.11144/Javeriana.cl20-40.ppca
6,"Hinojosa, IJ",How to think about the artistic-cultural action of the Chilean dictatorship? Seven questions for its interpretation,2020,LATIN AMERICAN RESEARCH REVIEW,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.25222/larr.436,10.25222/larr.436
7,"Hinojosa, IJ",Editora Nacional Gabriela Mistral and Social Classes: Signs of Neoliberalism in the Rhetoric of the Chilean Dictatorship,2015,HISTORIA-SANTIAGO,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0717-71942015000200004,10.4067/S0717-71942015000200004
8,"Hinojosa, IJ",Gabriela Mistral's laughter. A cultural history of humor in Chile and Spanish America,2012,REVISTA CHILENA DE LITERATURA,ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-22952012000100013,10.4067/S0718-22952012000100013
9,Jara Isabel,"Politizar el paisaje, ilustrar la patria: nacionalismo, dictadura chilena y proyecto editorial",2011,AISTHESIS,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-71812011000200013,10.4067/S0718-71812011000200013
10,"Hinojosa, IJ","GRAPH A ""SECOND INDEPENDENCE"": THE CHILEAN MILITARY REGIME AND ILLUSTRATIONS OF THE NATIONAL EDITORIAL GABRIELA MISTRAL (1973-1976)",2011,HISTORIA-SANTIAGO,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-71942011000100004,10.4067/S0717-71942011000100004
11,Jara Hinojosa I.,Franquist ideology in legitimation of Chiles dictatorship,2008,Revista Complutense de Historia de America,SCOPUS/UCH/VID,,
12,"Lattanzi, ML",.....cinema as an object of study in Chile .....a field in transformation,2019,CINEMAS D AMERIQUE LATINE,ISI/UCH/VID,,
13,"Lattanzi, L",The cinema of Ignacio Aguero: documentary as the reading of a space,2017,REVISTA DE ESTUDIOS HISPANICOS,ISI/UCH/VID,,
14,Lattanzi M.L.,Beyond autobiography: Rethinking documentary production by the children of the disappeared,2016,Latin American Documentary Film in the New Millennium,SCOPUS/UCH/VID,http://dx.doi.org/10.1057/978-1-137-49523-5_13,10.1057/978-1-137-49523-5_13
15,"Mendez, MEM",THE LANDSCAPE OF THE LAND OR THE PICTORIAL EXPANSION IN JUAN CASTILLO'S WORK,2018,REVISTA 180,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.32995/rev180.Num-41.(2018).art-431,10.32995/rev180.Num-41.(2018).art-431
16,Muñoz M.E.,The childhood at the threshold of modernity: Three infant figures in cosme san martin paintings,2017,REVISTA DE HUMANIDADES,SCOPUS/UCH/VID,,
17,"Muñoz Méndez, María Elena",La lectura simbolista de la obra de Cézanne: la paradoja del modelo,2016,AISTHESIS,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-71812016000200004,10.4067/S0718-71812016000200004
18,Munoz ME,La lectura del modelo y su realización: la tarea de Cézanne,2012,AISTHESIS,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-71812012000200012,10.4067/S0718-71812012000200012
19,Munoz Mendez M.E.,"Burchard, balmes and the story of a tea cup: A montage of past and current time",2012,REVISTA DE HUMANIDADES,SCOPUS/UCH/VID,,
20,"Oyarzun R, Pablo",El país donde no pasa(ba)nada,2020,Pléyade (Santiago),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0719-36962020000200061,10.4067/S0719-36962020000200061
21,Pablo Oyarzun R.,"Sovereignty, decision and occasion",2020,IDEAS Y VALORES,SCOPUS/ISI/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.15446/ideasyvalores.v696Sup.90090,10.15446/ideasyvalores.v696Sup.90090
22,"Oyarzun, P",Issue of (The) Law,2020,CON-TEXTOS KANTIANOS-INTERNATIONAL JOURNAL OF PHILOSOPHY,ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.5281/zenodo.3862898,10.5281/zenodo.3862898
23,Pablo Oyarzun R.,Ways to deal with contingency violence and dialogue,2019,Dialogue and Universalism,SCOPUS/UCH/VID,http://dx.doi.org/10.5840/du201929334,10.5840/du201929334
24,Robles P.O.,Ekphrasis: Homer and Kleist,2018,BOLETIN DE ESTETICA,SCOPUS/UCH/VID,,
25,"Oyarzún R., Pablo","Pueblo, populismo y democracia",2018,Dianoia,SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.22201/iifs.18704913e.2018.81.1572,10.22201/iifs.18704913e.2018.81.1572
26,"Oyarzun, P",The exile as a symptom. Literature and sources,2018,TORRES DE LUCCA-REVISTA INTERNACIONAL DE FILOSOFIA POLITICA,ESCI/UCH/VID,,
27,"Oyarzun, P",ECOLOGY AND ETHICS,2018,MAGALLANIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-22442018000100279 ,10.4067/S0718-22442018000100279 
28,Pablo Oyarzun R.,Fear and abyss: Two figures of power,2017,CR-THE NEW CENTENNIAL REVIEW,SCOPUS/ISI/UCH/VID,,
29,"Oyarzun, RP",AT THE SAME TIME ANIMAL,2017,REVISTA DE FILOSOFIA,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-43602017000100211,10.4067/S0718-43602017000100211
30,"Oyarzun, P","External Things, the Subject, and Language Lichtenberg and Kant",2017,CR-THE NEW CENTENNIAL REVIEW,ISI/SCOPUS/UCH/VID,,
31,"Oyarzun, P","Benjamin, Lichtenberg, the Hump, and the Splinters",2017,ENRAHONAR-QUADERNS DE FILOSOFIA,ESCI/UCH/VID,http://dx.doi.org/10.5565/rev/enrahonar.1038,10.5565/rev/enrahonar.1038
32,"Oyarzun, P","EVENT AND TELEOLOGY A CLUE TO THE ""READING"" OF KANT IN KLEIST",2017,IDEAS Y VALORES,ISI/SCIELO-otros paises /SCOPUS/UCH/VID,http://dx.doi.org/10.15446/ideasyvalores.v66n163.61802,10.15446/ideasyvalores.v66n163.61802
33,"Pey, R;Oyarzun, P",NEED OF THE HUMANITIES ITS PLACE IN THE UNIVERSITY,2013,REVISTA CHILENA DE LITERATURA,SCOPUS/SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0718-22952013000200007,10.4067/S0718-22952013000200007
34,"Oyarzun, P",On the Concept of Authority,2011,CR-THE NEW CENTENNIAL REVIEW,ISI/SCOPUS/UCH/VID,,
35,"Oyarzun R, P",The Writing of Courage,2011,CR-THE NEW CENTENNIAL REVIEW,ISI/SCOPUS/UCH/VID,,
