,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,CA03/22,Edén,01/07/2023,01/07/2024,A. Campusano,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
1,CREA-2-2,"EMOVERE: Cuerpo, sonido y movimiento
",01/03/2014,01/07/2015,"M. Morand / E. Coloma, E. Hamuy, A. Campusano, J. Jaimovich",Departamento de Danza,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
2,CA15/20,"Textil Sonoro, memorias entrelazadas del cuerpo y la escena",01/06/2021,01/08/2022,M. Lobos,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
3,490056,"Imaginarios en tránsito 1995 - 2015, La Cuadrienal de Praga y las transformaciones de las prácticas del diseño escénico en Chile",01/03/2019,01/03/2020,M. Lobos,Departamento de Teatro,Fondos de Cultura,Fondart Nacional
4,U-CREA-2014-73412,"El lugar de la mirada. Investigaciones en torno al espacio, el tiempo y la frontera",01/07/2014,01/07/2015,M. Lobos,Departamento de Teatro,Fondo Central de Investigación,Fondo de Creación Artística
5,UCREAC-2011-3524,"Espacio, lugar y corporalidad como soportes para la creación escénica interdisciplinar",01/12/2011,01/12/2011,M. Lobos,Departamento de Teatro,Fondo Central de Investigación,U-APOYA LINEA 4 : CREACIÓN ARTÍSTICA
6,CA06/13,Origen y Estereotípo del traje de la mujer campesina del valle central de Chile,01/07/2006,01/07/2007,M. Lobos,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
7,36610,"Reversible: proyecto Praga 2007, diseño teatral Universidad de Chile",01/12/2006,01/12/2007,M. Lobos,Departamento de Teatro,FONDART,Artes Integradas
8,SOC-03/9-2,La visualidad escénica del actual Teatro Chileno Independiente,01/03/2003,01/03/2003,M. Lobos / S. Navarro,Departamento de Teatro,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
9,131688,Diseño teatral Chile-Praga 2002. Salon de alumnos,01/12/2002,01/12/2003,M. Lobos,Departamento de Teatro,FONDART,Artes Integradas
10,CA99/010,Diseño teatral en Chile: un lenguaje actual que nació en la década del 40,01/03/1999,01/03/2000,S. Navarro / M. Lobos,Departamento de Teatro,Fondo Central de Investigación,CREACION ARTISTICA DID
11,CSSOC-2012-262,Diseño y construcción de un instrumento de evaluación de conductas musicales para  el acceso de aspirantes a estudios de Música en la Universidad de Chile,01/09/2012,01/09/2012,C. Merino / M. Oyanedel,Departamento de Música,Fondo Central de Investigación,"U-APOYA: CS SOCIALES, HUMANIDADES, ARTES Y EDUCACIÓN"
12,CREA-3-4,"Acciones coreográficas, tentativas de creación interdisciplinaria en el Departamento de Danza",01/12/2015,01/09/2016,"E. Coloma / M. Retamales, N. Gutes, D. Marini",Departamento de Danza,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
