,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,663599,Lo que nos queda por hablar. Una exposición colectiva en torno a la memoria,01/03/2023,01/03/2024,A. Cura,Departamento de Artes Visuales,Fondos de Cultura,Fondart Regional
1,3210457,Paisaje Sonoro en áreas silvestres protegidas: Patrimonio natural intangible e interacciones antrópicas,01/08/2020,01/08/2020,P. Kogan / J. Jaimovich,Departamento de Sonido,FONDECYT,Postdoctorado
2,3201025,PATRIMONIO SONORO AMBIENTAL: Investigación Multidimensional del Paisaje Sonoro en Áreas Verdes Urbanas,01/12/2019,01/12/2019,P. Kogan / J. Jaimovich,Departamento de Sonido,FONDECYT,Postdoctorado
3,536060,"""Archivo Asuar""",01/01/2020,01/06/2021,J. Jaimovich,Departamento de Sonido,Fondos de Cultura,Fondo de la Música
4,490301,Intersecciones Frágiles,01/03/2019,01/03/2020,J. Jaimovich / M. Morand,Departamento de Sonido,Fondos de Cultura,Fondart Nacional
5,CA20/18,Intersecciones frágiles,01/08/2018,01/02/2020,J. Jaimovich,Departamento de Sonido,Fondo Central de Investigación,CREACION ARTISTICA DID
6,1180722,"La investigación conducida por la práctica artística en Chile: genealogía crítico-analítica de estrategias, procedimientos y criterios de evaluación",01/08/2017,01/08/2017,J. Jaimovich,PUC. Instituto de Música,FONDECYT,Regular
7,1171342,"Nuevas miradas para la investigación artística en Chile: propuesta de estrategias, procedimientos y criterios de evaluación de las metodologías de investigación conducidas por la práctica artística",01/09/2016,01/09/2016,J. Jaimovich,PUC. Instituto de Música,FONDECYT,Regular
8,CREA-2-2,"EMOVERE: Cuerpo, sonido y movimiento
",01/03/2014,01/07/2015,"M. Morand / E. Coloma, E. Hamuy, A. Campusano, J. Jaimovich",Departamento de Danza,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
9,79130041,Identificación de Patrones Musicales Asociados a Cambios Observables en el Sistema Nervioso Autónomo para Uso en Interacciones Musicales,01/11/2013,01/11/2016,J. Jaimovich / S. Floody,Departamento de Música,Programa de Capital Humano Avanzado,Inserción de Capital Humano en la Academia
