,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Iturriaga R., Del Rio R., Alcayaga J.",Carotid Body Inflammation: Role in Hypoxia and in the Anti-inflammatory Reflex,2022,PHYSIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1152/physiol.00031.2021,10.1152/physiol.00031.2021
1,"Iturriaga, R; Alcayaga, J; Chapleau, MW; Somers, VK","CAROTID BODY CHEMORECEPTORS: PHYSIOLOGY, PATHOLOGY, AND IMPLICATIONS FOR HEALTH AND DISEASE",2021,PHYSIOLOGICAL REVIEWS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1152/physrev.00039.2019,10.1152/physrev.00039.2019
2,"Andrade, DC; Toledo, C; Diaz, HS; Pereyra, KV; Schwarz, KG; Diaz-Jara, E; Melipillan, C; Rios-Gallardo, AP; Uribe-Ojeda, A; Alcayaga, J; Quintanilla, RA; Iturriaga, R; Richalet, JP; Voituron, N; Del Rio, R",Carbamylated form of human erythropoietin normalizes cardiorespiratory disorders triggered by intermittent hypoxia mimicking sleep apnea syndrome,2021,JOURNAL OF HYPERTENSION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1097/HJH.0000000000002756,10.1097/HJH.0000000000002756
3,"Paredes-Zuniga, S; Trost, N; De la Paz, JF; Alcayaga, J; Allende, ML",Behavioral effects of triadimefon in zebrafish are associated with alterations of the dopaminergic and serotonergic pathways,2019,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.pnpbp.2018.12.012,10.1016/j.pnpbp.2018.12.012
4,"Andrade, DC; Toledo, C; Diaz, HS; Lucero, C; Arce-Alvarez, A; Oliveira, LM; Takakura, AC; Moreira, TS; Schultz, HD; Marcus, NJ; Alcayaga, J; Del Rio, R",Ablation of brainstem C1 neurons improves cardiac function in volume overload heart failure,2019,CLINICAL SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1042/CS20180589,10.1042/CS20180589
5,"Vio, CP; Salas, D; Cespedes, C; Diaz-Elizondo, J; Mendez, N; Alcayaga, J; Iturriaga, R",Imbalance in Renal Vasoactive Enzymes Induced by Mild Hypoxia: Angiotensin-Converting Enzyme Increases While Neutral Endopeptidase Decreases,2018,FRONTIERS IN PHYSIOLOGY,ISI/UCH/VID,http://dx.doi.org/10.3389/fphys.2018.01791,10.3389/fphys.2018.01791
6,"Andrade, DC; Iturriaga, R; Toledo, C; Lucero, CM; Diaz, HS; Arce-Alvarez, A; Retamal, MA; Marcus, NJ; Alcayaga, J; Del Rio, R",Topical Application of Connexin43 Hemichannel Blocker Reduces Carotid Body-Mediated Chemoreflex Drive in Rats,2018,ARTERIAL CHEMORECEPTORS: NEW DIRECTIONS AND TRANSLATIONAL PERSPECTIVES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/978-3-319-91137-3_7,10.1007/978-3-319-91137-3_7
7,"Andrade, DC; Iturriaga, R; Jeton, F; Alcayaga, J; Voituron, N; Del Rio, R",Acute Effects of Systemic Erythropoietin Injections on Carotid Body Chemosensory Activity Following Hypoxic and Hypercapnic Stimulation,2018,ARTERIAL CHEMORECEPTORS: NEW DIRECTIONS AND TRANSLATIONAL PERSPECTIVES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/978-3-319-91137-3_12,10.1007/978-3-319-91137-3_12
8,"Alcayaga, J; Del Rio, R; Moya, EA; Freire, M; Iturriaga, R",Effects of vagotomy on cardiovascular and heart rate variability alterations following chronic normobaric hypoxia in adult rabbits,2018,BIOLOGICAL RESEARCH,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.1186/s40659-018-0207-2,10.1186/s40659-018-0207-2
9,"Retamal, MA; Riquelme, MA; Stehberg, J; Alcayaga, J","Connexin43 Hemichannels in Satellite Glial Cells, Can They Influence Sensory Neuron Activity?",2017,FRONTIERS IN MOLECULAR NEUROSCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fnmol.2017.00374,10.3389/fnmol.2017.00374
10,"Navarrete-Opazo, A; Alcayaga, J; Sepulveda, O; Rojas, E; Astudillo, C","Repetitive Intermittent Hypoxia and Locomotor Training Enhances Walking Function in Incomplete Spinal Cord Injury Subjects: A Randomized, Triple-Blind, Placebo-Controlled Clinical Trial",2017,JOURNAL OF NEUROTRAUMA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1089/neu.2016.4478,10.1089/neu.2016.4478
11,"Navarrete-Opazo, A; Alcayaga, JJ; Sepulveda, O; Varas, G",Intermittent Hypoxia and Locomotor Training Enhances Dynamic but Not Standing Balance in Patients With Incomplete Spinal Cord Injury,2017,Archives of Physical Medicine and Rehabilitation,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.apmr.2016.09.114,10.1016/j.apmr.2016.09.114
12,"Vera, J; Alcayaga, J; Sanhueza, M",Competition between Persistent Na+ and Muscarine-Sensitive K+ Currents Shapes Perithreshold Resonance and Spike Tuning in CA1 Pyramidal Neurons,2017,FRONTIERS IN CELLULAR NEUROSCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fncel.2017.00061,10.3389/fncel.2017.00061
13,"Alcayaga, J; Oyarce, MP; Del Rio, R",Chronic phenytoin treatment reduces rat carotid body chemosensory responses to acute hypoxia,2016,BRAIN RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.brainres.2016.08.027,10.1016/j.brainres.2016.08.027
14,"Navarrete-Opazo, A; Alcayaga, J; Testa, D; Quinteros, AL",Intermittent Hypoxia Does not Elicit Memory Impairment in Spinal Cord Injury Patients,2016,ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1093/arclin/acw012,10.1093/arclin/acw012
15,"Alcayaga, J; Oyarce, MP; Iturriaga, R",Chronic Phenytoin Treatment Reduces Hypoxic Ventilatory Responses in Rats,2015,FASEB JOURNAL,ISI/UCH/VID,,
16,"Retamal, MA; Reyes, EP; Alcayaga, J",Petrosal ganglion: a more complex role than originally imagined,2014,FRONTIERS IN PHYSIOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3389/fphys.2014.00474,10.3389/fphys.2014.00474
17,"Retamal, MA; Alcayaga, J; Verdugo, CA; Bultynck, G; Leybaert, L; Saez, PJ; Fernandez, R; Leon, LE; Saez, JC",Opening of pannexin- and con nexin-based channels increases the excitability of nodose ganglion sensory neurons,2014,FRONTIERS IN CELLULAR NEUROSCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fncel.2014.00158,10.3389/fncel.2014.00158
18,"Ortiz, FC;Vergara, C;Alcayaga, J",Micromolar copper modifies electrical properties and spontaneous discharges of nodose ganglion neurons in vitro,2014,BIOMETALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10534-013-9685-4,10.1007/s10534-013-9685-4
19,"Icekson, G; Dominguez, CV; Dedios, VP; Arroyo, J; Alcayaga, J",Petrosal ganglion responses to acetylcholine and ATP are enhanced by chronic normobaric hypoxia in the rabbit,2013,RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.resp.2013.07.023,10.1016/j.resp.2013.07.023
20,"Ebensperger, G; Reyes, VR; Alcayaga, J; Ortiz, FC; Varas, R; Del Rio, R ;Iturriaga, R",Inhibition of rat carotid body glomus cells TASK-like channels by acute hypoxia is enhanced by chronic intermittent hypoxia,2013,RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.resp.2012.11.015,10.1016/j.resp.2012.11.015
21,"Alcayaga, J; Del Rio, R; Moya, EA; Freire, M; Iturriaga, R",Rabbit Ventilatory Responses to Peripheral Chemoexcitators: Effects of Chronic Hypoxia,2012,ARTERIAL CHEMORECEPTION: FROM MOLECULES TO SYSTEMS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/978-94-007-4584-1_42,10.1007/978-94-007-4584-1_42
22,"Moya, EA;Alcayaga, J;Iturriaga, R",NO modulation of carotid body chemoreception in health and disease,2012,RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.resp.2012.03.019,10.1016/j.resp.2012.03.019
23,"Soto, CR ; Ortiz, FC ; Vargas, RV ; Arroyo, J ; Alcayaga, J",Responses induced by acetylcholine and ATP in the rabbit petrosal ganglion,2010,RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.resp.2010.05.003,10.1016/j.resp.2010.05.003
24,"Del Rio, R; Moya, EA; Alcayaga, J; Iturriaga, R; Nurse, CA Peers, C",Evidence for Histamine as a New Modulator of Carotid Body Chemoreception,2009,ARTERIAL CHEMORECEPTORS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-90-481-2259-2_20,10.1007/978-90-481-2259-2_20
25,"Iturriaga, R; Rey, S; Del Rio, R; Moya, EA; Alcayaga, J; Nurse, CA; Peers, C",Cardioventilatory Acclimatization Induced by Chronic Intermittent Hypoxia,2009,ARTERIAL CHEMORECEPTORS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-90-481-2259-2_37,10.1007/978-90-481-2259-2_37
26,"Del Rio, R; Moya, EA; Koenig, CS; Fujiwara, K; Alcayaga, J; Iturriaga, R",Modulatory effects of histamine on cat carotid body chemoreception,2008,RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.resp.2008.09.005,10.1016/j.resp.2008.09.005
27,"Gil, PM; Gurovich, L; Schaffer, B; Alcayaga, J; Rey, S; Iturriaga, R",Root to leaf electrical signaling in avocado in response to light and soil water content,2008,JOURNAL OF PLANT PHYSIOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jplph.2007.07.014,10.1016/j.jplph.2007.07.014
28,"Iturriaga, R ; Varas, R ; Alcayaga, J",Electrical and pharmacological properties of petrosal ganglion neurons that innervate the carotid body,2007,RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.resp.2006.12.006,10.1016/j.resp.2006.12.006
29,"Iturriaga, R ; Alcayaga, J","Effects of intermittent hypoxia on cat petrosal ganglion responses induced by acetylcholine, adenosine 5 '-triphosphate and NaCN",2007,BRAIN RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.brainres.2006.10.051,10.1016/j.brainres.2006.10.051
30,"Alcayaga, C ; Varas, R ; Valdes, V ; Cerpa, V ; Arroyo, J ; Iturriaga, R ; Alcayaga, J",ATP- and ACh-induced responses in isolated cat petrosal ganglion neurons,2007,BRAIN RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.brainres.2006.11.012,10.1016/j.brainres.2006.11.012
31,"Iturriaga, R; Rey, S; Alcayaga, J; Del Rio, REditor; Gonzalez, C; Kondo, H",Chronic intermittent hypoxia enhances carotid body chemosensory responses to acute hypoxia,2006,ARTERIAL CHEMORECEPTORS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/0-387-31311-7_35,10.1007/0-387-31311-7_35
32,"Alcayaga, Y; Soto, CR; Vargas, RV; Ortiz, FC; Arroyo, J; Iturriaga, REditor; Gonzalez, C; Kondo, H",Carotid body transmitters actions on rabbit petrosal ganglion in vitro,2006,ARTERIAL CHEMORECEPTORS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/0-387-31311-7_51,10.1007/0-387-31311-7_51
33,"Ortiz, FC; Alcayaga, J",Electrophysiological characterization of rabbit petrosal and nodose ganglion neurons,2006,PLACENTA,ISI/UCH/VID,,
34,"Vargas, RV; Valdes, V; Alcayaga, J",Effects of serotonin and dopamine on rabbit petrosal ganglion isolated neurons,2006,PLACENTA,ISI/UCH/VID,,
35,"Varas, R; Valdes, V; Iturriaga-Vasquez, P; Cassels, BK; Iturriaga, R; Alcayaga, J",Electrophysiological characterization of nicotinic acetylcholine receptors in cat petrosal ganglion neurons in culture: Effects of cytisine and its bromo derivatives,2006,BRAIN RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.brainres.2005.12.006,10.1016/j.brainres.2005.12.006
