,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1230427,"Yeasts life at cold: comparative studies of biodiversity and adaptative strategies among Antarctica, Alps, and Altiplano",01/03/2023,01/03/2027,M. Baeza / J. Alcaíno,Departamento de Ciencias Ecológicas,FONDECYT,Regular
1,1220086,"Yeasts life at cold: comparative studies among Antarctica, Alps, and Altiplano",01/08/2021,01/08/2021,M. Baeza / J. Alcaíno,Departamento de Ciencias Ecológicas,FONDECYT,Regular
2,1220384,Structural and Functional Studies of the Sterol Regulatory Element-Binding Protein (SREBP) pathway: finding missing pieces of this puzzle in the red yeast Xanthophyllomyces dendrorhous,01/04/2022,01/04/2026,J. Alcaíno / M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Regular
3,1210433,The Sterol Regulatory Element-Binding Protein (SREBP) pathway in the red yeast Xanthophyllomyces dendrorhous: finding missing pieces of this striking puzzle,01/08/2020,01/08/2020,J. Alcaíno / M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Regular
4,ENL08/20,La vía de regulación SREBP (Sterol Regulatory Element-Binding Protein): un puente que interconecta las rutas de síntesis de esteroles y de carotenoides en la levadura carotenogénica Xanthophyllomyces dendrorhous,01/08/2020,01/08/2021,J. Alcaíno,Departamento de Ciencias Ecológicas,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
5,1200207,Regulation and scope of the Sterol Regulatory Element-Binding Protein (SREBP) pathway in the red yeast Xanthophyllomyces dendrorhous,01/08/2019,01/08/2019,J. Alcaíno / M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Regular
6,1180233,Cold-adaptation mechanisms and cold-response of Antarctic yeasts: A global study from genomic to protein structure adaptation,01/03/2018,01/03/2022,M. Baeza / J. Alcaíno,Departamento de Ciencias Ecológicas,FONDECYT,Regular
7,ID18I10001,"Desarrollo de una nueva fitasa con propiedades adecuadas a las condiciones presentes en la industria del salmón, para mejorar la nutrición de los peces",01/04/2018,01/04/2018,M. Baeza / J. Alcaíno,Departamento de Ciencias Ecológicas,FONDEF,IDEA
8,1180520,"Regulation of the biosynthesis of secondary metabolites, carotenoides and mycosporins, in the yeast Xanthophyllomyces dendrorhous: a genetic dissection study of regulation mediated by the Cyc8-Tup1 complex",01/03/2018,01/03/2022,"J. Alcaíno, M. Baeza",Departamento de Ciencias Ecológicas,FONDECYT,Regular
9,REDI170239,Esfuerzo colaborativo internacional para la caracterización funcional de genes adquiridos por transferencia horizontal en levaduras,01/11/2017,01/11/2019,J. Alcaíno,"Centro de Estudios en Ciencia y Tecnología de los Alimentos, CECTA",Cooperación Internacional: Multilateral y vinculación,Apoyo A La Formación De Redes Internacionales_Inicial
10,EQM170052,"Adquisición de un sistema de control automatizado de biorreactores ¿Biostat B¿, para realizar investigación orientada a la industria de alimentos nacional en la Universidad de Santiago de Chile",01/09/2017,01/03/2019,J. Alcaíno,"Centro de Estudios en Ciencia y Tecnología de los Alimentos, CECTA",FONDEQUIP,Concurso de Equipamiento Científico
11,1170250,"Global adaptation of Antarctic yeasts to live at low temperatures and to respond to the cold stress: fusing OMICs, classical Molecular, Biochemical and microbiological approaches",01/09/2016,01/09/2016,M. Baeza / J. Alcaíno,Departamento de Ciencias Ecológicas,FONDECYT,Regular
12,1160202,Regulation of the Biosynthesis of Isoprenoids in the Red Yeast Xanthophyllomyces dendrorhous: Structural and Functional Organization of the Sterol Responsive Element Binding Protein (SREBP) Regulatory Mechanism,01/04/2016,01/04/2020,J. Alcaíno / M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Regular
13,1140504,"Catabolite repression as a mechanism for regulating the biosynthesis of the secondary metabolites: carotenoids and mycosporines, in Xanthophyllomyces dendrorhous.",01/03/2014,01/03/2017,"J. Alcaíno, M. Baeza",Departamento de Ciencias Ecológicas,FONDECYT,Regular
14,EQUIP-02/2014,Cromatógrafo en contra corriente de alta resolución,01/12/2014,01/12/2014,"C. Areche / J. Alcaíno, H. Pessoa, I. Vaca, R. Cabrera",Departamento de Química,FONDEQUIP,Concurso de Equipamiento Científico
15,EQM-13030,Cromatografo en contra corriente de alta resolución,01/12/2013,01/12/2013,"C. Areche / J. Alcaíno, H. Pessoa, I. Vaca, R. Cabrera",Departamento de Química,FONDEQUIP,Concurso de Equipamiento Científico
16,1130333,Genetic-physiological adaptation mechanisms of yeasts to Antarctic environmental conditions,01/03/2013,01/03/2017,M. Baeza / J. Alcaíno,Departamento de Ciencias Ecológicas,FONDECYT,Regular
17,EQM-120208,Equipo de cristalización High-Troughput de proteínas,01/12/2012,01/12/2013,"R. Cabrera / F. Chávez, J. Alcaíno, V. Guixe, M. Baez, M. Handford, J. Babul",Departamento de Biología,FONDEQUIP,Concurso de Equipamiento Científico
18,RG_07-12,Análisis y sobreproducción de metabolitos de interés biotecnológico en cepas antárticas de levaduras Xanthophyllomyces dendrorhous,01/11/2012,01/12/2014,J. Alcaíno,Departamento de Ciencias Ecológicas,INACH,Inst. Nacional Antártico de Chile
19,ANM-25,Núcleo milenio de ciencia y educación: Enseñar y aprender ciencias en el mundo de hoy,01/01/2013,01/01/2013,"A. Galdámez / J. Orlando, M. Handford, C. Areche, C. Stange, J. Alcaíno, J. Camacho, V. Muñoz",Departamento de Estudios Pedagógicos,Iniciativa científica Milenio,Núcleos Milenio
20,11121200,Regulation of the biosynthesis of isoprenoids and characterization of the ergosterol biosynthesis in the yeast Xanthophyllomyces dendrorhous,01/10/2012,01/10/2015,J. Alcaíno,Departamento de Ciencias Ecológicas,FONDECYT,Iniciación en Investigación
21,11110067,Characterization and functional study of genes involved in P450 systems in the basidiomycete yeast Xanthophyllomyces dendrorhous,01/10/2011,01/10/2011,J. Alcaíno,Departamento de Ciencias Ecológicas,FONDECYT,Iniciación en Investigación
22,I 10/01-2,Estudio de la organización genética estructural de los genes de citocromo P450 monooxygenasas (P450ome) en la levadura carotenogénica Xanthophyllomyces dendrorhous,01/08/2010,01/08/2012,J. Alcaíno,Departamento de Ciencias Ecológicas,Fondo Central de Investigación,INICIACION
23,11100036,Study of the structural genetic organization of the P450 monooxygenase genes (P450ome) in the carotenogenic yeast Xanthophylomyces dendrorhous,01/10/2010,01/10/2010,J. Alcaíno,Departamento de Ciencias Ecológicas,FONDECYT,Iniciación en Investigación
24,1201643,Linking tree diiversity and litter decomposition via plant-soil-feedbacks across forest ecosystems,01/03/2020,01/03/2024,"Ã. Gutiérrez, J. Armesto",PUC. Depto. de Ecología,FONDECYT,Regular
25,1120281,Carbon stocks and fluxes in a North Patagonia old-growth forest,01/03/2012,01/03/2012,"J. Pérez / J. Armesto, J. Fuentes",DEPTO. CS. AMBIENTALES Y RECURSOS NATURALES RENOVABLES,FONDECYT,Regular
26,BBVA3,Conservación de mutualismos de dispersión entre el raro marsupial arbóreo Dromiciops gliroides y epífitas con frutos carnosos en el bosque templado austral,01/12/2007,01/12/2010,J. Armesto,Instituto Mediterráneo de estudios Avanzados (IMEDEA),Fundación BBVA,Fundación BBVA
27,3070030,Mecanismos ecológicos que explican la evolución concertada de la autogamia y de la especialización de los sistemas de polinización en la especie altoandina Schizanthus grahamii (Solanaceae),01/03/2007,01/03/2009,J. Armesto,Escuela de Postgrado,FONDECYT,Postdoctorado
28,PFB23,Corporación Instituto de Ecología y Biodiversidad,01/12/2007,01/12/2020,"M. Kalin / J. Armesto, L. Hinojosa, R. Scherson, R. Vásquez, E. Poulin, P. Moreno, M. Rojas, D. Véliz, R. Bustamante",Departamento de Ciencias Ecológicas,Programa Financiamiento Basal,Basal
29,P05/002-F,Instituto de Ecología y Biodiversidad (IEB),01/12/2005,01/12/2015,"M. Kalin / M. Rojas, L. Hinojosa, R. Scherson, R. Vásquez, R. Bustamante, J. Armesto, D. Véliz, E. Poulin, P. Moreno",Departamento de Ciencias Ecológicas,Iniciativa científica Milenio,Institutos Milenios
30,ICA4-CT-2001-10095,"Biodiversity Conservation, Restoration and Sustainable Use in Fragmented Forest Landscapes",01/12/2002,01/12/2005,J. Armesto,UNEP-WCMC,International Cooperation with Developing Countries,INCO-DC
31,1020956,"Phylogenetic and ecological approaches to styudying the relationship and consequences of adult longevity on breeding system, seed longevity, floral morphology and biogeographical patterns in the South American genus Chaetanthera..",01/03/2002,01/03/2006,"M. Kalin / R. Medel, J. Armesto",Departamento de Ciencias Ecológicas,FONDECYT,Regular
32,15010001,Centro de Estudios avanzados en ecología y biodiversidad (CASEB),01/12/2001,01/12/2011,"C. Veloso, J. Armesto, L. Hinojosa, M. Méndez, A. Sabat",PUC. Depto. de Ecología,FONDAP,Programa FONDAP
33,2010008,"Interacciones entre luz, metabólicos secundarios y herviboria: efectos sobre el crecimiento y sobrevivencia de plántulas arboreas en un bosque de Chiloé",01/03/2001,01/03/2004,J. Armesto,Departamento de Biología,FONDECYT,Doctorado
34,2000022,"Fijación no-simbiotica de n, asociada a la detritosfera de un bosque templado-lluvioso en Chiloe: regulación interna y su relación con el proceso de descomposición",01/03/2000,01/03/2003,J. Armesto,Departamento de Biología,FONDECYT,Doctorado
35,1990946,Mecanismos biológicos que regulan el ciclo interno de nitrógeno en una sucesión secundaria en bosques de sectores bajos de la Isla de Chiloé,01/03/1999,01/03/2002,J. Armesto / M. Kalin,Departamento de Biología,FONDECYT,Regular
36,1980705,Análisis de los patrones de biodiversidad vegetal de la zona de clima mediterráneo de Chile y de sus áreas protegidas: antecedentes para fortalecer el sistema nacional de áreas protegidas,01/03/1998,01/03/2001,M. Kalin / J. Armesto,Departamento de Biología,FONDECYT,Regular
37,CP-1998/5,Funciones claves en la biodiversidad del bosque lluvioso chileno,01/12/1998,01/12/2000,J. Armesto,Departamento de Ciencias Ecológicas,Cátedras Presidenciales,Cátedra Presidencial
38,EXP98/019 ,Red escolar de observación de aves migratorias,01/12/1998,01/12/1999,J. Armesto,Departamento de Biología,Explora,Divulgación y Valoración de CTI
39,2970024,Selección fenotípica sobre el color de los frutos mediada por aves dispersantes: gaui,01/03/1997,01/03/1999,J. Armesto,Departamento de Biología,FONDECYT,Doctorado
40,IC18970146,,31/12/1997,31/12/2000,J. Armesto,,Comunidad Económica Europea,INCO-DC
41,CSIC-1997/14,Dinámica de la dispersión biótica de semillas en bosques insulares fragmentados por la actividad humana,01/03/1997,01/03/1999,J. Armesto,Departamento de Ciencias Ecológicas,Fondo Central de Investigación,CSIC/U. DE CHILE
42,9602917,,31/12/1996,31/12/1998,J. Armesto,,National Science Foundation (NSF),NSF-Americas
43,1950461,Soil seed banks in chilean plan communities: Ecological correlates and relationship with plant breeding systems,01/03/1995,01/03/1998,M. Kalin / J. Armesto,Departamento de Biología,FONDECYT,Regular
44,ISP/1-033,,31/12/1995,31/12/1997,J. Armesto,,IAI,ISP
45,2950071,EVOLUCION DE LA LATENCIA DE SEMILLAS DE ESPECIES DEL BOSQUE TEMPLADO HUMEDO DE CHILOE,01/03/1995,01/03/1998,J. Armesto,Departamento de Biología,FONDECYT,Doctorado
46,9200111,,31/12/1992,31/12/1994,M. Kalin,,National Science Foundation (NSF),NSF-East Asia and Pacific
47,1910844,Biogeografía histórica y conservación de las comunidades relictas de la Cordillera de la Costa de Chile (30-44°S),01/03/1991,01/03/1994,C. Villagrán / J. Armesto,Departamento de Biología,FONDECYT,Regular
48,3240102,Identificación de levaduras productoras de melatonina como respuesta adaptativa a condiciones de estrés por frío y/o oxidativo,01/06/2023,01/06/2023,M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Postdoctorado
49,3230021,"Aislamiento de levaduras Antárticas productoras de metabolitos antioxidantes de interés comercial, y optimización de su producción a nivel de laboratorio",01/03/2023,01/03/2023,M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Postdoctorado
50,1230427,"Yeasts life at cold: comparative studies of biodiversity and adaptative strategies among Antarctica, Alps, and Altiplano",01/03/2023,01/03/2027,M. Baeza / J. Alcaíno,Departamento de Ciencias Ecológicas,FONDECYT,Regular
51,1220384,Structural and Functional Studies of the Sterol Regulatory Element-Binding Protein (SREBP) pathway: finding missing pieces of this puzzle in the red yeast Xanthophyllomyces dendrorhous,01/04/2022,01/04/2026,J. Alcaíno / M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Regular
52,ENL03/22,"Aislamiento e identificación de levaduras desde el altiplano chileno, y análisis comparativo de uso de codones en diversas levaduras",01/07/2022,01/07/2023,M. Baeza,Departamento de Ciencias Ecológicas,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
53,1220086,"Yeasts life at cold: comparative studies among Antarctica, Alps, and Altiplano",01/08/2021,01/08/2021,M. Baeza / J. Alcaíno,Departamento de Ciencias Ecológicas,FONDECYT,Regular
54,1210433,The Sterol Regulatory Element-Binding Protein (SREBP) pathway in the red yeast Xanthophyllomyces dendrorhous: finding missing pieces of this striking puzzle,01/08/2020,01/08/2020,J. Alcaíno / M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Regular
55,1200207,Regulation and scope of the Sterol Regulatory Element-Binding Protein (SREBP) pathway in the red yeast Xanthophyllomyces dendrorhous,01/08/2019,01/08/2019,J. Alcaíno / M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Regular
56,3190056,"Análisis genético, funcional y estructural de glucosa oxidasa, invertasa y fosfatasa alcalina con potencial aplicado provenientes de la levadura antártica Goffeauzyma gilvescens",01/10/2018,01/10/2018,M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Postdoctorado
57,ID18I10001,"Desarrollo de una nueva fitasa con propiedades adecuadas a las condiciones presentes en la industria del salmón, para mejorar la nutrición de los peces",01/04/2018,01/04/2018,M. Baeza / J. Alcaíno,Departamento de Ciencias Ecológicas,FONDEF,IDEA
58,RG_02-18,Enfoque metagenómico de la diversidad microbiana y el potencial metabólico de los hábitats terrestres antárticos,01/01/2019,01/01/2021,M. Baeza,Departamento de Ciencias Ecológicas,INACH,Inst. Nacional Antártico de Chile
59,1180233,Cold-adaptation mechanisms and cold-response of Antarctic yeasts: A global study from genomic to protein structure adaptation,01/03/2018,01/03/2022,M. Baeza / J. Alcaíno,Departamento de Ciencias Ecológicas,FONDECYT,Regular
60,1180520,"Regulation of the biosynthesis of secondary metabolites, carotenoides and mycosporins, in the yeast Xanthophyllomyces dendrorhous: a genetic dissection study of regulation mediated by the Cyc8-Tup1 complex",01/03/2018,01/03/2022,"J. Alcaíno, M. Baeza",Departamento de Ciencias Ecológicas,FONDECYT,Regular
61,3170498,Análisis a través de transcriptómica y proteómica de la respuesta al frío en la levadura Mrakia gelida,01/08/2016,01/08/2016,M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Postdoctorado
62,1170250,"Global adaptation of Antarctic yeasts to live at low temperatures and to respond to the cold stress: fusing OMICs, classical Molecular, Biochemical and microbiological approaches",01/09/2016,01/09/2016,M. Baeza / J. Alcaíno,Departamento de Ciencias Ecológicas,FONDECYT,Regular
63,ENL004/17,"Global adaptation of Antarctic yeasts to live at low temperatures and to respond to the cold stress: fusing OMICs, classical Molecular, Biochemical and microbiological approaches",01/08/2017,01/08/2017,M. Baeza,Departamento de Ciencias Ecológicas,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
64,1160202,Regulation of the Biosynthesis of Isoprenoids in the Red Yeast Xanthophyllomyces dendrorhous: Structural and Functional Organization of the Sterol Responsive Element Binding Protein (SREBP) Regulatory Mechanism,01/04/2016,01/04/2020,J. Alcaíno / M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Regular
65,3160242,Adaptación al frío en Mrakia gelida: Evaluación de la expresión génica a través de perfiles ómicos e identificación de blancos con potencial uso en biorremediación,01/06/2015,01/06/2015,M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Postdoctorado
66,1140504,"Catabolite repression as a mechanism for regulating the biosynthesis of the secondary metabolites: carotenoids and mycosporines, in Xanthophyllomyces dendrorhous.",01/03/2014,01/03/2017,"J. Alcaíno, M. Baeza",Departamento de Ciencias Ecológicas,FONDECYT,Regular
67,RT_07-13,"Estudios de la diversidad, adaptaciones y potencial aplicado de levaduras que colonizan hábitats terrestres antárticos",01/11/2013,01/12/2016,M. Baeza / D. Véliz,Departamento de Ciencias Ecológicas,INACH,Inst. Nacional Antártico de Chile
68,1130333,Genetic-physiological adaptation mechanisms of yeasts to Antarctic environmental conditions,01/03/2013,01/03/2017,M. Baeza / J. Alcaíno,Departamento de Ciencias Ecológicas,FONDECYT,Regular
69,CA12I10045,Utilización de levaduras como biocontroladores de bacterias y hongos fitopatógenos,01/06/2012,01/06/2012,M. Baeza,Departamento de Ciencias Ecológicas,FONDEF,IDEA
70,1120365,Antartic yeasts biodiversity and their potential as biotechnological resources,01/03/2012,01/03/2012,M. Baeza / D. Véliz,Departamento de Ciencias Ecológicas,FONDECYT,Regular
71,ANM-52,Núcleo milenio de estudios básicos y aplicados en ingeniería metabólica,01/01/2013,01/01/2013,"R. Cabrera / M. Baeza, M. Handford",Departamento de Biología,Iniciativa científica Milenio,Núcleos Milenio
72,VIU110042,"Producción de enzimas psicrófilas: amilasa, celulasa, pectinasa y xilanasa para su aplicación a nivel industrial",01/11/2011,01/09/2013,M. Baeza,Departamento de Biología,FONDEF,VIU-etapa 2
73,1110128,Extrachromosomal genetics elements in xanthophyllomyces dendrorhous: identification and structural characterization.,01/03/2011,01/03/2011,M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Regular
74,CSIC10-14,Efecto del incremento de la dosis génica de genes implicados en la carotenogénesis y el metabolismo de carbohidratos en la biosíntesis de astaxantina en Xanthophyllomyces dendrorhous.,01/03/2010,01/03/2010,M. Baeza,Departamento de Ciencias Ecológicas,Fondo Central de Investigación,CSIC/U. DE CHILE
75,1100324,Molecular genetic study of the regulation of the carotenogenesis gene expression of Xanthophyllomyces dendrorhous,01/03/2010,01/03/2014,M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Regular
76,1100196,"Molecular identification and functional characterization of dsRNA viruses and linear dsDNA plasmids, and their genetic products, in Xanthophyllomyces dendrorhous",01/03/2010,01/03/2010,M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Regular
77,1090314,Molecular genetic study of the regulation of the carotenogenesis genes expression of Xanthophyllomyces dendrorhous.,01/03/2009,01/03/2009,M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Regular
78,T_23-09,Biogeografía y biodiversidad de levaduras antárticas y su potencial biotecnológico,01/12/2009,01/12/2012,M. Baeza / D. Véliz,Departamento de Ciencias Ecológicas,INACH,Inst. Nacional Antártico de Chile
79,1080354,Estudio genético molecular de la regulación de la expresión de los genes de carotenogénesis en Xanthophyllomyces dendrorhous.,01/03/2008,01/03/2008,M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Regular
80,07CN13PZT-17,Desarrollo de una fuente natural eficiente de Astaxantina a partir de levaduras,01/12/2007,01/12/2010,"M. Baeza, B. Urzúa",Departamento de Ciencias Ecológicas,INNOVA,Innova. Concurso Nacional
81,1061104,"Organización genética estructural y funcional de los Plasmidios dsRNA involucrados en el sistema viral de Xanthophyllomyces dendrorhous
",01/03/2006,01/03/2006,M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Regular
82,11060157,Identificación y caracterización estructural y funcional de virus del tipo dsRNA en Xanthophyllomyces dendrorhous,01/03/2006,01/03/2009,M. Baeza,Departamento de Ciencias Ecológicas,FONDECYT,Iniciación en Investigación
83,MULT 06/01-2,Expresión de factores de virulencia en aislados de levaduras provenientes de sujetos periodontalmente sanos y de pacientes con periodontitis crónica y agresiva,01/12/2006,01/12/2006,M. Baeza,Departamento de Ciencias Ecológicas,Fondo Central de Investigación,CONCURSO MULTIDISCIPLINARIO EN TEMAS DE INTERES NACIONAL
84,MULT 05/02-2,Expresión de factores de virulencia en aislados de levaduras provenientes de sujetos periódicamente sanos y de pacientes con periodontitis crónica y agresiva,01/12/2005,01/12/2005,"M. Baeza, B. Urzúa",Departamento de Ciencias Ecológicas,Fondo Central de Investigación,CONCURSO MULTIDISCIPLINARIO EN TEMAS DE INTERES NACIONAL
85,FO-PRE-007,Caracterización fenotípica y genética de la microbiota de levaduras en pacientes con periodontitis crónica y agresiva,01/12/2004,01/12/2004,"J. Gamonal, B. Urzúa, G. Hermosilla, M. Baeza",Departamento de Ciencias Ecológicas,CONICYT/MINSAL,FONIS-Proyectos I&D
86,I-04/08-02,Estudio de la organización genética estructural y funcional del sistema Killer presente en Xanthophylomyces dendrorhous,01/03/2004,01/03/2006,M. Baeza,Departamento de Ciencias Ecológicas,Fondo Central de Investigación,INICIACION
87,CSIC-04/04,Estudio genético molecular de la organización funcional de los genes de carotenogénesis en Xanthophyllomyces dendrorhous (ex Phaffia rhodozyma),01/01/2005,01/12/2006,M. Baeza,Departamento de Ciencias Ecológicas,Fondo Central de Investigación,CSIC/U. DE CHILE
88,2990028,Inmunidad y mecanismo de transolación de la microcina E492 en la célula blanco,01/03/1999,01/03/2002,M. Baeza / R. Lagos,Departamento de Biología,FONDECYT,Doctorado
89,1240584,Role of lizards in the Chilean coastal cycle of Trypanosoma cruzi: Assessing prevalence and host competence,01/07/2023,01/07/2023,C. Botto,,FONDECYT,Regular
90,ATE230025,Research Ring in Pest Insects and Climate Change (PIC2),01/06/2023,01/06/2023,L. Castañeda / C. Botto,Instituto de Ciencias Biomédicas,Programa de Investigación Asociativa,Anillo de Investigación en Ciencia y Tecnología Temático
91,3230799,¿Una amenaza latente?: explorando la invasión y los potenciales impactos del geco exótico Tarentola mauritanica en Chile,01/03/2023,01/03/2026,C. Botto,Departamento de Ciencias Ecológicas,FONDECYT,Postdoctorado
92,1230975,Understanding Trypanosoma cruzi infection in insular triatomines (Mepraia): Assessing reptiles as competent hosts,01/08/2022,01/08/2022,C. Botto,Otras Instituciones,FONDECYT,Regular
93,1221045,"Lizards as silent reservoirs of Trypanosoma cruzi, the causal agent of Chagas disease",01/04/2022,01/04/2026,C. Botto,Departamento de Ciencias Ecológicas,FONDECYT,Regular
94,62141,VectorApp: Plataforma ciudadana de reporte e información de vectores,01/11/2022,01/11/2022,C. Botto,Departamento de Ciencias Ecológicas,Programa Ciencia Pública,Ciencia Pública para el Desarrollo de Productos de Divulgación del Conocimiento
95,ENL01/21,"Evaluación de infección por Trypanosoma cruzi, agente etiológico de la enfermedad de Chagas, en lagartijas del ecosistema semiárido-Mediterráneo",01/09/2021,01/09/2022,C. Botto,Departamento de Ciencias Ecológicas,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
96,1210301,"The role of lizards in the wild transmission cycle of Trypanosoma cruzi, the Chagas disease parasite",01/08/2020,01/08/2020,C. Botto,Departamento de Ciencias Ecológicas,FONDECYT,Regular
97,3190017,"Desarrollo de métodos para la detección y control domiciliario y peridomiciliario del género Mepraia, vectores de Trypanosoma cruzi en Chile",01/10/2018,01/10/2018,C. Botto,Departamento de Ciencias Ecológicas,FONDECYT,Postdoctorado
98,1170367,The role of reservoirs and vectors on trypanosoma cruzi transmission in semiarid Chile,01/04/2017,01/04/2021,C. Botto,Departamento de Ciencias Ecológicas,FONDECYT,Regular
99,1140521,Parasitism and skewed host sex ratio in a protozoan ¿ insect system: integrating field and laboratory evidence,01/03/2014,01/03/2017,C. Botto / M. Méndez,Departamento de Ciencias Ecológicas,FONDECYT,Regular
100,3140528,"Inter-individual network os spatial genetic variation in the hemiparasitic mistletoe tristerix corymbosus (Loranthecese): effects of plant neighborfood, pollination, and seed dispersal in a habitat transformation gradient",01/11/2013,01/11/2016,C. Botto,U. Católica de Valparaiso,FONDECYT,Postdoctorado
