,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Sepulveda, D; Campusano, S; Moline, M; Barahona, S; Baeza, M; Alcaino, J; Colabella, F; Urzua, B; Libkind, D; Cifuentes, V",Unraveling the Molecular Basis of Mycosporine Biosynthesis in Fungi,2023,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ijms24065930,10.3390/ijms24065930
1,"Martinez-Moya, P; Campusano, S; Sepulveda, D; Paradela, A; Alcaino, J; Baeza, M; Cifuentes, V","Role of ROX1, SKN7, and YAP6 Stress Transcription Factors in the Production of Secondary Metabolites in Xanthophyllomyces dendrorhous",2022,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ijms23169282,10.3390/ijms23169282
2,"Gonzalez, AM; Venegas, M; Barahona, S; Gomez, M; Gutierrez, MS; Sepulveda, D; Baeza, M; Cifuentes, V; Alcaino, J",Damage response protein 1 (Dap1) functions in the synthesis of carotenoids and sterols in Xanthophyllomyces dendrorhous,2022,JOURNAL OF LIPID RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jlr.2022.100175,10.1016/j.jlr.2022.100175
3,"Baeza, M; Zuniga, S; Peragallo, V; Gutierrez, F; Barahona, S; Alcaino, J; Cifuentes, V",Response to Cold: A Comparative Transcriptomic Analysis in Eight Cold-Adapted Yeasts,2022,FRONTIERS IN MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmicb.2022.828536,10.3389/fmicb.2022.828536
4,"Gomez, M; Baeza, M; Cifuentes, V; Alcaino, J",The SREBP (Sterol Regulatory Element-Binding Protein) pathway: a regulatory bridge between carotenogenesis and sterol biosynthesis in the carotenogenic yeast Xanthophyllomyces dendrorhous,2021,BIOLOGICAL RESEARCH,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.1186/s40659-021-00359-x,10.1186/s40659-021-00359-x
5,"Baeza, M; Zuniga, S; Peragallo, V; Barahona, S; Alcaino, J; Cifuentes, V",Identification of Stress-Related Genes and a Comparative Analysis of the Amino Acid Compositions of Translated Coding Sequences Based on Draft Genome Sequences of Antarctic Yeasts,2021,FRONTIERS IN MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmicb.2021.623171,10.3389/fmicb.2021.623171
6,"Gomez, M; Campusano, S; Gutierrez, MS; Sepulveda, D; Barahona, S; Baeza, M; Cifuentes, V; Alcaino, J",Sterol regulatory element-binding protein Sre1 regulates carotenogenesis in the red yeast Xanthophyllomyces dendrorhous,2020,JOURNAL OF LIPID RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1194/jlr.RA120000975,10.1194/jlr.RA120000975
7,"Fernandez, K; Alcaino, J; Sepulveda, D; Medel, R",Assessment of intestinal parasites in the coexisting Bombus terrestris (Apidae) and Xylocopa augusti (Apidae) in central Chile,2020,REVISTA CHILENA DE HISTORIA NATURAL,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.1186/s40693-020-00096-7,10.1186/s40693-020-00096-7
8,"Venegas, M; Barahona, S; Gonzalez, AM; Sepulveda, D; Zuniga, GE; Baeza, M; Cifuentes, V; Alcaino, J",Phenotypic Analysis of Mutants of Ergosterol Biosynthesis Genes (ERG3andERG4) in the Red YeastXanthophyllomyces dendrorhous,2020,FRONTIERS IN MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmicb.2020.01312,10.3389/fmicb.2020.01312
9,"Gomez, M; Gutierrez, MS; Gonzalez, AM; Garate-Castro, C; Sepulveda, D; Barahona, S; Baeza, M; Cifuentes, V; Alcaino, J",Metallopeptidase Stp1 activates the transcription factor Sre1 in the carotenogenic yeast Xanthophyllomyces dendrorhous,2020,JOURNAL OF LIPID RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1194/jlr.RA119000431,10.1194/jlr.RA119000431
10,"Martinez-Moya, P; Campusano, S; Cordova, P; Paradela, A; Sepulveda, D; Alcaino, J; Baeza, M; Cifuentes, V",Convergence between Regulation of Carbon Utilization and Catabolic Repression in Xanthophyllomyces dendrorhous,2020,MSPHERE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1128/mSphere.00065-20,10.1128/mSphere.00065-20
11,"Yuivar, Y; Alcaino, J; Cifuentes, V; Baeza, M",Characterization of gelatinase produced by Antarctic Mrakia sp.,2019,JOURNAL OF BASIC MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/jobm.201900126,10.1002/jobm.201900126
12,"Gutierrez, MS; Campusano, S; Gonzalez, AM; Gomez, M; Barahona, S; Sepulveda, D; Espenshade, PJ; Fernandez-Lobato, M; Baeza, M; Cifuentes, V; Alcaino, J",Sterol Regulatory Element-Binding Protein (Sre1) Promotes the Synthesis of Carotenoids and Sterols in Xanthophyllomyces dendrorhous,2019,FRONTIERS IN MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmicb.2019.00586,10.3389/fmicb.2019.00586
13,"Carrasco, M; Rozas, JM; Alcaino, J; Cifuentes, V; Baeza, M","Pectinase secreted by psychrotolerant fungi: identification, molecular characterization and heterologous expression of a cold-active polygalacturonase from Tetracladium sp.",2019,MICROBIAL CELL FACTORIES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12934-019-1092-2,10.1186/s12934-019-1092-2
14,"Baeza M., Fernández-Lobato M., Alcaíno J., Cifuentes V.",Isolation and characterization of extrachromosomal double-stranded RNA elements from carotenogenic yeasts,2018,Methods in Molecular Biology,SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-1-4939-8742-9_20,10.1007/978-1-4939-8742-9_20
15,"Villarreal, P; Carrasco, M; Barahona, S; Alcaino, J; Cifuentes, V; Baeza, M","Antarctic yeasts: analysis of their freeze-thaw tolerance and production of antifreeze proteins, fatty acids and ergosterol",2018,BMC MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12866-018-1214-8,10.1186/s12866-018-1214-8
16,"Yuivar, Y; Barahona, S; Alcaino, J; Cifuentes, V; Baeza, M","Biochemical and Thermodynamical Characterization of Glucose Oxidase, Invertase, and Alkaline Phosphatase Secreted by Antarctic Yeasts",2017,FRONTIERS IN MOLECULAR BIOSCIENCES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3389/fmolb.2017.00086,10.3389/fmolb.2017.00086
17,"Baeza, M; Barahona, S; Alcaino, J; Cifuentes, V",Amplicon-Metagenomic Analysis of Fungi from Antarctic Terrestrial Habitats,2017,FRONTIERS IN MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmicb.2017.02235,10.3389/fmicb.2017.02235
18,"Baeza M., Alcaíno J., Cifuentes V., Turchetti B., Buzzini P.",Cold-active enzymes from cold-adapted yeasts,2017,Biotechnology of Yeasts and Filamentous Fungi,SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-3-319-58829-2_10,10.1007/978-3-319-58829-2_10
19,"Cordova, P; Gonzalez, AM; Nelson, DR; Gutierrez, MS; Baeza, M; Cifuentes, V; Alcaino, J",Characterization of the cytochrome P450 monooxygenase genes (P450ome) from the carotenogenic yeast Xanthophyllomyces dendrorhous,2017,BMC GENOMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12864-017-3942-9,10.1186/s12864-017-3942-9
20,"Carrasco, M; Alcaino, J; Cifuentes, V; Baeza, M",Purification and characterization of a novel cold adapted fungal glucoamylase,2017,MICROBIAL CELL FACTORIES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12934-017-0693-x,10.1186/s12934-017-0693-x
21,"Troncoso, E; Barahona, S; Carrasco, M; Villarreal, P; Alcaino, J; Cifuentes, V; Baeza, M",Identification and characterization of yeasts isolated from the South Shetland Islands and the Antarctic Peninsula,2017,POLAR BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00300-016-1988-9,10.1007/s00300-016-1988-9
22,"Cordova, P; Alcaino, J; Bravo, N; Barahona, S; Sepulveda, D; Fernandez-Lobato, M; Baeza, M; Cifuentes, V",Regulation of carotenogenesis in the red yeast Xanthophyllomyces dendrorhous: the role of the transcriptional co-repressor complex Cyc8-Tup1 involved in catabolic repression,2016,MICROBIAL CELL FACTORIES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12934-016-0597-1,10.1186/s12934-016-0597-1
23,"Werner, N; Gomez, M; Baeza, M; Cifuentes, V; Alcaino, J",Functional characterization of thiolase-encoding genes from Xanthophyllomyces dendrorhous and their effects on carotenoid synthesis,2016,BMC MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12866-016-0893-2,10.1186/s12866-016-0893-2
24,"Barahona, S; Yuivar, Y; Socias, G; Alcaino, J; Cifuentes, V; Baeza, M",Identification and characterization of yeasts isolated from sedimentary rocks of Union Glacier at the Antarctica,2016,EXTREMOPHILES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/s00792-016-0838-6,10.1007/s00792-016-0838-6
25,"Alcaino, J; Bravo, N; Cordova, P; Marcoleta, AE; Contreras, G; Barahona, S; Sepulveda, D; Fernandez-Lobato, M; Baeza, M; Cifuentes, V",The Involvement of Mig1 from Xanthophyllomyces dendrorhous in Catabolic Repression: An Active Mechanism Contributing to the Regulation of Carotenoid Production,2016,PLOS ONE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1371/journal.pone.0162838,10.1371/journal.pone.0162838
26,"Alcaíno J., Baeza M., Cifuentes V.",Carotenoid distribution in nature,2016,Sub-Cellular Biochemistry,SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-3-319-39126-7_1,10.1007/978-3-319-39126-7_1
27,"Carrasco, M;Villarreal, P;Barahona, S;Alcaino, J;Cifuentes, V;Baeza, M",Screening and characterization of amylase and cellulase activities in psychrotolerant yeasts,2016,BMC MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12866-016-0640-8,10.1186/s12866-016-0640-8
28,"Villarreal, P;Carrasco, M;Barahona, S;Alcaino, J;Cifuentes, V;Baeza, M","Tolerance to Ultraviolet Radiation of Psychrotolerant Yeasts and Analysis of Their Carotenoid, Mycosporine, and Ergosterol Content",2016,CURRENT MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00284-015-0928-1,10.1007/s00284-015-0928-1
29,"Gutierrez, MS; Rojas, MC; Sepulveda, D; Baeza, M; Cifuentes, V; Alcaino, J",Molecular Characterization and Functional Analysis of Cytochrome b5 Reductase (CBR) Encoding Genes from the Carotenogenic Yeast Xanthophyllomyces dendrorhous,2015,PLOS ONE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1371/journal.pone.0140424,10.1371/journal.pone.0140424
30,"Castelblanco-Matiz, LM; Barbachano-Torres, A; Ponce-Noyola, T; Ramos-Valdivia, AC; Garcia-Rojas, CMC; Flores-Ortiz, CM; Barahona-Crisostomo, SK; Baeza-Cancino, ME; Alcaino-Gorman, J; Cifuentes-Guzman, VH",Carotenoid production and gene expression in an astaxanthin-overproducing Xanthophyllomyces dendrorhous mutant strain,2015,ARCHIVES OF MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00203-015-1153-9,10.1007/s00203-015-1153-9
31,"Alcaino, J; Cifuentes, V; Baeza, M",Physiological adaptations of yeasts living in cold environments and their potential applications,2015,WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11274-015-1900-8,10.1007/s11274-015-1900-8
32,"Leiva, K; Werner, N; Sepulveda, D; Barahona, S; Baeza, M; Cifuentes, V; Alcano, J",Identification and functional characterization of the CYP51 gene from the yeast Xanthophyllomyces dendrorhous that is involved in ergosterol biosynthesis,2015,BMC MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12866-015-0428-2,10.1186/s12866-015-0428-2
