,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1240638,"Design and Simulation of Materials for CO2 Capture, Activation, and Reduction",01/07/2023,01/07/2023,C. Cardenas,,FONDECYT,Regular
1,1221135,Atoms and Molecules under extreme conditions,01/08/2021,01/08/2021,P. Fuentealba / C. Cardenas,Departamento de Física,FONDECYT,Regular
2,1220366,Developing Materials for Hydrogen as an Energy Vector,01/04/2022,01/04/2026,C. Cardenas / P. Fuentealba,Departamento de Física,FONDECYT,Regular
3,3220225,"Mecanismos de hidrogenación/deshidrogenación catalítica de compuestos N- y S- heterocíclicos con complejos de Ru, Os, Rh e Ir: Estudio teórico DFT con evaluación de la función de localización electrónica como descriptor de reactividad química",01/09/2021,01/09/2021,C. Cardenas,Departamento de Física,FONDECYT,Postdoctorado
4,1210947,Simulation of Materials as Support for Hydrogen Production,01/08/2020,01/08/2020,C. Cardenas,UAUT. Instituto de Ciencias Biomédicas (ICBM),FONDECYT,Regular
5,ECOS210019,Description and computational design of superconductors in real space,01/04/2022,01/04/2025,C. Cardenas,Departamento de Física,Cooperación Internacional: Proyectos bilaterales,Proyectos de intercambio CONICYT/ECOS-Francia
6,1200776,Simulation of Materials as Support for Hydrogen Production,01/08/2019,01/08/2019,C. Cardenas,UAUT. Instituto de Ciencias Biomédicas (ICBM),FONDECYT,Regular
7,3200331,Development of a computational strategy for designing metallic sub-nanometric catalysts supported on N-doped graphene for CO2 hydrogenation,01/01/2020,01/01/2020,C. Cardenas,Departamento de Física,FONDECYT,Postdoctorado
8,3190493,Entendiendo las propiedades mecánicas de nanoestructuras de carbono amorfo y su uso como almacenador de energía,01/10/2018,01/10/2018,C. Cardenas,Departamento de Física,FONDECYT,Postdoctorado
9,3190088,Evaluación y análisis de la función de localización electrónica para estados excitados sobre GPUs,01/03/2019,01/03/2022,C. Cardenas,Departamento de Física,FONDECYT,Postdoctorado
10,1190784,Simulation of Materials as Support for Hydrogen Production,01/08/2018,01/08/2018,C. Cardenas,UAUT. Facultad de Ingeniería,FONDECYT,Regular
11,1181121,How the chemical bond changes on excited state dynamics,01/03/2018,01/03/2022,C. Cardenas / P. Fuentealba,Departamento de Física,FONDECYT,Regular
12,3180641,Origen molecular de la resistencia a la ruptura de elastómeros,01/08/2017,01/08/2017,C. Cardenas,Departamento de Física,FONDECYT,Postdoctorado
13,1180623,Electronic structure and reactivity of atomic and molecular clusters,01/03/2018,01/03/2022,P. Fuentealba / C. Cardenas,Departamento de Física,FONDECYT,Regular
14,1170211,Electronic Structure and reactivity of atomic and molecular clusters,01/08/2016,01/08/2016,P. Fuentealba / C. Cardenas,Departamento de Física,FONDECYT,Regular
15,3170730,Analysis of chemical reactivity from topological defined indexes,01/08/2016,01/08/2016,C. Cardenas,Departamento de Física,FONDECYT,Postdoctorado
16,ECOS170045,Developing hybrid strategies to explore the potential energy surface  of clusters and molecules,01/01/2018,01/12/2021,C. Cardenas,Universidad Nacional Andrés Bello,Cooperación Internacional: Proyectos bilaterales,Proyectos de intercambio CONICYT/ECOS-Francia
17,3160664,Simulación atomística de la reacción de vulcanización,01/06/2015,01/06/2015,C. Cardenas,Departamento de Física,FONDECYT,Postdoctorado
18,3150642,Análisis atomístico de la reacción de vulcanización en elastómeros,01/11/2014,01/11/2014,C. Cardenas,Departamento de Física,FONDECYT,Postdoctorado
19,1140313,Navigating the Chemical Space: A Perturbative Approach,01/03/2014,01/03/2017,C. Cardenas / P. Fuentealba,Departamento de Física,FONDECYT,Regular
20,1130202,Exploring the dynamics and reactivity of atomic and molecular clusters,01/03/2013,01/03/2017,P. Fuentealba / C. Cardenas,Departamento de Física,FONDECYT,Regular
21,NM-22,Centro Interdisciplinario de Líquidos Iónicos,01/03/2011,01/03/2017,"R. Contreras / C. Cardenas, P. Fuentealba",Departamento de Química,Iniciativa científica Milenio,Núcleos Milenio
22,11090013,Describing the reactivity of complex molecular systems,01/10/2009,01/09/2013,C. Cardenas,Departamento de Física,FONDECYT,Iniciación en Investigación
23,FB007,Centro para el Desarrollo de la Nanociencia y Nanotecnología,01/12/2008,01/12/2021,"G. González, E. Spodine, M. Kiwi, J. Rogan, C. Cardenas, V. Muñoz, F. Mendizábal, J. Valdivia",USACH. Depto. de Física,Programa Financiamiento Basal,Basal
24,1220366,Developing Materials for Hydrogen as an Energy Vector,01/04/2022,01/04/2026,C. Cardenas / P. Fuentealba,Departamento de Física,FONDECYT,Regular
