,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Kaya, S; Robles-Navarro, A; Mejia, E; Gomez, T; Cardenas, C",On the Prediction of Lattice Energy with the Fukui Potential: Some Supports on Hardness Maximization in Inorganic Solids,2022,JOURNAL OF PHYSICAL CHEMISTRY A,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1021/acs.jpca.1c09898,10.1021/acs.jpca.1c09898
1,"Miranda-Quintana, RA; Heidar-Zadeh, F; Fias, S; Chapman, AEA; Liu, SB; Morell, C; Gomez, T; Cardenas, C; Ayers, PW",Molecular Interactions From the Density Functional Theory for Chemical Reactivity: The Interaction Energy Between Two-Reagents,2022,FRONTIERS IN CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fchem.2022.906674,10.3389/fchem.2022.906674
2,"Miranda-Quintana, RA; Heidar-Zadeh, F; Fias, S; Chapman, AEA; Liu, SB; Morell, C; Gomez, T; Cardenas, C; Ayers, PW","Molecular interactions from the density functional theory for chemical reactivity: Interaction chemical potential, hardness, and reactivity principles",2022,FRONTIERS IN CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fchem.2022.929464,10.3389/fchem.2022.929464
3,"Santander, C; Denis-Alpizar, O; Cardenas, C",Deexcitation rate coefficients of C-3 by collision with H-2 at low temperatures,2022,ASTRONOMY & ASTROPHYSICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1051/0004-6361/202142434,10.1051/0004-6361/202142434
4,"Robles-Navarro, A; Cardenas, C; Fuentealba, P",Electronegativity under Confinement,2021,MOLECULES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/molecules26226924,10.3390/molecules26226924
5,"Orellana, W; Pino-Rios, R; Yanez, O; Vasquez-Espinal, A; Peccati, F; Contreras-Garcia, J; Cardenas, C; Tiznado, W",Cluster Assembled Silicon-Lithium Nanostructures: A Nanowire Confined Inside a Carbon Nanotube,2021,FRONTIERS IN CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fchem.2021.767421,10.3389/fchem.2021.767421
6,"Yanez, O; Baez-Grez, R; Inostroza, D; Pino-Rios, R; Rabanal-Leon, WA; Contreras-Garcia, J; Cardenas, C; Tiznado, W",Kick-Fukui: A Fukui Function-Guided Method for Molecular Structure Prediction,2021,JOURNAL OF CHEMICAL INFORMATION AND MODELING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1021/acs.jcim.1c00605,10.1021/acs.jcim.1c00605
7,"Guerra, C; Ayarde-Henriquez, L; Duque-Norena, M; Cardenas, C; Perez, P; Chamorro, E",On the nature of bonding in the photochemical addition of two ethylenes: C-C bond formation in the excited state?,2021,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1039/d1cp03554a,10.1039/d1cp03554a
8,"Orenha, RP; Peixoto, LB; Caramori, GF; Piotrowski, MJ; Batista, KED; Contreras-Garcia, J; Cardenas, C; Morgon, NH; Mendizabal, F; Parreira, RLT",Designing boron and metal complexes for fluoride recognition: a computational perspective,2021,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1039/d1cp02514g,10.1039/d1cp02514g
9,"Gomez, T; Fuentealba, P; Robles-Navarro, A; Cardenas, C","Links among the Fukui potential, the alchemical hardness and the local hardness of an atom in a molecule",2021,JOURNAL OF COMPUTATIONAL CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/jcc.26705,10.1002/jcc.26705
10,"Donoso, R; Cardenas, C; Fuentealba, P",Coulomb Explosion of Multi-charged Atomic Alkaline Metal Clusters,2021,JOURNAL OF PHYSICAL CHEMISTRY A,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1021/acs.jpca.1c00481,10.1021/acs.jpca.1c00481
11,"Robles-Navarro, A; Rodriguez-Bautista, M; Fuentealba, P; Cardenas, C",The change in the nature of bonding in the Li-2 dimer under confinement,2021,INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/qua.26644,10.1002/qua.26644
12,"Pendas, AM; Munoz, F; Cardenas, C; Contreras-Garcia, J",Understanding Topological Insulators in Real Space,2021,MOLECULES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/molecules26102965,10.3390/molecules26102965
13,"Laplaza, R; Cardenas, C; Chaquin, P; Contreras-Garcia, J; Ayers, PW",Orbital energies and nuclear forces in DFT: Interpretation and validation,2021,JOURNAL OF COMPUTATIONAL CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/jcc.26459,10.1002/jcc.26459
14,"Orenha, RP; da Silva, VB; Caramori, GF; Schneider, FSD; Piotrowski, MJ; Contreras-Garcia, J; Cardenas, C; Goncalves, MB; Mendizabal, F; Parreira, RLT","On the recognition of chloride, bromide and nitrate anions by anthracene-squaramide conjugated compounds: a computational perspective",2020,NEW JOURNAL OF CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1039/d0nj03685d,10.1039/d0nj03685d
15,"Fuentealba, P; Cardenas, C",On the chemical potential of the hydrogen atom,2020,THEORETICAL CHEMISTRY ACCOUNTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00214-020-02611-1,10.1007/s00214-020-02611-1
16,"Munoz, M; Robles-Navarro, A; Fuentealba, P; Cardenas, C",Predicting Deprotonation Sites Using Alchemical Derivatives,2020,JOURNAL OF PHYSICAL CHEMISTRY A,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1021/acs.jpca.9b09472,10.1021/acs.jpca.9b09472
