,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,UR15-006,"Red ""Unida"" Plataforma Universitaria para el desarrollo de Atacama",01/01/2016,01/01/2018,"P. Aldunce / P. Vergara, G. Easton, I. Cortes, C. Castro",Departamento de Ciencias Ambientales y Recursos Naturales Renovables,Fondo Central de Investigación,Programa U-Redes: Línea 1 Incentivo a la Generación de Red
1,1241631,Development of a methodological framework based on panarchy theory to assess water security in Chilean river basins in the context of climate change,01/08/2023,01/08/2023,"R. Fuster / L. Delgado, M. Fragkou, A. Urquiza",Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDECYT,Regular
2,1240269,Vulnerability to climate change of the rural communities surrounding the Humboldt Penguin National Reserve,01/07/2023,01/07/2023,V. Marín / L. Delgado,Departamento de Ciencias Ecológicas,FONDECYT,Regular
3,1230116,A transdisciplinary study of the social-ecological system concept: issues and frameworks in South America,01/07/2022,01/07/2022,V. Marín / L. Delgado,Departamento de Ciencias Ecológicas,FONDECYT,Regular
4,1230401,Territorios rurales del norte de Chile: complejidades socioecológicas de las comunidades aledañas a la Reserva Nacional Pingüino de Humboldt,01/07/2022,01/07/2022,L. Delgado / V. Marín,Otras Instituciones,FONDECYT,Regular
5,1220063,Modelos conceptuales multi-actores y prácticas sociales en torno a la naturaleza: contribuciones al conocimiento de lo local,01/08/2021,01/08/2021,"L. Delgado / R. Asun, V. Marín",Otras Instituciones,FONDECYT,Regular
6,SOC180046,Geografías de Futuro: Fundamentos para la Recomposición Territorial en el Sur-Austral,01/07/2018,01/07/2018,"L. Delgado, V. Marín",Universidad De los Lagos,Programa de Investigación Asociativa,Concurso Anillos en Ciencias Sociales
7,1170526,Suspended solids as controlling variable of the ecological state of the Río Cruces wetland ecosystem: a dynamic watershed-wetland model,01/09/2016,01/09/2016,"V. Marín / L. Delgado, I. Vila",Departamento de Ciencias Ecológicas,FONDECYT,Regular
8,1170532,Modelos conceptuales del sistema complejo sociedad-naturaleza: abriendo caminos hacia nuevas formas de construcción del desarrollo rural en Chile,01/04/2017,01/04/2021,"L. Delgado / R. Asun, C. Zúñiga, V. Marín",Otras Instituciones,FONDECYT,Regular
9,1160107,Suspended solids as controlling variable of the ecological state of the Río Cruces wetland ecosystem: a dynamic simulation watershed-wetland model,01/08/2015,01/08/2015,V. Marín / L. Delgado,Departamento de Ciencias Ecológicas,FONDECYT,Regular
