,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Montalvo, S;Guerrero, L;Borja, R;Sanchez, E;Milan, Z;Cortes, I;de la la Rubia, MA",Application of natural zeolites in anaerobic digestion processes: A review,2012,APPLIED CLAY SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.clay.2012.01.013,10.1016/j.clay.2012.01.013
1,"Montalvo, S ; Guerrero, L ; Borja, R ; Cortes, I ; Sanchez, E ; Colmenarejo, MF",Effect of the Influent COD Concentration on the Anaerobic Digestion of Winery Wastewaters from Grape-Red and Tropical Fruit (Guava) Wine Production in Fluidized Bed Reactors with Chilean Natural Zeolite for Biomass Immobilization,2010,CHEMICAL AND BIOCHEMICAL ENGINEERING QUARTERLY,ISI/SCOPUS/UCH/VID,,
2,"Fernandez, N ; Montalvo, S ; Borja, R ; Guerrero, L ; Sanchez, E ; Cortes, I ; Colmenarejo, MF ; Travieso, L ; Raposo, F",Performance evaluation of an anaerobic fluidized bed reactor with natural zeolite as support material when treating high-strength distillery wastewater,2008,RENEWABLE ENERGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.renene.2008.02.002,10.1016/j.renene.2008.02.002
3,"Fernandez, N;Montallvo, S;Guerrero, L;Sanchez, E;Cortdes, I;Travieso, L",Anaerobic fluidized bed reactor application to tropical fruit wine effluent,2007,WATER SCIENCE AND TECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.2166/wst.2007.469,10.2166/wst.2007.469
4,"Fernandez, N ; Montalvo, S ; Fernandez-Polanco, F ; Guerrero, L ; Cortes, I ; Borja, R ; Sanchez, E ; Travieso, L",Real evidence about zeolite as microorganisms immobilizer in anaerobic fluidized bed reactors,2007,PROCESS BIOCHEMISTRY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.procbio.2006.12.004,10.1016/j.procbio.2006.12.004
5,"Bóveda Aguirre, Agatha; Delgado, Luisa",Nuevos paradigmas ecológicos: adaptación y validación de la escala para su uso en la población local de deportistas de Paraguay,2022,Reportes científicos de la FACEN,/UCH/VID,http://dx.doi.org/10.18004/rcfacen.2022.13.2.183,10.18004/rcfacen.2022.13.2.183
6,"Delgado, Luisa E.; Sandoval, Camila; Quintanilla, Paola; Quinones-Guerrero, David; Marin, Ignacio A.; Marin, Victor H.","Including traditional knowledge in coastal policymaking: Yaldad bay (Chilo acute accent e, southern Chile) as a case study",2022,MARINE POLICY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.marpol.2022.105181,10.1016/j.marpol.2022.105181
7,"Marin, VH; Villalon-Cueto, A; Arriaza-Mancini, C; Delgado, LE",Peatlands as Key Ecosystems for Water Provision on Chiloe Island (Southern Chile): Social-Ecological Issues,2022,WETLANDS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s13157-022-01571-5,10.1007/s13157-022-01571-5
8,"Castro-Diaz, R; Delgado, LE; Langle-Flores, A; Perevochtchikova, M; Marin, VH","A systematic review of social participation in ecosystem services studies in Latin America from a transdisciplinary perspective, 1996-2020",2022,SCIENCE OF THE TOTAL ENVIRONMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.scitotenv.2022.154523,10.1016/j.scitotenv.2022.154523
9,"Delgado, LE; De Rios, R; Perevochtchikova, M; Marin, IA; Fuster, R; Marin, VH","Water governance in rural communities of Chiloe Island, southern Chile: A multi-level analysis",2021,JOURNAL OF RURAL STUDIES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jrurstud.2020.11.008,10.1016/j.jrurstud.2020.11.008
