,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Garrido, MI; Vergara, S",Lack of Tradeoff between Leaf Hydraulic Efficiency and Safety across Six Contrasting Water-Stress Tolerant Fruit Tree Species,2022,AGRONOMY-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/agronomy12102351,10.3390/agronomy12102351
1,"Urbina Carlos, Faundez; Kremer Farina, Cristian; Garrido Salinas, Marco; Mauricio, Galleguillos; Humberto, Aponte; Jarbas, Honorio de Miranda; Seguel Seguel, Oscar",Testing the Model Efficiency of HYDRUS 2D/3D Under Desert Conditions for Water Content and Pore Electrical Conductivity: a Case Study in an Olive Orchard,2022,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s42729-022-00777-0,10.1007/s42729-022-00777-0
2,"Zapata, P; Gonzalez, M; Pacheco, I; Jorquera, C; Silva-Andrade, C; Garrido, MI; Infante, R; Salazar, JA",Transcriptomic Analysis of Sex-Associated DEGs in Female and Male Flowers of Kiwifruit (Actinidia deliciosa [A. Chev] C. F. Liang & A. R. Ferguson),2022,HORTICULTURAE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/horticulturae8010038,10.3390/horticulturae8010038
3,"Silva, H; Valenzuela, C; Garrido, M; Acevedo, E; Campos, S; Silva, P; Morales-Salinas, L",Pressure-volume curve traits of chia (Salvia hispanica L.): an assessment of water-stress tolerance under field conditions,2021,IRRIGATION SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00271-021-00748-w,10.1007/s00271-021-00748-w
4,"Zamorano, D; Franck, N; Pastenes, C; Wallberg, B; Garrido, M; Silva, H",Improved physiological performance in grapevine (Vitis vinifera L.) cv. Cabernet Sauvignon facing recurrent drought stress,2021,AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/ajgw.12482,10.1111/ajgw.12482
5,"Garrido, M; Bown, H; Ayamante, J; Orell, M; S?nchez, A; Acevedo, E",The adjustment of Prosopis tamarugo hydraulic architecture traits has a homeostatic effect over its performance under descent of phreatic level in the Atacama Desert,2020,TREES-STRUCTURE AND FUNCTION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00468-019-01899-2,10.1007/s00468-019-01899-2
6,"Silva, P; Garrido, M; Shertzer, G; Acevedo, E",Amount of Rain Until Third Leaf Explain Differences in Irrigated Durum Wheat Yield Between a Conventional and No-Tillage System in a Long-Term Crop Rotation System in Mediterranean Environment,2019,INTERNATIONAL JOURNAL OF PLANT PRODUCTION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s42106-019-00059-3,10.1007/s42106-019-00059-3
7,"Argentel-Martinez, L; Garatuza-Payan, J; Gonzalez, EAY; Garrido-Salina, M; Acevedo-Hinojosa, E",SOME USES OF STABLE ISOTOPE TECHNIQUES IN FOREST SCIENCE,2019,REVISTA FITOTECNIA MEXICANA,SCIELO-otros paises /ISI/SCOPUS/UCH/VID,,
8,"Time, A; Garrido, M; Acevedo, E",Water relations and growth response to drought stress of Prosopis tamarugo Phil. A review.,2018,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-95162018005001103,10.4067/S0718-95162018005001103
9,"Garrido, M; Silva, H; Franck, N; Arenas, J; Acevedo, E",Evaluation of Morpho-Physiological Traits Adjustment of Prosopis tamarugo Under Long-Term Groundwater Depletion in the Hyper-Arid Atacama Desert,2018,FRONTIERS IN PLANT SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fpls.2018.00453,10.3389/fpls.2018.00453
10,"Baginsky, C; Arenas, J; Escobar, H; Garrido, M; Valero, N; Tello, D; Pizarro, L; Valenzuela, A; Morales, L; Silva, H",Growth and yield of chia (Salvia hispanica L.) in the mediterranean and desert climates of Chile,2016,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0718-58392016000300001,10.4067/S0718-58392016000300001
11,"Herman, S; Marco, G; Cecilia, B; Alfonso, V; Luis, M; Cristian, V; Sebastian, P; Sebastian, A","Effect of water availability on growth, water use efficiency and omega 3 (ALA) content in two phenotypes of chia (Salvia hispanica L.) established in the arid Mediterranean zone of Chile",2016,AGRICULTURAL WATER MANAGEMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.agwat.2016.04.028,10.1016/j.agwat.2016.04.028
12,"Garrido, M; Silva, P; Acevedo, E","Water Relations and Foliar Isotopic Composition of Prosopis tamarugo Phil., an Endemic Tree of the Atacama Desert Growing at Three Levels of Water Table Depth",2016,FRONTIERS IN PLANT SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fpls.2016.00375,10.3389/fpls.2016.00375
13,"Calderon, G; Garrido, M; Acevedo, E",Prosopis tamarugo Phil.: a native tree from the Atacama Desert groundwater table depth thresholds for conservation,2015,REVISTA CHILENA DE HISTORIA NATURAL,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.1186/s40693-015-0048-0,10.1186/s40693-015-0048-0
14,"Garrido, M; Silva, P; Silva, H; Munoz, R; Baginsky, C; Acevedo, E",Evaluación del rendimiento de nueve genotipos de quinua (Chenopodium quinoa Willd.) bajo diferentes disponibilidades hídricas en ambiente mediterráneo,2013,IDESIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-34292013000200010,10.4067/S0718-34292013000200010
15,"Garrido, M;Roman, L;Silva, P;Castellaro, G;de Cortazar, VG;Acevedo, E",Characterization of genetic coefficients of durum wheat (Triticum turgidum L. ssp durum) 'Llareta-INIA' and 'Corcolen-INIA',2013,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-58392013000200002,10.4067/S0718-58392013000200002
