,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Huerta, A; Chiffelle, I; Arias, C; Curkovic, T; Araya, JE",Bioefficacy of Euphorbia peplus latex as an antifeedant and insecticide against Gonipterus platensis larvae on Eucalyptus globulus,2022,NEW ZEALAND JOURNAL OF FORESTRY SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.33494/nzjfs532023x195x,10.33494/nzjfs532023x195x
1,"Huerta, A; Chiffelle, I; Araya, L; Curkovic, T; Araya, J",Insecticidal capacity of Cestrum parqui (Solanaceae) leaf extracts on Xanthogaleruca luteola (Coleoptera: Chrysomelidae) adults,2021,REVISTA COLOMBIANA DE ENTOMOLOGIA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.25100/socolen.v47i2.10492,10.25100/socolen.v47i2.10492
2,"Chiffelle, I; Huerta, A; Bobadilla, V; Macuada, G; Araya, JE; Curkovic, T; Ceballos, R",Antifeedant and insecticidal effects of extracts from Melia azedarach fruits and Peumus boldus leaves on Xanthogaleruca luteola larvae,2019,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-58392019000400609,10.4067/S0718-58392019000400609
3,"Curkovic, T; Chiffelle, I; Villar, J; Araya, JE; Silva, G",An agricultural detergent as co-adjuvant for entomopathogenic fungi and chlorpyrifos to control Pseudococcus viburni (Hemiptera: Pseudococcidae),2019,FLORIDA ENTOMOLOGIST,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1653/024.102.0116,10.1653/024.102.0116
4,"Guevara, DJ; Araya, JE; Huerta, A; Chiffelle, I",EXTRACTS OF Schinus molle AND Artemisia absinthium AGAINST Helicoverpa zea ON FRESH EAR CORN IN ECUADOR,2018,CHILEAN JOURNAL OF AGRICULTURAL & ANIMAL SCIENCES,SCOPUS/ESCI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0719-38902018005000505,10.4067/S0719-38902018005000505
5,"Chiffelle Í., Huerta A., Sandoval C.A., Araya J.E.",Insecticide effect of leaf extracts from Schinus molle on larvae of Gonipterus platensis,2017,Revista Facultad Nacional de Agronomia,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.15446/rfna.v70n3.58272,10.15446/rfna.v70n3.58272
6,"Sepúlveda E., Gorena T., Chiffelle I., Sáenz C., Catalán E.","Effect of the cactus cladodes peeling in the functional, technological and chemical characteristics and bioactive compounds in cactus cladodes powders",2013,Acta Horticulturae,SCOPUS/UCH/VID,,
7,Celis M;Araya JE;Chiffelle I;Huerta A,Proximal analysis and insecticidal effects of extracts from pepper tree (Schinus molle) leaves on elm leaf beetle (Xanthogaleruca luteola) larvae,2013,INDUSTRIAL CROPS AND PRODUCTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.indcrop.2012.07.062,10.1016/j.indcrop.2012.07.062
8,"Saenz, C;Yoong, M;Figuerola, F;Chiffelle, I;Estevez, AM",Cactus pear cladodes powders as a source of dietary fibre: purification and properties,2012,INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3109/09637486.2011.624492,10.3109/09637486.2011.624492
9,"Salazar, FN;Lopez, F;Chiffelle, I;Lopez, R;Pena-Neira, A","Evaluation of pathogenesis-related protein content and protein instability of seven white grape (Vitis vinifera L.) clones from Casablanca Valley, Chile",2012,EUROPEAN FOOD RESEARCH AND TECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00217-012-1659-1,10.1007/s00217-012-1659-1
10,"Chiffelle, I; Huerta, A; Jimenez, R; Araya, JE",Proximal analysis and toxicity of extracts from young and mature leaves of the boldo tree (Peumus boldus) on elm leaf beetle (Xanthogaleruca luteola),2011,CANADIAN JOURNAL OF FOREST RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1139/X11-137,10.1139/X11-137
11,"Chiffelle, I ; Huerta, A ; Azua, F ; Puga, K ; Araya, JE",ANTIFEEDING AND INSECTICIDE PROPERTIES OF AQUEOUS AND ETHANOLIC FRUIT EXTRACTS FROM Melia azedarach L. ON THE ELM LEAF BEETLE Xanthogaleruca luteola Muller,2011,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-58392011000200006,10.4067/S0718-58392011000200006
12,"Henriquez, C; Speisky, H; Chiffelle, I; Valenzuela, T; Araya, M; Simpson, R; Almonacid, S","Development of an Ingredient Containing Apple Peel, as a Source of Polyphenols and Dietary Fiber",2010,JOURNAL OF FOOD SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/j.1750-3841.2010.01700.x,10.1111/j.1750-3841.2010.01700.x
13,"Huerta, A; Chiffelle, I; Puga, K; Azua, F; Araya, JE",Toxicity and repellence of aqueous and ethanolic extracts from Schinus molle on elm leaf beetle Xanthogaleruca luteola,2010,CROP PROTECTION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.cropro.2010.04.010,10.1016/j.cropro.2010.04.010
