,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1220338,Making the invisible visible: Strengthening local food systems for concomitant crises and climate change in a digitalized world,01/08/2021,01/08/2021,"R. Kanter / S. Boza, P. Aldunce, F. Vio",Departamento de Nutrición,FONDECYT,Regular
1,1220937,"Transforming adaptation to drought and extreme precipitation in a changing climate: Chañaral and Aconcagua Valley, Chile",01/04/2022,01/04/2025,"P. Aldunce / R. Rondanelli, S. Pérez",Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDECYT,Regular
2,1211106,"Transforming adaptation to drought and extreme precipitation in the realm of the climate, social and COVID-19 crises: A Sustainable Reconstruction",01/08/2020,01/08/2020,"P. Aldunce / R. Rondanelli, S. Pérez",Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDECYT,Regular
3,3180413,Lineamientos convergentes entre adaptación al cambio climático y gestión de riesgos de desastres: recomendaciones para la política pública y la sociedad en Chile,01/08/2017,01/08/2017,P. Aldunce,Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDECYT,Postdoctorado
4,REDES180202,Network on Transformative Adaptation for Disaster Risk Reduction in the context of Climate Change,01/10/2018,01/10/2020,"P. Aldunce / S. Pérez, C. Castro",Departamento de Ciencias Ambientales y Recursos Naturales Renovables,Cooperación Internacional: Multilateral y vinculación,Apoyo a la Formación de Redes Internacionales_Centros
5,3170961,Lineamientos convergentes entre Adaptación al cambio climático y gestión de riesgos de desastres: Recomendaciones para la política pública y la sociedad en Chile,01/08/2016,01/08/2016,P. Aldunce,Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDECYT,Postdoctorado
6,UR15-006,"Red ""Unida"" Plataforma Universitaria para el desarrollo de Atacama",01/01/2016,01/01/2018,"P. Aldunce / P. Vergara, G. Easton, I. Cortes, C. Castro",Departamento de Ciencias Ambientales y Recursos Naturales Renovables,Fondo Central de Investigación,Programa U-Redes: Línea 1 Incentivo a la Generación de Red
7,ID14I10077,Desarrollo e implementación del prototipo de una herramienta participativa para la evaluación de prácticas de adaptación al cambio climático a escala local,01/06/2014,01/06/2014,P. Aldunce,Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDEF,IDEA Bietapa
8,11140394,"Moving towards adaptation to climate change: current practices developed in Chile, their usefulness, barriers to implementation, and opportunities for improvement",01/12/2014,01/12/2017,P. Aldunce,Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDECYT,Iniciación en Investigación
9,UINICIA-2014-69994,Desarrollo metodológico para la evaluación de prácticas y respuestas de adaptación al cambio climático en Chile ,01/06/2014,01/06/2014,P. Aldunce,Departamento de Ciencias Ambientales y Recursos Naturales Renovables,Fondo Central de Investigación,U-INICIA
10,15110009,Centro de Ciencia del Clima y la Resiliencia,01/11/2012,01/11/2022,"R. Garreaud / R. Rondanelli, M. Galleguillos, P. Aldunce, P. Moreno, P. Moraga, M. Rojas, A. Osses, A. Uriarte, L. Gallardo",Departamento de Geofísica,FONDAP,Programa FONDAP
11,MULT 06/33-2,Fortalecimiento de la gestión de desastres socio culturales mediante el desarrollo de tecnologías,01/12/2006,01/12/2006,"P. Aldunce / J. Pérez, H. Vargas, A. León, R. Pertuzé, R. Garreaud, L. Morales, J. de la Fuente",Departamento de Ciencias Ambientales y Recursos Naturales Renovables,Fondo Central de Investigación,CONCURSO MULTIDISCIPLINARIO EN TEMAS DE INTERES NACIONAL
12,1241631,Development of a methodological framework based on panarchy theory to assess water security in Chilean river basins in the context of climate change,01/08/2023,01/08/2023,"R. Fuster / L. Delgado, M. Fragkou, A. Urquiza",Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDECYT,Regular
13,1242026,Tracing Chile's pathways to urban water security; a metabolic framing of just transitions under climate change adaptation,01/08/2023,01/08/2023,"M. Fragkou / R. Fuster, A. Maillet, B. Bustos, A. Osses",Departamento de Geografía,FONDECYT,Regular
14,IT23I0029,"Evaluación de la replicabilidad de un sistema de gestión de riesgos de origen glaciar co-construido con la comunidad basado en la evaluación integral del riesgo
",01/04/2023,01/04/2023,R. Fuster,Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDEF,IDEA
15,ID23I10174,Sistema unificado de pronósticos semanales de caudal disponible y demanda hídrica de cultivos: herramienta para la toma de decisiones de las Organizaciones de Usuarios de Agua,01/05/2023,01/05/2025,R. Fuster / C. Mattar,Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDEF,IDEA
16,1231404,Science-policy interfaces and scenario construction in Chile: How to better bridge scientific evidence with policy-making? An inter-transdisciplinary challenge for environmental complex problems,01/03/2023,01/03/2027,"A. Urquiza / R. Fuster, M. Fragkou, A. Osses, M. Billi, G. Azócar, P. Smith, L. Gallardo",Departamento de Antropología,FONDECYT,Regular
17,1221893,Science-policy interfaces and scenario construction in Chile: How to better bridge scientific evidence with policy-making? An inter-transdisciplinary challenge for complex problems,01/08/2021,01/08/2021,"A. Urquiza / R. Fuster, M. Fragkou, L. Gallardo, K. Yohannessen, M. Billi, A. Osses",Departamento de Trabajo Social,FONDECYT,Regular
18,3220268,"Desarrollo de un modelo de programación difusa multiobjetivo inexacto para mejorar la productividad del agua, disminuir la evapotranspiración y aumentar los beneficios económicos de los cultivos de la cuenca del río Elqui",01/09/2021,01/09/2021,R. Fuster,Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDECYT,Postdoctorado
19,1220475,Socio-Hydrological Agent-Based Modeling to Assess Future Water Conflicts at Basin Scale,01/08/2021,01/08/2021,R. Fuster,Universidad De Concepcion,FONDECYT,Regular
20,ID20I10034,Sistema de apoyo a la gestión del riesgo frente a amenazas de origen glaciar: una herramienta co-construida con la comunidad,01/08/2020,01/08/2022,"R. Fuster / A. Urquiza, M. Billi, C. Mattar",Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDEF,IDEA
21,1200681,"Variabilidad climática, mercado del agua y cambios de usos del suelo en los valles agrícolas del norte de Chile",01/03/2020,01/03/2023,"R. Fuster, P. Sarricolea",Universidad De Tarapaca,FONDECYT,Regular
22,ID19I10117,Sistema de apoyo a la gestión del riesgo frente a amenazas de origen glaciar: una herramienta co-construida con la comunidad,01/04/2019,01/04/2019,"R. Fuster / C. Mattar, A. Urquiza",Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDEF,IDEA
23,INFRA 009/01-2019,"Refaccionar la actual sala de servidores, ampliarla para soportar nuevo equipamiento informático de investigación y mejorar las condiciones físicas y de seguridad energética adquiriendo los sistemas de seguridad eléctrica (UPS) necesaria para garantizar el buen funcionamiento de los servidores de almacenamiento y procesamiento de los proyectos de investigación que están por iniciarse  ( Fondef y FIC Atacama) como de aquellos que ya están en curso, reduciendo la vulnerabilidad de los sistemas informáticos frente a inestabilidad energética y cortes de suministro",01/08/2021,01/08/2021,R. Fuster,Departamento de Ciencias Ambientales y Recursos Naturales Renovables,Fondo Central de Investigación,Apoyo a la Infraestructura para la Investigación
24,19CTIGH121349,Centro Avanzado para tecnologías del agua CAPTA,01/12/2019,01/12/2024,"J. Mc Phee / Y. Alberto, Y. Niño, A. Prieto, D. Daniele, M. Taucare, J. Letelier, F. Delgado, R. Fuster, C. Mattar, K. Lizama, J. Ortega, J. de la Fuente",Departamento de Ingeniería Civil,Capacidades tecnológicas,Centros tecnológicos para la innovación
25,1181859,"Reconfiguring hydrosocial territories, disclosing socially constructed scarcities; an analysis of State responses to permanent and temporal water deficits in Chile",01/03/2018,01/03/2021,"M. Fragkou / R. Fuster, P. Moraga, A. Urquiza, B. Bustos",Departamento de Geografía,FONDECYT,Regular
26,40013379,Sistema de monitoreo en tiempo real de la demanda hídrica de los cultivos para la gestión sustentable del agua,01/12/2018,01/10/2020,R. Fuster,Departamento de Ciencias Ambientales y Recursos Naturales Renovables,Fondos de Innovación para la Competitividad,GORE Atacama
27,IT18I0022,Sistema de transferencia de modelo de evapotranspiración real de cultivos para la gestión sustentable del agua,01/02/2019,01/02/2021,"R. Fuster / C. Mattar, J. de la Fuente",Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDEF,IDEA
28,IT16I10030,Sistema de transferencia del modelo de evapotranspiración real de cultivos para la gestión sustentable del agua a nivel Intra y extrapredial,01/03/2017,01/03/2017,R. Fuster / C. Mattar,Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDEF,IDEA
