,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Sapiains, R; Azocar, G; Moraga, P; Valenzuela, C; Aldunce, P; Cornejo, C; Rojas, M; Pulgar, A; Medina, L; Bozkurt, D",Are Citizens Ready for Active Climate Engagement or Stuck in a Game of Blame? Local Perceptions of Climate Action and Citizen Participation in Chilean Patagonia,2022,SUSTAINABILITY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/su141912034,10.3390/su141912034
1,"Pérez Tello S., Aldunce Ide P., Flores-Haverbeck F., Mena Maldonado D., Castro Correa C.P., Wyndham Vásquez K.","Coping Strategies and Tactics to Deal With Social Vulnerability in the Flood Disaster of March 25, 2015, in Chañaral and Diego de Almagro, Chile",2022,Frontiers in Climate,SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fclim.2022.763413,10.3389/fclim.2022.763413
2,"Aldunce, P; Lillo-Ortega, G; Araya-Valenzuela, D; Maldonado-Portilla, P; Gallardo, L",Evaluating adaptation to drought in a changing climate: experience at the local scale in the Aconcagua Valley,2022,CLIMATE AND DEVELOPMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/17565529.2021.1893150,10.1080/17565529.2021.1893150
3,"Aldunce, P.; Lillo-Ortega, G.; Araya-Valenzuela, D.; Adler, C.; Ugarte, A.M
",Learning from Each Other: An Experience of Capturing Learning for Adaptation to Climate Change,2021,International Journal of Climate Change: Impacts and Responses,SCOPUS/UCH/VID,http://dx.doi.org/0.18848/1835-7156/CGP/v13i01/75-90,0.18848/1835-7156/CGP/v13i01/75-90
4,"Fazey, I; Schapke, N; Caniglia, G; Hodgson, A; Kendrick, I; Lyon, C; Page, G; Patterson, J; Riedy, C; Strasser, T; Verveen, S; Adams, D; Goldstein, B; Klaes, M; Leicester, G; Linyard, A; McCurdy, A; Ryan, P; Sharpe, B; Silvestri, G; Abdurrahim, AY; Abson, D; Adetunji, OS; Aldunce, P; Alvarez-Pereira, C; Amparo, JM; Amundsen, H; Anderson, L; Andersson, L; Asquith, M; Augenstein, K; Barrie, J; Bent, D; Bentz, J; Bergsten, A; Berzonsky, C; Bina, O; Blackstock, K; Boehnert, J; Bradbury, H; Brand, C; Bohme, J; Bojer, MM; Carmen, E; Charli-Joseph, L; Choudhury, S; Chunhachoti-ananta, S; Cockburn, J; Colvin, J; Connon, ILC; Cornforth, R; Cox, RS; Cradock-Henry, N; Cramer, L; Cremaschi, A; Dannevig, H; Day, CT; Hutchison, CD; de Vrieze, A; Desai, V; Dolley, J; Duckett, D; Durrant, RA; Egermann, M; Emily, A; Fremantle, C; Fullwood-Thomas, J; Galafassi, D; Gobby, J; Golland, A; Gonzalez-Padron, SK; Gram-Hanssen, I; Grandin, J; Grenni, S; Gunnell, JL; Gusmao, F; Hamann, M; Harding, B; Harper, G; Hesselgren, M; Hestad, D; Heykoop, CA; Holmen, J; Holstead, K; Hoolohan, C; Horcea-Milcu, AI; Horlings, LG; Howden, SM; Howell, RA; Huque, SI; Canedo, MLI; Iro, CY; Ives, CD; John, B; Joshi, R; Juarez-Bourke, S; Juma, DW; Karlsen, BC; Kliem, L; Klay, A; Kuenkel, P; Kunze, I; Lam, DPM; Lang, DJ; Larkin, A; Light, A; Luederitz, C; Luthe, T; Maguire, C; Mahecha-Groot, AM; Malcolm, J; Marshall, F; Maru, Y; McLachlan, C; Mmbando, P; Mohapatra, S; Moore, ML; Moriggi, A; Morley-Fletcher, M; Moser, S; Mueller, KM; Mukute, M; Muhlemeier, S; Naess, LO; Nieto-Romero, M; Novo, P; O'Brien, K; O'Connell, DA; O'Donnell, K; Olsson, P; Pearson, KR; Pereira, L; Petridis, P; Peukert, D; Phear, N; Pisters, SR; Polsky, M; Pound, D; Preiser, R; Rahman, MS; Reed, MS; Revell, P; Rodriguez, I; Rogers, BC; Rohr, J; Rosenberg, MN; Ross, H; Russell, S; Ryan, M; Saha, P; Schleicher, K; Schneider, F; Scoville-Simonds, M; Searle, B; Sebhatu, SP; Sesana, E; Silverman, H; Singh, C; Sterling, E; Stewart, SJ; Tabara, JD; Taylor, D; Thornton, P; Tribaldos, TM; Tschakert, P; Uribe-Calvo, N; Waddell, S; Waddock, S; van der Merwe, L; van Mierlo, B; van Zwanenberg, P; Velarde, SJ; Washbourne, CL; Waylen, K; Weiser, A; Wight, I; Williams, S; Woods, M; Wolstenholme, R; Wright, N; Wunder, S; Wyllie, A; Young, HR",Transforming knowledge systems for life on Earth: Visions of future systems and how to get there,2020,ENERGY RESEARCH & SOCIAL SCIENCE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.erss.2020.101724,10.1016/j.erss.2020.101724
5,"Castro-Correa, CP; Ide, PA; Vasquez, KW; Maldonado, DM; Tello, SP","Transformation of social capital during and after a disaster event: the cases Chanaral and Diego de Almagro, Atacama Region, Chile",2020,NATURAL HAZARDS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11069-020-04091-9,10.1007/s11069-020-04091-9
6,"Sapiains, R; Ugarte, AM; Aldunce, P; Marchant, G; Romero, JA; Gonzalez, ME; Inostroza-Lazo, V","Local Perceptions of Fires Risk and Policy Implications in the Hills of Valparaiso, Chile",2020,SUSTAINABILITY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/su12104298,10.3390/su12104298
7,"Lillo-Ortega, G; Aldunce, P; Adler, C; Vidal, M; Rojas, M",On the evaluation of adaptation practices: a transdisciplinary exploration of drought measures in Chile,2019,SUSTAINABILITY SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11625-018-0619-5,10.1007/s11625-018-0619-5
8,"Arriagada, R; Aldunce, P; Blanco, G; Ibarra, C; Moraga, P; Nahuelhual, L; O'Ryan, R; Urquiza, A; Gallardo, L",Climate change governance in the anthropocene: emergence of polycentrism in Chile,2018,ELEMENTA-SCIENCE OF THE ANTHROPOCENE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1525/elementa.329,10.1525/elementa.329
9,"Fazey, J; Schapke, N; Caniglia, G; Patterson, J; Hultman, J; van Mierlo, B; Saawe, F; Wiek, A; Wittmayer, J; Aldunce, P; Al Waer, H; Battacharya, N; Bradbury, H; Carmen, E; Colvin, J; Cvitanovic, C; D'Souza, M; Gopel, M; Goldstein, B; Hamalainen, T; Harper, G; Henfry, T; Hodgson, A; Howden, MS; Kerr, A; Klaes, M; Lyon, C; Midgley, G; Moser, S; Mukherjee, N; Muller, K; O'Brien, K; O'Connell, DA; Olsson, P; Page, G; Reed, MS; Searle, B; Silvestri, G; Spaiser, V; Strasser, T; Tschakert, P; Uribe-Calvo, N; Waddell, S; Rao-Williams, J; Wise, R; Wolstenholme, R; Woods, M; Wyborn, C","Ten essentials for action-oriented and second order energy transitions, transformations and climate change research",2018,ENERGY RESEARCH & SOCIAL SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.erss.2017.11.026,10.1016/j.erss.2017.11.026
