,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,IT23I0065,"Modelación del sistema y de escenarios de la gestión social de la adaptación al Cambio Climático para la construcción de políticas públicas de adaptación
",01/04/2023,01/04/2023,M. Billi,Departamento de Ingeniería Industrial,FONDEF,IDEA
1,ATE230049,"S-CLIMIS: ""Seasonal Climate Migrations Studies in Vulnerable Socioecological Systems to Inform Climate Change Adaptation Strategies in Rural Chilean Communities""",01/06/2023,01/06/2023,M. Billi,,Programa de Investigación Asociativa,Anillo de Investigación en Ciencia y Tecnología Temático
2,1231404,Science-policy interfaces and scenario construction in Chile: How to better bridge scientific evidence with policy-making? An inter-transdisciplinary challenge for environmental complex problems,01/03/2023,01/03/2027,"A. Urquiza / R. Fuster, M. Fragkou, A. Osses, M. Billi, G. Azócar, P. Smith, L. Gallardo",Departamento de Antropología,FONDECYT,Regular
3,UI-003/22,Imaginarios y grado de articulación entre actores agroecológicos en la Región Metropolitana: desafíos y oportunidades para las políticas públicas,01/12/2022,01/12/2024,M. Billi,Departamento de Gestión e Innovación Rural,Fondo Central de Investigación,U-INICIA
4,1221893,Science-policy interfaces and scenario construction in Chile: How to better bridge scientific evidence with policy-making? An inter-transdisciplinary challenge for complex problems,01/08/2021,01/08/2021,"A. Urquiza / R. Fuster, M. Fragkou, L. Gallardo, K. Yohannessen, M. Billi, A. Osses",Departamento de Trabajo Social,FONDECYT,Regular
5,ID20I10034,Sistema de apoyo a la gestión del riesgo frente a amenazas de origen glaciar: una herramienta co-construida con la comunidad,01/08/2020,01/08/2022,"R. Fuster / A. Urquiza, M. Billi, C. Mattar",Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDEF,IDEA
6,ID20I10147,Herramientas para la construcción de escenarios prospectivos de gestión del riesgo climático y desarrollo de estrategias de adaptación: el caso del sector minero,01/12/2020,01/12/2022,"W. Kracht / M. Billi, L. Orellana, A. Urquiza",Departamento de Ingeniería de Minas,FONDEF,IDEA
7,1220338,Making the invisible visible: Strengthening local food systems for concomitant crises and climate change in a digitalized world,01/08/2021,01/08/2021,"R. Kanter / S. Boza, P. Aldunce, F. Vio",Departamento de Nutrición,FONDECYT,Regular
8,40035912-0,Sello de origen para Maíz Amarillo del Ñuble y Uva Corinta,01/10/2022,01/10/2025,M. Paneque / S. Boza,Departamento de Ciencias Ambientales y Recursos Naturales Renovables,Fondos de Innovación para la Competitividad,Gore Ñuble
9,1211169,"Deconstrucción socioecológica de sistemas alimentarios contemporáneos: impactos socio-ambientales, calidad de vida humana y sustentabilidad alimentaria",01/08/2020,01/08/2020,"R. Kanter, S. Boza",Universidad de la Frontera,FONDECYT,Regular
10,1210549,Making the invisible visible: Strengthening local food systems for concomitant crises and climate change in a digitalized world,01/08/2020,01/08/2020,"R. Kanter / S. Boza, M. Anigstein, F. Vio",Departamento de Nutrición,FONDECYT,Regular
11,4002729-0,Transferencia agroecológica con gestión hídrica en secano,01/10/2020,01/10/2023,S. Boza,Departamento de Gestión e Innovación Rural,Fondos de Innovación para la Competitividad,GORE O'Higgins
12,40017951-0,Transferencia Aumento de la competitividad del Mimbre,01/08/2019,01/08/2022,"P. Silva / S. Boza, M. Garrido",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
13,3190784,La construcción de un modelo de salud intercultural como estrategia de desarrollo socio-territorial,01/10/2018,01/10/2018,P. Viera / S. Boza,Dirección Escuela de Graduados,FONDECYT,Postdoctorado
14,1191814,"Alimentación infantil y juvenil en ámbitos rural y urbano: ¿Se relacionan variables sociales, antropológicas y territoriales?",01/09/2018,01/09/2018,"M. Mora / J. Razeto, M. Anigstein, S. Boza",Departamento de Gestión e Innovación Rural,FONDECYT,Regular
15,1190707,Efectos de las políticas públicas en seguridad alimentaria relativas a inocuidad y calidad en los pequeños productores,01/08/2018,01/08/2018,S. Boza / M. Mora,Departamento de Gestión e Innovación Rural,FONDECYT,Regular
16,SA19I0030,"Evaluación de Estrategias para el Fomento al Consumo de Frutas, Verduras y Legumbres",01/03/2019,01/03/2019,"R. Kanter, S. Boza, M. Anigstein",PUC. Facultad de Medicina,CONICYT/MINSAL,FONIS-Proyectos I&D
17,11190493,Impact assessment of sanitary and phytosanitary measures on Chilean food and agricultural trade,01/04/2019,01/04/2019,S. Boza,Departamento de Gestión e Innovación Rural,FONDECYT,Iniciación en Investigación
18,40008900-0,Transferencia modelo comercial a viñateros campesinos,01/10/2018,01/10/2021,"S. Boza / M. Canales, M. Galleguillos",Departamento de Gestión e Innovación Rural,Fondos de Innovación para la Competitividad,GORE O'Higgins
19,1180864,"Alimentación infantil y juvenil en ámbitos rural y urbano y su relación con variables sociales, antropológicas y territoriales",01/07/2017,01/07/2017,"M. Mora / J. Razeto, S. Boza, M. Anigstein",Departamento de Gestión e Innovación Rural,FONDECYT,Regular
