,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1201497,Modelling of net nitrogen mineralization in he agroecosystems of Chile,01/03/2020,01/03/2024,"O. Salazar / M. Casanova, Y. Tapia, M. Pfeiffer",Departamento de Ingeniería y Suelos,FONDECYT,Regular
1,1201707,Understanding the relevance of soil microbial and chemical factors over soil carbon stabilization in soils of contrasting mineralogy,01/08/2019,01/08/2019,M. Casanova,Universidad De Concepcion,FONDECYT,Regular
2,1190760,Impacts of sustainable agricultural systems in the dissolved nitrogen and carbon leaching in a Mediterranean agroecosystem,01/07/2018,01/07/2018,"O. Salazar / M. Casanova, Y. Tapia",Departamento de Ingeniería y Suelos,FONDECYT,Regular
3,3180002,Agua de mar combinada con agua de atrapanieblas en la producción de forrajes en zonas áridas,01/07/2017,01/07/2017,M. Casanova,Departamento de Ingeniería y Suelos,FONDECYT,Postdoctorado
4,3170036,Recursos hídricos no convencionales (agua de mar y niebla) para la producción de forrajes en zonas áridas,01/08/2016,01/08/2016,M. Casanova,Departamento de Ingeniería y Suelos,FONDECYT,Postdoctorado
5,ACM170002,"Sustainable management of mining tailings using native plants and biofertilizers to recover the landscape, mitigate the socio-environmental impact and create bases for its valorization",01/12/2017,01/12/2020,Y. Tapia / M. Casanova,Departamento de Ingeniería y Suelos,Programa de Investigación Asociativa,Anillo de Investigación en Ciencia y Tecnología Temático
6,1170510,Soil carbon status as an indicator for assessing revegetation practices in degraded arid zones,01/09/2016,01/09/2016,"M. Casanova / O. Seguel, Y. Tapia, J. Fuentes, O. Salazar",Departamento de Ingeniería y Suelos,FONDECYT,Regular
7,1161397,Soil carbon status as an indicator for assessing revegetation practices in the arid zones of Chile,01/06/2015,01/06/2015,"M. Casanova / O. Salazar, Y. Tapia, O. Seguel",Departamento de Ingeniería y Suelos,FONDECYT,Regular
8,1161492,Soil organic carbon turnover rate predictions in the framework of global warming: an approach to determine the role of climate and geochemistry,01/04/2016,01/04/2019,M. Casanova,UCO. Depto. de Suelos,FONDECYT,Regular
9,1150572,Effect of inorganic nitrogen fertilization and cover crops on maize production in dissolved inorganic and organic nitrogen leaching in a coarse-textured soil,01/03/2015,01/03/2019,"O. Salazar / M. Casanova, Y. Tapia",Departamento de Ingeniería y Suelos,FONDECYT,Regular
10,1150580,Are we restoring ecological health of degraded/desertified lands? Soil carbon as an indicator for assessing revegetation practices in the arid zones of Chile,01/03/2015,01/03/2015,"M. Casanova / O. Salazar, O. Seguel, Y. Tapia, J. Fuentes",Departamento de Ingeniería y Suelos,FONDECYT,Regular
11,1150513,Mobility of trace metals in soils impacted for mine tailings with the addition of humic substances and iron oxides and growing of plants for phytoremediation,01/03/2015,01/03/2018,"Y. Tapia / O. Seguel, O. Salazar, M. Casanova",Departamento de Ingeniería y Suelos,FONDECYT,Regular
12,114-178,Recovery of degraded soils due extraction of sands by applying organic amendments and cultivation of native plants to prevent contamination of groundwater,01/03/2014,01/03/2014,"Y. Tapia / M. Casanova, O. Salazar, O. Seguel",Departamento de Ingeniería y Suelos,FONDECYT,Regular
13,1121138,Do soil CO2 efflux patterns truly change in the frame of global warming? Finding an answer through the understanding of temperature sensitivity of SOM decay in Chilean soils,01/03/2012,01/03/2016,M. Casanova,UCO. Fac. de Agronomía,FONDECYT,Regular
14,1090193,"Evaluation of the capacity of improved Trichoderma strains subjected to simulated climate change conditions, for the biocontrol of Rhizoctonia solani infecting tomato plants.",01/03/2009,01/03/2009,J. Montealegre / M. Casanova,Departamento de Sanidad Vegetal,FONDECYT,Regular
15,1090690,"Agroforestry/water harvesting/organic amendments, a synergistic and sustainable contribution to conventions on biological diversity/on combat desertification/on climate change.",01/03/2009,01/03/2009,"M. Casanova / O. Seguel, I. Homer, O. Salazar",Departamento de Ingeniería y Suelos,FONDECYT,Regular
16,1080575,"Agroforesteria/cosecha de agua/Uso de lodos, una contribución sinérgica y sustentable a la Convención sobre Biodiversidad/Combate contra la Desertificación/Cambio Climático",01/03/2008,01/03/2008,"M. Casanova / O. Seguel, I. Homer",Departamento de Ingeniería y Suelos,FONDECYT,Regular
17,1061044,"Agroforestería, cosecha de agua y lodos. Una opción de detención de la degradación de suelos en zonas sujetas a desertificación
",01/03/2006,01/03/2006,"M. Casanova / I. Homer, O. Seguel",Departamento de Ingeniería y Suelos,FONDECYT,Regular
18,044-1995,Asociación olivos/tunas en el control de la erosión de suelos de la IV región de Chile,01/03/1995,01/03/1995,M. Casanova / M. Varnero,Departamento de Ingeniería y Suelos,FONDECYT,Regular
19,1940390,"La tuna como base de agricultura de alta productividad sustentable y multiobjetivo (fruta, energía, carne, industria)",01/12/1994,01/12/1997,"M. Varnero, M. Casanova",Departamento de Ingeniería y Suelos,FONDECYT,Regular
20,1240217,The evaluation of naturally derived nanomaterials for the remediation of degraded soils,01/07/2023,01/07/2023,J. Govan,Departamento de Ingeniería y Suelos,FONDECYT,Regular
21,1231869,"The development of nanocomposite materials derived from nanoclays, nanofertilizers and organic agri-food waste for the remediation of degraded soils in northern Chile",01/08/2022,01/08/2022,"J. Govan / O. Seguel, O. Salazar",Departamento de Ingeniería y Suelos,FONDECYT,Regular
22,1221901,Layered double hydroxide composite materials for bi-functional removal of contaminants from water resources,01/08/2021,01/08/2021,J. Govan,Departamento de Ingeniería y Suelos,FONDECYT,Regular
23,FIC202105,"Biochar, una alternativa para los residuos agrícolas",01/07/2022,01/07/2022,J. Govan,Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE Coquimbo
24,11200423,Advanced 2-D Nanomaterials for preparation of water resources for use in Agriculture,01/05/2020,01/05/2020,J. Govan,Departamento de Ingeniería y Suelos,FONDECYT,Iniciación en Investigación
25,ATE230063,Monitoring system of agricultural productive potentials as a tool for the adaptation of small and medium agriculture to new climate scenarios,01/06/2023,01/06/2023,"J. Haberland / F. Santibáñez, M. Garrido, O. Seguel",Departamento de Ingeniería y Suelos,Programa de Investigación Asociativa,Anillo de Investigación en Ciencia y Tecnología Temático
26,308535,"Programa de Difusión Tecnológica para el aumento de la eficiencia de riego en empresas de menor tamaño, dedicadas a la producción de uva de mesa en la Región de Atacama",01/11/2022,01/11/2023,J. Haberland,Departamento de Ingeniería y Suelos,INNOVA,Difusión Tecnológica
27,FIC202103,Optimización de riego en uva pisquera,01/07/2022,01/07/2022,J. Haberland,Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE Coquimbo
28,ID21I10025,Filtros organominerales de un sistema de riego para la reutilización de aguas claras de la minería en fitoestabilización de relaves,01/04/2021,01/04/2021,"O. Seguel / Y. Tapia, J. Haberland",Departamento de Ingeniería y Suelos,FONDEF,IDEA
29,40013668,Bases para el recambio de especies productivas y alternativas varietales de uva de mesa para la pequeña y mediana agricultura de la región de Atacama,01/12/2018,01/10/2020,J. Haberland,Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE Atacama
30,40013658,Fertisavia una herramienta para aumentar la productividad del agua y fertilizantes en la agricultura de Atacama,01/12/2018,01/10/2020,J. Haberland,Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE Atacama
31,FIC201812,Programa de capacitación y fortalecimiento de OUA de la Región de Atacama,01/07/2022,01/07/2022,J. Haberland,Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE Atacama
32,FIC201615,Programa de formación de capital humano en Gestión y Operación de equipos de Riego,01/07/2022,01/07/2022,J. Haberland,Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE Coquimbo
33,FIC201606,Programa de formación de capital humano para el manejo y gestión del agua,01/07/2022,01/07/2022,J. Haberland,Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE Atacama
34,15NODO-46382,Gestion y operacion de equipos de riego,01/11/2015,01/11/2016,J. Haberland,Departamento de Ingeniería y Suelos,INNOVA,Innova
35,FIC039,Investigación aplicada y transferencia tecnológica del comportamiento variedad-portainjerto de uva de mesa para el uso eficiente de agua de riego en el Valle de Copiapó,01/11/2015,01/05/2017,J. Haberland,Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE Atacama
36,FIC040,"Desarrollo de una red agrometeorológica para el Valle del Huasco y difusión de la red existente en el Valle de Copiapó, para el uso eficiente del agua",01/11/2015,01/06/2017,J. Haberland,Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE Atacama
37,ID15I10455,Desarrollo de un laboratorio de servicios para la determinación de concentraciones efectivas en la solución suelo de plaguicidas de uso comercial aplicados vía riego,01/06/2015,01/06/2015,J. Haberland,Departamento de Ingeniería y Suelos,FONDEF,IDEA Bietapa
38,30404129-0,"Programa de transferencia tecnológica e innovación en riego para los productores de uva pisquera del Valle del Limarí.
",01/11/2015,01/11/2017,J. Haberland,Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE Coquimbo
39,IT14I10085,"Desarrollo de un sistema integrado de extracción, determinación y modelamiento de concentraciones en solución suelo de nematicidas de uso comercial aplicados vía riego por goteo",01/06/2014,01/06/2014,J. Haberland,Departamento de Ingeniería y Suelos,FONDEF,IDEA
40,VCE20130007,Vinculación Ciencia-empresa para el mejoramiento de la competitividad de uva de mesa en el Valle de Copiapó a través del trabajo conjunto en torno a la problemática de selección de combinaciones variedad-portainjerto,01/04/2014,01/04/2015,J. Haberland,Departamento de Ingeniería y Suelos,Programa Regional,Vinculación ciencia empresa
41,12BPC2-13430,Plataforma Única de Gestión Hídrica intrapredial para el Valle de Copiapó,01/12/2012,01/06/2015,J. Haberland,Departamento de Ingeniería y Suelos,INNOVA,Bienes públicos para la competitividad
42,PYT-2012-0214,"Riego sólido como alternativa al problema de sequía y cambio climático en predios de frutales, hortalizas y cereales de la Región de O'Higgins",01/03/2013,01/03/2016,J. Haberland,Departamento de Ingeniería y Suelos,Fundación para la Innovación Agraria-FIA,FIA-proyectos
43,CSIC10-12,Optimización del agua en riego en Atacama a través de la implementación de tecnologías de manejo de precisión en la agricultura,01/03/2010,01/03/2010,R. Callejas / J. Haberland,Departamento de Producción Agrícola,Fondo Central de Investigación,CSIC/U. DE CHILE
44,PYT-2010-0179,Desarrollo e Innovación de una Red Agrometeorológica para la Zonificación Climática y monitoreo a Nivel Suelo Agua y Planta; Hacia el Diseño de Sistemas de Seguimiento optimizados con el Fin de Mejorar el Uso del Agua Intrapredial en el Valle de Copiapó,01/03/2011,01/02/2014,J. Haberland / C. Kremer,Departamento de Ingeniería y Suelos,Fundación para la Innovación Agraria-FIA,FIA-proyectos
45,07CT9IUM-30,Mejoramiento de la competitividad de los huertos de olivo para la producción de aceites extra virgen a través del manejo del añerismo y enfermedades,01/12/2007,01/12/2010,"T. Fichet / J. Henríquez, M. Prat, M. Hurtado, C. Pastenes, M. Mora, J. Montealegre, C. Kremer, J. Haberland",Departamento de Producción Agrícola,INNOVA,Innova en Industria Alimentaria
46,DO7I1003,Tecnología sustentable para la producción de cerezas de exportación en la zona centro-sur de Chile (Los Angeles a Osorno),01/12/2007,01/12/2012,"O. Carrasco, J. Haberland, J. Henríquez, J. de la Fuente, K. Sagredo, L. Sazo",Departamento de Producción Agrícola,FONDEF,Investigación y Desarrollo (I+D)
47,TI2-02,"Implementación de una plataforma educacional electrónica para la formación de recursos humanos, como un medio para mejorar la competitividad del país",01/12/2004,01/12/2004,"P. Calandra, I. Homer, J. Haberland",Departamento de Sanidad Vegetal,FONDEF,"Tecnología de Información y Comunicación para la educación, TIC-EDU"
48,010,"Relación agua-aire en el suelo y su incidencia en la determinación de frecuencias de aplicación del agua en métodos de riego localizado.
",01/03/2003,01/03/2003,J. Haberland,Centro Regional de Investigación V Región,Otros,Otros
49,ED7/02/008,Descubriendo la Ciencia por medio de la relación suelo -agua- planta,01/12/2002,01/12/2003,"J. Haberland / R. Callejas, P. Calandra",Departamento de Ingeniería y Suelos,Explora,Divulgación y Valoración de CTI
50,REIN-06/2002,Determinación de la conductividad hidráulica saturada del suelo por medio de tensioinfiltrometría,01/09/2002,01/09/2003,J. Haberland,Departamento de Ingeniería y Suelos,Fondo Central de Investigación,REINSERCION
51,FIX-16,"Desarrollo de bases tecnológicas para el mejoramiento en la obtención de aceite de oliva de calidad y aplicación de metodologías para su caracterización, clasificación y certificación",01/12/2001,01/12/2001,"R. Callejas / J. Haberland, L. Luchsinger, Ã. Peña, M. Hurtado",Departamento de Producción Agrícola,FONDEF,Investigación y Desarrollo (I+D)
52,1960964,Evaluación de diversos métodos de establecimiento de una siembra tardía de maíz,01/03/1996,01/03/1996,J. Haberland,Departamento de Producción Agrícola,FONDECYT,Regular
53,ID22I10034,Aprovechamiento comercial del fruto del pino piñonero (Pinus pinea L.) en Chile: validación de tecnologías para la obtención de piñones,01/08/2022,01/08/2024,I. Homer,INFOR,FONDEF,IDEA
54,40041035-0,Energía solar: Soluciones globales para problemas locales,01/04/2022,01/04/2024,I. Homer,Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE Coquimbo
55,IT20I0065,Innovaciones tecnológicas para mejorar la cosecha y elaboración primaria de piñas y piñones de pino piñonero (Pinus pinea L.) en Chile,01/10/2020,01/10/2020,I. Homer,INFOR,FONDEF,IDEA
56,30485931-0,Agricultura fotovoltaica: ahorrar agua produciendo energía,01/12/2017,01/12/2019,I. Homer / C. Kremer,Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE Coquimbo
57,30474703-0,Aumento del valor funcional y calidad organoléptica de hortalizas de hoja producidas en la Región de O'Higgins mediante la aplicación controlada de estreses ambientales en sistemas de producción forzada y mínimo procesamiento,01/11/2016,01/11/2019,"V. Escalona / R. Pertuzé, N. Fiore, I. Homer",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
58,S/N_01,Instalación de bases para un plan de eficiencia energética integral para los Campus Sur y Beauchef de la Universidad de Chile,01/08/2013,01/07/2014,"I. Homer, E. Rojas",Departamento de Desarrollo en Productos Forestales,Otros,Otros
59,D10ER-1002,"Centros de producción y acopio de biodisel y su posterior uso para generación de energía eléctrica en zonas rurales de la comuna de Cauquenes, VII región",01/10/2011,01/05/2012,I. Homer / P. Calandra,Departamento de Ingeniería y Suelos,FONDEF,Desarrollo de soluciones ERNC a pequeña escala
60,1090690,"Agroforestry/water harvesting/organic amendments, a synergistic and sustainable contribution to conventions on biological diversity/on combat desertification/on climate change.",01/03/2009,01/03/2009,"M. Casanova / O. Seguel, I. Homer, O. Salazar",Departamento de Ingeniería y Suelos,FONDECYT,Regular
61,1080575,"Agroforesteria/cosecha de agua/Uso de lodos, una contribución sinérgica y sustentable a la Convención sobre Biodiversidad/Combate contra la Desertificación/Cambio Climático",01/03/2008,01/03/2008,"M. Casanova / O. Seguel, I. Homer",Departamento de Ingeniería y Suelos,FONDECYT,Regular
62,1061044,"Agroforestería, cosecha de agua y lodos. Una opción de detención de la degradación de suelos en zonas sujetas a desertificación
",01/03/2006,01/03/2006,"M. Casanova / I. Homer, O. Seguel",Departamento de Ingeniería y Suelos,FONDECYT,Regular
63,05CT5TIP-03,"Sistema de información para agentes productivos del mercado agropecuario basado en el uso de tecnologías inalámbricas: internet (wi-fi y wi-max, y telefonía móvil (SMS, WAP)",01/12/2005,01/12/2008,P. Calandra / I. Homer,Biblioteca,INNOVA,Concurso Temático
64,TI2-02,"Implementación de una plataforma educacional electrónica para la formación de recursos humanos, como un medio para mejorar la competitividad del país",01/12/2004,01/12/2004,"P. Calandra, I. Homer, J. Haberland",Departamento de Sanidad Vegetal,FONDEF,"Tecnología de Información y Comunicación para la educación, TIC-EDU"
65,40017926-0,Transferencia Estrategías de adaptación para agricultura campesina,01/09/2019,01/09/2021,C. Kremer,Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE O'Higgins
66,30485931-0,Agricultura fotovoltaica: ahorrar agua produciendo energía,01/12/2017,01/12/2019,I. Homer / C. Kremer,Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE Coquimbo
67,30474716-0,Innovación y optimización del riego en arándanos,01/11/2016,01/08/2019,"J. Covarrubias / G. Reginato, O. Seguel, C. Kremer, R. Callejas",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
68,FIC201501,Desarrollo de Zeolita Atacama (ZA) para la remediación y mejoramiento de suelos agrícolas.,01/07/2022,01/07/2022,C. Kremer,Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE Atacama
69,30118799,Programa de eficiencia hídrica para los agricultores del sector San Fernando-Desembocadura de la Provincia de Copiapó,01/12/2011,01/10/2013,C. Kremer,Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE Atacama
70,11BPC-10055,Desarrollo de Herramientas para generar criterios de riego enfocados a un lavado de sales eficiente en el uso del agua,01/12/2011,01/12/2011,C. Kremer,Departamento de Ingeniería y Suelos,INNOVA,Innova
71,BIP 30114694-0,Desarrollo y transferencia de paquetes tecnológicos basados en frutales de zonas áridas para aumentar la rentabilidad del agua en los valles de Lluta y Codpa,01/12/2011,01/12/2013,"C. Kremer, Ã. Peña",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE Arica y Parinacota
72,PYT-2010-0179,Desarrollo e Innovación de una Red Agrometeorológica para la Zonificación Climática y monitoreo a Nivel Suelo Agua y Planta; Hacia el Diseño de Sistemas de Seguimiento optimizados con el Fin de Mejorar el Uso del Agua Intrapredial en el Valle de Copiapó,01/03/2011,01/02/2014,J. Haberland / C. Kremer,Departamento de Ingeniería y Suelos,Fundación para la Innovación Agraria-FIA,FIA-proyectos
73,PYT-2008-0216,Prospección y desarrollo de germoplasma varietal de especies frutales de bajo rendimiento hídrico para aumentar la rentabilidad del agua en el norte chico,01/12/2008,01/12/2013,C. Kremer,Departamento de Producción Agrícola,Fundación para la Innovación Agraria-FIA,FIA-proyectos
74,07CT9IUM-30,Mejoramiento de la competitividad de los huertos de olivo para la producción de aceites extra virgen a través del manejo del añerismo y enfermedades,01/12/2007,01/12/2010,"T. Fichet / J. Henríquez, M. Prat, M. Hurtado, C. Pastenes, M. Mora, J. Montealegre, C. Kremer, J. Haberland",Departamento de Producción Agrícola,INNOVA,Innova en Industria Alimentaria
75,ALIM_IT1,Domeyko Alimentos: Acreditación de laboratorios analíticos de la Universidad de Chile bajo norma ISO 17025,01/03/2007,01/03/2010,"P. Richter, J. Montealegre, A. Bunger, M. Esterio, M. Hurtado, B. Suárez, C. Kremer, P. Oviedo, O. Seguel",Departamento de Ciencias Clínicas,Fondo Central de Investigación,Programa Domeyko
76,ATE230031,"Chilean soil carbon and nitrogen grid: A framework for planning strategies in agriculture, forestry and natural ecosystems for mitigation and adaptation to climate change",01/06/2023,01/06/2023,"O. Salazar / M. Pfeiffer, Y. Tapia, J. Pérez, J. Fuentes, L. Renwick",Departamento de Ingeniería y Suelos,Programa de Investigación Asociativa,Anillo de Investigación en Ciencia y Tecnología Temático
77,1211232,"Tectonics or climate? The link between Pleistocene pediment formation and regolith evolution, insights from the Coastal Cordillera of Central Chile",01/08/2020,01/08/2020,M. Pfeiffer,PUC. Facultad de Ingeniería,FONDECYT,Regular
78,1210922,"Irrigation with mining water and organic amendment addition for phytostabilization of tailings, monitoring of leaching of metals and sulfates",01/03/2021,01/03/2025,"Y. Tapia / M. Pfeiffer, O. Seguel",Departamento de Ingeniería y Suelos,FONDECYT,Regular
79,1201497,Modelling of net nitrogen mineralization in he agroecosystems of Chile,01/03/2020,01/03/2024,"O. Salazar / M. Casanova, Y. Tapia, M. Pfeiffer",Departamento de Ingeniería y Suelos,FONDECYT,Regular
80,1200935,Did Andean glaciers drive coastal dune formation during the last glacial cycle in central Chile?,01/03/2020,01/03/2024,M. Pfeiffer,Universidad Católica de Chile,FONDECYT,Regular
81,UI-003/19,Origen de los Carbonatos Pedogenéticos en la Zona Mediterránea de Chile y su Relevancia como Reservorio de Carbono,01/10/2019,01/10/2021,M. Pfeiffer,Departamento de Ingeniería y Suelos,Fondo Central de Investigación,U-INICIA
