,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Marcela, Hidalgo; de los angeles Sepulveda, Maria; Munoz, Cristina; Casanova, Manuel; Wasner, Daniel; Bode, Samuel; Doetterl, Sebastian; Boeckx, Pascal; Zagal, Erick","Predicting Soil Organic Carbon Mineralization Rates Using delta C-13, Assessed by Near-Infrared Spectroscopy, in Depth Profiles Under Permanent Grassland Along a Latitudinal Transect in Chile",2022,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s42729-022-00797-w,10.1007/s42729-022-00797-w
1,"Salazar, O; Casanova, M; Fuentes, JP; Galleguillos, M; Najera, F; Perez-Quezada, JF; Pfeiffer, M; Renwick, LLR; Seguel, O; Tapia, Y","Soil research, management, and policy priorities in Chile",2022,GEODERMA REGIONAL,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.geodrs.2022.e00502,10.1016/j.geodrs.2022.e00502
2,"Casanova M., Salazar O., Seguel O., Tapia Y., Pfeiffer M., Eslamian S.",Combined agroforestry and rainwater harvesting to reduce soil degradation in Mediterranean Zones,2021,Handbook of Water Harvesting and Conservation: Case Studies and Application Examples,SCOPUS/UCH/VID,http://dx.doi.org/10.1002/9781119776017.ch6,10.1002/9781119776017.ch6
3,"Perez, R; Tapia, Y; Antilen, M; Casanova, M; Vidal, C; Silambarasan, S; Cornejo, P",Rhizosphere Management for Phytoremediation of Copper Mine Tailings,2021,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/s42729-021-00591-0,10.1007/s42729-021-00591-0
4,"Acuna, E; Castillo, B; Queupuan, M; Casanova, M; Tapia, Y",Assisted phytoremediation of lead contaminated soil usingAtriplex halimusand its effect on some soil physical properties,2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s13762-020-02978-5,10.1007/s13762-020-02978-5
5,"Sepulveda, MD; Hidalgo, M; Araya, J; Casanova, M; Munoz, C; Doetterl, S; Wasner, D; Colpaert, B; Bode, S; Boeckx, P; Zagal, E",Near-infrared spectroscopy: Alternative method for assessment of stable carbon isotopes in various soil profiles in Chile,2021,GEODERMA REGIONAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.geodrs.2021.e00397,10.1016/j.geodrs.2021.e00397
6,"Salazar, O; Manrique, A; Tapia, Y; Casanova, M; Govan, J; Covarrubias, JI; Contreras, A; Cabeza, RA",The Development of a Model for Recommending the Application of Zinc Fertilizer in the Mediterranean Region of Central Chile,2021,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s42729-020-00357-0,10.1007/s42729-020-00357-0
7,"Perez, R; Tapia, Y; Antilen, M; Casanova, M; Vidal, C; Santander, C; Aponte, H; Cornejo, P",Interactive effect of compost application and inoculation with the fungus Claroideoglomus claroideum in Oenothera picensis plants growing in mine tailings,2021,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ecoenv.2020.111495,10.1016/j.ecoenv.2020.111495
8,"Casanova, M; Ticona, B; Salazar, O; Gratacos, E; Pfeiffer, M; Avila, G; Tapia, Y; Seguel, O; Sabaini, C","Physical assessment of a Mollisol under agroecological management in the Quillota Valley, Mediterranean Central Chile",2020,INTERNATIONAL JOURNAL OF AGRICULTURE AND NATURAL RESOURCES,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.7764/ijanr.v47i3.2290,10.7764/ijanr.v47i3.2290
9,"Salazar, O; Casanova, M; Najera, F; Contreras, A; Tapia, Y",Net Nitrogen Mineralisation in Maize-Cover Crop Rotations in Mediterranean Central Chile,2020,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s42729-020-00191-4,10.1007/s42729-020-00191-4
