,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,3200019,"Toward a better understanding of color traits of A. pallida × A. umbellata hybrids with focusing on morphological, physiological, anthocyanin and transcriptomic analysis",01/12/2019,01/12/2019,D. Aros,Departamento de Producción Agrícola,FONDECYT,Postdoctorado
1,ID19I10152,"Masificación de protocolos optimizados de poliploidización para potenciar el vigor, la productividad y la calidad en especies agrícolas",01/04/2019,01/04/2019,"C. Muñoz / R. Pertuzé, R. Infante, D. Aros, M. Prat",Departamento de Producción Agrícola,FONDEF,IDEA
2,PYT-2018-0093,Evaluación técnico económica de estrategias sostenibles para la producción de cultivos regados con agua salina,01/11/2017,01/11/2021,"J. Covarrubias / D. Aros, S. Boza",Departamento de Producción Agrícola,Fundación para la Innovación Agraria-FIA,FIA-proyectos
3,EQM180182,"""Adquisición de un Sistema HPLC-MS para análisis de compuestos del metabolismo primario y secundario de vegetales de interés agronómico,enologico y agroindustrial""",01/07/2018,01/07/2018,"Ã. Peña / M. Medel, D. Aros, K. Sagredo, C. Pastenes",Departamento Agroindustria y Enología,FONDEQUIP,Concurso de Equipamiento Científico
4,1170756,"Physiological, molecular and agronomic implications of sustainable management techniques to increase nitrogen use efficiency in grapevine",01/09/2016,01/09/2016,J. Covarrubias / D. Aros,Departamento de Producción Agrícola,FONDECYT,Regular
5,FIC201613,Xerojardinería nativa para parques y jardines hidro-eficientes,01/07/2022,01/07/2022,D. Aros,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE Coquimbo
6,ID16I10061,Desarrollo de nuevas variedades de alstroemeria para el mercado local mediante la aplicación de mutagénesis,01/08/2016,01/08/2016,D. Aros,Departamento de Producción Agrícola,FONDEF,IDEA Bietapa
7,EST-2016-0244,Estudio sobre factibilidad técnica y económica de un sistema hidropónico para la producción sustentable de flores bulbosas,01/03/2016,01/03/2017,D. Aros,Departamento de Producción Agrícola,Fundación para la Innovación Agraria-FIA,FIA-Estudios
8,FIC201626,Evaluación de un invernadero sostenible para la aclimatación y producción de cultivos ornamentales,01/07/2022,01/07/2022,D. Aros,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE Coquimbo
9,ID15I10007,"Desarrollo de nuevos cultivos ornamentales resistentes al frío mediante la aplicación de mutagénesis inducida, orientado al mercado del hemisferio norte",01/06/2015,01/06/2015,D. Aros,Departamento de Producción Agrícola,FONDEF,IDEA Bietapa
