,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Kaltsidi, MP; Bayer, I; Mitsi, C; Aros, D",Potential Use of Chilean Native Species in Vertical Greening Systems,2023,SUSTAINABILITY,ISI/UCH/VID,http://dx.doi.org/10.3390/su15064944,10.3390/su15064944
1,"Aros, D; Suazo, M; Medel, M; Ubeda, C",Chemical and Sensorial Characterization of Scented and Non-Scented Alstroemeria Hybrids,2022,HORTICULTURAE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/horticulturae8010065,10.3390/horticulturae8010065
2,"Donoso, A; Rivas, C; Zamorano, A; Pena, A; Handford, M; Aros, D","Understanding Alstroemeria pallida Flower Colour: Links between Phenotype, Anthocyanins and Gene Expression",2021,PLANTS-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/plants10010055,10.3390/plants10010055
3,"Aros, D; Garrido, N; Rivas, C; Medel, M; Muller, C; Rogers, H; Ubeda, C",Floral Scent Evaluation of Three Cut Flowers Through Sensorial and Gas Chromatography Analysis,2020,AGRONOMY-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/agronomy10010131,10.3390/agronomy10010131
4,"Aros, D; Suazo, M; Rivas, C; Zapata, P; Ubeda, C; Bridgen, M",Molecular and morphological characterization of new interspecific hybrids of alstroemeria originated from A. caryophylleae scented lines,2019,EUPHYTICA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10681-019-2415-4,10.1007/s10681-019-2415-4
5,"Guzman, C; Prat, L; Rivas, C; Aros, D",Induction of direct organogenesis from aerial explants of scented alstroemeria genotypes,2018,CIENCIA E INVESTIGACION AGRARIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.7764/rcia.v45i2.1918,10.7764/rcia.v45i2.1918
6,"Aros D., Garrido N., Suazo M., Medel M., Beda C.",Floral scent: From sensorial to instrumental evaluation,2017,Acta Horticulturae,SCOPUS/UCH/VID,http://dx.doi.org/10.17660/ActaHortic.2017.1171.22,10.17660/ActaHortic.2017.1171.22
7,"Aros, D; Orellana, K; Escalona, V",Modified atmosphere packaging as a method to extend postharvest life of tulip flowers,2017,NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/01140671.2017.1296872,10.1080/01140671.2017.1296872
8,"Aros, D; Vasquez, M; Rivas, C; Prat, ML",An efficient method for in vitro propagation of Alstroemeria pallida Graham rhizomes,2017,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-58392017000100012,10.4067/S0718-58392017000100012
9,"Aros, D; Silva, C; Char, C; Prat, L; Escalona, V",Role of flower preservative solutions during postharvest of Hydrangea macrophylla cv. Bela,2016,CIENCIA E INVESTIGACION AGRARIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-16202016000300008,10.4067/S0718-16202016000300008
10,"Aros, D; Spadafora, N; Venturi, M; Nunez-Lillo, G; Meneses, C; Methven, L; Muller, CT; Rogers, H",Floral scent evaluation of segregating lines of Alstroemeria caryophyllaea,2015,SCIENTIA HORTICULTURAE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.scienta.2015.01.014,10.1016/j.scienta.2015.01.014
11,"Aros D., Rogers H.",Floral scent as a new attribute for Alstroemeria: Evaluation of new fragrant lines of A. caryophyllaea,2013,Acta Horticulturae,SCOPUS/UCH/VID,,
12,"Aros D., Gonzalez V., Allemann R.K., Müller C.T., Rosati C., Rogers H.J.","Volatile emissions of scented Alstroemeria genotypes are dominated by terpenes, and a myrcene synthase gene is highly expressed in scented Alstroemeria flowers",2012,JOURNAL OF EXPERIMENTAL BOTANY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1093/jxb/err456,10.1093/jxb/err456
13,Infante R;Valdes S;Aros D;Olate E,Gamma irradiation on Alstroemeria aurea G. in vitro rhizomes: an approach to the appropriate dosage for breeding purposes,2012,REVISTA DE LA FACULTAD DE CIENCIAS AGRARIAS,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,,
14,"Infante, R;Aros, D;Contador, L;Rubio, P",Does the maturity at harvest affect quality and sensory attributes of peaches and nectarines?,2012,NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/01140671.2011.611149,10.1080/01140671.2011.611149
15,"Infante, R;Contador, L;Rubio, P;Aros, D;Pena-Neira, A",POSTHARVEST SENSORY AND PHENOLIC CHARACTERIZATION OF 'ELEGANT LADY' AND 'CARSON' PEACHES,2011,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-58392011000300016,10.4067/S0718-58392011000300016
16,"Donoso, JM; Aros, D; Meneses, C; Infante, R",Identification of S-alleles associated with self-incompatibility in apricots (Prunus armeniaca L.) using molecular markers,2009,JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT,ISI/SCOPUS/UCH/VID,,
17,"Donoso, JM;Aros, D;Meneses, C;Narvaez, C;Infante, R",Genetic relationships in apricot (Prunus armeniaca L.) using SSR markers and their implications for breeding,2008,JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT,ISI/SCOPUS/UCH/VID,,
18,"Infante R., Kraemer F., Luchsinger L., Meneses C., Aros D.",Sensorial post-harvest quality evolution in apricot (Prunus armeniaca L.) cultivars ´Palsteyn´ and ´Grandir´,2006,Acta Horticulturae,SCOPUS/UCH/VID,,
19,"Aros, D; Meneses, C; Infante, R",Genetic diversity of wild species and cultivated varieties of alstroemeria estimated through morphological descriptors and RAPD markers,2006,SCIENTIA HORTICULTURAE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.scienta.2006.01.009,10.1016/j.scienta.2006.01.009
20,"Salazar, O; Rojas, C; Baginsky, C; Boza, S; Lankin, G; Munoz-Saez, A; Perez-Quezada, JF; Pertuze, R; Renwick, LLR; Szekacs, A; Altieri, M",Challenges for agroecology development for the building of sustainable agri-food systems,2020,INTERNATIONAL JOURNAL OF AGRICULTURE AND NATURAL RESOURCES,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.7764/ijanr.v47i3.2308,10.7764/ijanr.v47i3.2308
21,"Pertuzé R., Baginsky C., Medina C., Bello M., Araya A.","A South American forgotten vegetable: Cyclanthera pedata (L.) Schrad, a contribution to its agronomic management",2020,Acta Horticulturae,SCOPUS/UCH/VID,http://dx.doi.org/10.17660/ActaHortic.2020.1297.6,10.17660/ActaHortic.2020.1297.6
22,"Osiac, LR; Rojas, DE; Espinoza, PG; Navarro-Rosenblatt, D; Araya, M; Carroza, MB; Baginsky, C",Let's avoid food insecurity in COVID-19 time in Chile,2020,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0717-75182020000300347,10.4067/S0717-75182020000300347
23,"Curkovic, T; Ferrera, C; Baginsky, C; Seguel, O","Effect of infestation by Micrapate scabrata (Erichson, 1847) (Coleoptera: Bostrichidae) on wood degradation and its impacts on some soil chemistry properties",2018,GAYANA,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-65382018000100001,10.4067/S0717-65382018000100001
24,"Silva, H; Arriagada, C; Campos-Saez, S; Baginsky, C; Castellaro-Galdames, G; Morales-Salinas, L",Effect of sowing date and water availability on growth of plants of chia (Salvia hispanica L) established in Chile,2018,PLOS ONE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1371/journal.pone.0203116,10.1371/journal.pone.0203116
25,"Baginsky, C; Ramos, L",The status of legumes in Chile: An agronomic view,2018,REVISTA CHILENA DE NUTRICION,SCIELO-Chile/ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-75182018000200021,10.4067/S0717-75182018000200021
26,"Cortes, D; Silva, H ; Baginsky, C ; Morales, L",Climatic zoning of chia (Salvia hispanica L.) in Chile using a species distribution model,2017,SPANISH JOURNAL OF AGRICULTURAL RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5424/sjar/2017153-9935,10.5424/sjar/2017153-9935
27,"Baginsky, C; Arenas, J; Escobar, H; Garrido, M; Valero, N; Tello, D; Pizarro, L; Valenzuela, A; Morales, L; Silva, H",Growth and yield of chia (Salvia hispanica L.) in the mediterranean and desert climates of Chile,2016,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0718-58392016000300001,10.4067/S0718-58392016000300001
28,"Silva, P; Pinheiro, AC; Rodriguez, L; Figueroa, V; Baginsky, C",Natural sources of phytosterols and production factors that modify them,2016,ARCHIVOS LATINOAMERICANOS DE NUTRICION,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,,
29,"Herman, S; Marco, G; Cecilia, B; Alfonso, V; Luis, M; Cristian, V; Sebastian, P; Sebastian, A","Effect of water availability on growth, water use efficiency and omega 3 (ALA) content in two phenotypes of chia (Salvia hispanica L.) established in the arid Mediterranean zone of Chile",2016,AGRICULTURAL WATER MANAGEMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.agwat.2016.04.028,10.1016/j.agwat.2016.04.028
30,"Najera, F; Tapia, Y; Baginsky, C; Figueroa, V; Cabeza, R; Salazar, O",Evaluation of soil fertility and fertilisation practices for irrigated maize (Zea mays L.) under Mediterranean conditions in central Chile,2015,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-95162015005000008,10.4067/S0718-95162015005000008
31,"Baginsky, C; Brito, B; Scherson, R; Pertuze, R; Seguel, O; Canete, A; Araneda, C; Johnson, WE",Genetic diversity of Rhizobium from nodulating beans grown in a variety of Mediterranean climate soils of Chile,2015,ARCHIVES OF MICROBIOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/s00203-014-1067-y,10.1007/s00203-014-1067-y
32,"Silva, H; Sagardia, S; Ortiz, M; Franck, N; Opazo, M; Quiroz, M; Baginsky, C; Tapia, C","Relationships between leaf anatomy, morphology, and water use efficiency in Aloe vera (L) Burm f. as a function of water availability",2014,REVISTA CHILENA DE HISTORIA NATURAL,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/S40693-014-0013-3,10.1186/S40693-014-0013-3
33,"Mendez, C;Baginsky, C;Hedden, P;Gong, F;Caru, M;Rojas, MC",Gibberellin oxidase activities in Bradyrhizobium japonicum bacteroids,2014,PHYTOCHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.phytochem.2013.11.013,10.1016/j.phytochem.2013.11.013
