,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Ge, JL; Lin, YH; Araneda, C; Wang, QC",Editorial: Genetic adaption and metabolic response of aquatic animals to diverse water environment parameters,2022,FRONTIERS IN PHYSIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fphys.2022.1092413,10.3389/fphys.2022.1092413
1,"Zazueta, A; Castillo, T; Cavieres, A; Gonzalez, R; Abarca, M; Nieto, RR; Deneken, J; Araneda, C; Moya, PR; Bustamante, ML",Polymorphisms in Schizophrenia-Related Genes Are Potential Predictors of Antipsychotic Treatment Resistance and Refractoriness,2022,INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1093/ijnp/pyac025,10.1093/ijnp/pyac025
2,"Asorey, CM; Jilberto, F; Haase, I; Schubbert, R; Larrain, MA; Araneda, C",Comparison of two commercial methods for smooth-shelled mussels (Mytilus spp.) species identification,2022,FOOD CHEMISTRY: MOLECULAR SCIENCES,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.1016/j.fochms.2022.100121,10.1016/j.fochms.2022.100121
3,"Lasalle, A; Caceres, P; Montenegro, T; Araneda, C; Yanez, J; Vizziano-Cantonnet, D",Development of a dense SNP panel for the Siberian sturgeon (Acipenser baerii) using high-depth RAD-seq,2022,CONSERVATION GENETICS RESOURCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s12686-021-01246-z,10.1007/s12686-021-01246-z
4,"Vargas-Peralta, CE; Araneda, C; Galindo-Sanchez, CE; Larrain, MA; Del Rio-Portilla, MA; Lafarga-De La Cruz, F",Species identification in Haliotis genus from the northeastern Pacific Ocean using genome-wide RAD-SNPs,2022,FOOD CONTROL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.foodcont.2022.108979,10.1016/j.foodcont.2022.108979
5,"Baez, P; Araneda, C; Burns, L; Navarrete, C","First record and distributional extension to Rapa Nui (Easter Island) of the slipper lobster Scyllarides haanii (Crustacea, Decapoda, Scyllaridae)",2022,LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.3856/vol50-issue1-fulltext-2765,10.3856/vol50-issue1-fulltext-2765
6,"Wenne, R; Pradzinska, A; Pocwierz-Kotus, A; Larrain, MA; Araneda, C; Zbawicka, M",Provenance of Mytilus food products in Europe using SNP genetic markers,2022,AQUACULTURE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.aquaculture.2022.738135,10.1016/j.aquaculture.2022.738135
7,"Lavin, AD; Diaz-Arce, N; Larrain, MA; Araneda, C; Rodriguez-Ezpeleta, N; Jimenez, E; Pardo, MA",Population structure and geographic origin assignment of Mytilus galloprovincialis mussels using SNPs,2022,AQUACULTURE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.aquaculture.2021.737836,10.1016/j.aquaculture.2021.737836
8,"Giusti, A; Malloggi, C; Tosi, F; Boldini, P; Barth, MAL; Araneda, C; Arcangeli, G; Armani, A",Mislabeling assessment and species identification by PCR-RFLP of mussel-based products (Mytilus spp.) sold on the Italian market,2022,FOOD CONTROL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.foodcont.2021.108692,10.1016/j.foodcont.2021.108692
9,"Gallardo, P; Bueno, GW; Araneda, C; Benfey, T",Status of Atlantic halibut (Hippoglossus hippoglossus) aquaculture production technology in Chile,2022,AQUACULTURE REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.aqrep.2021.100958,10.1016/j.aqrep.2021.100958
