,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1240459,Development of a machine learning model to decode the olfactory landscape of a pest moth: Towards integrated pest management aided by artificial intelligence,01/07/2023,01/07/2023,T. Curkovic,,FONDECYT,Regular
1,049/2020,Manejo sostenible del perforador de semillas Perzelia arda asociado a Hualo (Nothofagus glauca) en Chile central,01/08/2020,01/08/2023,"A. Huerta / Ã. Chiffelle, T. Curkovic",Departamento de Silvicultura y Conservación de la Naturaleza,CONAF,Investigación del Bosque Nativo
2,ID20I10136,"Sistema de Modelamiento Bioclimático y Fenológico para la Gestión del Riesgo en Bioseguridad Humana, Animal y Vegetal, con Escenarios Climáticos Actuales y Futuros",01/04/2020,01/04/2020,"J. Amaya / J. San Martín, N. Fiore, T. Curkovic",Departamento de Ingeniería Matemática,FONDEF,IDEA
3,021/2018,Manejo sostenible de Proholopterus chilensis mediante la identificación y uso de semioquímicos y técnicas silvícolas en Roble-Raulí-Coihue,01/09/2018,01/09/2021,"T. Curkovic / J. Henríquez, A. Huerta",Departamento de Sanidad Vegetal,CONAF,Investigación del Bosque Nativo
4,FIC201807,Alerta de precisión para control de polilla de la manzana,01/07/2022,01/07/2022,T. Curkovic,Departamento de Sanidad Vegetal,Fondos de Innovación para la Competitividad,GORE O'Higgins
5,IT17I0098,Desarrollo de un sistema público de alerta temprana para proveer de avisos de aplicación oportunos para el control de Eulias en frutales y viñas,01/12/2017,01/12/2019,T. Curkovic / L. Morales,Departamento de Sanidad Vegetal,FONDEF,IDEA
6,FIC201712,Miel y alimento apícola de cepas viníferas tintas,01/07/2022,01/07/2022,T. Curkovic,Departamento de Sanidad Vegetal,Fondos de Innovación para la Competitividad,GORE O'Higgins
7,FIC201713,Alerta de precisión para control de polilla de la manzana,01/07/2022,01/07/2022,T. Curkovic,Departamento de Sanidad Vegetal,Fondos de Innovación para la Competitividad,GORE O'Higgins
8,PYT-2014-0014,"Desarrollo  de un nuevo producto, en base a feromonas sexuales, para el control de Proeulia auraria
",01/04/2014,01/04/2017,T. Curkovic,"UCV., Depto. de Fitopatología",Fundación para la Innovación Agraria-FIA,FIA-proyectos
9,ENLACE-2014-69929,"Evaluación de la respuesta conductual del taladrador de la vid, Micrapate scabrata  (Coleoptera: Bostrichidae), a volátiles obtenidos de conespecíficos y madera de vid",01/04/2014,01/04/2014,T. Curkovic,Departamento de Sanidad Vegetal,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
10,114-216,"Characterization of host-infestation and aggregation behaviors of Micrapate scabrata (Coleoptera: Bostrichidae), and identification of semiochemicals involved; basis for development of sustainable control tactics",01/03/2014,01/03/2014,T. Curkovic,Departamento de Sanidad Vegetal,FONDECYT,Regular
11,112RT0441,Fortalecimiento de las estrategias para el control integrado de enfermedades y plagas priorizadas en el cultivo de frutales de carozo o hueso (FRUT-SAN),01/03/2012,01/03/2016,"J. Henríquez, J. Montealegre, T. Curkovic",Particular,Prog. Iber. de Ciencia yTec. para el Des.,CYTED-Redes
12,1110365,Study of the sexual behavior and chemical communication in Proeulia auraria and other species belonging to the Eulia leafroller complex (Lepidoptera: Tortricidae),01/03/2011,01/03/2014,T. Curkovic,UCV. Inst. de Química,FONDECYT,Regular
13,11BPC-9950,"Evaluación del manejo integrado de plagas en el sector olivícola de la IV y VII regiones: Diagnóstico, formulación de directrices y perspectivas de los productos MIP en el mercado nacional e internacional",01/12/2011,01/12/2011,T. Curkovic,Departamento de Sanidad Vegetal,INNOVA,Innova
14,1100478,Study of the chemical communication systems of species belonging to the Eulia leafroller (Lepidoptera: Tortricidae) complex,01/03/2010,01/03/2010,T. Curkovic,UCV. Inst. de Química,FONDECYT,Regular
15,11070072,"Caracterización del comportamiento de llamado, orientación y cortejo en Callisphyris apicicornis (Coleoptera: Cerambycidae) y evaluación de la respuesta de machos a volátiles aislados desde hembras vírgenes conespecíficas",01/03/2007,01/03/2010,T. Curkovic,Departamento de Sanidad Vegetal,FONDECYT,Iniciación en Investigación
16,11060458,"Respuestas de comportamiento del taladrador de la vid, Micrapate scabrata (Erichson) (Coleoptera: Bostrychidae), a volátiles provenientes de fecas e individuos con-específicos, kairomonas y feromonas interespecíficas",01/03/2006,01/03/2006,T. Curkovic,Departamento de Sanidad Vegetal,FONDECYT,Iniciación en Investigación
17,1030721,"Desarrollo de un programa de manejo integrado de la Avispa chaqueta amarilla, Vespula Germanica, para Chile
",01/03/2003,01/03/2003,"T. Curkovic, G. Lankin",Departamento de Sanidad Vegetal,FONDECYT,Regular
18,1970510,Degradación de residuos de pesticidas en cultivos alimenticios: proposición de limites máximos y fijación de carencias,01/03/1997,01/03/2000,T. Curkovic,Departamento de Sanidad Vegetal,FONDECYT,Regular
19,1960932,Degradación de  residuos de pesticidas en cultivos alimenticios y en el agroecosistema,01/03/1996,01/03/1996,T. Curkovic,Departamento de Sanidad Vegetal,FONDECYT,Regular
20,1921013,Manejo integrado de plagas,01/03/1992,01/03/1995,T. Curkovic,Departamento de Sanidad Vegetal,FONDECYT,Regular
21,PYT-2020-0208,Diagnóstico rápido desde tejido vegetal de mutaciones en Botrytis spp asociadas a resistencia a hidroxianilidas y carboxamidas mediante qPCR-HRM,01/10/2020,01/10/2022,"M. Esterio / H. Silva, J. Auger",Departamento de Sanidad Vegetal,Fundación para la Innovación Agraria-FIA,FIA-proyectos
22,ID18I10176,Desarrollo de una plataforma de diagnóstico molecular para pronosticar la tolerancia de variedades de kiwi amarillo (Actinidia chinensis) a la infección por el hongo fitopatógeno Verticillium nonalfalfae,01/04/2018,01/04/2018,"L. Norambuena / M. Esterio, J. Auger",Departamento de Biología,FONDEF,IDEA
23,ID17AL0003,Elaboración de test de diagnóstico basado en la detección de los genes responsables de la resistencia a cobre en patovares de Pseudomonaceae,01/08/2017,01/08/2017,J. Auger / M. Esterio,Departamento de Sanidad Vegetal,FONDEF,Idea Bietapa temático
24,PYT-2016-0243,"Diseño de Programas de Control de Botrytis cinereamedioambientalmente sustentables según sensibilidad a fungicidas base, determinados por qPCR múltiple y la incorporación de fungicidas no residuales",01/03/2016,01/06/2018,M. Esterio / J. Auger,Departamento de Sanidad Vegetal,Fundación para la Innovación Agraria-FIA,FIA-proyectos
25,1161442,Genetic and phenotypic characterization of Botrytis populations associated to gray mold in different fruit crops in the Central Valley of Chile,01/08/2015,01/08/2015,M. Esterio,UNAB. Depto. Ciencias Biológicas,FONDECYT,Regular
26,FIC201519,Uva de mesa - VI Región: uso óptimo botrycidas,01/07/2022,01/07/2022,M. Esterio,Departamento de Sanidad Vegetal,Fondos de Innovación para la Competitividad,GORE O'Higgins
27,114-249,"Antifungal metabolites produced by fungi isolated from soil: selection, characterization and evaluation of its effectiveness to control gray mold of table grapes and blueberries",01/03/2014,01/03/2014,M. Esterio,UNAB. Depto. Ciencias Biológicas,FONDECYT,Regular
28,30135568-0,Prevención de la bacteriosis del kiwi en O'Higgins,01/08/2013,01/12/2016,J. Auger / M. Esterio,Departamento de Sanidad Vegetal,Fondos de Innovación para la Competitividad,GORE O'Higgins
29,11BPC-9947,"Aumento de la competitividad de la uva de mesa chilena a través del establecimiento de una plataforma on-line, de apoyo a la toma de decisiones, para optimizar el uso de fungicidas en el control de Botrytis",01/12/2011,01/12/2013,M. Esterio,Departamento de Sanidad Vegetal,INNOVA,Bienes públicos para la competitividad
30,09CAVC-6987,Rescate de germoplasma de vid presente en el territorio nacional,01/10/2010,01/10/2013,"J. Auger / N. Fiore, M. Esterio, J. Montealegre",Departamento de Sanidad Vegetal,INNOVA,Línea I&D Precompetitiva: agroindustria
