,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Esterio, M; Osorio-Navarro, C; Azocar, M; Copier, C; Rubilar, M; Pizarro, L; Auger, J",Reduced fitness cost and increased aggressiveness in fenhexamid-resistant Botrytis cinerea field isolates from Chile,2021,PHYTOPATHOLOGIA MEDITERRANEA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.36253/phyto-10723,10.36253/phyto-10723
1,"Auger J., Pozo L., Rubilar M., Briceño N., Osorio-Navarro C., Esterio M.",First report of canker and branch dieback of sweet cherry trees caused by calosphaeria pulchella in Chile,2021,PLANT DISEASE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1094/PDIS-05-20-1026-PDN,10.1094/PDIS-05-20-1026-PDN
2,"Esterio M., Osorio-Navarro C., Carreras C., Azócar M., Copier C., Estrada V., Rubilar M., Auger J.",Botrytisprunorum Associated to Vitis vinifera Blossom Blight in Chile,2020,PLANT DISEASE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1094/PDIS-09-19-2055-SC,10.1094/PDIS-09-19-2055-SC
3,"Auger, J; Perez, I; Osorio-Navarro, C; Esterio, M",First report of cadophora luteo-Olivacea causing side rot on kiwifruit in Chile,2018,PLANT DISEASE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1094/PDIS-09-17-1349-PDN,10.1094/PDIS-09-17-1349-PDN
4,"Esterio, M; Copier, C; Roman, A; Araneda, MJ; Rubilar, M; Perez, I; Auger, J",Frequency of fungicide-resistant Botrytis cinerea populations isolated from 'Thompson Seedless' table grapes in the Central Valley of Chile,2017,CIENCIA E INVESTIGACION AGRARIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.7764/rcia.v44i3.1721,10.7764/rcia.v44i3.1721
5,"Auger, J; Perez, I; Esterio, M",Occurrence of Root Rot Disease of Cherimoya (Annona cherimola Mill.) Caused by Dactylonectria macrodidyma in Chile,2015,PLANT DISEASE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1094/PDIS-03-15-0257-PDN,10.1094/PDIS-03-15-0257-PDN
6,"Esterio, M; Araneda, MJ; Roman, A; Pizarro, L; Copier, C; Auger, J","First Report of Boscalid Resistant Botrytis cinerea Isolates Carrying the Mutations H272R, H272Y, P225L, and P225H from Table Grape in Chile",2015,PLANT DISEASE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1094/PDIS-12-14-1257-PDN,10.1094/PDIS-12-14-1257-PDN
7,"Auger, J;Palma, F;Perez, I;Esterio, M","First Report of Neofissicoccum australe (Botryosphaeria australis), as a Branch Dieback Pathogen of Avocado Trees in Chile",2013,PLANT DISEASE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1094/PDIS-10-12-0980-PDN,10.1094/PDIS-10-12-0980-PDN
8,"Diaz, GA; Auger, J; Besoain, X; Bordeu, E; Latorre, BA",Prevalence and pathogenicity of fungi associated with grapevine trunk diseases in Chilean vineyards,2013,CIENCIA E INVESTIGACION AGRARIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-16202013000200008,10.4067/S0718-16202013000200008
9,"Auger, J;Perez, I;Esterio, M",Diaporthe ambigua Associated with Post-Harvest Fruit Rot of Kiwifruit in Chile,2013,PLANT DISEASE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1094/PDIS-10-12-0990-PDN,10.1094/PDIS-10-12-0990-PDN
