,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1240452,Dynamic calcium reserves in cherry trees: from storage to fruit accumulation,01/07/2023,01/07/2023,J. Covarrubias / R. Campos,Departamento de Producción Agrícola,FONDECYT,Regular
1,1221212,"Dissecting the root to shoot responses in nitrogen uptake, translocation and allocation upon water deficit in grapevines with contrasting stomatal sensitivity, and the consequences for YAN in grape berries",01/04/2022,01/04/2025,"C. Pastenes / R. Campos, J. Covarrubias, Ã. Peña, M. Garrido",Departamento de Producción Agrícola,FONDECYT,Regular
2,1220484,At the right time and at the right place: the role of cell wall calcium on fruit softening and exocarp disorders during storage on avocado (Persea americana Mill) grown under water deficit,01/04/2022,01/04/2026,"B. Defilippi / R. Campos, J. Covarrubias",Centro Regional La Platina-RM,FONDECYT,Regular
3,1210314,"Physiological, molecular and agronomic implications of ammonium with a natural nitrification inhibitor to optimize nitrogen nutrition in grapevine",01/08/2020,01/08/2020,"J. Covarrubias / M. Garrido, H. Silva",Departamento de Producción Agrícola,FONDECYT,Regular
4,1210483,At the right time and at the right place: the role of cell wall calcium on fruit softening and exocarp disorders during storage on avocado (Persea americana Mill) grown under water deficit,01/08/2020,01/08/2020,"B. Defilippi / J. Covarrubias, R. Campos",Centro Regional La Platina-RM,FONDECYT,Regular
5,1200402,"Physiological, molecular and agronomic implications of ammonium with a natural nitrification inhibitor to increase nitrogen use efficiency in grapevine",01/08/2019,01/08/2019,"J. Covarrubias / H. Silva, M. Garrido",Departamento de Producción Agrícola,FONDECYT,Regular
6,40027678-0,Optimización del uso del agua de riego en arándanos,01/10/2020,01/10/2023,"J. Covarrubias / R. Callejas, O. Seguel",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
7,PYT-2020-1022,"AeroDrip: Prototipo de de Aeroponia Vertical (Drip Reduced Irrigation Prototype) cómo producir más y en altura, reduciendo el uso del agua y adaptándose a toda superficie disponible",01/12/2020,01/02/2023,"R. Pertuzé, J. Covarrubias",Otras Instituciones,Fundación para la Innovación Agraria-FIA,FIA-proyectos
8,PYT-2018-0093,Evaluación técnico económica de estrategias sostenibles para la producción de cultivos regados con agua salina,01/11/2017,01/11/2021,"J. Covarrubias / D. Aros, S. Boza",Departamento de Producción Agrícola,Fundación para la Innovación Agraria-FIA,FIA-proyectos
9,1181921,Can we significantly minimize heterogeneity of blueberry fruit at final destination? Finding the missing information,01/07/2017,01/07/2017,J. Covarrubias,UTAL. Depto. Producción Agricola,FONDECYT,Regular
10,FIC201804,Transferencia hortícola hidropónica usando ERNC,01/07/2022,01/07/2022,J. Covarrubias,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
11,1180504,"Physiological, molecular and agronomic implications of sustainable management techniques to increase nitrogen use efficiency in grapevine",01/07/2017,01/07/2017,J. Covarrubias / H. Silva,Departamento de Producción Agrícola,FONDECYT,Regular
12,3180731,Eficacia e implicancias fisiológicas de estrategias sostenibles para incrementar la eficiencia en el uso del nitrógeno en la vid,01/08/2017,01/08/2017,J. Covarrubias,Departamento de Producción Agrícola,FONDECYT,Postdoctorado
13,ENL012/17,"Physiological, molecular and agronomic implications of sustainable management techniques to increase nitrogen use efficiency in grapevine",01/08/2017,01/08/2018,J. Covarrubias,Departamento de Producción Agrícola,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
14,1170756,"Physiological, molecular and agronomic implications of sustainable management techniques to increase nitrogen use efficiency in grapevine",01/09/2016,01/09/2016,J. Covarrubias / D. Aros,Departamento de Producción Agrícola,FONDECYT,Regular
15,ID17I10165,Potencial de uso de harinas de roca para una agricultura sustentable en Chile,01/06/2017,01/06/2017,O. Seguel / J. Covarrubias,Departamento de Ingeniería y Suelos,FONDEF,IDEA Bietapa
16,30474716-0,Innovación y optimización del riego en arándanos,01/11/2016,01/08/2019,"J. Covarrubias / G. Reginato, O. Seguel, C. Kremer, R. Callejas",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
17,PYT-2015-0300,Evaluación de nuevas alternativas para el control de heladas en frutales de hoja caduca,01/06/2015,01/10/2016,"G. Reginato / J. Henríquez, J. Covarrubias",Departamento de Producción Agrícola,Fundación para la Innovación Agraria-FIA,FIA-proyectos
18,UMOD-140007,Espectrofotómetro de emisión atómica por plasma de microondas (MP-AES),01/11/2014,01/11/2015,J. Covarrubias,Departamento de Producción Agrícola,Fondo Central de Investigación,U-MODERNIZA
19,114-135,Optimizing the water use efficiency of woody crops: use of model based on sequential stages applied to representative fruit trees from Mediterranean zone of Chile,01/03/2014,01/03/2014,"O. Seguel / L. Morales, J. Covarrubias",Departamento de Ingeniería y Suelos,FONDECYT,Regular
20,EQM140007,Espectrofotómetro de emisión atómica por plasma de microondas (MP-AES),01/11/2014,01/11/2015,"J. Covarrubias / Ã. Peña, O. Salazar, C. Pastenes, J. Fuentes, J. Pérez",Departamento de Producción Agrícola,FONDEQUIP,Concurso de Equipamiento Científico
21,11130328,Effectiveness and physiological implications of sustainable management techniques for preventing iron deficiency in blueberry,01/11/2013,01/11/2016,J. Covarrubias,Departamento de Producción Agrícola,FONDECYT,Iniciación en Investigación
22,EQM-13034,"Aplicaciones de un sistema ICP-MSD en el fortalecimiento de la capacidad analítica de minerales para la investigación en ciencias vegetales, de alimentos y de los recursos naturales renovables",01/12/2013,01/12/2013,"C. Pastenes / V. Escalona, Ã. Peña, J. Covarrubias, J. Pérez",Departamento de Producción Agrícola,FONDEQUIP,Concurso de Equipamiento Científico
23,UINICIA-2013-15025,Efecto de estrategias sostenibles de manejo de la clorosis férrica sobre respuestas fisiológicas y bioquímicas a la deficiencia de hierro en el arándano,01/07/2013,01/07/2015,J. Covarrubias,Departamento de Producción Agrícola,Fondo Central de Investigación,U-INICIA
24,606647,Innoviticulture,01/01/2012,01/01/2012,J. Covarrubias,Departamento de Producción Agrícola,Unión Europea,FP7-IOF Fellowship
25,7912010003,Desarrollo del área de nutrición vegetal en el Departamento de Producción Agrícola de la Facultad de Ciencias Agronómicas de la Universidad de Chile,01/10/2012,01/10/2015,C. Pastenes / J. Covarrubias,Departamento de Producción Agrícola,Programa de Capital Humano Avanzado,Inserción de Capital Humano en la Academia
