,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Corral, R; Carrasco, B; Ramirez, C; Marchant, L; Pena, A; Covarrubias, JI; Meisel, LA; Pacheco, I; Bascunan-Ortiz, ER; Silva, H","Genetic diversity, polyphenolic composition and fruit quality trait phenotypic analyses of a Chilean heritage blood-flesh peach (Prunus persica L.)",2022,INTERNATIONAL JOURNAL OF AGRICULTURE AND NATURAL RESOURCES,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.7764/ijanr.v49i3.2302,10.7764/ijanr.v49i3.2302
1,"Correa, J; Amoros, A; Silva, H; Covarrubias, JI; Escalona, VH",Effect of Water Treatment and Immersion in Calcium Salt Solutions on the Quality of Fruits of Peumo Pink Tomato (Solanum lycopersicum L.) Stored under Cold Conditions,2022,POLISH JOURNAL OF FOOD AND NUTRITION SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.31883/pjfns/150028,10.31883/pjfns/150028
2,"Cortiella, MGI; Ubeda, C; Covarrubias, JI; Laurie, VF; Pena-Neira, A",Chemical and Physical Implications of the Use of Alternative Vessels to Oak Barrels during the Production of White Wines,2021,MOLECULES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/molecules26030554,10.3390/molecules26030554
3,"Salazar, O; Manrique, A; Tapia, Y; Casanova, M; Govan, J; Covarrubias, JI; Contreras, A; Cabeza, RA",The Development of a Model for Recommending the Application of Zinc Fertilizer in the Mediterranean Region of Central Chile,2021,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s42729-020-00357-0,10.1007/s42729-020-00357-0
4,"Cortiella, Mariona Gil, I; Ubeda, Cristina; Ignacio Covarrubias, Jose; Pena-Neira, Alvaro","Chemical, physical, and sensory attributes of Sauvignon blanc wine fermented in different kinds of vessels",2020,INNOVATIVE FOOD SCIENCE & EMERGING TECHNOLOGIES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.ifset.2020.102521,10.1016/j.ifset.2020.102521
5,"Osorio R., Cáceres C., Covarrubias J.I.","Vegetative and Physiological Responses of ""Emerald"" Blueberry to Ammoniacal Sources with a Nitrification Inhibitor",2020,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s42729-019-00135-7,10.1007/s42729-019-00135-7
6,"Tapia, Y; Casanova, M; Castillo, B; Acuna, E; Covarrubias, J; Antilen, M; Masaguer, A",Availability of copper in mine tailings with humic substance addition and uptake by Atriplex halimus,2019,ENVIRONMENTAL MONITORING AND ASSESSMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10661-019-7832-2,10.1007/s10661-019-7832-2
7,"Molina, J; Covarrubias, JI",Influence of Nitrogen on Physiological Responses to Bicarbonate in a Grapevine Rootstock,2019,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s42729-019-00030-1,10.1007/s42729-019-00030-1
8,"Michel, L; Beya-Marshall, V; Rombola AD; Pastenes, C; Covarrubias, JI",Evaluation of FE-heme Applications or Intercropping for Preventing Iron Deficiency in Blueberry,2019,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s42729-019-0017-9,10.1007/s42729-019-0017-9
9,"Michel, L; Pena, A; Pastenes, C; Berrios, P; Rombola, AD; Covarrubias, JI","Sustainable Strategies to Prevent Iron Deficiency, Improve Yield and Berry Composition in Blueberry (Vaccinium spp.)",2019,FRONTIERS IN PLANT SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fpls.2019.00255,10.3389/fpls.2019.00255
