,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Hernandez-Adasme, C; Silva, H; Saavedra-Romero, J; Martinez, V; Escalona, V",Light supplementation and growing season affect the quality and antioxidant activity of lettuce,2023,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-58392023000300320,10.4067/S0718-58392023000300320
1,"Corral, R; Carrasco, B; Ramirez, C; Marchant, L; Pena, A; Covarrubias, JI; Meisel, LA; Pacheco, I; Bascunan-Ortiz, ER; Silva, H","Genetic diversity, polyphenolic composition and fruit quality trait phenotypic analyses of a Chilean heritage blood-flesh peach (Prunus persica L.)",2022,INTERNATIONAL JOURNAL OF AGRICULTURE AND NATURAL RESOURCES,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.7764/ijanr.v49i3.2302,10.7764/ijanr.v49i3.2302
2,"Marchant, L; Campos, J; Luco, J; Ramirez, C; Barrientos, F; Carrasco, B; Silva, H",Potential of traditional Chilean blood-fleshed peach to support livelihood opportunities in local agriculture,2022,FRONTIERS IN SUSTAINABLE FOOD SYSTEMS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fsufs.2022.820811,10.3389/fsufs.2022.820811
3,"Sharpe, R.M; Killian, B; Koepke, T;  Ghogare, R;  Oraguzie, N;  Whiting, M;  Meisel, L.A; Silva, H;  Dhingra, A",Draft genome data of Prunus avium cv 'Stella',2022,DATA IN BRIEF,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.dib.2022.108611,10.1016/j.dib.2022.108611
4,"Carrasco, B; Arevalo, B; Perez-Diaz, R; Rodriguez-Alvarez, Y; Gebauer, M; Maldonado, JE; Garcia-Gonzales, R ; Chong-Perez, B; Pico-Mendoza, J; Meisel, LA ; Ming, R; Silva, H",Descriptive Genomic Analysis and Sequence Genotyping of the Two Papaya Species (Vasconcellea pubescens and Vasconcellea chilensis) Using GBS Tools,2022,PLANTS-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/plants11162151,10.3390/plants11162151
5,"Carrasco, B; Ramirez, C; Gebauer, M; Meisel, LA; Hasbun, R; Silva, H",Phenotypic and genetic analysis of a peach and a Japanese plum core collection for pre-breeding and distinctness assessment,2022,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-58392022000300457,10.4067/S0718-58392022000300457
6,"Correa, J; Amoros, A; Silva, H; Covarrubias, JI; Escalona, VH",Effect of Water Treatment and Immersion in Calcium Salt Solutions on the Quality of Fruits of Peumo Pink Tomato (Solanum lycopersicum L.) Stored under Cold Conditions,2022,POLISH JOURNAL OF FOOD AND NUTRITION SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.31883/pjfns/150028,10.31883/pjfns/150028
7,"Hernández-Adasme C., Silva H., Escalona V.H.",Germination of green and red lettuce cultivars is influenced by LED light spectrum,2022,Acta Horticulturae,SCOPUS/UCH/VID,http://dx.doi.org/10.17660/ActaHortic.2022.1337.49,10.17660/ActaHortic.2022.1337.49
8,"Hernández-Adasme C., Silva H., Escalona V.H.",Effect of light quality on morphological characteristics and phytochemicals of green lettuce before transplanting,2022,Acta Horticulturae,SCOPUS/UCH/VID,http://dx.doi.org/10.17660/ActaHortic.2022.1337.48,10.17660/ActaHortic.2022.1337.48
9,"Diaz-Silva, M; Maldonado, J; Veloso, P; Delgado, N; Silva, H, Gallardo, JA",RNA-seq analysis and transcriptome assembly of Salicornia neei reveals a powerful system for ammonium detoxification,2022,ELECTRONIC JOURNAL OF BIOTECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ejbt.2022.05.003,10.1016/j.ejbt.2022.05.003
