,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Olivares, Daniela; Garcia-Rojas, Miguel; Ulloa, Pablo A.; Riveros, Anibal; Pedreschi, Romina; Campos-Vargas, Reinaldo; Meneses, Claudio; Defilippi, Bruno G.","Response Mechanisms of ""Hass"" Avocado to Sequential 1-methylcyclopropene Applications at Different Maturity Stages during Cold Storage",2022,PLANTS-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/plants11131781,10.3390/plants11131781
1,"Hernandez, I; Uarrota, V; Fuentealba, C; Paredes, D; Defilippi, BG; Campos-Vargas, R; Nunez, G; Carrera, E; Meneses, C; Hertog, M; Pedreschi, R",Transcriptome and hormone analyses reveals differences in physiological age of ' Hass ' avocado fruit,2022,POSTHARVEST BIOLOGY AND TECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.postharvbio.2021.111806,10.1016/j.postharvbio.2021.111806
2,"Rojas, B; Suarez-Vega, F; Saez-Aguayo, S; Olmedo, P; Zepeda, B; Delgado-Rioseco, J; Defilippi, BG; Pedreschi, R; Meneses, C; Perez-Donoso, AG; Campos-Vargas, R",Pre-Anthesis Cytokinin Applications Increase Table Grape Berry Firmness by Modulating Cell Wall Polysaccharides,2021,PLANTS-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/plants10122642,10.3390/plants10122642
3,"Olmedo, P; Zepeda, B; Rojas, B; Silva-Sanzana, C; Delgado-Rioseco, J; Fernandez, K; Balic, I; Arriagada, C; Moreno, AA; Defilippi, BG; Campos-Vargas, R",Cell Wall Calcium and Hemicellulose Have a Role in the Fruit Firmness during Storage of Blueberry (Vaccinium spp.),2021,PLANTS-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/plants10030553,10.3390/plants10030553
4,"Meneses, M; Garcia-Rojas, M; Munoz-Espinoza, C; Carrasco-Valenzuela, T; Defilippi, B; Gonzalez-Aguero, M; Meneses, C; Infante, R; Hinrichsen, P","Transcriptomic study of pedicels from GA(3)-treated table grape genotypes with different susceptibility to berry drop reveals responses elicited in cell wall yield, primary growth and phenylpropanoids synthesis",2020,BMC PLANT BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12870-020-2260-6,10.1186/s12870-020-2260-6
5,"Miranda, S; Vilches, P; Suazo, M; Pavez, L; Garcia, K; Mendez, MA; Gonzalez, M; Meisel, LA; Defilippi, BG; del Pozo, T",Melatonin triggers metabolic and gene expression changes leading to improved quality traits of two sweet cherry cultivars during cold storage,2020,FOOD CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.foodchem.2020.126360,10.1016/j.foodchem.2020.126360
6,"Flores, M; Ortiz-Viedma, J; Curaqueo, A; Rodriguez, A; Dovale-Rosabal, G; Magana, F; Vega, C; Toro, M; Lopez, L; Ferreyra, R; Defilippi, BG",Preliminary Studies of Chemical and Physical Properties of Two Varieties of Avocado Seeds Grown in Chile,2019,JOURNAL OF FOOD QUALITY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1155/2019/3563750,10.1155/2019/3563750
7,"Travisany, D; Ayala-Raso, A; Di Genova, A; Monsalve, L; Bernales, M; Martinez, JP; Gonzalez-Aguero, M; Defilippi, B; Cherian, S; Maass, A; Fuentes, L",RNA-Seq analysis and transcriptome assembly of raspberry fruit (Rubus idaeus ¨Heritage¨) revealed several candidate genes involved in fruit development and ripening,2019,SCIENTIA HORTICULTURAE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.scienta.2019.04.018,10.1016/j.scienta.2019.04.018
8,"del Pozo, T; Miranda, S; Latorre, M; Olivares, F; Pavez, L; Gutierrez, R; Maldonado, J; Hinrichsen, P; Defilippi, BG; Orellana, A; Gonzalez, M",Comparative Transcriptome Profiling in a Segregating Peach Population with Contrasting Juiciness Phenotypes,2019,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1021/acs.jafc.8b05177,10.1021/acs.jafc.8b05177
9,"Bernales, M; Monsalve, L; Ayala-Raso, A; Valdenegro, M; Martinez, JP; Travisany, D; Defilippi, B; Gonzalez-Aguero, M; Cherian, S; Fuentes, L",Expression of two indole-3-acetic acid (IAA)-amido synthetase (GH3) genes during fruit development of raspberry (Rubus idaeus Heritage),2019,SCIENTIA HORTICULTURAE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.scienta.2018.09.077,10.1016/j.scienta.2018.09.077
