,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,CP200178,"Re-brotando huertas urbanas, Re-valorizando lo perdido
",01/11/2022,01/11/2022,P. Calandra,Biblioteca,Programa Ciencia Pública,Ciencia Pública de Proy. Comunitarios para la Difusión de Conocimiento Local
1,489153,Antumapu 50 años Despúes: La Creación de un Campus Universitario desde El Modernismo y su Uso Actual,01/03/2019,01/03/2020,"M. Pfeiffer / P. Naulin, P. Calandra",Departamento de Ingeniería y Suelos,Fondos de Cultura,Fondart Regional
2,D10ER-1002,"Centros de producción y acopio de biodisel y su posterior uso para generación de energía eléctrica en zonas rurales de la comuna de Cauquenes, VII región",01/10/2011,01/05/2012,I. Homer / P. Calandra,Departamento de Ingeniería y Suelos,FONDEF,Desarrollo de soluciones ERNC a pequeña escala
3,1090400,"Description and evaluation of a mirid as a potential predator of the greenhouse whitefly, Trialeurodes vaporariorium, on tomato.",01/03/2009,01/03/2009,P. Calandra,Departamento de Sanidad Vegetal,FONDECYT,Regular
4,08NF1-1960,Nodo Patagonia digital,01/12/2008,01/12/2009,P. Calandra,Biblioteca,INNOVA,Nodos tecnológicos
5,VSTII-07-01,¿Mi celular puede ser una enciclopedia?,01/01/2008,01/01/2009,P. Calandra,Biblioteca,Explora,Divulgación y Valoración de CTI
6,VSTI-07-01,Aplicaciones WAP en mi colegio,01/07/2007,01/07/2008,P. Calandra,Biblioteca,Explora,Divulgación y Valoración de CTI
7,05CT5TIP-03,"Sistema de información para agentes productivos del mercado agropecuario basado en el uso de tecnologías inalámbricas: internet (wi-fi y wi-max, y telefonía móvil (SMS, WAP)",01/12/2005,01/12/2008,P. Calandra / I. Homer,Biblioteca,INNOVA,Concurso Temático
8,TI2-02,"Implementación de una plataforma educacional electrónica para la formación de recursos humanos, como un medio para mejorar la competitividad del país",01/12/2004,01/12/2004,"P. Calandra, I. Homer, J. Haberland",Departamento de Sanidad Vegetal,FONDEF,"Tecnología de Información y Comunicación para la educación, TIC-EDU"
9,ED7/02/008,Descubriendo la Ciencia por medio de la relación suelo -agua- planta,01/12/2002,01/12/2003,"J. Haberland / R. Callejas, P. Calandra",Departamento de Ingeniería y Suelos,Explora,Divulgación y Valoración de CTI
10,ED6/01/030,En el campo de mi ciudad aprendo haciendo,01/12/2001,01/12/2002,P. Calandra,Biblioteca,Explora,Divulgación y Valoración de CTI
11,PYT-2020-0445,"Plataforma para la digitalización del manejo inteligente del riego y fertilización en uva pisquera, basado en el cooperativismo y el internet de las cosas",01/10/2020,01/10/2024,"R. Callejas / E. Kania, O. Seguel",Departamento de Producción Agrícola,Fundación para la Innovación Agraria-FIA,FIA-proyectos
12,1171639,Technological innovations applied through supply chain of hydroponic baby leaf lettuces: functional value and sensory quality,01/09/2016,01/09/2016,"V. Escalona / E. Kania, A. Bustamante",Centro de Estudios de Post - Cosechas,FONDECYT,Regular
13,30128228-0,Adaptación y transferencia de tecnología para aumentar la eficiencia de la mano de obra en frutales y viñas,01/12/2012,01/12/2015,"G. Reginato / E. Kania, R. Callejas, O. Carrasco",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
