,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1231458,Disentangling the mortality-growth relationship: evidence from the southernmost forest of the world,01/03/2023,01/03/2027,C. Salas / J. Fuentes,Facutad De Cs. Silvoagropecuarias,FONDECYT,Regular
1,ATE230031,"Chilean soil carbon and nitrogen grid: A framework for planning strategies in agriculture, forestry and natural ecosystems for mitigation and adaptation to climate change",01/06/2023,01/06/2023,"O. Salazar / M. Pfeiffer, Y. Tapia, J. Pérez, J. Fuentes, L. Renwick",Departamento de Ingeniería y Suelos,Programa de Investigación Asociativa,Anillo de Investigación en Ciencia y Tecnología Temático
2,1221789,"Assessing ecosystem services in a desert socio-ecological system in Atacama, Chile: a plural approach to create hybrid knowledge towards future policy making",01/04/2022,01/04/2025,"C. Cerda / A. Ocampo, J. Fuentes, J. Razeto",Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
3,1211978,"Assessing ecosystem services in a desert socioecological system in Atacama, Chile: a plural approach",01/08/2020,01/08/2020,"C. Cerda / J. Razeto, J. Fuentes",Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
4,1211176,"Whole-tree canopy photosynthesis, transpiration and water use efficiency of five coexisting tree species of a temperate rain forest of south Chile",01/08/2020,01/08/2020,H. Bown / J. Fuentes,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
5,1191786,"Rainfall partitioning, rainfall pulses and plant litter as drivers of greenhouse gas fluxes, microbial activity and microbial diversity in soils of Native Forest Ecosystems of Chile.",01/09/2018,01/09/2018,"J. Fuentes / R. Scherson, J. Caldentey, H. Bown",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
6,1191808,Sociocultural valuation of ecosystem services in a desert socio-ecological system of the Atacama Region of Chile,01/08/2018,01/08/2018,"C. Cerda / J. Razeto, R. Asun, J. Fuentes",Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
7,3190391,Do trees mediate methane exchange between sclerophyllous ecosystems and the atmosphere?,01/10/2018,01/10/2018,J. Fuentes,Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Postdoctorado
8,018/2018,Técnicas innovadoras de control de Pinus radiata en bosques de Nothofagus de la región del Maule: Buscando soluciones económico-ambientales factibles,01/09/2018,01/09/2020,J. Fuentes,Departamento de Silvicultura y Conservación de la Naturaleza,CONAF,Investigación del Bosque Nativo
9,1181675,Measuring daily whole-tree canopy photosyntesis by coupling sap flux and carbon isotopic discrimination to compare water-conservative versus water demanding tree species in semiarid ecosystems in Central Chile,01/07/2017,01/07/2017,H. Bown / J. Fuentes,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
10,1181696,Rainfall Partinioning within Sclerophyllous Ecosystems of Chile: Vegetation manipulation and their effects on Soil Water Distribution,01/07/2017,01/07/2017,J. Fuentes / H. Bown,Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
11,1170510,Soil carbon status as an indicator for assessing revegetation practices in degraded arid zones,01/09/2016,01/09/2016,"M. Casanova / O. Seguel, Y. Tapia, J. Fuentes, O. Salazar",Departamento de Ingeniería y Suelos,FONDECYT,Regular
12,EQM170048,"Fortalecimiento de la investigación sobre flujos de gases de efecto invernadero en ecosistemas
naturales, cultivos y ambientes urbanos, mediante la adquisición de tecnología FTIR (Fourier Transformed
Infrared Spectrometry)",01/09/2017,01/09/2017,"H. Bown / C. Salas, J. Fuentes, O. Salazar, M. Prendez",Departamento de Gestión Forestal y su Medio Ambiente,FONDEQUIP,Concurso de Equipamiento Científico
13,1161678,Short and long-term disturbances of sclerophyll ecosystems and their effects on rainfall partitioning and associated soil chemical and biophysical processes,01/06/2015,01/06/2015,"J. Fuentes / J. Caldentey, H. Bown, J. Pérez",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
14,UM-02/16,Implementación de un Analizador Elemental CNS para el fortalecimiento de la investigación en Ciencias Silvoagropecuarias,01/10/2016,01/10/2017,J. Fuentes,Departamento de Silvicultura y Conservación de la Naturaleza,Fondo Central de Investigación,U-MODERNIZA
15,EQM160084,Implementación de un Analizador Elemental CNS para el fortalecimiento de la investigación en Ciencias Silvoagropecuarias,01/07/2016,01/07/2018,H. Bown / J. Fuentes,Departamento de Gestión Forestal y su Medio Ambiente,FONDEQUIP,Concurso de Equipamiento Científico
16,1150580,Are we restoring ecological health of degraded/desertified lands? Soil carbon as an indicator for assessing revegetation practices in the arid zones of Chile,01/03/2015,01/03/2015,"M. Casanova / O. Salazar, O. Seguel, Y. Tapia, J. Fuentes",Departamento de Ingeniería y Suelos,FONDECYT,Regular
17,1151304,Short and long-term disturbances of sclerophyll ecosystems and their effects on rainfall partitioning and associated soil chemical and biophysical processes,01/03/2015,01/03/2015,"J. Fuentes / J. Caldentey, J. Pérez, H. Bown",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
18,1150877,"Plant and soil methane fluxes as influenced by water, temperature and radiative stresses across a disturbance gradient in schlerophyll ecosystems in Central Chile",01/03/2015,01/03/2018,H. Bown / J. Fuentes,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
19,EQM140007,Espectrofotómetro de emisión atómica por plasma de microondas (MP-AES),01/11/2014,01/11/2015,"J. Covarrubias / Ã. Peña, O. Salazar, C. Pastenes, J. Fuentes, J. Pérez",Departamento de Producción Agrícola,FONDEQUIP,Concurso de Equipamiento Científico
20,EQM-13025,Adquisición de un analizador elemental CHNS para caracterización de suelos y de biomasa con fines energéticos,01/12/2013,01/12/2014,"Ã. Urzúa, J. Fuentes, M. Larraín",Departamento de Desarrollo en Productos Forestales,FONDEQUIP,Concurso de Equipamiento Científico
21,1130935,Greenhouse gas budget of an old-growth forest and a secondary peatland in north Patagonia,01/03/2013,01/03/2017,"J. Pérez / H. Bown, J. Fuentes, M. Galleguillos",Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDECYT,Regular
22,1120281,Carbon stocks and fluxes in a North Patagonia old-growth forest,01/03/2012,01/03/2012,"J. Pérez / J. Armesto, J. Fuentes",DEPTO. CS. AMBIENTALES Y RECURSOS NATURALES RENOVABLES,FONDECYT,Regular
23,1120655,"Plant and soil methane fluxes as influenced by water, temperature and radiative stresses across a disturbance gradient in schlerophyll ecosystems in central Chile",01/03/2012,01/03/2012,H. Bown / J. Fuentes,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
24,1121182,Rainfall partitioning and related soil processes as affected by long-term disturbances of sclerophyll ecosystems of Central Chile. An ecohydrological approach.,01/03/2012,01/03/2012,"J. Fuentes / J. Caldentey, J. Pérez, H. Bown",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
25,1110201,Carbon stocks and fluxes in a Nordpatagonian old-growth forest,01/03/2011,01/03/2011,J. Pérez / J. Fuentes,Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDECYT,Regular
26,1090283,Quality and fluxes of soil organic carbon as affected bye anthropogenic perturbations of sclerophyll vegetation of Central Chile.,01/03/2009,01/03/2012,"J. Fuentes / H. Bown, J. Pérez",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
27,1090259,Disturbance mediated water and nutrient stresses regulate carbon assimilation and allocation in schlerophyll ecosystems in Central Chile: A process-based approach.,01/03/2009,01/03/2012,H. Bown / J. Fuentes,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
28,208-7321,BIOCOMSA,01/12/2008,01/12/2013,"A. Piazza, C. de la Maza, Ã. Urzúa, R. Carmona, S. Donoso, H. Hernández, H. Bown, J. Fuentes, H. Ramírez, A. Huerta",Departamento de Desarrollo en Productos Forestales,INNOVA,Consorcios Tecnológicos Empresariales
29,1080541,Evaluation of soil quality indicators as predictors of soil C fluxes under sclerophyll vegetation of central Chile,01/03/2008,01/03/2008,J. Fuentes / J. Pérez,Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
30,1050620,"Efecto del manejo silvícola de bosques de Nothofagus sobre propiedades bióticas y abióticas del suelo potencialmente utilizables como indicadores de calidad 
",01/06/2005,01/06/2005,J. Fuentes / J. Caldentey,Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
31,1050565,Manejo del suelo y secuestro de carbono. Efectos sobre la capacidad productiva del suelo en ambientes mediterráneos,01/03/2005,01/03/2008,J. Fuentes,Departamento de Producción Agrícola,FONDECYT,Regular
32,ED9/04/076,"El suelo, un sistema vivo",01/12/2004,01/12/2005,J. Fuentes / P. Naulin,Departamento de Silvicultura y Conservación de la Naturaleza,Explora,Divulgación y Valoración de CTI
33,D02I1080,Incorporación de los bosques de Coihue de Magallanes al manejo forestal para la diversificación e incremento de la producción en la XII Región,01/12/2002,01/12/2005,"G. Cruz / J. Caldentey, S. Donoso, H. Bown, J. Fuentes",Departamento de Silvicultura y Conservación de la Naturaleza,FONDEF Investigación y Desarrollo,Fondef X-ID
34,1960936,Modificaciones microambientales debidas al manejo del bosque de Lenga en Magallanes,01/03/1996,01/03/1999,"J. Caldentey / S. Donoso, J. Fuentes",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
35,090-1995,Podzoles y procesos de podzolización en Chile,01/03/1995,01/03/1995,J. Fuentes,Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
36,1241500,Relating geodiversity to different measures of biodiversity in Chile under climate change: a multi-scale approach for plant conservation,01/08/2023,01/08/2023,"R. Scherson / N. García, F. Luebert",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
37,1231204,Relating geodiversity to different measures of biodiversity in protected areas of Central Chile under climate change: a multi-scale approach for the conservation of unique floras in a biodiversity hotspot,01/08/2022,01/08/2022,"R. Scherson / N. García, F. Luebert",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
38,ENL06/23,Rol del Sistema Nacional de Áreas Silvestres Protegidas del Estado en la conservación del patrimonio evolutivo de las especies de flora vascular nativa de Chile,01/06/2023,01/06/2024,R. Scherson,Departamento de Silvicultura y Conservación de la Naturaleza,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
39,1230598,Protecting plant genetic resources in an era of change: Phylogenetically informed evaluation of the ex situ conservation of the useful native flora of Chile,01/03/2023,01/03/2026,"F. Luebert / R. Scherson, C. Magni",Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDECYT,Regular
40,NM23_32422,Millennium Nucleus Biosphere Stewardship through Geospatial Information Sensing,01/07/2023,01/07/2023,R. Scherson,Departamento de Silvicultura y Conservación de la Naturaleza,Iniciativa Científica Milenio,Institutos Milenios en Ciencias Exactas y Naturales
41,1221540,How well do current protected areas conserve species an phylogenetic diversity in southern andean high elevation habitats and will the level of protection be altered by climate change?,01/04/2022,01/04/2026,M. Kalin / R. Scherson,Departamento de Ciencias Ecológicas,FONDECYT,Regular
42,1221180,Protecting plant genetic resources in an era of change: Phylogenetically informed evaluation of the ex situ conservation of the useful native flora of Chile,01/09/2021,01/09/2021,"R. Scherson / F. Luebert, C. Magni",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
43,1210517,The ecological and evolutionary influence of the elevation gradient on plant chemical defenses and insect herbivory,01/08/2020,01/08/2020,R. Scherson,UMCE,FONDECYT,Regular
44,1191786,"Rainfall partitioning, rainfall pulses and plant litter as drivers of greenhouse gas fluxes, microbial activity and microbial diversity in soils of Native Forest Ecosystems of Chile.",01/09/2018,01/09/2018,"J. Fuentes / R. Scherson, J. Caldentey, H. Bown",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
45,3190043,Asociaciones micorrícicas de tres especies endémicas del género Gavilea (Orchidaceae) en Chile: Implicaciones para su conservación,01/10/2018,01/10/2018,R. Scherson,Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Postdoctorado
46,1190846,Assessing the Consequences of Agriculture Practices on Native Bees Conservation: Land Use and Pesticide Effects,01/08/2018,01/08/2018,"R. Scherson, G. Sandoval",UMCE,FONDECYT,Regular
