,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Perez-Quezada, JF; Cano, S; Ibaceta, P; Aguilera-Riquelme, D; Salazar, O; Fuentes, JP; Osborne, B",How do land cover changes affect carbon-nitrogen-phosphorus stocks and the greenhouse gas budget of ecosystems in southern Chile?,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.agee.2022.108153,10.1016/j.agee.2022.108153
1,"Salazar, O; Casanova, M; Fuentes, JP; Galleguillos, M; Najera, F; Perez-Quezada, JF; Pfeiffer, M; Renwick, LLR; Seguel, O; Tapia, Y","Soil research, management, and policy priorities in Chile",2022,GEODERMA REGIONAL,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.geodrs.2022.e00502,10.1016/j.geodrs.2022.e00502
2,"Perez-Quezada, JF; Perez, CA; Brito, CE; Fuentes, JP; Gaxiola, A; Aguilera-Riquelme, D; Lopatin, J","Biotic and abiotic drivers of carbon, nitrogen and phosphorus stocks in a temperate rainforest",2021,FOREST ECOLOGY AND MANAGEMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.foreco.2021.119341,10.1016/j.foreco.2021.119341
3,"Schaller, M; Dal Bo, I; Ehlers, TA; Klotzsche, A; Drews, R; Espoz, JPF; van der Kruk, J","Comparison of regolith physical and chemical characteristics with geophysical data along a climate and ecological gradient, Chilean Coastal Cordillera (26 to 38 degrees S)",2020,SOIL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5194/soil-6-629-2020,10.5194/soil-6-629-2020
4,"Pfeiffer, M; Padarian, J; Osorio, R; Bustamante, N; Olmedo, GF; Guevara, M; Aburto, F; Albornoz, F; Antilen, M; Araya, E; Arellano, E; Barret, M; Barrera, J; Boeckx, P; Briceno, M; Bunning, S; Cabrol, L; Casanova, M; Cornejo, P; Corradini, F; Curaqueo, G; Doetterl, S; Duran, P; Escudey, M; Espinoza, A; Francke, S; Fuentes, JP; Fuentes, M; Gajardo, G; Garcia, R; Gallaud, A; Galleguillos, M; Gomez, A; Hidalgo, M; Ivelic-Saez, J; Mashalaba, L; Matus, F; Meza, F; Mora, MD; Mora, J; Munoz, C; Norambuena, P; Olivera, C; Ovalle, C; Panichini, M; Pauchard, A; Perez-Quezada, JF; Radic, S; Ramirez, J; Riveras, N; Ruiz, G; Salazar, O; Salgado, I; Seguel, O; Sepulveda, M; Sierra, C; Tapia, Y; Tapia, F; Toledo, B; Torrico, JM; Valle, S; Vargas, R; Wolff, M; Zagal, E","CHLSOC: the Chilean Soil Organic Carbon database, a multi-institutional collaborative effort",2020,EARTH SYSTEM SCIENCE DATA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5194/essd-12-457-2020,10.5194/essd-12-457-2020
5,"Dal Bo, I; Klotzsche, A; Schaller, M; Ehlers, TA; Kaufmann, MS; Espoz, JPF; Vereecken, H; van der Kruk, J",Geophysical imaging of regolith in landscapes along a climate and vegetation gradient in the Chilean coastal cordillera,2019,CATENA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.catena.2019.04.023,10.1016/j.catena.2019.04.023
6,"Bown, HE; Fuentes, JP; Martinez, AM",Assessing water use and soil water balance of planted native tree species under strong water limitations in Northern Chile,2018,NEW FORESTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11056-018-9689-6,10.1007/s11056-018-9689-6
7,"Schmid, M; Ehlers, TA; Werner, C; Hickler, T; Fuentes-Espoz, JP",Effect of changing vegetation and precipitation on denudation - Part 2: Predicted landscape response to transient climate and vegetation cover over millennial to million-year timescales,2018,EARTH SURFACE DYNAMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5194/esurf-6-859-2018,10.5194/esurf-6-859-2018
8,"Werner, C; Schmid, M; Ehlers, TA; Fuentes-Espoz, JP; Steinkamp, J; Forrest, M; Liakka, J; Maldonado, A; Hickler, T",Effect of changing vegetation and precipitation on denudation - Part 1: Predicted vegetation composition and cover over the last 21 thousand years along the Coastal Cordillera of Chile,2018,EARTH SURFACE DYNAMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5194/esurf-6-829-2018,10.5194/esurf-6-829-2018
9,"Diaz, MA; Bown, HE; Fuentes, JP; Martinez, AM",Soils act as sinks or sources of CH4 depending on air-filled porosity in sclerophyllous ecosystems in semiarid central Chile,2018,APPLIED SOIL ECOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.apsoil.2018.05.017,10.1016/j.apsoil.2018.05.017
