,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1240373,"Simultaneous determination of density, moisture content, elemental composition and microfibrillar angle of wood at submillimeter scales combining MEXA, Compton, XRF and XRD in raw incremental cores",01/07/2023,01/07/2023,R. Baettig / C. Fritz,Departamento de Desarrollo en Productos Forestales,FONDECYT,Regular
1,1231304,"Simultaneous determination of density, moisture content, elemental composition and microfibrillar angle of wood at submillimeter scales combining MEXA, XRF and XRD in raw incremental cores",01/08/2022,01/08/2022,R. Baettig / C. Fritz,Departamento de Desarrollo en Productos Forestales,FONDECYT,Regular
2,ID23I10060,Nueva fuente de agua para uso humano: captura de niebla y rocío a través de membranas basadas en fibras de nanocelulosa para zonas de escasez hídrica,01/12/2022,01/12/2022,R. Baettig / C. Fritz,Departamento de Desarrollo en Productos Forestales,FONDEF,IDEA
3,ID17I10144,Desarrollo de tecnologías sustentables a partir del pericarpio del fruto de la especie nativa Gevuina avellana Mol. como agente biocida y biocombustible,01/06/2017,01/06/2017,A. Bozo,Departamento de Desarrollo en Productos Forestales,FONDEF,IDEA Bietapa
4,11IDL1-10386,Desarrollo de componentes estructurales de madera laminada de Pino radiata reforzada con fibras poliméricas,01/12/2011,01/07/2012,A. Bozo,Departamento de Desarrollo en Productos Forestales,INNOVA,Innova
5,1090172,Evaluation and control of the damage caused by the attack of subterranean termites to materials used in structural system of wood houses.,01/03/2009,01/03/2009,A. Bozo,Departamento de Desarrollo en Productos Forestales,FONDECYT,Regular
6,DO8I1004,Estrategia de manejo integrado para la para la prevención y control de la termita subterránea,01/12/2008,01/12/2008,A. Bozo,Departamento de Desarrollo en Productos Forestales,FONDEF,Investigación y Desarrollo (I+D)
7,1080453,Evaluación y control del daño ocasionado por el ataque de termitas subterráneas en materiales de construcción y sistemas estructurales de viviendas de madera,01/03/2008,01/03/2008,A. Bozo,Departamento de Desarrollo en Productos Forestales,FONDECYT,Regular
8,11060449,Evaluación y control del daño ocasionado por el ataque de termitas subterraneas reticulitermes hesperus Bank sp. en materiales de construcción de viviendas,01/03/2006,01/03/2006,A. Bozo,Departamento de Desarrollo en Productos Forestales,FONDECYT,Iniciación en Investigación
9,06NF1-5640,Nodo Pymes asociadas a la industria secundaria de la madera,01/12/2006,01/12/2006,A. Bozo,Departamento de Desarrollo en Productos Forestales,INNOVA,Nodos tecnológicos
10,1061132,"Evaluación del comportamiento de tableros estructurales con y sin recubrimientos, en condiciones de envejecimiento",01/03/2006,01/03/2006,"R. Garay / R. Carmona, A. Bozo",Departamento de Desarrollo en Productos Forestales,FONDECYT,Regular
11,1040726,Aplicación de ondas ultrasónicas como medio de control del ataque de termitas subterráneas reticulermes hesperus bank sp. (isópera: Rhinotermitidae) en madera de Pino Radiata (D. DON),01/03/2004,01/03/2006,A. Bozo,Departamento de Desarrollo en Productos Forestales,FONDECYT,Regular
12,ID18I10164,Diseño de una tecnología mejorada para el procesamientos de residuos agrícolas y forestales para la producción de solventes mediante fermentación,01/04/2018,01/04/2018,"R. Carmona / M. Lienqueo, M. Salazar",Departamento de Desarrollo en Productos Forestales,,
13,3180601,Simultaneous production of bioethanol and biohydrogen from lignocellulosic wastes (forest residues) using novel methods,01/08/2017,01/08/2017,R. Carmona,Departamento de Desarrollo en Productos Forestales,,
