,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Moggia, C; Bravo, MA; Baettig, R; Valdes, M; Romero-Bravo, S; Zuniga, M; Cornejo, J; Gosetti, F; Ballabio, D; Cabeza, RA; Beaudry, R; Lobos, GA",Improving bitter pit prediction by the use of X-ray fluorescence (XRF): A new approach by multivariate classification,2022,FRONTIERS IN PLANT SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fpls.2022.1033308,10.3389/fpls.2022.1033308
1,"Maldonado, C; Mora-Poblete, F; Echeverria, C; Baettig, R; Torres-Diaz, C; Contreras-Soto, RI; Heidari, P; Lobos, GA; do Amaral, AT",A Neural Network-Based Spectral Approach for the Assignment of Individual Trees to Genetically Differentiated Subpopulations,2022,REMOTE SENSING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/rs14122898,10.3390/rs14122898
2,"Gardner, DJ; Bozo, A","Ten-year field study of wood plastic composites in Santiago, Chile: Biological, mechanical and physical property performance",2018,MADERAS-CIENCIA Y TECNOLOGIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-221X2018005002901,10.4067/S0718-221X2018005002901
3,"Karsulovic, JT;Bozo, A;Araya, J;Vargas, Y;Gaete, V;Tejer, B",Application of sonic and ultrasonic waves as means of control of underground termites Reticulitermes flavipes (Kollar) in radiata pine wood,2008,MADERAS-CIENCIA Y TECNOLOGIA,SCOPUS/SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0718-221X2008000200003,10.4067/S0718-221X2008000200003
4,"Karsulovic, JT ; Bozo-Gonzalez, A ; Araya, JE ; Vargas, Y ; Tejer, B",Ultrasonic waves as a physical barrier for damage of the subterranean termite Reticulitermes flavipes Kollar (Isoptera : Rhinotermitidae) in wood of Pinus radiata (D. Don),2007,FOREST PRODUCTS JOURNAL,ISI/SCOPUS/UCH/VID,,
5,"Rojas, RV; Magro, R; Cerda, RC","CRITICAL PRE-DESIGN FACTORS FOR CONSTRUCTIVE DURABILITY: ANGLICAN CHAPEL OF CHANARAL, IN CHILE",2021,ARQUITETURA REVISTA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.4013/arq.2021.172.04,10.4013/arq.2021.172.04
6,"Carmona, RJ; Wiemann, MC; Baas, P; Barros, C; Chavarria, GD; McClure, PJ; Espinoza, EO",Forensic identification of CITES Appendix I Cupressaceae using anatomy and mass spectrometry,2020,IAWA JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1163/22941932-bja10002,10.1163/22941932-bja10002
7,"Joly, D; Santoro, CM; Gayo, EM; Ugalde, PC; March, RJ; Carmona, R; Marguerie, D; Latorre, C","LATE PLEISTOCENE FUEL MANAGEMENT AND HUMAN COLONIZATION OF THE ATACAMA DESERT, NORTHERN CHILE",2017,LATIN AMERICAN ANTIQUITY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1017/laq.2016.8,10.1017/laq.2016.8
8,"Lienqueo, ME;Ravanal, MC;Pezoa-Conte, R;Cortinez, V;Martinez, L;Niklitschek, T;Salazar, O;Carmona, R;Garcia, A;Hyvarinen, S;Maki-Arvela, P;Mikkola, JP",Second generation bioethanol from Eucalyptus globulus Labill and Nothofagus pumilio: Ionic liquid pretreatment boosts the yields,2016,INDUSTRIAL CROPS AND PRODUCTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.indcrop.2015.11.039,10.1016/j.indcrop.2015.11.039
9,"Carmona, R; Nunez, T; Alonso, MF",Biomass yield and quality of an energy dedicated crop of poplar (Populus spp.) clones in the Mediterranean zone of Chile,2015,BIOMASS & BIOENERGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.biombioe.2015.01.004,10.1016/j.biombioe.2015.01.004
10,"Salinas, A;Vega, M;Lienqueo, ME;Garcia, A;Carmona, R;Salazar, O",Cloning of novel cellulases from cellulolytic fungi: Heterologous expression of a family 5 glycoside hydrolase from Trametes versicolor in Pichia pastoris,2011,ENZYME AND MICROBIAL TECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.enzmictec.2011.10.003,10.1016/j.enzmictec.2011.10.003
11,"Kontturi, V ; Hyvarinen, S ; Garcia, A ; Carmona, R ; Murzin, DY ; Mikkola, JP ; Peiponen, KE",Simultaneous detection of the absorption spectrum and refractive index ratio with a spectrophotometer: monitoring contaminants in bioethanol,2011,MEASUREMENT SCIENCE AND TECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1088/0957-0233/22/5/055803,10.1088/0957-0233/22/5/055803
12,"Garcia, AE ; Carmona, RJ ; Lienqueo, ME ; Salazar, O",The current status of liquid biofuels in Chile,2011,ENERGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.energy.2010.06.005,10.1016/j.energy.2010.06.005
13,"Niklitschek, T; Salazar, O; Carmona, R; Garcia, A; Lienqueo, ME",Comparison of shf and ssf processes from forest residues pre-trated with ionic liquid to obtain bioethanol,2010,JOURNAL OF BIOTECHNOLOGY,ISI/UCH/VID,http://dx.doi.org/10.1016/j.jbiotec.2010.08.472,10.1016/j.jbiotec.2010.08.472
14,"Salazar, O; Gajardo, I; Salinas, A; Vega, M; Lienqueo, ME; Carmona, R",Heterologous expression and characterization of novel cellulases from white rot fungi,2010,JOURNAL OF BIOTECHNOLOGY,ISI/UCH/VID,http://dx.doi.org/10.1016/j.jbiotec.2010.08.473,10.1016/j.jbiotec.2010.08.473
15,"Pezoa, R; Cortinez, V; Hyvarinen, S; Reunanen, M; Hemming, J; Lienqueo, ME; Salazar, O; Carmona, R; Garcia, A; Murzin, DY; Mikkola, JP",USE OF IONIC LIQUIDS IN THE PRETREATMENT OF FOREST AND AGRICULTURAL RESIDUES FOR THE PRODUCTION OF BIOETHANOL,2010,CELLULOSE CHEMISTRY AND TECHNOLOGY,ISI/SCOPUS/UCH/VID,,
16,"Salazar, O; Salinas, A; Guerrero, A; Gajardo, I; Vega, M; Silva, R; Lienqueo, ME; Garcia, A; Carmona, R",Identification and cloning of novel cellulase genes from white rot fungi,2009,NEW BIOTECHNOLOGY,ISI/UCH/VID,http://dx.doi.org/10.1016/j.nbt.2009.06.376,10.1016/j.nbt.2009.06.376
