,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,MULT 04/27-2,Efectos de la dinámica del desarrollo agrícola y pérdida de suelo sobre el sistema hidrológico de la tercera sección del Maipo: Valle del Yali,01/12/2004,01/12/2004,"J. Barrios, J. Amaya",Departamento de Gestión e Innovación Rural,Fondo Central de Investigación,CONCURSO MULTIDISCIPLINARIO EN TEMAS DE INTERES NACIONAL
1,E004-97/2,Incidencia de las clases presenciales en la aprobación y aprovechamiento en un curso de Computación del plan obligatorio en la Facultad de Ciencias Agrarias y Forestales,01/03/1997,01/03/1997,J. Barrios,Departamento de Gestión Forestal y su Medio Ambiente,Fondo Central de Investigación,EDUCACION
2,C/F93-93/115,,31/12/1993,31/12/1994,J. Barrios,,FAO,CARIS
3,11200854,Climate change or water management? Assessing the relative impacts of climate and anthropic factors on water provision for territorial planning,01/10/2020,01/10/2023,P. Barría,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Iniciación en Investigación
4,022/2020,"Servicios ecosistémicos en cuencas con bosques mediterráneos andinos y subandinos,bajo un contexto de escasez hídrica y cambio climático",01/08/2020,01/08/2022,"P. Barría / C. Cerda, A. Ocampo",Departamento de Gestión Forestal y su Medio Ambiente,CONAF,Investigación del Bosque Nativo
5,ID19I10283,Monitoreo de Flujo de Savia para la Cosecha Sustentable de Miel de Jubaea Chilensis (Molina) Baill,01/03/2019,01/03/2019,A. Plaza / P. Barría,Departamento de Gestión Forestal y su Medio Ambiente,FONDEF,IDEA
6,11191202,Zonificación y análisis del balance socio-hidrológico de las cuencas Chilenas para apoyar la gestión de los recursos hídricos,01/04/2019,01/04/2019,P. Barría,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Iniciación en Investigación
7,UI- 008/19,Análisis y recomendación de metodología para el otorgamiento de derechos de agua en Chile bajo un escenario de cambio climático,01/08/2021,01/08/2021,P. Barría,Departamento de Gestión Forestal y su Medio Ambiente,Fondo Central de Investigación,U-INICIA
8,11180133,Constraining uncertainties in runoff projections to promote robust decision-making,01/05/2018,01/05/2018,P. Barría,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Iniciación en Investigación
9,FIC201816,Modelo de gestión local asistida para desarrollo turístico de territorios vulnerables a la escasez hídrica,01/07/2022,01/07/2022,P. Barría,Departamento de Gestión Forestal y su Medio Ambiente,Fondos de Innovación para la Competitividad,GORE Atacama
10,ID18I10154,Herramienta de planificación frente a riesgo hidroclimático de mediano y largo plazo mediante una plataforma web,01/04/2018,01/04/2018,P. Barría / M. Galleguillos,Departamento de Gestión Forestal y su Medio Ambiente,FONDEF,IDEA
11,UI_2018_10,Análisis de no estacionariedades en la hidrología de Chile Central mediante el uso de herramientas de la paleoclimatología,01/07/2018,01/07/2018,P. Barría,Departamento de Gestión Forestal y su Medio Ambiente,Fondo Central de Investigación,U-INICIA
12,009/2021,Alteración de hábitat en comunidades de Austrocedrus chilensis y acciones para su conservación en las regiones de Valparaíso y Metropolitana,01/08/2021,01/08/2023,H. Bown,Departamento de Gestión Forestal y su Medio Ambiente,CONAF,Investigación del Bosque Nativo
13,1211176,"Whole-tree canopy photosynthesis, transpiration and water use efficiency of five coexisting tree species of a temperate rain forest of south Chile",01/08/2020,01/08/2020,H. Bown / J. Fuentes,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
14,IT21I0081,Desarrollo de un sistema computacional para simular elcrecimiento de bosques nativos: una plataforma para la toma dedecisiones,01/11/2021,01/11/2021,C. Salas / H. Bown,Facultad de Medicina,FONDEF,IDEA
15,1191786,"Rainfall partitioning, rainfall pulses and plant litter as drivers of greenhouse gas fluxes, microbial activity and microbial diversity in soils of Native Forest Ecosystems of Chile.",01/09/2018,01/09/2018,"J. Fuentes / R. Scherson, J. Caldentey, H. Bown",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
16,ID18I10081,Monitoreo de Flujo de Savia para la Obtención Sustentable de Miel de Jubaea Chilensis (Molina) Baill,01/04/2018,01/04/2018,A. Plaza / H. Bown,Departamento de Gestión Forestal y su Medio Ambiente,FONDEF,IDEA
17,1181696,Rainfall Partinioning within Sclerophyllous Ecosystems of Chile: Vegetation manipulation and their effects on Soil Water Distribution,01/07/2017,01/07/2017,J. Fuentes / H. Bown,Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
