,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Gonzalez, C; Castillo, M; Garcia-Chevesich, P; Barrios, J",Dempster-Shafer theory of evidence: A new approach to spatially model wildfire risk potential in central Chile,2018,SCIENCE OF THE TOTAL ENVIRONMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.scitotenv.2017.09.105,10.1016/j.scitotenv.2017.09.105
1,"Balocchi, F; Galleguillos, M; Rivera, D; Stehr, A; Arumi, JL; Pizarro, R; Garcia-Chevesich, P; Iroume, A; Armesto, JJ; Herve-Fernandez, P; Oyarzun, C; Barria, P; Little, C; Mancilla, G; Yepez, S; Rodriguez, R; White, DA; Silberstein, RP; Neary, DG; de Arellano, PR","Forest hydrology in Chile: Past, present, and future",2023,JOURNAL OF HYDROLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jhydrol.2022.128681,10.1016/j.jhydrol.2022.128681
2,"Balocchi, F; Galleguillos, M; Rivera, D; Stehr, A; Arumi, JL; Pizarro, R; Garcia-Chevesich, P; Iroume, A; Armesto, JJ; Herve-Fernandez, P; Oyarzun, C; Barria, P; Little, C; Mancilla, G; Yepez, S; Rodriguez, R; White, DA; Silberstein, RP; Neary, DG; de Arellano, PR","Forest Hydrology in Chile; paste, present, and future (vol 616, 128681, 2023)",2023,JOURNAL OF HYDROLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jhydrol.2022.129025,10.1016/j.jhydrol.2022.129025
3,"Alvarez-Garreton C., Boisier J.P., Billi M., Lefort I., Marinao R., Barría P.",Protecting environmental flows to achieve long-term water security,2023,JOURNAL OF ENVIRONMENTAL MANAGEMENT,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jenvman.2022.116914,10.1016/j.jenvman.2022.116914
4,"Barria, P; Ocampo-Melgar, A; Chadwick, C; Galleguillos, M; Garreaud, R; Diaz-Vasconcellos, R; Poblete, D; Rubio-Alvarez, E","Comment on: The impact of a lack of government strategies for sustainable water management and land use planning on the hydrology of water bodies: lessons learned from the disappearance of the Aculeo Lagoon in central Chile by Valdes-Pineda et al. 2022 in Sustainability, 14(1), 413",2022,REGIONAL ENVIRONMENTAL CHANGE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10113-022-01991-3,10.1007/s10113-022-01991-3
5,"Ocampo-Melgar, A; Barria, P; Chadwick, C; Riyas, C",Cooperation under conflict: participatory hydrological modeling for science policy dialogues for the Aculeo Lake,2022,HYDROLOGY AND EARTH SYSTEM SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5194/hess-26-5103-2022,10.5194/hess-26-5103-2022
6,"Ocampo-Melgar, A; Barria, P; Chadwick, C; Diaz-Vasconcellos, R",Rural transformation and differential vulnerability: Exploring adaptation strategies to water scarcity in the Aculeo Lake basin (Chile),2022,FRONTIERS IN ENVIRONMENTAL SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fenvs.2022.955023,10.3389/fenvs.2022.955023
7,"Pizarro, E; Galleguillos, M; Barria, P; Callejas, R",Irrigation management or climate change ? Which is more important to cope with water shortage in the production of table grape in a Mediterranean context,2022,AGRICULTURAL WATER MANAGEMENT,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.agwat.2022.107467,10.1016/j.agwat.2022.107467
8,"Barria, P; Sandoval, IB; Guzman, C; Chadwick, C; Alvarez-Garreton, C; Diaz-Vasconcellos, R; Ocampo-Melgar, A; Fuster, R",Water allocation under climate change: A diagnosis of the Chilean system,2021,ELEMENTA-SCIENCE OF THE ANTHROPOCENE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1525/elementa.2020.00131,10.1525/elementa.2020.00131
9,"Chadwick, C; Gironas, J; Barria, P; Vicuna, S; Meza, F",Assessing Reservoir Performance under Climate Change. When Is It Going to Be Too Late If Current Water Management Is Not Changed?,2021,WATER,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/w13010064,10.3390/w13010064
