,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Moser, A; Uhl, E; Rotzer, T; Biber, P; Caldentey, JM; Pretzsch, H",Effects of climate trends and drought events on urban tree growth in Santiago de Chile,2018,CIENCIA E INVESTIGACION AGRARIA,SCIELO-Chile/ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.7764/rcia.v45i1.1793,10.7764/rcia.v45i1.1793
1,"Pretzsch, H; Biber, P; Uhl, E; Dahlhausen, J; Schutze, G; Perkins, D; Rotzer, T; Caldentey, J; Koike, T; van Con, T; Chavanne, A; du Toit, B; Foster, K; Lefer, B",Climate change accelerates growth of urban trees in metropolises worldwide,2017,SCIENTIFIC REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41598-017-14831-w,10.1038/s41598-017-14831-w
2,"Pretzsch, H;Biber, P;Uhl, E;Dahlhausen, J;Rotzer, T;Caldentey, J;Koike, T;van Con, T;Chavanne, A;Seifert, T;du Toit, B;Farnden, C;Pauleit, S","Crown size and growing space requirement of common tree species in urban centres, parks, and forests",2015,URBAN FORESTRY & URBAN GREENING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ufug.2015.04.006,10.1016/j.ufug.2015.04.006
3,"Promis, A;Caldentey, J;Cruz, G",Evaluating the usefulness of hemispherical photographs as a means to estimate photosynthetic photon flux density during a growing season in the understorey of Nothofagus pumilio forests,2012,PLANT BIOSYSTEMS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/11263504.2011.650727,10.1080/11263504.2011.650727
4,"Ibarra, M;Caldentey, J;Promis, A",Litter decomposition in Nothofagus pumilio stands in Magallanes Region,2011,BOSQUE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-92002011000300004,10.4067/S0717-92002011000300004
5,"Promis, A ; Caldentey, J ; Ibarra, M",Microclimate within a Nothofagus pumilio forest and the effects of a regeneration felling,2010,BOSQUE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-92002010000200006,10.4067/S0717-92002010000200006
6,"Caldentey, J; Mayer, H; Ibarra, M; Promis, A",The effects of a regeneration felling on photosynthetic photon flux density and regeneration growth in a Nothofagus pumilio forest,2009,EUROPEAN JOURNAL OF FOREST RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10342-008-0240-8,10.1007/s10342-008-0240-8
7,"Caldentey, J;Ibarra, M;Hernandez, J","Litter fluxes and decomposition in Nothofagus pumilio stands in the region of Magallanes, Chile",2001,FOREST ECOLOGY AND MANAGEMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/S0378-1127(00)00532-6,10.1016/S0378-1127(00)00532-6
8,"Donoso, PJ; Promis, A; Loguercio, GA; Beltran, HA; Casseli, M; Chauchard, LM; Cruz, G; Penalba, MG; Pastur, GM; Navarro, C; Nunez, P; Salas-Eljatib, C; Soto, DP; Vasquez-Grandon, A",Silviculture of South American temperate native forests,2022,NEW ZEALAND JOURNAL OF FORESTRY SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.33494/nzjfs522022x173x,10.33494/nzjfs522022x173x
9,"Araos, A; Cerda, C; Skewes, O; Cruz, G; Tapia, P; Baeriswyl, F",Estimated economic impacts of seven invasive alien species in Chile,2020,HUMAN DIMENSIONS OF WILDLIFE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/10871209.2020.1740837,10.1080/10871209.2020.1740837
10,"Promis, A; Olivares, SM; Acuna, S; Cruz, G","Early response of woody species regeneration after ""Las Maquinas"" anthropogenic fire in the Maule Region, Chile",2019,GAYANA BOTANICA,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-66432019000200257,10.4067/S0717-66432019000200257
11,"Cruz, GE; Rodriguez, FA; Tapia, PA; Bown, HE","Growth responses after a future crop tree thinning and a thinning from below in a second-growth Nothofagus pumilio forest in Tierra del Fuego, Chile",2018,CIENCIA E INVESTIGACION AGRARIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.7764/rcia.v45i3.1856,10.7764/rcia.v45i3.1856
12,"Promis, A;Bergh, G;Serra, MT;Cruz, G","Description of the vascular flora in the understory of a swamp forest and in an anthropogenic Juncus procerus wet prairie in the valle del rio Cisnes, Ayson Region, Chile",2013,GAYANA BOTANICA,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-66432013000100017,10.4067/S0717-66432013000100017
13,"Becerra, PI; Cruz, G; Rios, S; Castelli, G",Importance of irrigation and plant size in the establishment success of different native species in a degraded ecosystem of central Chile,2013,BOSQUE,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-92002013000100012,10.4067/S0717-92002013000100012
14,Gartner S;Reif A;Cruz G;Promis A,"Effects of canopy gaps on forest floor vascular and non-vascular plant species composition and diversity in an uneven-aged Nothofagus betuloides forest in Tierra del Fuego, Chile",2012,COMMUNITY ECOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1556/ComEc.13.2012.2.3,10.1556/ComEc.13.2012.2.3
15,"Promis, A;Caldentey, J;Cruz, G",Evaluating the usefulness of hemispherical photographs as a means to estimate photosynthetic photon flux density during a growing season in the understorey of Nothofagus pumilio forests,2012,PLANT BIOSYSTEMS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/11263504.2011.650727,10.1080/11263504.2011.650727
16,"Promis A., Gartner S., Butler-Manning D., Duran-Rangel C., Reif A., Cruz G., Hernandez L.",Comparison of four different programs for the analysis of hemispherical photographs using parameters of canopy structure and solar radiation transmittance,2011,Waldokologie Online,SCOPUS/UCH/VID,,
17,"Promis, A; Gartner, S; Reif, A; Cruz, G","Effects of natural small-scale disturbances on below-canopy solar radiation and regeneration patterns in an old-growth Nothofagus betuloides forest in Tierra del Fuego, Chile",2010,ALLGEMEINE FORST UND JAGDZEITUNG,ISI/UCH/VID,,
18," Promis, A ; Schindler, D ; Reif, A ; Cruz, G ",Solar radiation transmission in and around canopy gaps in an uneven-aged Nothofagus betuloides forest,2009,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00484-009-0222-7,10.1007/s00484-009-0222-7
19,Alvaro Promis1 Gustavo Cruz 2 Albert Reif 1 Stefanie Gärtner3,Nothofagus betuloides (mirb.) Oerst 1871 (fagales: nothofagaceae) forests in southern patagonia and tierra del fuego,2008,Anales del Instituto de la Patagonia,SCIELO-Chile/UCH/VID,,
20,Madariaga G.C; Navarro R.C; Baeza A.P; Verrugio G.C.,"Structural and biometric characterization of Nothofagus betuloides production forests in the Magellan Region, Chile",2007,JOURNAL OF SUSTAINABLE FORESTRY,SCOPUS/UCH/VID,http://dx.doi.org/10.1300/J091v24n02_02,10.1300/J091v24n02_02
