,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1241964,Understanding whether climate modifies urbanization and socioeconomic effects on biodiversity and gardening practices in cities,01/07/2023,01/07/2023,"N. Villaseñor / A. Ocampo, C. Cerda",Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
1,ATE230060,Co-FOREST: Co-building adaptive socio-ecological strategies to recover and maintain ecosystem services in drought-induced forest decline,01/06/2023,01/06/2023,"J. Ovalle / C. Cerda, A. Miranda",Departamento de Silvicultura y Conservación de la Naturaleza,Programa de Investigación Asociativa,Anillo de Investigación en Ciencia y Tecnología Temático
2,1221789,"Assessing ecosystem services in a desert socio-ecological system in Atacama, Chile: a plural approach to create hybrid knowledge towards future policy making",01/04/2022,01/04/2025,"C. Cerda / A. Ocampo, J. Fuentes, J. Razeto",Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
3,ID21I10230,Desarrollo de modelos de impacto económico de especies invasoras para la elaboración de planes y programas de financiamiento para su control,01/04/2021,01/04/2021,"C. Cerda / C. Briceño, G. Cruz",Departamento de Gestión Forestal y su Medio Ambiente,FONDEF,IDEA
4,1211978,"Assessing ecosystem services in a desert socioecological system in Atacama, Chile: a plural approach",01/08/2020,01/08/2020,"C. Cerda / J. Razeto, J. Fuentes",Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
5,022/2020,"Servicios ecosistémicos en cuencas con bosques mediterráneos andinos y subandinos,bajo un contexto de escasez hídrica y cambio climático",01/08/2020,01/08/2022,"P. Barría / C. Cerda, A. Ocampo",Departamento de Gestión Forestal y su Medio Ambiente,CONAF,Investigación del Bosque Nativo
6,3200908,Efecto de la expansión de los cultivos de paltos (Persea americana) sobre la biodiversidad en ecosistemas mediterráneos,01/01/2020,01/01/2020,C. Cerda,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Postdoctorado
7,005/2019,Servicios ecosistémicos de formaciones xerofíticas en la macrozona comprendida desde la Región de Arica y Parinacota hasta la Región de Antofagasta,01/09/2019,01/09/2021,C. Cerda,Departamento de Gestión Forestal y su Medio Ambiente,CONAF,Investigación del Bosque Nativo
8,1191808,Sociocultural valuation of ecosystem services in a desert socio-ecological system of the Atacama Region of Chile,01/08/2018,01/08/2018,"C. Cerda / J. Razeto, R. Asun, J. Fuentes",Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
9,BMBF180035,"SEE FIRE: Assessessing Social, Economical and Ecological wildFIRE risk and potential mitigation measures for Central Chile",01/10/2018,01/10/2018,H. Hernández / C. Cerda,Departamento de Gestión Forestal y su Medio Ambiente,Cooperación Internacional: Proyectos bilaterales,Proyectos de intercambio CONICYT/BMBF-Alemania
10,URC-014/17,Red interdisciplinaria naturaleza y Sociedad,01/08/2017,01/08/2017,C. Cerda,Departamento de Gestión Forestal y su Medio Ambiente,Fondo Central de Investigación,Programa U-Redes: Línea 2 incentivo a la Consolidación de Red; Domeyko II
11,15150006,Chilean Center for Sustainable Agriculture (CHISAC),01/01/2015,01/01/2020,"H. Silva / R. Uauy, C. Estades, R. Infante, C. Pastenes, C. Stange, J. Pérez, C. Cerda",Departamento de Producción Agrícola,FONDAP,Programa FONDAP
12,15150013,"Atmospheric interdisciplinary research centre, Aire Centre",01/01/2015,01/01/2015,"M. Prendez / C. Cerda, F. Agüero, D. Cáceres, M. Acuña, M. Leiva",Departamento de Química Orgánica y Físico Química,FONDAP,Programa FONDAP
13,1151063,Exploring human-wildlife relationships in Chile: a multi-stakeholder perspective to wildlife conservation management,01/03/2015,01/03/2018,"C. Cerda / C. Briceño, Ã. Promis, C. de la Maza, J. Razeto",Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
14,1130961,"Exploring economic benefits of biodiversity components: a socio-economic approach in northern, central and southern Chile",01/03/2013,01/03/2013,"C. Cerda / C. de la Maza, C. Estades",Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
15,029/2012,Valoración económica de servicios ambientales proporcionados por áreas protegidas e implicancias para los mecanismos de tarificación,01/08/2012,01/08/2014,C. Cerda,Departamento de Gestión Forestal y su Medio Ambiente,CONAF,Investigación del Bosque Nativo
16,1120231,"Economic valuation of urban green areas attributes in the metropolitan region, Chile: a case study in the comuna of Peñalolén using choice experiments",01/03/2012,01/03/2012,C. de la Maza / C. Cerda,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
17,11BPC-9952,Indicadores de sustentabilidad para el apoyo de negocios de turismo sustentable en áreas protegidas,01/12/2011,01/12/2014,C. de la Maza / C. Cerda,Departamento de Gestión Forestal y su Medio Ambiente,INNOVA,Bienes públicos para la competitividad
18,1110117,"Economic valuation of environmental services provided by urban green areas in the Metropolitan region, Chile.",01/03/2011,01/03/2011,C. de la Maza / C. Cerda,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
19,1100751,"Economic valuation of ecosystem services provided by urban green areas in the Metropolitan region, Chile",01/03/2010,01/03/2010,C. de la Maza / C. Cerda,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
20,11100407,Economic preferences for non-market environmental services: a case study in the Campana National Park using choice experiments,01/10/2010,01/10/2012,C. Cerda,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Iniciación en Investigación
21,I 09/11-2,Valoración económica de no-mercado de la biodiversidad y servicios ambientales utilizando experimentos de elección,01/03/2009,01/03/2011,C. Cerda,Departamento de Gestión Forestal y su Medio Ambiente,Fondo Central de Investigación,INICIACION
22,11090256,Non-market economic valuation of biological diversity and ecosystem services using choice experiments: a case study in the Campana - Peñuelas Biosphere Reserve,01/10/2009,01/10/2009,C. Cerda,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Iniciación en Investigación
23,1090262,"Economic valuation of ecosystem services provided by urban green areas in the metropolitan and Valparaiso regions, Chile.",01/03/2009,01/03/2009,C. de la Maza / C. Cerda,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
24,11080191,Valoración de los beneficios ambientales proporcionados por la Reserva Nacional Lago Peñuelas: un enfoque socioeconómico.,01/10/2008,01/10/2008,C. Cerda,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Iniciación en Investigación
25,1080554,"Análisis de la eficiencia de la conservación al interior de áreas silvestres protegidas desde enfoques de paisaje, social y económico",01/03/2008,01/03/2008,"H. Hernández / C. de la Maza, C. Cerda",Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
