,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Ocampo-Melgar A., Lutz-Ley A., Zúñiga A., Cerda C., Goirán S.",LATIN AMERICAN DRYLANDS: Challenges and opportunities for sustainable development,2023,Metode,SCOPUS/UCH/VID,http://dx.doi.org/10.7203/metode.13.21458,10.7203/metode.13.21458
1,"Smith-Ramirez, C; Grez, A; Galleguillos, M; Cerda, C; Ocampo-Melgar, A; Miranda, MD; Munoz, AA; Rendon-Funes, A; Diaz, I; Cifuentes, C; Alaniz, A; Seguel, O; Ovalle, J; Montenegro, G; Saldes-Cortes, A; Martinez-Harms, MJ; Armesto, JJ; Vita, A",Ecosystem services of Chilean sclerophyllous forests and shrublands on the verge of collapse: A review,2023,JOURNAL OF ARID ENVIRONMENTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jaridenv.2022.104927,10.1016/j.jaridenv.2022.104927
2,"Alvarez-Codoceo, S; Cerda, C; Perez-Quezada, JF","Mapping the provision of cultural ecosystem services in large cities: The case of The Andean piedmont in Santiago, Chile",2021,URBAN FORESTRY & URBAN GREENING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ufug.2021.127390,10.1016/j.ufug.2021.127390
3,"Guerrero-Leiva, N; Cerda, C; Bidegain, I",Residential sidewalk gardens and biological conservation in the cities: Motivations and preferences that guide the floristic composition of a little-explored space,2021,URBAN FORESTRY & URBAN GREENING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ufug.2021.127227,10.1016/j.ufug.2021.127227
4,"Bidegain, I; Lopez-Santiago, CA; Gonzalez, JA; Martinez-Sastre, R; Ravera, F; Cerda, C",Social Valuation of Mediterranean Cultural Landscapes: Exploring Landscape Preferences and Ecosystem Services Perceptions through a Visual Approach,2020,LAND,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/land9100390,10.3390/land9100390
5,"Araos, A; Cerda, C; Skewes, O; Cruz, G; Tapia, P; Baeriswyl, F",Estimated economic impacts of seven invasive alien species in Chile,2020,HUMAN DIMENSIONS OF WILDLIFE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/10871209.2020.1740837,10.1080/10871209.2020.1740837
6,"Cerda C., Bidegain I.",Ecosystem services from a multi-stakeholder perspective: A case study of a biosphere reserve in Central Chile,2019,Social-ecological Systems of Latin America: Complexities and Challenges,SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-3-030-28452-7_19,10.1007/978-3-030-28452-7_19
7,"Bidegain, I; Cerda, C; Catalan, E; Tironi, A; Lopez-Santiago, C",Social preferences for ecosystem services in a biodiversity hotspot in South America,2019,PLOS ONE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1371/journal.pone.0215715,10.1371/journal.pone.0215715
8,"Cerda C., Fuentes J.P., Mancilla G.",Can conservation in protected areas and visitor preferences converge? An empirical study in Central Chile,2018,BIODIVERSITY AND CONSERVATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10531-018-1501-6,10.1007/s10531-018-1501-6
9,Cerda C; Bidegain I,"Spectrum of concepts associated with the term ""biodiversity"": a case study in a biodiversity hotspot in South America",2018,ENVIRONMENTAL MONITORING AND ASSESSMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10661-018-6588-4,10.1007/s10661-018-6588-4
