,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1240874,Future forests with only pioneer trees? The relevance of species demography to predict forest responses to climate change,01/07/2023,01/07/2023,Ã. Gutiérrez / A. Plaza,Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDECYT,Regular
1,CONAF_2302,Determinación de los niveles críticos de restricción hídrica para especies leñosas pertenecientes a formaciones xerofíticas de Chile Central,01/03/2023,01/03/2023,A. Plaza,Escuela de Pregrado Ciencias Forestales,CONAF,Investigación del Bosque Nativo
2,1200468,Tree species capacity to recruit in future suitable environments: The relevance of the regeneration niche,01/03/2020,01/03/2024,Ã. Gutiérrez / A. Plaza,Departamento de Ciencias Ambientales y Recursos Naturales Renovables,FONDECYT,Regular
3,ID19I10283,Monitoreo de Flujo de Savia para la Cosecha Sustentable de Miel de Jubaea Chilensis (Molina) Baill,01/03/2019,01/03/2019,A. Plaza / P. Barría,Departamento de Gestión Forestal y su Medio Ambiente,FONDEF,IDEA
4,UI- 036/19,Análisis de los efectos ambientales de la cosecha post-incendio en plantaciones forestales productivas,01/08/2021,01/08/2021,A. Plaza,Departamento de Gestión Forestal y su Medio Ambiente,Fondo Central de Investigación,U-INICIA
5,ID18I10081,Monitoreo de Flujo de Savia para la Obtención Sustentable de Miel de Jubaea Chilensis (Molina) Baill,01/04/2018,01/04/2018,A. Plaza / H. Bown,Departamento de Gestión Forestal y su Medio Ambiente,FONDEF,IDEA
6,UI_2018_26,Impactos de las operaciones forestales en el agotamiento de calcio del continuo terrestreacuático en ecosistemas forestales chilenos,01/07/2018,01/07/2018,A. Plaza,Departamento de Gestión Forestal y su Medio Ambiente,Fondo Central de Investigación,U-Redes
7,11180647,Impacts of forestry operations on calcium depletion of the terrestrial-aquatic continuum in Chilean forest ecosystems,01/05/2018,01/05/2018,A. Plaza,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Iniciación en Investigación
8,3170969,Phenology and ecosystem carbon balance in sclerophyll forest at Central Chile,01/08/2016,01/08/2016,A. Plaza / H. Bown,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Postdoctorado
9,UI-010/17,Análisis de los efectos ambientales del uso de maquinaria pesada en operaciones de cosecha post-incendio,01/08/2017,01/08/2017,A. Plaza,Departamento de Gestión Forestal y su Medio Ambiente,Fondo Central de Investigación,U-INICIA
