,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,ID23I10200,Disminución de Riesgo a las Personas mediante la Automatización de la Maquinaria utilizada en la Construcción de Muros de Tranques de Relaves,01/12/2022,01/12/2022,J. Ruiz del Solar,Departamento de Ingeniería Eléctrica,FONDEF,IDEA
1,1221601,Learning Methods for Detection and Classification using Event-based Cameras,01/10/2021,01/10/2021,"I. Sipirán, J. Ruiz del Solar",Otras Instituciones,FONDECYT,Regular
2,AFB220002,Centro Avanzado de Tecnología para la Minería (AMTC),01/10/2022,01/10/2023,"J. Ruiz del Solar / Y. Niño, D. Comte, M. Adams, R. Castro, C. Ihle, X. Emery, J. Vallejos, C. Pérez",Departamento de Ingeniería Eléctrica,Programa de Investigación Asociativa,Apoyo Centros Científicos y Tecn. de Excelencia con Financ. Basal
3,1201913,Combined Event-based and Frame-based Data for Object Detection and Action Recognition in Robot Vision,01/08/2019,01/08/2019,J. Ruiz del Solar,Otras Instituciones,FONDECYT,Regular
4,1201170,Deep Learning of Complex Behaviors in Robotics,01/03/2020,01/03/2024,J. Ruiz del Solar,Centro Avanzado de Tecnología para la Minería,FONDECYT,Regular
5,ID19I10142,Operación Autónoma de Martillos Pica-Roca basada en Técnicas de Aprendizaje Reforzado,01/08/2019,01/08/2021,J. Ruiz del Solar,Departamento de Ingeniería Eléctrica,FONDEF,IDEA
6,1191442,"Event-based object detection, pose estimation and action recognition using event-based cameras",01/08/2018,01/08/2018,J. Ruiz del Solar,Otras Instituciones,FONDECYT,Regular
7,AFB180004,"Advanced Mining Technology Center (Centro Avanzado de Tecnología para la Minería), AMTC",01/01/2019,01/01/2022,"J. Ruiz del Solar / J. Vallejos, C. Pérez, D. Comte, Y. Niño, R. Castro, W. Kracht, X. Emery, M. Adams, C. Ihle",Centro Avanzado de Tecnología para la Minería,Programa de Investigación Asociativa,Apoyo Centros Científicos y Tecn. de Excelencia con Financ. Basal
8,1180488,"Detection, recognition and motion analysis in dynamic outdoor environments using event-based cameras",01/07/2017,01/07/2017,J. Ruiz del Solar,Otras Instituciones,FONDECYT,Regular
9,EQM170041,Sistema de Cómputo para Deep Learning basado en Cluster NVIDIA DGX-1,01/09/2017,01/03/2019,"J. Ruiz del Solar / P. Mendoza, J. Mc Phee, M. Adams",*Centro Avanzado de Tecnología para la Minería,FONDEQUIP,Concurso de Equipamiento Científico
10,1161500,Fast object recognition for challenging robotics applications,01/04/2016,01/04/2020,J. Ruiz del Solar,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
11,IT16M100017,Automatización del proceso de carguío de LHDs,01/11/2016,01/05/2018,J. Ruiz del Solar,Departamento de Ingeniería Eléctrica,FONDEF,IT-Minería
12,3160019,"Efectos de la morfología y del mecanismo de cabeceo sobre la locomoción bípeda terópoda: Análisis mediante anatomía comparada, registros cinemáticos, simulación computacional y modelos robóticos bio-inspirados
",01/11/2015,01/11/2018,J. Ruiz del Solar,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
13,IT16I10026,Sistema de carguío autónomo para cargadores frontales de bajo perfil,01/03/2017,01/09/2018,J. Ruiz del Solar,Departamento de Ingeniería Eléctrica,FONDEF,IDEA
