,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Smith, J; Loncomilla, P; Ruiz-Del-Solar, J",Human Pose Estimation Using Thermal Images,2023,IEEE ACCESS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1109/ACCESS.2023.3264714,10.1109/ACCESS.2023.3264714
1,"Samtani, P; Leiva, F; Ruiz-del-Solar, J",Learning to Break Rocks With Deep Reinforcement Learning,2023,IEEE ROBOTICS AND AUTOMATION LETTERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1109/LRA.2023.3236562,10.1109/LRA.2023.3236562
2,"Cruz-Montecinos, C; Garcia-Masso, X; Maas, H; Cerda, M; Ruiz-del-Solar, J; Tapia, C",Detection of intermuscular coordination based on the causality of empirical mode decomposition,2023,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11517-022-02736-4,10.1007/s11517-022-02736-4
3,"Cardenas, D; Parra-Tsunekawa, I; Leiva, F; Ruiz-del-Solar, J",Automatic Determination of Rock-Breaking Target Poses for Impact Hammers,2022,ENERGIES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/en15176380,10.3390/en15176380
4,"Espinoza, JP; Mascaro, M; Morales, N; Del Solar, JR",Improving productivity in block/panel caving through dynamic confinement of semi-autonomous load-haul-dump machines,2022,INTERNATIONAL JOURNAL OF MINING RECLAMATION AND ENVIRONMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/17480930.2022.2077046,10.1080/17480930.2022.2077046
5,"Loncomilla P., Samtani P., Ruiz-del-Solar J.",Rocky-CenterNet: Detecting rocks using convolutional neural networks and ellipses,2022,Software Impacts,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.simpa.2022.100290,10.1016/j.simpa.2022.100290
6,"Escobar, Maria-Jose; Navarro-Guerrero, Nicolas; Ruiz-del-Solar, Javier; Sandini, Giulio",Guest Editorial Special Issue on Emerging Topics on Development and Learning,2022,IEEE Transactions on Cognitive and Developmental Systems,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1109/TCDS.2022.3165964,10.1109/TCDS.2022.3165964
7,"Salas R., Cáceres J.P., Loayza E., Feliú F., Valenzuela F., del Solar J.R.",Robocup@Home 2021 Champion Team Paper: SSPL Winner Uchile Peppers,2022,Lecture Notes in Computer Science,SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-3-030-98682-7_22,10.1007/978-3-030-98682-7_22
8,"Loncomilla, P; Samtani, P; Ruiz-del-Solar, J",Detecting rocks in challenging mining environments using convolutional neural networks and ellipses as an alternative to bounding boxes,2022,EXPERT SYSTEMS WITH APPLICATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.eswa.2022.116537,10.1016/j.eswa.2022.116537
9,"Correa, M; Cardenas, D; Carvajal, D; Ruiz-del-Solar, J",Haptic Teleoperation of Impact Hammers in Underground Mining,2022,APPLIED SCIENCES-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/app12031428,10.3390/app12031428
10,"Samtani P., Leiva F., Ruiz-Del-Solar J.",Learning to Play Soccer from Scratch: Sample-Efficient Emergent Coordination Through Curriculum-Learning and Competition,2021,IEEE International Conference on Intelligent Robots and Systems,SCOPUS/UCH/VID,http://dx.doi.org/10.1109/IROS51168.2021.9636046,10.1109/IROS51168.2021.9636046
11,"Tampier, C; Mascaro, M; Ruiz-del-Solar, J",Autonomous Loading System for Load-Haul-Dump (LHD) Machines Used in Underground Mining,2021,APPLIED SCIENCES-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/app11188718,10.3390/app11188718
12,"Mascaro, M; Parra-Tsunekawa, I; Tampier, C; Ruiz-del-Solar, J",Topological Navigation and Localization in Tunnels-Application to Autonomous Load-Haul-Dump Vehicles Operating in Underground Mines,2021,APPLIED SCIENCES-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/app11146547,10.3390/app11146547
13,"Lacassie, JP; Ruiz-Del-Solar, J","Integrated mineralogical and geochemical study of the Rapel fluvial system, central Chile: An application of multidimensional analysis to river sedimentation",2021,JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jsames.2021.103289,10.1016/j.jsames.2021.103289
14,"Daud, O; Correa, M; Estay, H; Ruiz-del-Solar, J",Monitoring and Controlling Saturation Zones in Heap Leach Piles Using Thermal Analysis,2021,MINERALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/min11020115,10.3390/min11020115
15,"Cruz, N; Leiva, F; Ruiz-del-Solar, J",Deep learning applied to humanoid soccer robotics: playing without using any color information,2021,AUTONOMOUS ROBOTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10514-021-09966-9,10.1007/s10514-021-09966-9
16,"Ruiz-Del-Solar J., Salazar M., Vargas-Araya V., Campodonico U., Marticorena N., Pais G., Salas R., Alfessi P., Contreras Rojas V., Urrutia J.","Mental and Emotional Health Care for COVID-19 Patients: Employing Pudu, a Telepresence Robot",2021,IEEE ROBOTICS & AUTOMATION MAGAZINE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1109/MRA.2020.3044906,10.1109/MRA.2020.3044906
