,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1231015,Competitive Off-grid Photovoltaic Green Hydrogen production based on the Versatile Buck-Boost Power Electronics Building Block,01/03/2023,01/03/2027,M. Orchard,Departamento de Cs. de la Ingeniería,FONDECYT,Regular
1,1220507,Distributed Predictive Control Strategies based on Evolving Prediction Intervals for Energy-Water Microgrids,01/04/2022,01/04/2026,"D. Sáez / M. Orchard, C. Ahumada, D. Daniele",Departamento de Ingeniería Eléctrica,FONDECYT,Regular
2,1210315,"Topics on Information Theory Applied to Machine Learning and Decision: Theory, Methods, and Applications",01/03/2021,01/03/2025,J. Silva / M. Orchard,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
3,1210031,A Hidden-Markov-Model-based Failure Prognostic Framework for Real-time Prognostic Decision Making,01/03/2021,01/03/2025,"M. Orchard / D. Sáez, J. Silva",Departamento de Ingeniería Eléctrica,FONDECYT,Regular
4,3210822,Metodología integral para la toma de decisiones de un sistema productivo con múltiples procesos secuenciales bajo incertidumbre: aplicación en procesos mineros,01/08/2020,01/08/2020,M. Orchard,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
5,1210636,Distributed Predictive Control Strategies based on Prediction Intervals for Energy-Water Microgrids,01/08/2020,01/08/2020,"D. Sáez / M. Orchard, C. Ahumada, D. Daniele",Departamento de Ingeniería Eléctrica,FONDECYT,Regular
6,IM21_11497_en,Millennium Institute for Neurodynamics,01/03/2023,01/03/2023,"P. Maldonado / E. Morales, A. Paula Lima, J. Valdés, J. Silva, M. Hidalgo, M. Herrera-Marschitz, J. Sierralta, P. Délano, M. Orchard",Departamento de Neurociencias,Iniciativa Científica Milenio,Institutos Milenios en Ciencias Exactas y Naturales
7,ECOS210002,Artificial-Intelligence-based Prognostic Decision Making in E-mobility,01/06/2022,01/06/2022,M. Orchard,Departamento de Ingeniería Eléctrica,Cooperación Internacional: Proyectos bilaterales,Proyectos de intercambio CONICYT/ECOS-Francia
8,ID20I10350,Plataforma Telemétrica de Sensorización de Extremidades para la Temprana Toma de Acciones Correctivas en Pacientes con Neuropatía Periférica,01/04/2020,01/04/2020,"C. Estévez / S. Cespedes, C. Azurdia, M. Orchard",Departamento de Ingeniería Eléctrica,FONDEF,IDEA
9,1201319,Energy efficient navigation strategies for autonomous N-trailer vehicles in agricultural applications,01/03/2020,01/03/2023,M. Orchard,UTFSM,FONDECYT,Regular
10,3190093,Failure Mode and Degradation Analysis in Perovskite Solar Cells,01/10/2018,01/10/2018,M. Orchard,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
