,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Kordestani, M; Mousavi, M; Chaibakhsh, A; Orchard, ME; Khorasani, K; Saif, M",Rate Meta Distribution of Downlink Base Station Cooperation for Cellular-Connected UAV Networks,2023,IEEE SENSORS JOURNAL,ISI/UCH/VID,http://dx.doi.org/10.1109/JSEN.2022.3233585,10.1109/JSEN.2022.3233585
1,"Tamssaouet, F; Nguyen, KT; Medjaher, K; Orchard, ME",System-level failure prognostics: Literature review and main challenges,2023,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART O-JOURNAL OF RISK AND RELIABILITY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1177/1748006X221118448,10.1177/1748006X221118448
2,"Alvarado, D; Moreno, R; Orchard, ME; Kirschen, DS",Cost-Benefit Analysis of Maintenance Plans: Case Study of the Power System of a Large Industrial Facility,2023,IEEE TRANSACTIONS ON POWER SYSTEMS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1109/TPWRS.2022.3185376,10.1109/TPWRS.2022.3185376
3,"Benavides, GEC; Duarte-Mermoud, MA; Orchard, ME; Travieso-Torres, JC",Pitch Angle Control of an Airplane Using Fractional Order Direct Model Reference Adaptive Controllers,2023,FRACTAL AND FRACTIONAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/fractalfract7040342,10.3390/fractalfract7040342
4,"Futalef, JP; Munoz-Carpintero, D; Rozas, H; Orchard, ME",An online decision-making strategy for routing of electric vehicle fleets q,2023,INFORMATION SCIENCES,ISI/UCH/VID,http://dx.doi.org/10.1016/j.ins.2022.12.108,10.1016/j.ins.2022.12.108
5,"Kordestani, M; Mousavi, M; Chaibakhsh, A; Orchard, ME; Khorasani, K; Saif, M",A New Compressor Failure Prognostic Method Using Nonlinear Observers and a Bayesian Algorithm for Heavy-Duty Gas Turbines,2023,IEEE SENSORS JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1109/JSEN.2022.3233585,10.1109/JSEN.2022.3233585
6,"Acuña-Ureta D.E., Orchard M.E.",Near-instantaneous battery End-of-Discharge prognosis via uncertain event likelihood functions,2023,ISA TRANSACTIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.isatra.2022.09.040,10.1016/j.isatra.2022.09.040
7,"Futalef J.-P., Muñoz-Carpintero D., Rozas H., Orchard M.E.",An online decision-making strategy for routing of electric vehicle fleets,2023,INFORMATION SCIENCES,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ins.2022.12.108,10.1016/j.ins.2022.12.108
8,"Bustos, JAT; Orchard, ME; Torres-Torriti, M; Cheein, FA",GNSS-Based Estimation of Average Instantaneous Power Consumption in Electric Vehicles,2023,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1109/TIE.2022.3206748,10.1109/TIE.2022.3206748
9,"Kordestani, M; Orchard, ME; Khorasani, K; Saif, M",An Overview of the State of the Art in Aircraft Prognostic and Health Management Strategies,2023,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1109/TIM.2023.3236342,10.1109/TIM.2023.3236342
10,"Acuña-Ureta D.E., Orchard M.E.",A Gentle Correctness Verification of the Theory of Uncertain Event Prognosis to Compute Failure Time Probability,2022,"Proceedings of the Annual Conference of the Prognostics and Health Management Society, PHM",SCOPUS/UCH/VID,http://dx.doi.org/10.36001/phmconf.2022.v14i1.3175,10.36001/phmconf.2022.v14i1.3175
11,"Burgos-Mellado C., Orchard M., Muñoz-Carpintero D., Dragicevic T., Reyes-Chamorro L., Llanos J.",AC Battery: Modular Layout with Cell-level Degradation Control,2022,"24th European Conference on Power Electronics and Applications, EPE 2022 ECCE Europe",SCOPUS/UCH/VID,,
12,"Kordestani, Mojtaba; Rezamand, Milad; Orchard, Marcos E.; Carriveau, Rupp; Ting, David S-K; Rueda, Luis; Saif, Mehrdad",New Condition-Based Monitoring and Fusion Approaches With a Bounded Uncertainty for Bearing Lifetime Prediction,2022,IEEE SENSORS JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1109/JSEN.2022.3159624,10.1109/JSEN.2022.3159624
13,"Yaqoob, Mohammad; Lashab, Abderezak; Vasquez, Juan C.; Guerrero, Josep M.; Orchard, Marcos E.; Bintoudi, Angelina D.",A Comprehensive Review on Small Satellite Microgrids,2022,IEEE TRANSACTIONS ON POWER ELECTRONICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1109/TPEL.2022.3175093,10.1109/TPEL.2022.3175093
14,"Arias-Cazco D., Rozas H., Jimenez D., Orchard M.E., Estevez C.",Unifying Criteria for Calculating the Levelized Cost of Driving in Electro-Mobility Applications,2022,WORLD ELECTRIC VEHICLE JOURNAL,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.3390/wevj13070119,10.3390/wevj13070119
15,"Videla, M; Mendez, RA; Claveria, RM; Silva, JF; Orchard, ME",Bayesian Inference in Single-line Spectroscopic Binaries with a Visual Orbit,2022,ASTRONOMICAL JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3847/1538-3881/ac5ab4,10.3847/1538-3881/ac5ab4
16,"Jaramillo, F; Gutierrez, JM; Orchard, M; Guarini, M; Astroza, R",A Bayesian approach for fatigue damage diagnosis and prognosis of wind turbine blades,2022,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ymssp.2022.109067,10.1016/j.ymssp.2022.109067
17,"Travieso-Torres, JC; Contreras, C; Hernandez, F; Duarte-Mermoud, MA; Aguila-Camacho, N; Orchard, ME",Adaptive passivity-based control extended for unknown control direction,2022,ISA TRANSACTIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.isatra.2021.04.028,10.1016/j.isatra.2021.04.028
18,"Quintero V., Estevez C., Orchard M., Perez A., Yu J.Y., Yu X.",A Reliable and Simple Method to Estimate the Electric-Vehicle Battery State-of-Health,2022,ICCVE 2022 - IEEE International Conference on Connected Vehicles and Expo,SCOPUS/UCH/VID,http://dx.doi.org/10.1109/ICCVE52871.2022.9743069,10.1109/ICCVE52871.2022.9743069
19,"Gonzalez, ME; Silva, JF; Videla, M; Orchard, ME","Data-Driven Representations for Testing Independence: Modeling, Analysis and Connection With Mutual Information Estimation",2022,IEEE TRANSACTIONS ON SIGNAL PROCESSING,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1109/TSP.2021.3135689,10.1109/TSP.2021.3135689
20,"Tamssaouet F., Nguyen K.T.P., Medjaher K., Orchard M.",Combination of Long Short-Term Memory and Particle Filtering for Future Uncertainty Characterization in Failure Prognostic,2021,"Proceedings of the 31st European Safety and Reliability Conference, ESREL 2021",SCOPUS/UCH/VID,http://dx.doi.org/10.3850/978-981-18-2016-8_152-cd,10.3850/978-981-18-2016-8_152-cd
21,"Rezamand M., Kordestani M., Orchard M., Carriveau R., Ting D., Saif M.",Condition Monitoring and Failure prognostic of Wind Turbine Blades,2021,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",SCOPUS/UCH/VID,http://dx.doi.org/10.1109/SMC52423.2021.9658902,10.1109/SMC52423.2021.9658902
22,"Martinez-Gomez, M; Navas, A; Orchard, ME; Bozhko, S; Burgos-Mellado, C; Cardenas, R",Multi-Objective Finite-Time Control for the Interlinking Converter on Hybrid AC/DC Microgrids,2021,IEEE ACCESS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1109/ACCESS.2021.3105649,10.1109/ACCESS.2021.3105649
23,"Tamssaouet F., Nguyen K.T.P., Medjaher K., Orchard M.","A fresh new look on system-level prognostic: Handling multi-component interactions, mission profile impacts, and uncertainty quantification",2021,International Journal of Prognostics and Health Management,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.36001/IJPHM.2021.V12I2.2777,10.36001/IJPHM.2021.V12I2.2777
24,"Rozas H., Muñoz-Carpintero D., Saéz D., Orchard M.E.",Solving in real-time the dynamic and stochastic shortest path problem for electric vehicles by a prognostic decision making strategy,2021,EXPERT SYSTEMS WITH APPLICATIONS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.eswa.2021.115489,10.1016/j.eswa.2021.115489
25,"Jaras, I; Harada, T; Orchard, ME; Maldonado, PE; Vergara, RC",Extending the integrate-and-fire model to account for metabolic dependencies,2021,EUROPEAN JOURNAL OF NEUROSCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/ejn.15326,10.1111/ejn.15326
26,"Paccha-Herrera, E; Calderon-Munoz, WR; Orchard, M; Jaramillo, F; Medjaher, K","Thermal Modeling Approaches for a LiCoO2 Lithium-ion Battery-A Comparative Study with Experimental Validation (vol 6, 40, 2020)",2021,BATTERIES-BASEL,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3390/batteries7030043,10.3390/batteries7030043
