,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1231545,"Solar cooking: A Clean and green cooking solution for decentralized, rural or isolated communities and refugee camps",01/08/2022,01/08/2022,R. Palma,Universidad De Tarapaca,FONDECYT,Regular
1,ID23I10277,Herramienta de apoyo a la planificación de la transmisión resiliente y ¿exible basada en técnicas avanzadas de descomposición e inteligencia artificial,01/05/2023,01/05/2025,R. Palma,,FONDEF,IDEA
2,1522A0006,"Solar Energy Research Center, SERC-Chile",01/09/2022,01/09/2023,C. Rahmann / R. Palma,Departamento de Ingeniería Eléctrica,FONDAP,Concurso Apoyo a Centros de Excelencia FONDAP
3,1211968,Comprehensive integration of decentralized solutions in energy system planning,01/03/2021,01/03/2024,R. Palma,Centro de Energía,FONDECYT,Regular
4,IM21_11492_en,Millenium Institute for Energy Storage Tecnologies,01/03/2023,01/03/2023,R. Palma,Departamento de Ingeniería Eléctrica,Iniciativa Científica Milenio,Institutos Milenios en Ciencias Exactas y Naturales
5,ID20I10412,Flex-Tran: Herramienta de apoyo a la planificación de la transmisión considerando tecnologías flexibles,01/08/2020,01/08/2022,R. Palma,UTFSM. Depto. de Electrónica,FONDEF,IDEA
6,IM19IMTE,Instituto Milenio para la Transformación Energética,01/11/2019,01/11/2019,"M. Orchard / F. Gracia, W. Calderón, P. Moraga, M. Lienqueo, S. Cespedes, M. Olivares, R. Palma",Departamento de Ingeniería Eléctrica,Iniciativa científica Milenio,Institutos Milenios
7,IT19I0129,Desarrollo e implementación de un sistema de monitoreo en-línea de la seguridad dinámica del sistema eléctrico,01/06/2020,01/10/2022,"R. Palma / C. Ahumada, C. Fuentes, C. Rahmann",Departamento de Ingeniería Eléctrica,FONDEF,IDEA
8,1181532,"Chile as a solar energy exporter in the region: A holistic decision-making approach incorporating energy, water, environmental, and socio-political challenges",01/03/2018,01/03/2021,R. Palma,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
9,3180160,Modelo de tarifas para la instalación y operación óptima de sistemas fotovoltaicos con baterías en la red de distribución,01/03/2018,01/03/2021,R. Palma,Universidad Tecnologica Metropolitana,FONDECYT,Postdoctorado
10,17PTECES-75830,AtamoS-TEC: programa de investigación y desarrollo de tecnologías fotovoltaicas de alta radiación y clima desértico,01/12/2017,01/12/2022,R. Palma,Universidad de Antofagasta,INNOVA,Innova
11,3160190,Análisis y evaluación del desempeño in situ de plantas fotovoltaicas en el Desierto de Atacama,01/11/2015,01/11/2017,R. Palma,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
12,MINENERG_15_01,Plan de acción ruta de la Innovación en Energía,01/03/2015,01/03/2016,R. Palma / M. Paneque,Departamento de Ingeniería Eléctrica,Otros,Otros
13,1151438,Optimal storage technology mix in power systems with high penetration of variable renewable energy sources,01/03/2015,01/03/2018,R. Palma / C. Rahmann,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
14,EQUIP-23/2014,Empaquetamiento óptimo de baterías de ión-litio (EOBLi),01/12/2014,01/12/2014,"W. Calderón / R. Palma, P. Estévez",Departamento de Ingeniería Mecánica,FONDEQUIP,Concurso de Equipamiento Científico
15,BMBF20140019,Solar Mining Chile,01/03/2015,01/03/2018,R. Palma,Departamento de Ingeniería Eléctrica,Cooperación Internacional: Proyectos bilaterales,Proyectos de intercambio CONICYT/BMBF-Alemania
16,EQUIP-18/2014,Equipamiento de prueba de encapsulamiento celdas solares,01/12/2014,01/12/2014,"P. Mendoza / R. Moreno, R. Palma",Departamento de Ingeniería Eléctrica,FONDEQUIP,Concurso de Equipamiento Científico
17,EQUIP-20/2014,Sistema de adquisición de datos para Monitoreo de Condición,01/12/2014,01/12/2014,"R. Palma / M. Orchard, V. Meruane",Departamento de Ingeniería Eléctrica,FONDEQUIP,Concurso de Equipamiento Científico
18,3140581,Effects of solar energy generation and changes in electricity consumption into the power systems planning,01/11/2013,01/11/2013,R. Palma,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
19,MINENERG_14_01,Ley de Eficiencia Energética y visión de desarrollo 2050,01/03/2014,01/03/2015,R. Palma / M. Paneque,Departamento de Ingeniería Eléctrica,Otros,Otros
20,EQM130058,Emulador de micro-redes para diseño y validación de estrategias de control novedosas,01/12/2013,01/12/2014,"D. Sáez / R. Palma, J. Cárdenas",Departamento de Ingeniería Eléctrica,FONDEQUIP,Concurso de Equipamiento Científico
21,609837,Scientific and Technological Alliance for Guaranteeing the European Excellence in Concentrating Solar Thermal Energy (STAGE-STE),01/02/2014,01/01/2018,R. Palma,Particular,Unión Europea,FP7-Coordination Actions
22,REDES130052,Centro de Energía (Chile) / Energy Centre at the University of auckland business school (Nueva Zelanda),01/10/2013,01/04/2015,R. Palma,Centro de Energía,Cooperación Internacional: Multilateral y vinculación,Apoyo a la Formación de Redes Internacionales_Centros
23,12IDL2-16296,Empaquetamiento óptimo de baterías de ión-litio,01/12/2012,01/12/2015,R. Palma,Departamento de Ingeniería Eléctrica,INNOVA,Proyecto de I+D Aplicada
24,1120301,Effects of wind power on frequency stability in the Chilean central interconected system (CSI),01/03/2012,01/03/2012,C. Rahmann / R. Palma,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
25,1120302,Effects of hydropower operations on downstream hydrology: A system-wide modelling approach,01/03/2012,01/03/2012,M. Olivares / R. Palma,Departamento de Ingeniería Civil,FONDECYT,Regular
26,1120343,Integrated planning for distribution systems involving DG penetration,01/03/2012,01/03/2012,R. Palma,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
27,1120317,Power balancing service and Up-Powering in hydrothermal systems for high penetration of wind energy: economic incentives and the enviroment,01/03/2012,01/03/2015,"R. Palma / M. Olivares, C. Rahmann",Departamento de Ingeniería Eléctrica,FONDECYT,Regular
28,EQM-120111,Equipamiento para de Sistemas de Generación Híbridos,01/12/2012,01/12/2013,"J. Cárdenas / M. Orchard, D. Sáez, R. Palma",Departamento de Ingeniería Eléctrica,FONDEQUIP,Concurso de Equipamiento Científico
29,UR-11-III,Centro de Investigación del Litio: Red CIL,01/11/2011,01/11/2012,"R. Palma / M. Orchard, J. Vargas, G. González, L. Voisin",Departamento de Ingeniería Eléctrica,Fondo Central de Investigación,Programa U-Redes: Línea 2 incentivo a la Consolidación de Red; Domeyko II
30,11IDL1-10466,Empaquetamiento optimo de baterías de litio para uso en vehículos eléctricos,01/12/2011,01/07/2012,R. Palma,Departamento de Ingeniería Eléctrica,INNOVA,Innova
31,15110019,"Solar Energy Research Center, SERC-Chile",01/11/2012,01/11/2022,"C. Rahmann / P. Estévez, R. Palma, R. Fischer, F. Gracia, J. Cárdenas, D. Sáez, M. Díaz, W. Kracht",Departamento de Ingeniería Eléctrica,FONDAP,Programa FONDAP
32,2011 - 551 CHL 11/013,Análisis del impacto en la seguridad y regulación de frecuencia del sistema eléctrico chileno frente a diversos escenarios de energía eólica,01/07/2012,01/07/2014,R. Palma,Departamento de Ingeniería Eléctrica,Cooperación Internacional: Proyectos bilaterales,Proyectos de intercambio CONICYT/BMBF-Alemania
33,1100172,Up-powering service for high penetration of wind energy in hydrothermal power systems,01/03/2010,01/03/2010,R. Palma / M. Olivares,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
34,D10ER-1008,Central microhidráulica inteligente,01/03/2011,01/03/2012,R. Palma,Departamento de Ingeniería Eléctrica,FONDEF,Desarrollo de soluciones ERNC a pequeña escala
35,A-34,Computational intelligence and virtual power plants,01/12/2009,01/12/2009,"P. Estévez / C. Pérez, R. Palma, D. Sáez",Departamento de Ingeniería Eléctrica,Programa de Investigación Asociativa,III Concurso Anillos en Ciencias y Antártico
36,2009-165,Evaluación técnico-económica de la incorporación de un sistema de monitoreo dinámico de líneas de transmisión en Chile,01/06/2010,01/06/2012,R. Palma,Departamento de Ingeniería Eléctrica,Cooperación Internacional: Proyectos bilaterales,Proyectos de intercambio CONICYT/BMBF-Alemania
37,1080668,Market Monitoring plataform for pool based electricity markets,01/03/2008,01/03/2010,R. Palma / L. Vargas,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
38,1080321,Energy and peak power reserve programming in systems with high uncertainty in the energy matrix,01/03/2008,01/03/2008,R. Palma,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
39,MIL-2007-01,Instituto Científico Milenio de Sistemas Complejos de Ingeniería,01/12/2007,01/01/2017,"A. Weintraub / R. Jofré, L. Vargas, R. Fischer, L. Basso, R. Weber, G. Durán, R. Palma, M. Munizaga, D. Espinoza, J. Velásquez, C. Cortés, R. Manasevich, S. Jara, F. Martínez, R. Epstein",Departamento de Ingeniería Industrial,Iniciativa científica Milenio,Institutos Milenios
40,1061270,Planificación Integrada de la Expansión de Sistemas Eléctricos con Incorporación Explícita de Alternativas Tecnológicas de Generación y Riesgo en las Fuentes de Energía Primaria,01/03/2006,01/03/2006,L. Vargas / R. Palma,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
41,1050346,Impacto de la generación distribuida en la inestabilidad y servicios complementarios de sistemas eléctricos de potencia longitudinales,01/03/2005,01/03/2007,R. Palma / L. Vargas,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
42,1050756,Despacho unificado de energía eléctrica y servicios complementarios mediante flujo de potencia óptimo(OPF) para elevar la seguridad del suministro,01/03/2005,01/03/2008,R. Palma,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
43,1031004,"Optimizacion de los servicios complementarios de sistemas electricos de generacion, transmicion y distribuicion
",01/03/2003,01/03/2003,R. Palma,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
44,1020801,Evaluacion y propuesta de modelos de operacion de una bolsa de energia operando en un sistema electrico hidrotermico,01/03/2002,01/03/2005,R. Palma,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
45,1020807,Nueva clasificacion de tipos de confiabilidad para unificar la oferta de servicios complementarios: Aplicacion al sistema SIC-SING,01/06/2002,01/06/2002,"R. Palma, L. Vargas",Departamento de Ingeniería Eléctrica,FONDECYT,Regular
46,LC-2000/10,Estructuras de mercado y nuevas tecnologías para la optimización de la calidad y seguridad de los sistemas eléctricos de potencia,01/03/2000,01/03/2004,"R. Palma, L. Vargas",Departamento de Ingeniería Eléctrica,FONDECYT,Líneas Complementarias
47,1000866,Incorporación de modelos de mercado y marcos regulatorios en una planificación dinamica de sistemas electricos,01/03/2000,01/03/2002,R. Palma / L. Vargas,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
48,1000940,Evaluación y controlabilidad de voltaje en sistemas de potencia con topología longitudinal,01/03/2000,01/03/2003,L. Vargas / R. Palma,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
49,1990599,Incorporación de la seguridad y calidad de servicios en los precios spot de sistemas eléctricos,01/03/1999,01/03/2001,"R. Palma, L. Vargas",Departamento de Ingeniería Eléctrica,FONDECYT,Regular
